city,lat,lng,country,iso2,admin,capital,population,population_proper
Kabul,34.516667,69.183333,Afghanistan,AF,Kābul,primary,3277000,3043532
Kandahār,31.613323,65.710126,Afghanistan,AF,Kandahār,admin,715542,512200
Jalālābād,34.426468,70.45153,Afghanistan,AF,Nangarhār,admin,597971,205423
Herāt,34.348167,62.199673,Afghanistan,AF,Herāt,admin,481009,397456
Mazār-e Sharīf,36.709041,67.110866,Afghanistan,AF,Balkh,admin,458151,272714
Kunduz,36.728955,68.857001,Afghanistan,AF,Kunduz,admin,259809,161902
Ṯaghar,36.152481,68.737086,Afghanistan,AF,Baghlān,,218748,108449
Lashkar Gāh,31.593817,64.371614,Afghanistan,AF,Helmand,admin,201546,201546
Maīmanah,35.921337,64.784058,Afghanistan,AF,Fāryāb,admin,199795,199795
Balkh,36.756352,66.897196,Afghanistan,AF,Balkh,minor,179969,114883
Ghaznī,33.550833,68.4225,Afghanistan,AF,Ghaznī,admin,141000,118785
Gardēz,33.597439,69.225922,Afghanistan,AF,Paktiyā,admin,103601,61760
Shibirghān,36.667567,65.752904,Afghanistan,AF,Jowzjān,admin,93241,55641
Farāh,32.374508,62.116383,Afghanistan,AF,Farāh,admin,73647,43561
Andkhōy,36.952926,65.123761,Afghanistan,AF,Fāryāb,minor,71730,29208
Faīẕābād,37.116638,70.580022,Afghanistan,AF,Badakhshān,admin,64704,40276
Tāluqān,36.734133,69.533559,Afghanistan,AF,Takhār,admin,64256,64256
Pul-e Khumrī,35.944583,68.715122,Afghanistan,AF,Baghlān,admin,56369,25689
Chārīkār,35.016585,69.174011,Afghanistan,AF,Parwān,admin,53676,53676
Asadābād,34.873113,71.14697,Afghanistan,AF,Kunaṟ,admin,48400,48400
Aībak,36.26468,68.015512,Afghanistan,AF,Samangān,admin,24000,24000
Barakī Barak,33.967443,68.949199,Afghanistan,AF,Lōgar,minor,22305,22305
Karukh,34.481083,62.5863,Afghanistan,AF,Herāt,minor,17484,11293
Mehtar Lām,34.671389,70.209444,Afghanistan,AF,Laghmān,admin,17345,17345
Zarghūn Shahr,32.847343,68.445732,Afghanistan,AF,Paktīkā,,13737,13737
Qalāt,32.10575,66.908332,Afghanistan,AF,Zābul,admin,12191,12191
Tarīn Kōṯ,32.62675,65.873313,Afghanistan,AF,Uruzgān,admin,10000,10000
Maḩmūd-e Rāqī,35.016406,69.344504,Afghanistan,AF,Kāpīsā,admin,7407,7407
Qal‘ah-ye Now,34.987351,63.128911,Afghanistan,AF,Bādghīs,admin,2997,2997
Dowlat Shāh,34.950397,70.071017,Afghanistan,AF,Laghmān,minor,,
Dowlatyār,34.551319,65.793022,Afghanistan,AF,Ghōr,minor,,
Karbōṟī,34.965974,71.274601,Afghanistan,AF,Kunaṟ,minor,,
Ḩāfiz̧ān,34.286652,70.372467,Afghanistan,AF,Nangarhār,minor,,
Mīr Bachah Kōṯ,34.749991,69.118987,Afghanistan,AF,Kābul,minor,,
Nīlī,33.721777,66.130229,Afghanistan,AF,Dāykundī,admin,,
Kalān Deh,33.836765,68.402328,Afghanistan,AF,Wardak,minor,,
Kā’ī,34.128189,70.718277,Afghanistan,AF,Nangarhār,minor,,
Āsmār,35.033328,71.358087,Afghanistan,AF,Kunaṟ,minor,,
Dū Qal‘ah,32.142372,61.446899,Afghanistan,AF,Farāh,minor,,
Chimtāl,36.678179,66.803254,Afghanistan,AF,Balkh,minor,,
Bāzārak,35.31292,69.51519,Afghanistan,AF,Panjshir,admin,,
Nūrgal,34.613406,70.764975,Afghanistan,AF,Kunaṟ,minor,,
Salām Khēl,33.670666,69.329826,Afghanistan,AF,Paktiyā,minor,,
Khulm,36.697362,67.698255,Afghanistan,AF,Balkh,minor,,
Qarqīn,37.41853,66.043581,Afghanistan,AF,Jowzjān,minor,,
Qal‘ah-ye Kuhnah,32.615909,63.666807,Afghanistan,AF,Farāh,minor,,
Qal‘ah-ye Kūf,38.041189,70.472982,Afghanistan,AF,Badakhshān,minor,,
Jalrēz,34.470796,68.654378,Afghanistan,AF,Wardak,minor,,
Nādir Shāh Kōṯ,34.243477,70.728546,Afghanistan,AF,Nangarhār,minor,,
‘Alī Khēl,33.942528,69.719078,Afghanistan,AF,Paktiyā,minor,,
Fayrōz Kōh,34.519516,65.250935,Afghanistan,AF,Ghōr,admin,,
Khwājah Ghār,37.065883,69.421257,Afghanistan,AF,Takhār,minor,,
Shērwānī-ye Bālā,35.014683,69.599342,Afghanistan,AF,Kāpīsā,minor,,
Now Dahānak,35.623977,70.005106,Afghanistan,AF,Panjshir,minor,,
Zindah Jān,34.342641,61.746747,Afghanistan,AF,Herāt,minor,,
Kanḏay,34.953598,70.778974,Afghanistan,AF,Kunaṟ,minor,,
Bāzār-e Tālah,35.39205,68.223168,Afghanistan,AF,Baghlān,minor,,
Āfāqī,36.661724,69.350952,Afghanistan,AF,Takhār,minor,,
