city,lat,lng,country,iso2,admin,capital,population,population_proper
Buenos Aires,-34.606389,-58.435278,Argentina,AR,"Buenos Aires, Ciudad Autónoma de",primary,12795000,10929146
Córdoba,-31.413496,-64.181052,Argentina,AR,Córdoba,admin,1452000,1296935
Rosario,-32.946818,-60.639317,Argentina,AR,Santa Fe,minor,1203000,986569
Mendoza,-32.890845,-68.827171,Argentina,AR,Mendoza,admin,893000,762630
San Miguel de Tucumán,-26.824144,-65.2226,Argentina,AR,Tucumán,admin,830000,527607
La Plata,-34.921454,-57.954533,Argentina,AR,Buenos Aires,admin,694253,186524
Mar del Plata,-38.002278,-57.557539,Argentina,AR,Buenos Aires,minor,555897,553935
Salta,-24.785896,-65.411664,Argentina,AR,Salta,admin,512686,456606
Santa Fe,-31.629484,-60.701036,Argentina,AR,Santa Fe,admin,489505,297503
San Juan,-31.5375,-68.536389,Argentina,AR,San Juan,admin,447048,420736
San Luis,-33.295012,-66.335627,Argentina,AR,San Luis,admin,432310,183982
Resistencia,-27.46056,-58.983886,Argentina,AR,Chaco,admin,387158,349753
Posadas,-27.367077,-55.896078,Argentina,AR,Misiones,admin,357119,312060
Santiago del Estero,-27.795112,-64.261489,Argentina,AR,Santiago del Estero,admin,354692,280407
Corrientes,-27.480596,-58.834099,Argentina,AR,Corrientes,admin,340823,339067
San Salvador de Jujuy,-24.194565,-65.297116,Argentina,AR,Jujuy,admin,305891,211587
Bahía Blanca,-38.719595,-62.272432,Argentina,AR,Buenos Aires,minor,281536,276546
Paraná,-31.731967,-60.523802,Argentina,AR,Entre Ríos,admin,262295,191409
Neuquén,-38.951606,-68.059102,Argentina,AR,Neuquén,admin,242092,185555
Formosa,-26.177534,-58.178139,Argentina,AR,Formosa,admin,221383,183161
La Rioja,-29.411048,-66.850668,Argentina,AR,La Rioja,admin,162620,131640
Río Cuarto,-33.130671,-64.349918,Argentina,AR,Córdoba,minor,153757,118162
Concordia,-31.392959,-58.02089,Argentina,AR,Entre Ríos,minor,145210,120311
