city,lat,lng,country,iso2,admin,capital,population,population_proper
Vienna,48.2,16.366667,Austria,AT,Wien,primary,2400000,1731000
Linz,48.3,14.3,Austria,AT,Oberösterreich,admin,349161,181162
Graz,47.066667,15.45,Austria,AT,Steiermark,admin,263234,222326
Salzburg,47.8,13.033333,Austria,AT,Salzburg,admin,206279,150269
Innsbruck,47.266667,11.4,Austria,AT,Tirol,admin,155214,112467
Klagenfurt,46.624722,14.305278,Austria,AT,Kärnten,admin,90610,86566
Wiener Neustadt,47.8,16.25,Austria,AT,Niederösterreich,minor,82762,38481
Bregenz,47.5,9.766667,Austria,AT,Vorarlberg,admin,26928,26928
Eisenstadt,47.85,16.516667,Austria,AT,Burgenland,admin,13165,13165
Dornbirn,47.416667,9.733056,Austria,AT,Vorarlberg,minor,,
Deutschlandsberg,46.815278,15.222222,Austria,AT,Steiermark,minor,,
Hartberg,47.283333,15.966667,Austria,AT,Steiermark,minor,,
Vöcklabruck,48.016667,13.65,Austria,AT,Oberösterreich,minor,,
Judenburg,47.166667,14.666667,Austria,AT,Steiermark,minor,,
Villach,46.610278,13.855833,Austria,AT,Kärnten,minor,,
Sankt Johann im Pongau,47.35,13.2,Austria,AT,Salzburg,minor,,
Voitsberg,47.033333,15.15,Austria,AT,Steiermark,minor,,
Zwettl,48.616667,15.166667,Austria,AT,Niederösterreich,minor,,
Scheibbs,48.0,15.166667,Austria,AT,Niederösterreich,minor,,
Kirchdorf,47.9,14.116667,Austria,AT,Oberösterreich,minor,,
Gmunden,47.916667,13.8,Austria,AT,Oberösterreich,minor,,
Hollabrunn,48.55,16.083333,Austria,AT,Niederösterreich,minor,,
Wels,48.166667,14.033333,Austria,AT,Oberösterreich,minor,,
Gmünd,48.766667,14.983333,Austria,AT,Niederösterreich,minor,,
Völkermarkt,46.662222,14.634444,Austria,AT,Kärnten,minor,,
Kitzbühel,47.45,12.383333,Austria,AT,Tirol,minor,,
Freistadt,48.5,14.5,Austria,AT,Oberösterreich,minor,,
Tulln,48.333333,16.05,Austria,AT,Niederösterreich,minor,,
Schwaz,47.333333,11.7,Austria,AT,Tirol,minor,,
Tamsweg,47.133333,13.8,Austria,AT,Salzburg,minor,,
Mistelbach,48.57,16.576667,Austria,AT,Niederösterreich,minor,,
Zell am See,47.316667,12.783333,Austria,AT,Salzburg,minor,,
Sankt Pölten,48.2,15.633333,Austria,AT,Niederösterreich,admin,,
Horn,48.65,15.65,Austria,AT,Niederösterreich,minor,,
Leibnitz,46.781667,15.541667,Austria,AT,Steiermark,minor,,
Perg,48.25,14.633333,Austria,AT,Oberösterreich,minor,,
Amstetten,48.116667,14.866667,Austria,AT,Niederösterreich,minor,,
Korneuburg,48.35,16.333333,Austria,AT,Niederösterreich,minor,,
Rohrbach,48.566667,13.983333,Austria,AT,Oberösterreich,minor,,
Lienz,46.831111,12.759722,Austria,AT,Tirol,minor,,
Hermagor,46.627222,13.367222,Austria,AT,Kärnten,minor,,
Reutte,47.483333,10.716667,Austria,AT,Tirol,minor,,
Bruck an der Mur,47.416667,15.283333,Austria,AT,Steiermark,minor,,
Bruck an der Leitha,48.016667,16.766667,Austria,AT,Niederösterreich,minor,,
Imst,47.233333,10.733333,Austria,AT,Tirol,minor,,
Leoben,47.383333,15.1,Austria,AT,Steiermark,minor,,
Sankt Veit an der Glan,46.768056,14.360278,Austria,AT,Kärnten,minor,,
Gänserndorf,48.338876,16.722157,Austria,AT,Niederösterreich,minor,,
Melk,48.216667,15.316667,Austria,AT,Niederösterreich,minor,,
Hallein,47.683333,13.1,Austria,AT,Salzburg,minor,,
Mattersburg,47.733333,16.4,Austria,AT,Burgenland,minor,,
Feldkirchen,46.716667,14.1,Austria,AT,Kärnten,minor,,
Murau,47.110556,14.169444,Austria,AT,Steiermark,minor,,
Feldbach,46.953056,15.888333,Austria,AT,Steiermark,minor,,
Bludenz,47.149722,9.816667,Austria,AT,Vorarlberg,minor,,
Krems an der Donau,48.416667,15.6,Austria,AT,Niederösterreich,minor,,
Mödling,48.083333,16.283333,Austria,AT,Niederösterreich,minor,,
Klosterneuburg,48.3,16.316667,Austria,AT,Niederösterreich,minor,,
Steyr,48.05,14.416667,Austria,AT,Oberösterreich,minor,,
Neusiedl am See,47.933333,16.833333,Austria,AT,Burgenland,minor,,
Neunkirchen,47.716667,16.083333,Austria,AT,Niederösterreich,minor,,
Wolfsberg,46.840556,14.844167,Austria,AT,Kärnten,minor,,
Landeck,47.133333,10.566667,Austria,AT,Tirol,minor,,
Eferding,48.316667,14.016667,Austria,AT,Oberösterreich,minor,,
Weiz,47.216667,15.616667,Austria,AT,Steiermark,minor,,
Spittal an der Drau,46.8,13.5,Austria,AT,Kärnten,minor,,
Waidhofen an der Thaya,48.816667,15.283333,Austria,AT,Niederösterreich,minor,,
Rust,47.8,16.666667,Austria,AT,Burgenland,minor,,
Baden,48.016667,16.233333,Austria,AT,Niederösterreich,minor,,
Liezen,47.566667,14.233333,Austria,AT,Steiermark,minor,,
Oberwart,47.283333,16.2,Austria,AT,Burgenland,minor,,
Ried im Innkreis,48.216667,13.5,Austria,AT,Oberösterreich,minor,,
Oberpullendorf,47.5,16.516667,Austria,AT,Burgenland,minor,,
