city,lat,lng,country,iso2,admin,capital,population,population_proper
Baku,40.395278,49.882222,Azerbaijan,AZ,Bakı,primary,2122300,1892000
Gəncə,40.682778,46.360556,Azerbaijan,AZ,Gəncə,admin,303268,300131
Sumqayıt,40.589722,49.668611,Azerbaijan,AZ,Sumqayıt,admin,279159,265150
Hacıvar,39.208067,45.446038,Azerbaijan,AZ,Babək,,94788,64754
Şəki,41.191944,47.170556,Azerbaijan,AZ,Şəki,admin,64968,62191
Lənkəran,38.755947,48.84715,Azerbaijan,AZ,Lənkəran,admin,60180,60180
Yevlax,40.612732,47.142329,Azerbaijan,AZ,Yevlax,admin,53716,46312
Göyçay,40.650555,47.74219,Azerbaijan,AZ,Göyçay,admin,35348,34715
Tovuz,40.992487,45.628384,Azerbaijan,AZ,Tovuz,admin,12626,12626
Qəbələ,40.982474,47.849092,Azerbaijan,AZ,Qəbələ,admin,11867,11867
Gədəbəy,40.570551,45.812288,Azerbaijan,AZ,Gədəbəy,admin,8657,8657
Goranboy,40.610278,46.789722,Azerbaijan,AZ,Goranboy,admin,7333,7333
Oğuz,41.07128,47.465284,Azerbaijan,AZ,Oğuz,admin,6876,6876
Zaqatala,41.631596,46.644791,Azerbaijan,AZ,Zaqatala,admin,,
Mingəçevir,40.763947,47.059533,Azerbaijan,AZ,Mingəçevir,admin,,
Xızı,40.905761,49.081268,Azerbaijan,AZ,Xızı,admin,,
Xırdalan,40.448085,49.755022,Azerbaijan,AZ,Abşeron,admin,,
Heydərabad,39.722857,44.848458,Azerbaijan,AZ,Sədərək,admin,,
Zəngilan,39.088401,46.6513,Azerbaijan,AZ,Zəngilan,admin,,
Ağstafa,41.114834,45.446825,Azerbaijan,AZ,Ağstafa,admin,,
Ucar,40.515671,47.654648,Azerbaijan,AZ,Ucar,admin,,
Göygöl,40.585838,46.318897,Azerbaijan,AZ,Göygöl,admin,,
Xocavənd,39.795464,47.109891,Azerbaijan,AZ,Xocavənd,admin,,
Xaçmaz,41.464258,48.805652,Azerbaijan,AZ,Xaçmaz,admin,,
Kəlbəcər,40.109842,46.04446,Azerbaijan,AZ,Kəlbəcər,admin,,
Yardımlı,38.907711,48.240521,Azerbaijan,AZ,Yardımlı,admin,,
Daşkəsən,40.523932,46.081863,Azerbaijan,AZ,Daşkəsən,admin,,
Kürdəmir,40.345318,48.150847,Azerbaijan,AZ,Kürdəmir,admin,,
Hacıqabul,40.038743,48.942865,Azerbaijan,AZ,Hacıqabul,admin,,
Qax,41.418259,46.92043,Azerbaijan,AZ,Qax,admin,,
Qazax,41.09246,45.365608,Azerbaijan,AZ,Qazax,admin,,
Tərtər,40.341794,46.932418,Azerbaijan,AZ,Tərtər,admin,,
Biləsuvar,39.458333,48.545,Azerbaijan,AZ,Biləsuvar,admin,,
Şəmkir,40.82975,46.017804,Azerbaijan,AZ,Şəmkir,admin,,
Qubadlı,39.344407,46.581834,Azerbaijan,AZ,Qubadlı,admin,,
Quba,41.361077,48.513411,Azerbaijan,AZ,Quba,admin,,
Qusar,41.427496,48.4302,Azerbaijan,AZ,Qusar,admin,,
Babək,39.154592,45.442825,Azerbaijan,AZ,Babək,minor,,
Füzuli,39.60094,47.14529,Azerbaijan,AZ,Füzuli,admin,,
Cəbrayıl,39.399173,47.028345,Azerbaijan,AZ,Cəbrayıl,admin,,
Salyan,39.596214,48.984786,Azerbaijan,AZ,Salyan,admin,,
Xocalı,39.912973,46.790284,Azerbaijan,AZ,Xocalı,admin,,
Astara,38.455977,48.87498,Azerbaijan,AZ,Astara,admin,,
Culfa,38.95397,45.62961,Azerbaijan,AZ,Culfa,minor,,
Ağdaş,40.646987,47.473803,Azerbaijan,AZ,Ağdaş,admin,,
Lerik,38.773883,48.414969,Azerbaijan,AZ,Lerik,admin,,
Masallı,39.027781,48.670276,Azerbaijan,AZ,Masallı,admin,,
Ağdam,40.908483,45.554269,Azerbaijan,AZ,Tovuz,,0,0
Beyləqan,39.775556,47.618611,Azerbaijan,AZ,Beyləqan,admin,,
Ağsu,40.569167,48.396476,Azerbaijan,AZ,Ağsu,admin,,
Qobustan,40.533601,48.928193,Azerbaijan,AZ,Qobustan,admin,,
Bərdə,40.375768,47.126191,Azerbaijan,AZ,Bərdə,admin,,
Ordubad,38.90961,46.022737,Azerbaijan,AZ,Ordubad,admin,,
Balakən,41.726258,46.40478,Azerbaijan,AZ,Balakən,admin,,
İsmayıllı,40.784846,48.151409,Azerbaijan,AZ,İsmayıllı,admin,,
Şuşa,39.760057,46.749893,Azerbaijan,AZ,Şuşa,admin,,
Samux,40.764854,46.408678,Azerbaijan,AZ,Samux,admin,,
Ağcabədi,40.050146,47.459367,Azerbaijan,AZ,Ağcabədi,admin,,
Ağdam,39.99096,46.927356,Azerbaijan,AZ,Ağdam,admin,,
Dəvəçi,41.201166,48.987117,Azerbaijan,AZ,Şabran,admin,,
İmişli,39.872398,48.064928,Azerbaijan,AZ,İmişli,admin,,
Saatlı,39.932137,48.368919,Azerbaijan,AZ,Saatlı,admin,,
Naxçıvan,39.208846,45.411887,Azerbaijan,AZ,Naxçıvan,admin,,
Siyəzən,41.077538,49.112573,Azerbaijan,AZ,Siyəzən,admin,,
Şahbuz,39.407222,45.573889,Azerbaijan,AZ,Şahbuz,admin,,
Cəlilabad,39.209633,48.491862,Azerbaijan,AZ,Cəlilabad,admin,,
Sabirabad,40.008688,48.47701,Azerbaijan,AZ,Sabirabad,admin,,
Neftçala,39.376798,49.246998,Azerbaijan,AZ,Neftçala,admin,,
Laçın,39.643401,46.546206,Azerbaijan,AZ,Laçın,admin,,
Naftalan,40.508208,46.820302,Azerbaijan,AZ,Naftalan,admin,,
Zərdab,40.219906,47.709968,Azerbaijan,AZ,Zərdab,admin,,
Şərur,39.554358,44.982597,Azerbaijan,AZ,Şərur,admin,,
Qıvraq,39.399389,45.11513,Azerbaijan,AZ,Kəngərli,admin,,
