city,lat,lng,country,iso2,admin,capital,population,population_proper
Sarajevo,43.85,18.383333,Bosnia And Herzegovina,BA,"Bosnia and Herzegovina, Federation of",primary,696731,628902
Banja Luka,44.778422,17.193865,Bosnia And Herzegovina,BA,"Srpska, Republika",admin,221738,221106
Heca,44.243257,17.900481,Bosnia And Herzegovina,BA,"Bosnia and Herzegovina, Federation of",,164423,138353
Mostar,43.343333,17.808056,Bosnia And Herzegovina,BA,"Bosnia and Herzegovina, Federation of",minor,163067,104518
Tuzla,44.538419,18.667091,Bosnia And Herzegovina,BA,"Bosnia and Herzegovina, Federation of",minor,144334,142486
Prijedor,44.97991,16.714012,Bosnia And Herzegovina,BA,"Srpska, Republika",minor,104858,36347
Kladanj,44.226691,18.692743,Bosnia And Herzegovina,BA,"Bosnia and Herzegovina, Federation of",minor,,
Šekovići,44.298959,18.855317,Bosnia And Herzegovina,BA,"Srpska, Republika",minor,,
Laktaši,44.908569,17.301352,Bosnia And Herzegovina,BA,"Srpska, Republika",minor,,
Lopare,44.634981,18.843396,Bosnia And Herzegovina,BA,"Srpska, Republika",minor,,
Bosansko Grahovo,44.179444,16.363889,Bosnia And Herzegovina,BA,"Bosnia and Herzegovina, Federation of",minor,,
Petrovo,44.628043,18.353231,Bosnia And Herzegovina,BA,"Srpska, Republika",minor,,
Bosanski Petrovac,44.555369,16.368974,Bosnia And Herzegovina,BA,"Bosnia and Herzegovina, Federation of",minor,,
Šamac,45.059865,18.467557,Bosnia And Herzegovina,BA,"Srpska, Republika",minor,,
Milići,44.170155,19.091954,Bosnia And Herzegovina,BA,"Srpska, Republika",minor,,
Čajniče,43.557125,19.071859,Bosnia And Herzegovina,BA,"Srpska, Republika",minor,,
Hreša,43.878001,18.496991,Bosnia And Herzegovina,BA,"Srpska, Republika",minor,,
Bihać,44.816944,15.870833,Bosnia And Herzegovina,BA,"Bosnia and Herzegovina, Federation of",minor,,
Hadžići,43.822222,18.206667,Bosnia And Herzegovina,BA,"Bosnia and Herzegovina, Federation of",minor,,
Han Pijesak,44.081607,18.952576,Bosnia And Herzegovina,BA,"Srpska, Republika",minor,,
Sokolac,43.938169,18.800787,Bosnia And Herzegovina,BA,"Srpska, Republika",minor,,
Sapna,44.503804,18.99818,Bosnia And Herzegovina,BA,"Bosnia and Herzegovina, Federation of",minor,,
Modriča,44.956061,18.302034,Bosnia And Herzegovina,BA,"Srpska, Republika",minor,,
Kotor Varoš,44.618311,17.372044,Bosnia And Herzegovina,BA,"Srpska, Republika",minor,,
Vlasenica,44.181834,18.940965,Bosnia And Herzegovina,BA,"Srpska, Republika",minor,,
Kupres,43.992729,17.276388,Bosnia And Herzegovina,BA,"Bosnia and Herzegovina, Federation of",minor,,
Bratunac,44.18455,19.330847,Bosnia And Herzegovina,BA,"Srpska, Republika",minor,,
Glamoč,44.045833,16.848611,Bosnia And Herzegovina,BA,"Bosnia and Herzegovina, Federation of",minor,,
Lukavac,44.542451,18.526181,Bosnia And Herzegovina,BA,"Bosnia and Herzegovina, Federation of",minor,,
Srebrenica,44.10748,19.296687,Bosnia And Herzegovina,BA,"Srpska, Republika",minor,,
Donji Žabar,44.943169,18.646734,Bosnia And Herzegovina,BA,"Srpska, Republika",minor,,
Fojnica,43.959523,17.902876,Bosnia And Herzegovina,BA,"Bosnia and Herzegovina, Federation of",minor,,
Omanjska,44.698308,17.957575,Bosnia And Herzegovina,BA,"Bosnia and Herzegovina, Federation of",minor,,
Kopači,43.678328,19.028445,Bosnia And Herzegovina,BA,"Srpska, Republika",minor,,
Tešanj,44.611914,17.985516,Bosnia And Herzegovina,BA,"Bosnia and Herzegovina, Federation of",minor,,
Ugljevik,44.664165,19.020588,Bosnia And Herzegovina,BA,"Srpska, Republika",minor,,
Novo Selo,44.080074,17.155564,Bosnia And Herzegovina,BA,"Srpska, Republika",minor,,
Jezero,44.349537,17.168798,Bosnia And Herzegovina,BA,"Srpska, Republika",minor,,
Brčko,44.869951,18.810124,Bosnia And Herzegovina,BA,Brcko District,admin,,
Ljubuški,43.196944,17.545,Bosnia And Herzegovina,BA,"Bosnia and Herzegovina, Federation of",minor,,
Bužim,45.053606,16.03254,Bosnia And Herzegovina,BA,"Bosnia and Herzegovina, Federation of",minor,,
Tomislavgrad,43.718485,17.225149,Bosnia And Herzegovina,BA,"Bosnia and Herzegovina, Federation of",minor,,
Mrkonjić Grad,44.417289,17.082884,Bosnia And Herzegovina,BA,"Srpska, Republika",minor,,
Ilijaš,43.951275,18.271283,Bosnia And Herzegovina,BA,"Bosnia and Herzegovina, Federation of",minor,,
Dobratići,44.377917,17.414256,Bosnia And Herzegovina,BA,"Bosnia and Herzegovina, Federation of",minor,,
Živinice,44.449289,18.649778,Bosnia And Herzegovina,BA,"Bosnia and Herzegovina, Federation of",minor,,
Gornji Vakuf,43.938056,17.588333,Bosnia And Herzegovina,BA,"Bosnia and Herzegovina, Federation of",minor,,
Žepče,44.426667,18.037778,Bosnia And Herzegovina,BA,"Bosnia and Herzegovina, Federation of",minor,,
