city,lat,lng,country,iso2,admin,capital,population,population_proper
Brussels,50.833333,4.333333,Belgium,BE,Brussels-Capital Region,primary,1743000,1019022
Antwerp,51.213886,4.401514,Belgium,BE,Flanders,minor,920000,459805
Liège,50.638674,5.570228,Belgium,BE,Wallonia,minor,749110,196496
Gent,51.05,3.716667,Belgium,BE,Flanders,minor,444336,231493
Charleroi,50.409473,4.452483,Belgium,BE,Wallonia,minor,345367,200132
Brugge,51.210933,3.225971,Belgium,BE,Flanders,minor,146469,116709
Namur,50.469923,4.82577,Belgium,BE,Wallonia,admin,106284,88027
Mons,50.45527,3.951623,Belgium,BE,Wallonia,minor,91277,91277
Hasselt,50.933333,5.333333,Belgium,BE,Flanders,minor,69222,69222
Arlon,49.683333,5.816667,Belgium,BE,Wallonia,minor,26179,26179
Mouscron,50.744968,3.206388,Belgium,BE,Wallonia,minor,,
Vilvoorde,50.920893,4.407117,Belgium,BE,Flanders,minor,,
Virton,49.56824,5.532588,Belgium,BE,Wallonia,minor,,
Tournai,50.60715,3.389321,Belgium,BE,Wallonia,minor,,
Leuven,50.879336,4.699048,Belgium,BE,Flanders,minor,,
Ieper,50.851142,2.885688,Belgium,BE,Flanders,minor,,
Roeselare,50.946319,3.122785,Belgium,BE,Flanders,minor,,
Dendermonde,51.028691,4.101059,Belgium,BE,Flanders,minor,,
Tielt,50.999307,3.327067,Belgium,BE,Flanders,minor,,
Veurne,51.072307,2.662384,Belgium,BE,Flanders,minor,,
Oudenaarde,50.851684,3.608914,Belgium,BE,Flanders,minor,,
Philippeville,50.196124,4.543744,Belgium,BE,Wallonia,minor,,
Waremme,50.695287,5.254554,Belgium,BE,Wallonia,minor,,
Oostende,51.223392,2.911854,Belgium,BE,Flanders,minor,,
Wavre,50.713908,4.629657,Belgium,BE,Wallonia,minor,,
Thuin,50.341464,4.289944,Belgium,BE,Wallonia,minor,,
Ath,50.629569,3.778033,Belgium,BE,Wallonia,minor,,
Hannut,50.671415,5.078981,Belgium,BE,Wallonia,minor,,
Marche-en-Famenne,50.2,5.333333,Belgium,BE,Wallonia,minor,,
Tongeren,50.783333,5.466667,Belgium,BE,Flanders,minor,,
Maaseik,51.09552,5.790609,Belgium,BE,Flanders,minor,,
Mechelen,51.028298,4.479327,Belgium,BE,Flanders,minor,,
Lincent,50.713291,5.033473,Belgium,BE,Wallonia,minor,,
Huy,50.523582,5.241276,Belgium,BE,Wallonia,minor,,
Nivelles,50.598477,4.326529,Belgium,BE,Wallonia,minor,,
Aalst,50.936041,4.035499,Belgium,BE,Flanders,minor,,
Enghien,50.689555,4.031336,Belgium,BE,Wallonia,minor,,
Soignies,50.579416,4.070123,Belgium,BE,Wallonia,minor,,
Dinant,50.264655,4.923573,Belgium,BE,Wallonia,minor,,
Eeklo,51.187027,3.556538,Belgium,BE,Flanders,minor,,
Neufchâteau,49.840738,5.435347,Belgium,BE,Wallonia,minor,,
Turnhout,51.322536,4.944711,Belgium,BE,Flanders,minor,,
Verviers,50.585558,5.87697,Belgium,BE,Wallonia,minor,,
Kortrijk,50.824053,3.267595,Belgium,BE,Flanders,minor,,
Bastogne,50.003472,5.71844,Belgium,BE,Wallonia,minor,,
Sint-Niklaas,51.165092,4.143703,Belgium,BE,Flanders,minor,,
Diksmuide,51.032483,2.863836,Belgium,BE,Flanders,minor,,
