city,lat,lng,country,iso2,admin,capital,population,population_proper
Bujumbura,-3.3822,29.3644,Burundi,BI,,primary,331700,331700
Mugongora,-2.8285,30.2872,Burundi,BI,Muyinga,,71076,71076
Ruyigi,-3.476389,30.248611,Burundi,BI,Ruyigi,admin,38458,38458
Gitega,-3.4264,29.9308,Burundi,BI,Gitega,admin,23167,23167
Ngozi,-2.9075,29.8306,Burundi,BI,Ngozi,admin,21506,21506
Rutana,-3.9228,30.009,Burundi,BI,Rutana,,20893,20893
Bururi,-3.9519,29.6871,Burundi,BI,Bururi,,20393,19740
Makamba,-4.1348,29.804,Burundi,BI,Makamba,admin,19642,19642
Yanza,-2.931,29.5811,Burundi,BI,Kayanza,,19443,19443
Muramvya,-3.2696,29.6265,Burundi,BI,Muramvya,,18041,18041
Rutana,-3.1164,29.3621,Burundi,BI,Bubanza,,12728,12728
Karuzi,-3.101389,30.162778,Burundi,BI,Karuzi,admin,10705,10705
Cankuzo,-3.2121,30.5679,Burundi,BI,Cankuzo,,6585,6585
Kirundo,-2.5845,30.0959,Burundi,BI,Kirundo,admin,6083,6083
Mwaro,-3.5113,29.7051,Burundi,BI,Mwaro,admin,,
Rutana,-3.9279,29.992,Burundi,BI,Rutana,admin,,
Bururi,-3.9461,29.6197,Burundi,BI,Bururi,admin,,
Cankuzo,-3.2186,30.5528,Burundi,BI,Cankuzo,admin,,
Bubanza,-3.0804,29.391,Burundi,BI,Bubanza,admin,,
Kayanza,-2.9221,29.6293,Burundi,BI,Kayanza,admin,,
Rumonge,-3.9736,29.4386,Burundi,BI,Rumonge,admin,,
Muyinga,-2.8451,30.3414,Burundi,BI,Muyinga,admin,,
Isale,-3.3489,29.4839,Burundi,BI,Bujumbura Rural,admin,,
Cibitoke,-2.8869,29.1248,Burundi,BI,Cibitoke,admin,,
Muramvya,-3.2682,29.6079,Burundi,BI,Muramvya,admin,,
