city,lat,lng,country,iso2,admin,capital,population,population_proper
São Paulo,-23.573252,-46.641681,Brazil,BR,São Paulo,admin,18845000,10021295
Rio de Janeiro,-22.875113,-43.277548,Brazil,BR,Rio de Janeiro,admin,11748000,2010175
Belo Horizonte,-19.901739,-43.964196,Brazil,BR,Minas Gerais,admin,5575000,2373224
Porto Alegre,-30.033333,-51.2,Brazil,BR,Rio Grande do Sul,admin,3917000,1372741
Brasília,-15.783333,-47.916667,Brazil,BR,Distrito Federal,primary,3716996,2562963
Recife,-8.05,-34.9,Brazil,BR,Pernambuco,admin,3651000,1478098
Fortaleza,-3.737464,-38.546167,Brazil,BR,Ceará,admin,3602319,2315116
Salvador,-12.983333,-38.516667,Brazil,BR,Bahia,admin,3484000,2678845
Curitiba,-25.416667,-49.25,Brazil,BR,Paraná,admin,3084000,1498860
Campinas,-22.909474,-47.067415,Brazil,BR,São Paulo,,2791000,1031554
Belém,-1.437281,-48.470614,Brazil,BR,Pará,admin,2167000,1407737
Goiânia,-16.701028,-49.266793,Brazil,BR,Goiás,admin,2022000,1171195
Manaus,-3.113333,-60.025278,Brazil,BR,Amazonas,admin,1753000,1520244
Santos,-23.952906,-46.356071,Brazil,BR,São Paulo,,1709000,411403
Vitória,-20.332179,-40.345011,Brazil,BR,Espírito Santo,admin,1704000,312656
Niterói,-22.887107,-43.090889,Brazil,BR,Rio de Janeiro,,1500513,487327
Vila Velha,-20.333333,-40.283333,Brazil,BR,Espírito Santo,,1209091,275736
Vila Velha,3.215464,-51.230103,Brazil,BR,Amapá,,1209091,275736
Maceió,-9.652406,-35.722433,Brazil,BR,Alagoas,admin,1186000,814431
Natal,-5.80021,-35.210669,Brazil,BR,Rio Grande do Norte,admin,1088000,763043
São Luís,-2.532519,-44.296299,Brazil,BR,Maranhão,admin,1038000,11385
Florianópolis,-27.590444,-48.57581,Brazil,BR,Santa Catarina,admin,1023000,114566
Joinvile,-26.3,-48.833333,Brazil,BR,Santa Catarina,,988000,433475
Natal,-6.983333,-60.283333,Brazil,BR,Amazonas,,980588,980588
João Pessoa,-7.123742,-34.865646,Brazil,BR,Paraíba,admin,956000,650883
Olinda,-8.016667,-34.85,Brazil,BR,Pernambuco,,921840,397268
Teresina,-5.102887,-42.801549,Brazil,BR,Piauí,admin,907000,586721
Novo Hamburgo,-29.683333,-51.133333,Brazil,BR,Rio Grande do Sul,,876990,237044
Cuiabá,-15.596,-56.097,Brazil,BR,Mato Grosso,admin,806000,400287
Campo Grande,-20.45,-54.616667,Brazil,BR,Mato Grosso do Sul,admin,778000,597446
São José dos Campos,-23.191165,-45.878405,Brazil,BR,São Paulo,,753769,636876
Jaboatão,-8.116667,-35.016667,Brazil,BR,Pernambuco,,702621,659807
Aracaju,-10.916667,-37.066667,Brazil,BR,Sergipe,admin,685356,490175
São José dos Pinhais,-25.531815,-49.199755,Brazil,BR,Paraná,,665063,279297
Santo André,-23.666667,-46.516667,Brazil,BR,São Paulo,,662373,662373
Canoas,-29.933333,-51.183333,Brazil,BR,Rio Grande do Sul,,600000,333322
Uberlândia,-18.915404,-48.272587,Brazil,BR,Minas Gerais,,563536,406188
Sorocaba,-23.5,-47.45959,Brazil,BR,São Paulo,,563281,558862
Ribeirão Prêto,-21.179426,-47.799874,Brazil,BR,São Paulo,,551267,490281
Londrina,-23.3,-51.15,Brazil,BR,Paraná,,520238,471832
Jundiaí,-23.195965,-46.875764,Brazil,BR,São Paulo,,505548,321589
Macapá,0.035158,-51.061633,Brazil,BR,Amapá,admin,499166,368397
Feira de Santana,-12.255514,-38.965922,Brazil,BR,Bahia,,481911,416478
Americana,-22.752784,-47.330147,Brazil,BR,São Paulo,,479472,196022
Juiz de Fora,-21.762152,-43.348105,Brazil,BR,Minas Gerais,,470193,459336
Volta Redonda,-22.514005,-44.109594,Brazil,BR,Rio de Janeiro,,456362,249580
Foz do Iguaçu,-25.55,-54.583333,Brazil,BR,Paraná,,440455,293523
Campina Grande,-7.224606,-35.873019,Brazil,BR,Paraíba,,417261,348936
Ipatinga,-19.470369,-42.546578,Brazil,BR,Minas Gerais,,407894,228746
Taubaté,-23.024869,-45.551515,Brazil,BR,São Paulo,,403560,251641
Campos,-21.752274,-41.330444,Brazil,BR,Rio de Janeiro,,387417,370469
