city,lat,lng,country,iso2,admin,capital,population,population_proper
Gaborone,-24.646389,25.911944,Botswana,BW,Gaborone,primary,208411,159243
Francistown,-21.17,27.507778,Botswana,BW,Francistown,admin,89979,88380
Lobatse,-25.214167,25.680833,Botswana,BW,Lobatse,admin,69804,30883
Molepolole,-24.406587,25.495079,Botswana,BW,Kweneng,admin,63248,52178
Mahalapye,-23.104068,26.814214,Botswana,BW,Central,,50744,44471
Maun,-19.983333,23.416667,Botswana,BW,North West,admin,49945,44173
Serowe,-22.383333,26.716667,Botswana,BW,Central,admin,48573,47419
Kanye,-24.966746,25.332735,Botswana,BW,Southern,admin,46831,44716
Mochudi,-24.416667,26.15,Botswana,BW,Kgatleng,admin,39700,39700
Palapye,-22.546048,27.12507,Botswana,BW,Central,,30650,23708
Tshabong,-26.05,22.45,Botswana,BW,Kgalagadi,admin,9679,9679
Kasane,-17.816667,25.15,Botswana,BW,Chobe,admin,9250,6299
Nata,-20.216667,26.183333,Botswana,BW,,,4794,191
Mopipi,-21.183333,24.883333,Botswana,BW,Central,,3301,3301
Lehututu,-23.966667,21.866667,Botswana,BW,,,1942,1942
Nokaneng,-19.666667,22.266667,Botswana,BW,,,1763,1763
Lokwabe,-24.166667,21.833333,Botswana,BW,,,1473,1473
Tsau,-20.15,22.45,Botswana,BW,,,1409,1409
Muhembo,-18.3,21.8,Botswana,BW,,,757,757
Sowa Town,-20.563611,26.224444,Botswana,BW,Sowa Town,admin,,
Masunga,-20.624546,27.448752,Botswana,BW,North East,admin,,
Selibe Phikwe,-21.975833,27.834722,Botswana,BW,Selibe Phikwe,admin,,
Ghanzi,-21.566667,21.783333,Botswana,BW,Ghanzi,admin,,
Ramotswa,-24.871579,25.869893,Botswana,BW,South East,admin,,
Jwaneng,-24.601667,24.728056,Botswana,BW,Jwaneng,admin,,
