city,lat,lng,country,iso2,admin,capital,population,population_proper
Geneva,46.195602,6.148113,Switzerland,CH,Genève,admin,1240000,192385
Zürich,47.366667,8.55,Switzerland,CH,Zürich,admin,1108000,341730
Basel,47.558395,7.573271,Switzerland,CH,Basel-Stadt,admin,830000,170635
Bern,46.916667,7.466667,Switzerland,CH,Bern,primary,275329,121631
Lausanne,46.533333,6.666667,Switzerland,CH,Vaud,admin,265702,116751
Lucerne,47.083333,8.266667,Switzerland,CH,Luzern,admin,250000,77491
Lugano,46.009279,8.955576,Switzerland,CH,Ticino,,105388,26365
Sankt Fiden,47.43162,9.39845,Switzerland,CH,Sankt Gallen,,70572,70572
Chur,46.856753,9.526918,Switzerland,CH,Graubünden,admin,38293,32429
Schaffhausen,47.697316,8.634929,Switzerland,CH,Schaffhausen,admin,33863,33863
Fribourg,46.79572,7.154748,Switzerland,CH,Fribourg,admin,32827,32827
Neuchâtel,46.993089,6.93005,Switzerland,CH,Neuchâtel,admin,31270,31270
Tripon,46.270839,7.317785,Switzerland,CH,Valais,,28045,28045
Zug,47.172421,8.517445,Switzerland,CH,Zug,admin,23435,23435
Frauenfeld,47.55993,8.8998,Switzerland,CH,Thurgau,,21979,21979
Bellinzona,46.194902,9.024729,Switzerland,CH,Ticino,,16572,16572
Aarau,47.389616,8.052354,Switzerland,CH,Aargau,admin,15501,15501
Herisau,47.38271,9.27186,Switzerland,CH,Appenzell Ausserrhoden,,15438,15438
Solothurn,47.206649,7.516605,Switzerland,CH,Solothurn,admin,14853,14853
Schwyz,47.027858,8.656112,Switzerland,CH,Schwyz,admin,14177,14177
Liestal,47.482779,7.742975,Switzerland,CH,Basel-Landschaft,admin,12832,12832
Delémont,47.366429,7.329005,Switzerland,CH,Jura,admin,11315,11315
Sarnen,46.898509,8.250681,Switzerland,CH,Obwalden,admin,9410,9410
Altdorf,46.880422,8.644409,Switzerland,CH,Uri,admin,8678,8678
Stansstad,46.97731,8.34005,Switzerland,CH,Nidwalden,,7475,7475
Glarus,47.04057,9.068036,Switzerland,CH,Glarus,admin,5681,5681
Appenzell,47.328414,9.409647,Switzerland,CH,Appenzell Innerrhoden,admin,5649,5649
Saignelégier,47.255435,6.994608,Switzerland,CH,Jura,minor,,
Affoltern am Albis,47.281224,8.45346,Switzerland,CH,Zürich,minor,,
Cully,46.488301,6.730109,Switzerland,CH,Vaud,minor,,
Romont,46.696483,6.918037,Switzerland,CH,Fribourg,minor,,
Aarberg,47.043835,7.27357,Switzerland,CH,Bern,minor,,
Scuol,46.796756,10.305946,Switzerland,CH,Graubünden,minor,,
Fleurier,46.903265,6.582135,Switzerland,CH,Neuchâtel,minor,,
Unterkulm,47.30998,8.11371,Switzerland,CH,Aargau,minor,,
Stans,46.95805,8.36609,Switzerland,CH,Nidwalden,admin,,
Lichtensteig,47.337551,9.084078,Switzerland,CH,Sankt Gallen,minor,,
Yverdon-les-Bains,46.777908,6.635502,Switzerland,CH,Vaud,minor,,
Boudry,46.953019,6.83897,Switzerland,CH,Neuchâtel,minor,,
Balsthal,47.31591,7.693047,Switzerland,CH,Solothurn,minor,,
Dornach,47.478042,7.616417,Switzerland,CH,Solothurn,minor,,
Lachen,47.19927,8.85432,Switzerland,CH,Schwyz,minor,,
Payerne,46.82201,6.93608,Switzerland,CH,Vaud,minor,,
Baden,47.478029,8.302764,Switzerland,CH,Aargau,minor,,
