city,lat,lng,country,iso2,admin,capital,population,population_proper
Adjamé,5.350527,-4.024637,Côte D’Ivoire,CI,Abidjan,,3802000,3190395
Bouaké,7.693846,-5.030307,Côte D’Ivoire,CI,Vallée du Bandama,admin,567481,454821
Déraouan,6.890867,-6.423196,Côte D’Ivoire,CI,Sassandra-Marahoué,,255168,215652
San-Pédro,4.748508,-6.636301,Côte D’Ivoire,CI,Bas-Sassandra,admin,210273,196751
Yamoussoukro,6.820548,-5.276741,Côte D’Ivoire,CI,Yamoussoukro,primary,206499,194530
Korhogo,9.458031,-5.629608,Côte D’Ivoire,CI,Savanes,admin,177711,167359
Man,7.412513,-7.55383,Côte D’Ivoire,CI,Montagnes,admin,146974,139341
Divo,5.83739,-5.357229,Côte D’Ivoire,CI,Gôh-Djiboua,minor,127867,127867
Gagnoa,6.131934,-5.950601,Côte D’Ivoire,CI,Gôh-Djiboua,admin,123184,99192
Soubré,5.785556,-6.608333,Côte D’Ivoire,CI,Bas-Sassandra,,108933,58492
Abengourou,6.729722,-3.496389,Côte D’Ivoire,CI,Comoé,admin,104020,71598
Agboville,5.92801,-4.213186,Côte D’Ivoire,CI,Lagunes,minor,81770,64285
Grand-Bassam,5.211796,-3.738839,Côte D’Ivoire,CI,Comoé,minor,73772,48681
Dabou,5.325556,-4.376853,Côte D’Ivoire,CI,Lagunes,admin,72913,69661
Dimbokro,6.64678,-4.70519,Côte D’Ivoire,CI,Lacs,admin,67349,25586
Ferkessédougou,9.5928,-5.194487,Côte D’Ivoire,CI,Savanes,minor,62008,52812
Bouaflé,6.990406,-5.744204,Côte D’Ivoire,CI,Sassandra-Marahoué,minor,60962,60962
Bondoukou,8.040201,-2.800034,Côte D’Ivoire,CI,Zanzan,admin,58297,18706
Séguéla,7.961111,-6.673056,Côte D’Ivoire,CI,Woroba,admin,51157,12603
Odienné,9.505114,-7.564332,Côte D’Ivoire,CI,Denguélé,admin,49857,19119
Guiglo,6.543682,-7.493495,Côte D’Ivoire,CI,Montagnes,minor,39134,35846
Toumodi,6.557986,-5.017688,Côte D’Ivoire,CI,Lacs,minor,39005,39005
Sassandra,4.95,-6.083333,Côte D’Ivoire,CI,Bas-Sassandra,minor,38411,23274
Aboisso,5.467794,-3.207111,Côte D’Ivoire,CI,Comoé,minor,37654,37654
Touba,8.283333,-7.683333,Côte D’Ivoire,CI,Woroba,minor,27504,27504
Toulépleu,6.579742,-8.410906,Côte D’Ivoire,CI,Montagnes,minor,,
Sakassou,7.454624,-5.292628,Côte D’Ivoire,CI,Vallée du Bandama,minor,,
Ayamé,5.605204,-3.157086,Côte D’Ivoire,CI,Comoé,minor,,
Béoumi,7.673951,-5.580855,Côte D’Ivoire,CI,Vallée du Bandama,minor,,
Katiola,8.137278,-5.10095,Côte D’Ivoire,CI,Vallée du Bandama,minor,,
Alépé,5.500397,-3.663083,Côte D’Ivoire,CI,Lagunes,minor,,
Dianra,8.943333,-6.254897,Côte D’Ivoire,CI,Woroba,minor,,
Tanda,7.803355,-3.168325,Côte D’Ivoire,CI,Zanzan,minor,,
Yakassé-Attobrou,6.181743,-3.651111,Côte D’Ivoire,CI,Lagunes,minor,,
Séguélon,9.356944,-7.120833,Côte D’Ivoire,CI,Denguélé,minor,,
Sikensi,5.668294,-4.573709,Côte D’Ivoire,CI,Lagunes,minor,,
Kounahiri,7.790886,-5.834766,Côte D’Ivoire,CI,Woroba,minor,,
Koun-Fao,7.487638,-3.252493,Côte D’Ivoire,CI,Zanzan,minor,,
Jacqueville,5.205148,-4.414604,Côte D’Ivoire,CI,Lagunes,minor,,
Guitry,5.519518,-5.240379,Côte D’Ivoire,CI,Gôh-Djiboua,minor,,
Daloa,6.877355,-6.450221,Côte D’Ivoire,CI,Sassandra-Marahoué,admin,,
Kaniasso,9.814709,-7.512505,Côte D’Ivoire,CI,Denguélé,minor,,
Songon,5.319597,-4.254152,Côte D’Ivoire,CI,Abidjan,minor,,
Tiapoum,5.136221,-3.023077,Côte D’Ivoire,CI,Comoé,minor,,
Abidjan,5.309657,-4.012656,Côte D’Ivoire,CI,Abidjan,admin,,
Mankono,8.058611,-6.189722,Côte D’Ivoire,CI,Woroba,minor,,
Minignan,9.997442,-7.83593,Côte D’Ivoire,CI,Denguélé,minor,,
Azaguié,5.629841,-4.082041,Côte D’Ivoire,CI,Lagunes,minor,,
Tabou,4.42295,-7.3528,Côte D’Ivoire,CI,Bas-Sassandra,minor,,
Bongouanou,6.651749,-4.204061,Côte D’Ivoire,CI,Lacs,minor,,
Kouto,9.890289,-6.409215,Côte D’Ivoire,CI,Savanes,minor,,
Grand-Lahou,5.250683,-5.003332,Côte D’Ivoire,CI,Lagunes,minor,,
Biankouma,7.739093,-7.613774,Côte D’Ivoire,CI,Montagnes,minor,,
Soubré,5.783766,-6.59388,Côte D’Ivoire,CI,Bas-Sassandra,minor,,
Bonoua,5.27247,-3.596248,Côte D’Ivoire,CI,Comoé,minor,,
Danané,7.259572,-8.154981,Côte D’Ivoire,CI,Montagnes,minor,,
Tiébissou,7.157722,-5.2248,Côte D’Ivoire,CI,Lacs,minor,,
Téhini,9.60542,-3.658043,Côte D’Ivoire,CI,Zanzan,minor,,
Oumé,6.383086,-5.417591,Côte D’Ivoire,CI,Gôh-Djiboua,minor,,
Botro,7.852488,-5.310628,Côte D’Ivoire,CI,Vallée du Bandama,minor,,
Niakaramandougou,8.657589,-5.291087,Côte D’Ivoire,CI,Vallée du Bandama,minor,,
Kani,8.478074,-6.605092,Côte D’Ivoire,CI,Woroba,minor,,
Kong,9.149434,-4.609823,Côte D’Ivoire,CI,Savanes,minor,,
Bangolo,7.01232,-7.486395,Côte D’Ivoire,CI,Montagnes,admin,,
Bouna,9.269265,-2.995098,Côte D’Ivoire,CI,Zanzan,minor,,
Zoukougbeu,6.76229,-6.8638,Côte D’Ivoire,CI,Sassandra-Marahoué,minor,,
Méagui,5.404821,-6.558359,Côte D’Ivoire,CI,Bas-Sassandra,minor,,
Transua,7.550045,-3.014313,Côte D’Ivoire,CI,Zanzan,minor,,
Ouaninou,8.237897,-7.866379,Côte D’Ivoire,CI,Woroba,minor,,
Daoukro,7.058552,-3.964625,Côte D’Ivoire,CI,Lacs,minor,,
Gbéléban,9.584607,-8.131833,Côte D’Ivoire,CI,Denguélé,minor,,
Bocanda,7.062635,-4.499484,Côte D’Ivoire,CI,Lacs,minor,,
Doropo,9.810273,-3.344975,Côte D’Ivoire,CI,Zanzan,minor,,
Adzopé,6.106944,-3.861944,Côte D’Ivoire,CI,Lagunes,minor,,
Kouassi-Kouassikro,7.341414,-4.67709,Côte D’Ivoire,CI,Lacs,minor,,
Zouan-Hounien,6.919371,-8.206503,Côte D’Ivoire,CI,Montagnes,minor,,
Sipilou,7.8645,-8.101433,Côte D’Ivoire,CI,Montagnes,minor,,
Buyo,6.275344,-6.997038,Côte D’Ivoire,CI,Bas-Sassandra,minor,,
Arrah,6.673419,-3.969383,Côte D’Ivoire,CI,Lacs,minor,,
Guéyo,5.688203,-6.071199,Côte D’Ivoire,CI,Bas-Sassandra,minor,,
Facobly,7.388301,-7.376439,Côte D’Ivoire,CI,Montagnes,minor,,
Lakota,5.847523,-5.681997,Côte D’Ivoire,CI,Gôh-Djiboua,minor,,
Tiassalé,5.898394,-4.822926,Côte D’Ivoire,CI,Lagunes,minor,,
Sinématiali,9.584103,-5.384757,Côte D’Ivoire,CI,Savanes,minor,,
Sinfra,6.621026,-5.911442,Côte D’Ivoire,CI,Sassandra-Marahoué,minor,,
Anyama,5.494622,-4.051831,Côte D’Ivoire,CI,Abidjan,minor,,
Duekoué,6.74202,-7.349183,Côte D’Ivoire,CI,Montagnes,minor,,
Ouangolodougou,9.96837,-5.148818,Côte D’Ivoire,CI,Savanes,minor,,
Bingerville,5.355809,-3.885371,Côte D’Ivoire,CI,Abidjan,minor,,
Prikro,7.647048,-3.996256,Côte D’Ivoire,CI,Lacs,minor,,
Agnibilékrou,7.131132,-3.204147,Côte D’Ivoire,CI,Comoé,minor,,
