city,lat,lng,country,iso2,admin,capital,population,population_proper
Douala,4.0469,9.7084,Cameroon,CM,Littoral,admin,1906000,1338082
Yaoundé,3.866667,11.516667,Cameroon,CM,Centre,primary,1611000,1060587
Bamenda,5.959705,10.145974,Cameroon,CM,North-West,admin,445299,393835
Garoua,9.301425,13.397707,Cameroon,CM,Nord,admin,436899,293974
Maroua,10.590946,14.315925,Cameroon,CM,Extrême-Nord,admin,319941,201371
Bafoussam,5.477752,10.417591,Cameroon,CM,Ouest,admin,290768,290768
Ngaoundéré,7.316667,13.583333,Cameroon,CM,Adamaoua,admin,231357,37288
Bertoua,4.583333,13.683333,Cameroon,CM,Est,admin,218111,88462
Limbe,4.0242,9.2149,Cameroon,CM,South-West,,212474,72106
Edéa,3.8,10.133333,Cameroon,CM,Littoral,,203149,15864
Kumba,4.6363,9.4469,Cameroon,CM,South-West,,144413,117831
Kumbo,6.2,10.666667,Cameroon,CM,North-West,,125486,53970
Nkongsamba,4.9547,9.9404,Cameroon,CM,Littoral,,117063,93075
Bafang,5.157046,10.177099,Cameroon,CM,Ouest,,93145,80688
Foumban,5.72662,10.898654,Cameroon,CM,Ouest,,92673,36125
Buea,4.1527,9.241,Cameroon,CM,South-West,admin,90088,90088
Ébolowa,2.9,11.15,Cameroon,CM,Sud,admin,87875,79500
Guider,9.933298,13.946715,Cameroon,CM,Nord,,84647,81991
Mbalmayo,3.516667,11.5,Cameroon,CM,Centre,,80206,26797
Meïganga,6.516667,14.3,Cameroon,CM,Adamaoua,,80100,29629
Bigna,4.716667,11.233333,Cameroon,CM,Centre,,69270,13132
Wum,6.383333,10.066667,Cameroon,CM,North-West,,68836,16366
Kribi,2.95,9.916667,Cameroon,CM,Sud,,55224,7722
Batouri,4.433333,14.366667,Cameroon,CM,Est,,43821,40721
Tibati,6.465036,12.628429,Cameroon,CM,Adamaoua,,35589,8603
Bélabo,4.933333,13.3,Cameroon,CM,Est,,22553,358
Eséka,3.65,10.766667,Cameroon,CM,Centre,,22221,5983
Abong Mbang,3.983333,13.183333,Cameroon,CM,Est,,14661,735
Kontcha,7.966667,12.233333,Cameroon,CM,Adamaoua,,8018,3674
Mbé,7.85,13.6,Cameroon,CM,Nord,,3950,3950
