city,lat,lng,country,iso2,admin,capital,population,population_proper
Copenhagen,55.666667,12.583333,Denmark,DK,Hovedstaden,primary,1085000,1085000
Aarhus,56.153423,10.22553,Denmark,DK,Midtjylland,minor,237551,227100
Odense,55.393475,10.394935,Denmark,DK,Syddanmark,minor,158222,145931
Skalborg,57.001634,9.887863,Denmark,DK,Nordjylland,,122219,101616
Esbjerg,55.470276,8.451869,Denmark,DK,Syddanmark,minor,72205,63947
Vejle,55.708391,9.542763,Denmark,DK,Syddanmark,admin,51177,51177
Roskilde,55.640094,12.08054,Denmark,DK,Sjælland,minor,44285,40284
Viborg,56.45282,9.404291,Denmark,DK,Midtjylland,admin,34831,31057
Svendborg,55.058732,10.591346,Denmark,DK,Syddanmark,minor,29180,27553
Hillerød,55.933333,12.316667,Denmark,DK,Hovedstaden,admin,28313,28313
Frederikshavn,57.443803,10.547177,Denmark,DK,Nordjylland,minor,24103,20667
Borød,55.426544,11.520624,Denmark,DK,Sjælland,,7167,7167
Nyborg,55.305846,10.803394,Denmark,DK,Syddanmark,minor,,
Hvidovre,55.650261,12.475765,Denmark,DK,Hovedstaden,minor,,
Horsens,55.865675,9.873531,Denmark,DK,Midtjylland,minor,,
Kastrup,55.635239,12.648948,Denmark,DK,Hovedstaden,minor,,
Ærøskøbing,54.891207,10.408323,Denmark,DK,Syddanmark,minor,,
Hobro,56.638115,9.795317,Denmark,DK,Nordjylland,minor,,
Haderslev,55.252434,9.489315,Denmark,DK,Syddanmark,minor,,
Højby,55.911478,11.597559,Denmark,DK,Sjælland,minor,,
Dragør,55.594566,12.668952,Denmark,DK,Hovedstaden,minor,,
Lemvig,56.533333,8.3,Denmark,DK,Midtjylland,minor,,
Nykøbing Falster,54.7655,11.875085,Denmark,DK,Sjælland,minor,,
Nykøbing Mors,56.791688,8.849895,Denmark,DK,Nordjylland,minor,,
Sorø,55.438715,11.560856,Denmark,DK,Sjælland,admin,,
Kolding,55.492944,9.468121,Denmark,DK,Syddanmark,minor,,
Hjørring,57.466323,9.988917,Denmark,DK,Nordjylland,minor,,
Søborg,55.730207,12.509814,Denmark,DK,Hovedstaden,minor,,
Aalborg,57.035498,9.941163,Denmark,DK,Nordjylland,admin,,
Kokkedal,55.909781,12.515245,Denmark,DK,Hovedstaden,minor,,
Sønderborg,54.910634,9.792843,Denmark,DK,Syddanmark,minor,,
Albertslund,55.662279,12.335117,Denmark,DK,Hovedstaden,minor,,
Randers,56.460704,10.03639,Denmark,DK,Midtjylland,minor,,
Solrød Strand,55.536396,12.225235,Denmark,DK,Sjælland,minor,,
Vejen,55.48117,9.137948,Denmark,DK,Syddanmark,minor,,
Ringe,55.245059,10.470646,Denmark,DK,Syddanmark,minor,,
Herlev,55.72352,12.440376,Denmark,DK,Hovedstaden,minor,,
Odder,55.977212,10.168293,Denmark,DK,Midtjylland,minor,,
Næstved,55.224898,11.784213,Denmark,DK,Sjælland,minor,,
Kongens Lyngby,55.771785,12.505991,Denmark,DK,Hovedstaden,minor,,
Helsinge,56.019659,12.198974,Denmark,DK,Hovedstaden,minor,,
Skanderborg,56.031296,9.931704,Denmark,DK,Midtjylland,minor,,
Rødovre,55.682718,12.464367,Denmark,DK,Hovedstaden,minor,,
Frederiksberg,55.678467,12.522092,Denmark,DK,Hovedstaden,minor,,
Helsingør,56.029377,12.586267,Denmark,DK,Hovedstaden,minor,,
Allerød,55.870347,12.357372,Denmark,DK,Hovedstaden,minor,,
Skive,56.563814,9.040245,Denmark,DK,Midtjylland,minor,,
Glostrup,55.666597,12.403768,Denmark,DK,Hovedstaden,minor,,
Ishøj,55.618404,12.328128,Denmark,DK,Hovedstaden,minor,,
Brøndby,55.654093,12.421463,Denmark,DK,Hovedstaden,minor,,
Frederikssund,55.838923,12.067612,Denmark,DK,Hovedstaden,minor,,
Holbæk,55.713537,11.716903,Denmark,DK,Sjælland,minor,,
Rudkøbing,54.937994,10.721368,Denmark,DK,Syddanmark,minor,,
Kirke Hvalsø,55.59575,11.861583,Denmark,DK,Sjælland,minor,,
Tønder,54.943118,8.869335,Denmark,DK,Syddanmark,minor,,
Haslev,55.317917,11.974003,Denmark,DK,Sjælland,minor,,
Holte,55.816667,12.466667,Denmark,DK,Hovedstaden,minor,,
Ikast,56.136747,9.160023,Denmark,DK,Midtjylland,minor,,
Taastrup,55.647521,12.312019,Denmark,DK,Hovedstaden,minor,,
Rønde,56.301453,10.475055,Denmark,DK,Midtjylland,minor,,
Rønne,55.100907,14.706636,Denmark,DK,Hovedstaden,minor,,
Støvring,56.890869,9.830965,Denmark,DK,Nordjylland,minor,,
Vallensbæk Strand,55.613932,12.389539,Denmark,DK,Hovedstaden,minor,,
Bogense,55.565192,10.092923,Denmark,DK,Syddanmark,minor,,
Vordingborg,55.01044,11.903918,Denmark,DK,Sjælland,minor,,
Tranebjerg,55.832599,10.597231,Denmark,DK,Midtjylland,minor,,
Slagelse,55.402719,11.354142,Denmark,DK,Sjælland,minor,,
Aabybro,57.15,9.75,Denmark,DK,Nordjylland,minor,,
Aabenraa,55.036217,9.417999,Denmark,DK,Syddanmark,minor,,
Varde,55.62157,8.48073,Denmark,DK,Syddanmark,minor,,
Ringsted,55.441121,11.809437,Denmark,DK,Sjælland,minor,,
Byrum,57.256789,10.99738,Denmark,DK,Nordjylland,minor,,
Ballerup,55.719777,12.352019,Denmark,DK,Hovedstaden,minor,,
Aars,56.803809,9.515814,Denmark,DK,Nordjylland,minor,,
Ringkøbing,56.08642,8.248684,Denmark,DK,Midtjylland,minor,,
Hinnerup,56.266078,10.062993,Denmark,DK,Midtjylland,minor,,
Kerteminde,55.450484,10.658433,Denmark,DK,Syddanmark,minor,,
Farum,55.809873,12.362286,Denmark,DK,Hovedstaden,minor,,
Greve,55.596631,12.249199,Denmark,DK,Sjælland,minor,,
Herning,56.133333,8.983333,Denmark,DK,Midtjylland,minor,,
Struer,56.486241,8.60442,Denmark,DK,Midtjylland,minor,,
Grindsted,55.754,8.912307,Denmark,DK,Syddanmark,minor,,
Grenaa,56.41285,10.895649,Denmark,DK,Midtjylland,minor,,
Fredericia,55.575781,9.761693,Denmark,DK,Syddanmark,minor,,
Store Heddinge,55.309962,12.389795,Denmark,DK,Sjælland,minor,,
Hørsholm,55.88098,12.501106,Denmark,DK,Hovedstaden,minor,,
Assens,55.271213,9.905333,Denmark,DK,Syddanmark,minor,,
Maribo,54.775198,11.502437,Denmark,DK,Sjælland,minor,,
Køge,55.460008,12.183415,Denmark,DK,Sjælland,minor,,
Frederiksværk,55.967671,12.021482,Denmark,DK,Hovedstaden,minor,,
Stenløse,55.767676,12.196011,Denmark,DK,Hovedstaden,minor,,
Thisted,56.958788,8.696409,Denmark,DK,Nordjylland,minor,,
Kalundborg,55.681984,11.100426,Denmark,DK,Sjælland,minor,,
Holstebro,56.359471,8.620799,Denmark,DK,Midtjylland,minor,,
Charlottenlund,55.753674,12.591811,Denmark,DK,Hovedstaden,minor,,
Brønderslev,57.265112,9.959859,Denmark,DK,Nordjylland,minor,,
Silkeborg,56.170146,9.565162,Denmark,DK,Midtjylland,minor,,
Hedensted,55.770131,9.696694,Denmark,DK,Midtjylland,minor,,
Middelfart,55.499223,9.744498,Denmark,DK,Syddanmark,minor,,
