city,lat,lng,country,iso2,admin,capital,population,population_proper
Santo Domingo,18.466667,-69.9,Dominican Republic,DO,Ozama,primary,2154000,2873
Santiago,19.451703,-70.69703,Dominican Republic,DO,Cibao Norte,admin,1550753,1391262
San Pedro de Macorís,18.461557,-69.297181,Dominican Republic,DO,Higuamo,admin,217899,204140
La Romana,18.427335,-68.972849,Dominican Republic,DO,Yuma,admin,208437,196506
La Vega,19.222072,-70.529558,Dominican Republic,DO,Cibao Sur,admin,163197,102426
San Cristóbal,18.418631,-70.107913,Dominican Republic,DO,Valdesia,admin,154040,154040
San Francisco de Macorís,19.30099,-70.252586,Dominican Republic,DO,Cibao Nordeste,admin,152538,124763
Higüey,18.609363,-68.711981,Dominican Republic,DO,Yuma,minor,123787,123787
Puerto Plata,19.7875,-70.6875,Dominican Republic,DO,Cibao Norte,minor,119897,119897
Barahona,18.20854,-71.100772,Dominican Republic,DO,Enriquillo,admin,90128,77160
Bonao,18.936874,-70.409226,Dominican Republic,DO,Cibao Sur,minor,73269,73269
San Juan,18.805884,-71.229907,Dominican Republic,DO,El Valle,admin,72950,72950
Baní,18.279644,-70.331845,Dominican Republic,DO,Valdesia,minor,66709,66709
Moca,19.393521,-70.525977,Dominican Republic,DO,Cibao Norte,minor,61834,61834
Azua,18.453192,-70.734901,Dominican Republic,DO,Valdesia,minor,59139,59139
Mao,19.55186,-71.078133,Dominican Republic,DO,Cibao Noroeste,admin,48297,48297
Salcedo,19.377619,-70.41762,Dominican Republic,DO,Cibao Nordeste,minor,45299,45299
El Pino,18.883333,-71.666667,Dominican Republic,DO,,,43894,27908
Cotuí,19.052716,-70.149392,Dominican Republic,DO,Cibao Sur,minor,41641,41641
Hato Mayor,18.762777,-69.256807,Dominican Republic,DO,Higuamo,minor,35999,35999
Nagua,19.37463,-69.849484,Dominican Republic,DO,Cibao Nordeste,minor,33862,33862
Neiba,18.481375,-71.419648,Dominican Republic,DO,Enriquillo,minor,25731,18670
El Seibo,18.765589,-69.03886,Dominican Republic,DO,Yuma,minor,23547,23547
Monte Cristi,19.847222,-71.641667,Dominican Republic,DO,Cibao Noroeste,minor,17001,16704
Dajabón,19.548779,-71.708288,Dominican Republic,DO,Cibao Noroeste,minor,16398,16398
Sabaneta,19.477931,-71.341249,Dominican Republic,DO,Cibao Noroeste,minor,16380,16380
Monte Plata,18.807002,-69.783989,Dominican Republic,DO,Higuamo,minor,15532,15532
Samaná,19.205614,-69.336851,Dominican Republic,DO,Cibao Nordeste,minor,11432,11432
Pedernales,18.038376,-71.74403,Dominican Republic,DO,Enriquillo,minor,11072,11072
Jimaní,18.491686,-71.850217,Dominican Republic,DO,Enriquillo,minor,6567,6567
Bávaro,18.696341,-68.433996,Dominican Republic,DO,Yuma,,795,795
San José de Ocoa,18.546609,-70.506307,Dominican Republic,DO,Valdesia,minor,,
Santo Domingo Este,18.488468,-69.857066,Dominican Republic,DO,Ozama,admin,,
Comendador,18.8775,-71.702778,Dominican Republic,DO,El Valle,minor,,
