city,lat,lng,country,iso2,admin,capital,population,population_proper
Cairo,30.07708,31.285909,Egypt,EG,Al Qāhirah,primary,11893000,7734614
Alexandria,31.215645,29.955266,Egypt,EG,Al Iskandarīyah,admin,4165000,3811516
Al Jīzah,30.008079,31.210931,Egypt,EG,Al Jīzah,admin,2681863,2681863
Ismailia,30.604272,32.272252,Egypt,EG,Al Ismā‘īlīyah,admin,656135,284813
Port Said,31.256541,32.284115,Egypt,EG,Būr Sa‘īd,admin,623864,500000
Luxor,25.695858,32.643592,Egypt,EG,Al Uqşur,admin,609248,487896
Sūhāj,26.556952,31.694785,Egypt,EG,Sūhāj,admin,600000,209419
Al Manşūrah,31.036373,31.380691,Egypt,EG,Ad Daqahlīyah,admin,600000,480494
Suez,29.973714,32.526267,Egypt,EG,As Suways,admin,508335,488125
Al Minyā,28.109884,30.750299,Egypt,EG,Al Minyā,admin,500000,227150
Ib‘ādīyat Damanhūr,31.032821,30.42527,Egypt,EG,Al Buḩayrah,,500000,242700
Banī Suwayf,29.074409,31.097848,Egypt,EG,Banī Suwayf,admin,489450,189624
Asyūţ,27.180956,31.183683,Egypt,EG,Asyūţ,admin,420585,420585
Ţanţā,30.788471,31.001921,Egypt,EG,Al Gharbīyah,admin,404901,404901
Al Fayyūm,29.309949,30.841804,Egypt,EG,Al Fayyūm,admin,316772,306393
Aswān,24.093433,32.907038,Egypt,EG,Aswān,admin,313442,241261
Qinā,26.164179,32.72671,Egypt,EG,Qinā,admin,302027,235362
Mallawī,27.731401,30.841652,Egypt,EG,Al Minyā,,217365,142504
Al ‘Arīsh,31.12866,33.797117,Egypt,EG,Shamāl Sīnā’,admin,178651,128855
Banhā,30.459065,31.178577,Egypt,EG,Al Qalyūbīyah,admin,167029,167029
Ma‘şarat Samālūţ,28.316667,30.716667,Egypt,EG,Al Minyā,,152097,90465
Kafr ash Shaykh,31.114304,30.940116,Egypt,EG,Kafr ash Shaykh,admin,143970,143970
Jirjā,26.338255,31.89161,Egypt,EG,Sūhāj,,128250,102701
Marsá Maţrūḩ,31.352539,27.245275,Egypt,EG,Maţrūḩ,admin,103470,62042
Isnā,25.293356,32.554018,Egypt,EG,Qinā,,100000,69335
Banī Mazār,28.503599,30.800401,Egypt,EG,Al Minyā,,79553,58153
Al Khārijah,25.451405,30.546346,Egypt,EG,Al Wādī al Jadīd,admin,49991,49991
Būr Safājah,26.729177,33.936511,Egypt,EG,Al Baḩr al Aḩmar,,32944,9127
Aţ Ţūr,28.236381,33.625404,Egypt,EG,Janūb Sīnā’,admin,27628,14972
Sīwah,29.20133,25.521545,Egypt,EG,Maţrūḩ,,23080,23080
Aḑ Ḑab‘ah,31.028189,28.444976,Egypt,EG,Maţrūḩ,,14212,14212
Al ‘Alamayn,30.830066,28.955019,Egypt,EG,Maţrūḩ,,7400,2476
As Sallūm,31.553713,25.157927,Egypt,EG,Maţrūḩ,,7330,7330
Qaşr al Farāfirah,27.056799,27.969793,Egypt,EG,Al Wādī al Jadīd,,5000,5000
Al Qaşr,25.696636,28.884481,Egypt,EG,Al Wādī al Jadīd,,1716,1716
Al Ghardaqah,27.252891,33.818108,Egypt,EG,Al Baḩr al Aḩmar,admin,,
Bi’r al ‘Abd,31.018874,33.0098,Egypt,EG,Shamāl Sīnā’,minor,,
Rafaḩ,31.287806,34.238071,Egypt,EG,Shamāl Sīnā’,minor,,
Damanhūr,31.034084,30.468233,Egypt,EG,Al Buḩayrah,admin,,
Shibīn al Kawm,30.552581,31.009035,Egypt,EG,Al Minūfīyah,admin,,
Damietta,31.416477,31.813316,Egypt,EG,Dumyāţ,admin,,
Ash Shaykh Zuwayd,31.216297,34.110742,Egypt,EG,Shamāl Sīnā’,minor,,
Az Zaqāzīq,30.587676,31.501997,Egypt,EG,Ash Sharqīyah,admin,,
