city,lat,lng,country,iso2,admin,capital,population,population_proper
Helsinki,60.175556,24.934167,Finland,FI,Uusimaa,primary,1115000,558457
Tampere,61.5,23.75,Finland,FI,Pirkanmaa,admin,259279,202687
Turku,60.45,22.283333,Finland,FI,Varsinais-Suomi,admin,175945,174940
Oulu,65.016667,25.466667,Finland,FI,Pohjois-Pohjanmaa,admin,136752,128618
Lahti,60.966667,25.666667,Finland,FI,Päijät-Häme,admin,98826,96190
Jyväskylä,62.233333,25.733333,Finland,FI,Keski-Suomi,admin,98136,85026
Kuopio,62.9,27.683333,Finland,FI,Pohjois-Savo,admin,91900,89104
Pori,61.483333,21.783333,Finland,FI,Satakunta,admin,76772,66280
Lappeenranta,61.066667,28.183333,Finland,FI,Etelä-Karjala,admin,59276,49757
Vaasa,63.1,21.6,Finland,FI,Pohjanmaa,admin,57014,40846
Joensuu,62.6,29.766667,Finland,FI,Pohjois-Karjala,admin,53388,53388
Hämeenlinna,61.0,24.45,Finland,FI,Kanta-Häme,admin,47261,47261
Kokkola,63.833333,23.116667,Finland,FI,Keski-Pohjanmaa,admin,46714,46714
Mikkeli,61.683333,27.25,Finland,FI,Etelä-Savo,admin,46550,46550
Rovaniemi,66.5,25.716667,Finland,FI,Lappi,admin,34781,25389
Kouvola,60.866667,26.7,Finland,FI,Kymenlaakso,admin,31133,31133
Savonlinna,61.866667,28.883333,Finland,FI,Etelä-Savo,minor,27353,13114
Kemi,65.733333,24.566667,Finland,FI,Lappi,minor,22641,11479
Porvoo,60.4,25.666667,Finland,FI,Uusimaa,minor,12242,12242
Kirkonkylä,67.4,26.65,Finland,FI,Lappi,,8942,4091
Kemijärvi,66.666667,27.416667,Finland,FI,Lappi,minor,8883,8883
Sodankylä,67.416667,26.6,Finland,FI,Lappi,minor,,
Kangasala,61.466667,24.083333,Finland,FI,Pirkanmaa,minor,,
Varkaus,62.316667,27.916667,Finland,FI,Pohjois-Savo,minor,,
Kuusamo,65.966667,29.183333,Finland,FI,Pohjois-Pohjanmaa,minor,,
Teuva,62.483333,21.733333,Finland,FI,Etelä-Pohjanmaa,minor,,
Saarijärvi,62.716667,25.266667,Finland,FI,Keski-Suomi,minor,,
Lemland,60.083333,20.1,Finland,FI,Åland,minor,,
Simpele,61.433333,29.366667,Finland,FI,Etelä-Karjala,minor,,
Lumijoki,64.833333,25.183333,Finland,FI,Pohjois-Pohjanmaa,minor,,
Urjala,61.083333,23.533333,Finland,FI,Pirkanmaa,minor,,
Geta,60.383333,19.85,Finland,FI,Åland,minor,,
Laukaa,62.416667,25.95,Finland,FI,Keski-Suomi,minor,,
Ingå,60.05,24.016667,Finland,FI,Uusimaa,minor,,
Laitila,60.883333,21.683333,Finland,FI,Varsinais-Suomi,minor,,
Kitee,62.1,30.15,Finland,FI,Pohjois-Karjala,minor,,
Kaustinen,63.533333,23.7,Finland,FI,Keski-Pohjanmaa,minor,,
Honkajoki,61.983333,22.266667,Finland,FI,Satakunta,minor,,
Kauhajoki,62.433333,22.183333,Finland,FI,Etelä-Pohjanmaa,minor,,
Lieksa,63.316667,30.016667,Finland,FI,Pohjois-Karjala,minor,,
Sonkajärvi,63.666667,27.516667,Finland,FI,Pohjois-Savo,minor,,
Suonenjoki,62.616667,27.133333,Finland,FI,Pohjois-Savo,minor,,
Enontekiö,68.383333,23.633333,Finland,FI,Lappi,minor,,
Nastola,60.95,25.933333,Finland,FI,Päijät-Häme,minor,,
Kyyjärvi,63.033333,24.566667,Finland,FI,Keski-Suomi,minor,,
Vårdö,60.246066,20.373934,Finland,FI,Åland,minor,,
Savukoski,67.2925,28.158056,Finland,FI,Lappi,minor,,
Sipoo,60.366667,25.266667,Finland,FI,Uusimaa,minor,,
Siilinjärvi,63.083333,27.666667,Finland,FI,Pohjois-Savo,minor,,
Tuusniemi,62.816667,28.5,Finland,FI,Pohjois-Savo,minor,,
Masku,60.566667,22.1,Finland,FI,Varsinais-Suomi,minor,,
Ranua,65.916667,26.533333,Finland,FI,Lappi,minor,,
Lapua,62.95,23.0,Finland,FI,Etelä-Pohjanmaa,minor,,
Nivala,63.916667,24.966667,Finland,FI,Pohjois-Pohjanmaa,minor,,
Nummela,60.333333,24.333333,Finland,FI,Uusimaa,minor,,
Pelkosenniemi,67.110833,27.510556,Finland,FI,Lappi,minor,,
Brändö,60.416667,21.05,Finland,FI,Åland,minor,,
Pulkkila,64.266667,25.866667,Finland,FI,Pohjois-Pohjanmaa,minor,,
Pudasjärvi,65.383333,26.916667,Finland,FI,Pohjois-Pohjanmaa,minor,,
Haapajärvi,63.75,25.333333,Finland,FI,Pohjois-Pohjanmaa,minor,,
Harjavalta,61.316667,22.133333,Finland,FI,Satakunta,minor,,
Karstula,62.866667,24.783333,Finland,FI,Keski-Suomi,minor,,
Kauniainen,60.217222,24.7425,Finland,FI,Uusimaa,minor,,
Korsnäs,62.783333,21.2,Finland,FI,Pohjanmaa,minor,,
Ruokolahti,61.283333,28.833333,Finland,FI,Etelä-Karjala,minor,,
Jomala,60.15,19.966667,Finland,FI,Åland,minor,,
Loimaa,60.866667,22.983333,Finland,FI,Varsinais-Suomi,minor,,
Muhos,64.8,25.983333,Finland,FI,Pohjois-Pohjanmaa,minor,,
Rautalampi,62.633333,26.833333,Finland,FI,Pohjois-Savo,minor,,
Rautavaara,63.483333,28.3,Finland,FI,Pohjois-Savo,minor,,
Lohja,60.25,24.083333,Finland,FI,Uusimaa,minor,,
Taipalsaari,61.15,28.05,Finland,FI,Etelä-Karjala,minor,,
Imatra,61.166667,28.766667,Finland,FI,Etelä-Karjala,minor,,
Jämijärvi,61.816667,22.7,Finland,FI,Satakunta,minor,,
Raseborg,59.983333,23.65,Finland,FI,Uusimaa,minor,,
Karkkila,60.533333,24.183333,Finland,FI,Uusimaa,minor,,
Kalajoki,64.25,23.95,Finland,FI,Pohjois-Pohjanmaa,minor,,
Puumala,61.533333,28.183333,Finland,FI,Etelä-Savo,minor,,
Uusikaupunki,60.8,21.416667,Finland,FI,Varsinais-Suomi,minor,,
Soini,62.866667,24.216667,Finland,FI,Etelä-Pohjanmaa,minor,,
Pihtipudas,63.383333,25.566667,Finland,FI,Keski-Suomi,minor,,
Toijala,61.166667,23.866667,Finland,FI,Pirkanmaa,minor,,
Lemi,61.05,27.8,Finland,FI,Etelä-Karjala,minor,,
Savitaipale,61.2,27.7,Finland,FI,Etelä-Karjala,minor,,
Karvia,62.133333,22.566667,Finland,FI,Satakunta,minor,,
Ilmajoki,62.733333,22.566667,Finland,FI,Etelä-Pohjanmaa,minor,,
Orimattila,60.8,25.75,Finland,FI,Päijät-Häme,minor,,
Oripää,60.85,22.683333,Finland,FI,Varsinais-Suomi,minor,,
Kankaanpää,61.8,22.416667,Finland,FI,Satakunta,minor,,
Vantaa,60.3,24.85,Finland,FI,Uusimaa,minor,,
Pielavesi,63.233333,26.75,Finland,FI,Pohjois-Savo,minor,,
Kronoby,63.716667,23.033333,Finland,FI,Pohjanmaa,minor,,
Kivijärvi,63.116667,25.1,Finland,FI,Keski-Suomi,minor,,
Juva,61.9,27.85,Finland,FI,Etelä-Savo,minor,,
Polvijärvi,62.85,29.366667,Finland,FI,Pohjois-Karjala,minor,,
Polvijärvi,62.416667,28.333333,Finland,FI,Etelä-Savo,minor,,
Lappträsk,60.633333,26.216667,Finland,FI,Uusimaa,minor,,
Luvia,61.35,21.616667,Finland,FI,Satakunta,minor,,
Taivalkoski,65.566667,28.25,Finland,FI,Pohjois-Pohjanmaa,minor,,
Ypäjä,60.8,23.283333,Finland,FI,Kanta-Häme,minor,,
Joutsa,61.733333,26.116667,Finland,FI,Keski-Suomi,minor,,
Malax,62.933333,21.566667,Finland,FI,Pohjanmaa,minor,,
Mynämäki,60.666667,22.0,Finland,FI,Varsinais-Suomi,minor,,
Ikaalinen,61.766667,23.05,Finland,FI,Pirkanmaa,minor,,
Pertunmaa,61.5,26.483333,Finland,FI,Etelä-Savo,minor,,
Järvenpää,60.466667,25.1,Finland,FI,Uusimaa,minor,,
Kannus,63.9,23.9,Finland,FI,Keski-Pohjanmaa,minor,,
Nurmijärvi,60.466667,24.8,Finland,FI,Uusimaa,minor,,
Sottunga,60.133333,20.666667,Finland,FI,Åland,minor,,
Hämeenkyrö,61.633333,23.2,Finland,FI,Pirkanmaa,minor,,
Ödkarby,60.3,19.983333,Finland,FI,Åland,minor,,
Tammela,60.8,23.766667,Finland,FI,Kanta-Häme,minor,,
Multia,62.416667,24.783333,Finland,FI,Keski-Suomi,minor,,
Vieremä,63.75,27.016667,Finland,FI,Pohjois-Savo,minor,,
Liminka,64.816667,25.4,Finland,FI,Pohjois-Pohjanmaa,minor,,
Kiuruvesi,63.65,26.616667,Finland,FI,Pohjois-Savo,minor,,
Kauhava,63.1,23.083333,Finland,FI,Etelä-Pohjanmaa,minor,,
Hyvinkää,60.633333,24.866667,Finland,FI,Uusimaa,minor,,
Outokumpu,62.733333,29.016667,Finland,FI,Pohjois-Karjala,minor,,
Kristinestad,62.283333,21.383333,Finland,FI,Pohjanmaa,minor,,
Nousiainen,60.616667,22.133333,Finland,FI,Varsinais-Suomi,minor,,
Iisalmi,63.566667,27.183333,Finland,FI,Pohjois-Savo,minor,,
Hammarland,60.216667,19.75,Finland,FI,Åland,minor,,
Pieksämäki,62.3,27.133333,Finland,FI,Etelä-Savo,minor,,
Hyrynsalmi,64.666667,28.533333,Finland,FI,Kainuu,minor,,
Lappajärvi,63.2,23.633333,Finland,FI,Etelä-Pohjanmaa,minor,,
Suomussalmi,64.9,29.0,Finland,FI,Kainuu,minor,,
Tuusula,60.416667,25.033333,Finland,FI,Uusimaa,minor,,
Kaskinen,62.383333,21.216667,Finland,FI,Pohjanmaa,minor,,
Hankasalmi,62.383333,26.433333,Finland,FI,Keski-Suomi,minor,,
Muonio,67.95,23.7,Finland,FI,Lappi,minor,,
Maaninka,63.15,27.3,Finland,FI,Pohjois-Savo,minor,,
Eckerö,60.2,19.616667,Finland,FI,Åland,minor,,
Heinävesi,62.433333,28.6,Finland,FI,Etelä-Savo,minor,,
Kannonkoski,62.966667,25.25,Finland,FI,Keski-Suomi,minor,,
Kyrö,60.7,22.75,Finland,FI,Varsinais-Suomi,minor,,
Kirkkonummi,60.116667,24.433333,Finland,FI,Uusimaa,minor,,
Larsmo,63.75,22.8,Finland,FI,Pohjanmaa,minor,,
Askola,60.533333,25.6,Finland,FI,Uusimaa,minor,,
Forssa,60.816667,23.633333,Finland,FI,Kanta-Häme,minor,,
Mänttä,62.033333,24.633333,Finland,FI,Pirkanmaa,minor,,
Utsjoki,69.883333,27.0,Finland,FI,Lappi,minor,,
Parola,61.05,24.366667,Finland,FI,Kanta-Häme,minor,,
Äänekoski,62.6,25.733333,Finland,FI,Keski-Suomi,minor,,
Halsua,63.466667,24.166667,Finland,FI,Keski-Pohjanmaa,minor,,
Ilomantsi,62.666667,30.916667,Finland,FI,Pohjois-Karjala,minor,,
Alavus,62.583333,23.616667,Finland,FI,Etelä-Pohjanmaa,minor,,
Taivassalo,60.566667,21.6,Finland,FI,Varsinais-Suomi,minor,,
Lestijärvi,63.533333,24.65,Finland,FI,Keski-Pohjanmaa,minor,,
Haapavesi,64.133333,25.366667,Finland,FI,Pohjois-Pohjanmaa,minor,,
Punkalaidun,61.116667,23.1,Finland,FI,Pirkanmaa,minor,,
Uurainen,62.5,25.45,Finland,FI,Keski-Suomi,minor,,
Pyhäjoki,64.466667,24.233333,Finland,FI,Pohjois-Pohjanmaa,minor,,
Köyliö,61.116667,22.35,Finland,FI,Satakunta,minor,,
Kittilä,67.666667,24.9,Finland,FI,Lappi,minor,,
Bennäs,63.6,22.8,Finland,FI,Pohjanmaa,minor,,
Simo,65.666667,25.05,Finland,FI,Lappi,minor,,
Huittinen,61.183333,22.7,Finland,FI,Satakunta,minor,,
Ruovesi,61.983333,24.083333,Finland,FI,Pirkanmaa,minor,,
Keitele,63.183333,26.366667,Finland,FI,Pohjois-Savo,minor,,
Dalsbruk,60.033333,22.516667,Finland,FI,Varsinais-Suomi,minor,,
Loppi,60.716667,24.45,Finland,FI,Kanta-Häme,minor,,
