city,lat,lng,country,iso2,admin,capital,population,population_proper
London,51.514248,-0.093145,United Kingdom,GB,,primary,8567000,7421209
Birmingham,52.466667,-1.916667,United Kingdom,GB,Birmingham,admin,2285000,984333
Manchester,53.5,-2.216667,United Kingdom,GB,Manchester,admin,2230000,395515
Leeds,53.8,-1.583333,United Kingdom,GB,Leeds,admin,1529000,455123
Sheffield,53.366667,-1.5,United Kingdom,GB,Sheffield,admin,1292900,552700
Glasgow,55.833333,-4.25,United Kingdom,GB,Glasgow City,admin,1160000,610268
Newcastle upon Tyne,54.988056,-1.619444,United Kingdom,GB,Newcastle upon Tyne,admin,882000,192382
Nottingham,52.966667,-1.166667,United Kingdom,GB,Nottingham,admin,825600,305700
Liverpool,53.416667,-3.0,United Kingdom,GB,Liverpool,admin,811000,468945
Southend-on-Sea,51.533333,0.7,United Kingdom,GB,Southend-on-Sea,admin,618386,173600
Bristol,51.45,-2.583333,United Kingdom,GB,"Bristol, City of",admin,553528,430713
Edinburgh,55.95,-3.2,United Kingdom,GB,"Edinburgh, City of",admin,504966,435791
Brighton,50.833333,-0.15,United Kingdom,GB,Brighton and Hove,,503008,139001
Bradford,53.783333,-1.75,United Kingdom,GB,Bradford,admin,501700,293717
Leicester,52.633333,-1.133333,United Kingdom,GB,Leicester,admin,457983,339239
Sunderland,54.911944,-1.383333,United Kingdom,GB,Sunderland,admin,452934,177965
Belfast,54.6,-5.933333,United Kingdom,GB,Belfast,,450406,274770
Portsmouth,50.766667,-1.083333,United Kingdom,GB,Portsmouth,admin,442252,205100
Bournemouth,50.716667,-1.883333,United Kingdom,GB,Bournemouth,admin,426945,163600
Middlesbrough,54.572778,-1.162778,United Kingdom,GB,Redcar and Cleveland,admin,416042,142707
Coventry,52.416667,-1.55,United Kingdom,GB,Coventry,admin,388271,308313
Southampton,50.9,-1.4,United Kingdom,GB,Southampton,admin,384417,384417
Reading,51.433333,-1.0,United Kingdom,GB,Reading,admin,369804,145700
Sutton on Hull,53.783333,-0.316667,United Kingdom,GB,"Kingston upon Hull, City of",,302296,292501
Blackpool,53.816667,-3.05,United Kingdom,GB,Blackpool,admin,272792,143101
Plymouth,50.396389,-4.138611,United Kingdom,GB,Plymouth,admin,247297,231575
Luton,51.883333,-0.416667,United Kingdom,GB,Luton,admin,235958,193669
Oxford,51.75,-1.25,United Kingdom,GB,Oxfordshire,admin,192796,154566
Norwich,52.633333,1.3,United Kingdom,GB,Norfolk,admin,190756,177636
Old Aberdeen,57.166667,-2.1,United Kingdom,GB,Aberdeen City,,189364,183790
York,53.966667,-1.083333,United Kingdom,GB,York,admin,158947,144202
Dundee,56.5,-2.966667,United Kingdom,GB,Dundee City,admin,151592,150435
