city,lat,lng,country,iso2,admin,capital,population,population_proper
Conakry,9.509167,-13.712222,Guinea,GN,Conakry,primary,1494000,1494000
Guéckédou,8.5625,-10.1325,Guinea,GN,N’Zérékoré,admin,221715,221715
Nzérékoré,7.747222,-8.823889,Guinea,GN,N’Zérékoré,admin,168121,132728
Labé,11.316667,-12.283333,Guinea,GN,Labé,admin,140575,58649
Kindia,10.066667,-12.85,Guinea,GN,Kindia,admin,117062,69960
Boké,10.933333,-14.3,Guinea,GN,Boké,admin,116270,116270
Kankan,10.383333,-9.3,Guinea,GN,Kankan,admin,114009,106906
Mamou,10.383333,-12.083333,Guinea,GN,Mamou,admin,71153,41619
Kissidougou,9.183333,-10.1,Guinea,GN,Faranah,admin,66815,47099
Siguiri,11.416667,-9.166667,Guinea,GN,Kankan,admin,50159,43601
Macenta,8.546111,-9.469444,Guinea,GN,N’Zérékoré,admin,43102,41233
Kamsar,10.666667,-14.6,Guinea,GN,Boké,,34973,34973
Télimélé,10.9,-13.033333,Guinea,GN,Kindia,admin,30311,30311
Tougué,11.45,-11.683333,Guinea,GN,Labé,admin,25531,25531
Fria,10.45,-13.533333,Guinea,GN,Boké,admin,23729,23729
Pita,11.083333,-12.4,Guinea,GN,Mamou,admin,20052,20052
Faranah,10.033333,-10.733333,Guinea,GN,Faranah,admin,19469,9350
Kérouané,9.266667,-9.016667,Guinea,GN,Kankan,admin,15406,7228
Kouroussa,10.65,-9.883333,Guinea,GN,Kankan,admin,14223,14223
Koundara,12.483333,-13.3,Guinea,GN,Boké,admin,13990,13990
Beyla,8.683333,-8.633333,Guinea,GN,N’Zérékoré,admin,13204,13204
Dabola,10.75,-11.116667,Guinea,GN,Faranah,admin,13057,13057
Forécariah,9.430556,-13.088056,Guinea,GN,Kindia,admin,12358,12358
Gaoual,11.75,-13.2,Guinea,GN,Boké,admin,7461,7461
Dalaba,10.7,-12.25,Guinea,GN,Mamou,admin,6349,6349
Dinguiraye,11.3,-10.716667,Guinea,GN,Faranah,admin,6062,6062
Mali,12.079,-12.2982,Guinea,GN,Labé,admin,5479,5479
Yomou,7.560278,-9.265278,Guinea,GN,N’Zérékoré,admin,3614,1601
Boffa,10.166667,-14.033333,Guinea,GN,Boké,admin,2332,2332
Koubia,11.583333,-11.9,Guinea,GN,Labé,admin,,
Coyah,9.705556,-13.376944,Guinea,GN,Kindia,admin,,
Mandiana,10.633333,-8.683333,Guinea,GN,Kankan,admin,,
Lola,7.8,-8.533333,Guinea,GN,N’Zérékoré,admin,,
Lélouma,11.183333,-12.933333,Guinea,GN,Labé,admin,,
Dubréka,9.791111,-13.523333,Guinea,GN,Kindia,admin,,
