city,lat,lng,country,iso2,admin,capital,population,population_proper
Athens,37.983333,23.733333,Greece,GR,Attikí,primary,3242000,729137
Thessaloníki,40.643615,22.930864,Greece,GR,Kentrikí Makedonía,admin,828000,354290
Piraeus,37.961389,23.638889,Greece,GR,Attikí,minor,466065,175697
Pátra,38.244444,21.734444,Greece,GR,Dytikí Elláda,admin,163360,155799
Irákleio,35.338082,25.133029,Greece,GR,Kríti,admin,137154,131654
Lárisa,39.636889,22.417611,Greece,GR,Thessalía,admin,128758,111487
Áno Vólos,39.379361,22.981806,Greece,GR,Thessalía,,110632,84425
Ioánnina,39.664861,20.851889,Greece,GR,Ípeiros,admin,86304,64012
Chaniá,35.511236,24.02921,Greece,GR,Kríti,minor,78728,54565
Agrínio,38.621889,21.409778,Greece,GR,Dytikí Elláda,minor,75233,43525
Chalkída,38.461451,23.602631,Greece,GR,Stereá Elláda,minor,71842,54558
Kalámi,37.062286,22.070569,Greece,GR,Peloponnísos,,71823,51108
Kavála,40.939586,24.406868,Greece,GR,Anatolikí Makedonía kai Thráki,minor,59240,52950
Ródos,36.435564,28.221985,Greece,GR,Notío Aigaío,minor,56969,56128
Sérres,41.084991,23.54757,Greece,GR,Kentrikí Makedonía,minor,55886,45935
Kateríni,40.269557,22.506078,Greece,GR,Kentrikí Makedonía,minor,53293,48408
Alexandroúpoli,40.849949,25.876435,Greece,GR,Anatolikí Makedonía kai Thráki,minor,52979,44444
Xánthi,41.134876,24.887998,Greece,GR,Anatolikí Makedonía kai Thráki,minor,50570,48221
Lamía,38.9,22.433333,Greece,GR,Stereá Elláda,admin,47246,47246
Komotiní,41.119174,25.40535,Greece,GR,Anatolikí Makedonía kai Thráki,admin,45631,45631
Kérkyra,39.620694,19.91975,Greece,GR,Ionía Nísia,admin,38517,27003
Mytilíni,39.11,26.554722,Greece,GR,Voreío Aigaío,admin,29328,28322
Trípoli,37.508889,22.379444,Greece,GR,Peloponnísos,admin,28970,26561
Chíos,38.368621,26.132356,Greece,GR,Voreío Aigaío,minor,26891,23953
Pýrgos,37.672139,21.439306,Greece,GR,Dytikí Elláda,minor,22399,22223
Kos,36.892607,27.287574,Greece,GR,Notío Aigaío,minor,19244,18691
Spárti,37.074459,22.430091,Greece,GR,Peloponnísos,minor,16187,15497
Ermoúpoli,37.45,24.933333,Greece,GR,Notío Aigaío,admin,12260,12260
Siteía,35.208507,26.103024,Greece,GR,Kríti,minor,8833,8707
Polýgyros,40.37704,23.441354,Greece,GR,Kentrikí Makedonía,minor,5258,5258
Megalópoli,37.401421,22.13689,Greece,GR,Peloponnísos,minor,,
Cholargós,38.00095,23.80079,Greece,GR,Attikí,minor,,
Náousa,40.630001,22.068374,Greece,GR,Kentrikí Makedonía,minor,,
Ágios Nikólaos,35.191064,25.715244,Greece,GR,Kríti,minor,,
Agía Kyriakí,39.522639,20.883583,Greece,GR,Ípeiros,minor,,
Póros,37.500076,23.454955,Greece,GR,Attikí,minor,,
Palaió Fáliro,37.930198,23.702602,Greece,GR,Attikí,minor,,
Palaióchora,35.231328,23.681271,Greece,GR,Kríti,minor,,
Melíssia,38.051158,23.836204,Greece,GR,Attikí,minor,,
Agía Marína,37.154351,26.855903,Greece,GR,Notío Aigaío,minor,,
Íos,36.723273,25.28246,Greece,GR,Notío Aigaío,minor,,
Níkiti,40.229439,23.67149,Greece,GR,Kentrikí Makedonía,minor,,
Ílion,38.032332,23.702161,Greece,GR,Attikí,minor,,
Kastrí,34.83453,24.086424,Greece,GR,Kríti,minor,,
Kárystos,38.016833,24.421111,Greece,GR,Stereá Elláda,minor,,
Pezá,35.21806,25.192926,Greece,GR,Kríti,minor,,
Kalamáta,37.035586,22.112982,Greece,GR,Peloponnísos,minor,,
Itháki,38.362583,20.721833,Greece,GR,Ionía Nísia,minor,,
Mandráki,36.61038,27.132234,Greece,GR,Notío Aigaío,minor,,
Asprópyrgos,38.061713,23.589444,Greece,GR,Attikí,minor,,
Geráni,35.516772,23.878027,Greece,GR,Kríti,minor,,
Paranésti,41.266801,24.501991,Greece,GR,Anatolikí Makedonía kai Thráki,minor,,
Kálymnos,36.95258,26.980644,Greece,GR,Notío Aigaío,minor,,
Kyparissía,37.250733,21.669551,Greece,GR,Peloponnísos,minor,,
Výronas,37.959554,23.752897,Greece,GR,Attikí,minor,,
Pérama,35.369525,24.703879,Greece,GR,Kríti,minor,,
Pérama,37.966223,23.573917,Greece,GR,Attikí,minor,,
Zográfos,37.975744,23.769113,Greece,GR,Attikí,minor,,
Mílos,36.743605,24.422496,Greece,GR,Notío Aigaío,minor,,
Thérmi,40.547953,23.020184,Greece,GR,Kentrikí Makedonía,minor,,
Áno Kalentíni,39.251528,21.167944,Greece,GR,Ípeiros,minor,,
Alíartos,38.372662,23.101288,Greece,GR,Stereá Elláda,minor,,
Asklipieío,37.5975,23.074736,Greece,GR,Peloponnísos,minor,,
Igoumenítsa,39.503417,20.267278,Greece,GR,Ípeiros,minor,,
Sofádes,39.334365,22.097337,Greece,GR,Thessalía,minor,,
Kastélli,35.208387,25.338395,Greece,GR,Kríti,minor,,
Íasmos,41.127895,25.184382,Greece,GR,Anatolikí Makedonía kai Thráki,minor,,
Spáta,37.962471,23.915008,Greece,GR,Attikí,minor,,
Árgos Orestikó,40.452491,21.259247,Greece,GR,Dytikí Makedonía,minor,,
Argostóli,38.172889,20.490278,Greece,GR,Ionía Nísia,minor,,
Lefkáda,38.830361,20.704417,Greece,GR,Ionía Nísia,minor,,
Néa Smýrni,37.945391,23.714586,Greece,GR,Attikí,minor,,
Mégara,37.995758,23.344661,Greece,GR,Attikí,minor,,
Atalánti,38.653951,22.997011,Greece,GR,Stereá Elláda,minor,,
Alexándreia,40.627594,22.444484,Greece,GR,Kentrikí Makedonía,minor,,
Dáfni,37.950051,23.731164,Greece,GR,Attikí,minor,,
Astakós,38.537498,21.084073,Greece,GR,Dytikí Elláda,minor,,
Tzermiádo,35.199062,25.48892,Greece,GR,Kríti,minor,,
Neméa,37.819764,22.662855,Greece,GR,Peloponnísos,minor,,
Kilkís,40.99302,22.874331,Greece,GR,Kentrikí Makedonía,minor,,
Kalávryta,38.031944,22.110833,Greece,GR,Dytikí Elláda,minor,,
Ierápetra,35.010563,25.739502,Greece,GR,Kríti,minor,,
Ierissós,40.397723,23.877716,Greece,GR,Kentrikí Makedonía,minor,,
Orestiáda,41.506043,26.529641,Greece,GR,Anatolikí Makedonía kai Thráki,minor,,
Kaména Voúrla,38.780599,22.788433,Greece,GR,Stereá Elláda,minor,,
Skýdra,40.767621,22.156474,Greece,GR,Kentrikí Makedonía,minor,,
Árgos,37.635035,22.728503,Greece,GR,Peloponnísos,minor,,
Peristéri,38.009396,23.693942,Greece,GR,Attikí,minor,,
Aigínio,40.499666,22.542147,Greece,GR,Kentrikí Makedonía,minor,,
Maroúsi,38.053661,23.807692,Greece,GR,Attikí,minor,,
