city,lat,lng,country,iso2,admin,capital,population,population_proper
Guatemala,14.633426,-90.516722,Guatemala,GT,Guatemala,minor,1024000,994938
Quetzaltenango,14.834722,-91.518056,Guatemala,GT,Quetzaltenango,admin,575263,224703
San Luis,16.198889,-89.440278,Guatemala,GT,Petén,minor,132470,6776
Escuintla,14.305,-90.785,Guatemala,GT,Escuintla,admin,107638,103165
Huehuetenango,15.319722,-91.470833,Guatemala,GT,Huehuetenango,admin,85992,79426
Chimaltenango,14.661111,-90.819444,Guatemala,GT,Chimaltenango,admin,82370,82370
Totonicapán,14.911667,-91.361111,Guatemala,GT,Totonicapán,admin,69734,69734
Cobán,15.470833,-90.370833,Guatemala,GT,Alta Verapaz,admin,65194,53375
Mazatenango,14.534167,-91.503333,Guatemala,GT,Suchitepéquez,admin,64652,44132
Puerto Barrios,15.727778,-88.594444,Guatemala,GT,Izabal,admin,56605,53150
Jutiapa,14.291667,-89.895833,Guatemala,GT,Jutiapa,admin,50681,34332
Jalapa,14.634722,-89.988889,Guatemala,GT,Jalapa,admin,45834,45834
Sololá,14.772222,-91.183333,Guatemala,GT,Sololá,admin,45373,45373
Chiquimula,14.8,-89.545833,Guatemala,GT,Chiquimula,admin,41521,41521
Salamá,15.102778,-90.318056,Guatemala,GT,Baja Verapaz,admin,40000,40000
Antigua Guatemala,14.561111,-90.734444,Guatemala,GT,Sacatepéquez,admin,39368,39368
Flores,16.921667,-89.895278,Guatemala,GT,Petén,admin,38035,20464
Retalhuleu,14.536111,-91.677778,Guatemala,GT,Retalhuleu,admin,36656,36656
Zacapa,14.972222,-89.530556,Guatemala,GT,Zacapa,admin,36088,36088
San Marcos,14.963889,-91.794444,Guatemala,GT,San Marcos,admin,25088,25088
Santa Cruz del Quiché,15.030556,-91.148889,Guatemala,GT,Quiché,admin,23618,23618
San José,13.916667,-90.816666,Guatemala,GT,Escuintla,minor,18655,9841
Cuilapa,14.276389,-90.298889,Guatemala,GT,Santa Rosa,admin,16484,16484
Lívingston,15.833333,-88.75,Guatemala,GT,Izabal,minor,14350,10255
La Libertad,16.788497,-90.116978,Guatemala,GT,Petén,minor,8646,8523
Quezaltepeque,14.633333,-89.45,Guatemala,GT,Chiquimula,minor,,
Mixco,14.633333,-90.606389,Guatemala,GT,Guatemala,minor,,
Huité,14.933333,-89.716667,Guatemala,GT,Zacapa,minor,,
Huitán,15.049201,-91.639439,Guatemala,GT,Quetzaltenango,minor,,
Magdalena Milpas Altas,14.545278,-90.675278,Guatemala,GT,Sacatepéquez,minor,,
Tecpán Guatemala,14.766944,-90.994167,Guatemala,GT,Chimaltenango,minor,,
Tectitán,15.333333,-92.033333,Guatemala,GT,Huehuetenango,minor,,
San Jorge,14.933333,-89.583333,Guatemala,GT,Zacapa,minor,,
Concepción Las Minas,14.516667,-89.45,Guatemala,GT,Chiquimula,minor,,
