city,lat,lng,country,iso2,admin,capital,population,population_proper
Zagreb,45.8,16.0,Croatia,HR,"Zagreb, Grad",primary,722526,698966
Split,43.513889,16.455833,Croatia,HR,Splitsko-Dalmatinska Županija,admin,214741,176314
Rijeka,45.343056,14.409167,Croatia,HR,Primorsko-Goranska Županija,admin,170992,141172
Slavonski Brod,45.160278,18.015556,Croatia,HR,Brodsko-Posavska Županija,admin,97718,60742
Osijek,45.551111,18.693889,Croatia,HR,Osječko-Baranjska Županija,admin,95077,88140
Zadar,44.119722,15.242222,Croatia,HR,Zadarska Županija,admin,71258,47145
Pula,44.868333,13.848056,Croatia,HR,Istarska Županija,minor,61599,59078
Karlovac,45.491667,15.55,Croatia,HR,Karlovačka Županija,,55063,48123
Šibenik,43.727222,15.905833,Croatia,HR,Šibensko-Kninska Županija,admin,37112,37112
Dubrovnik,42.650556,18.091389,Croatia,HR,Dubrovačko-Neretvanska Županija,admin,36994,28428
Luka,45.966667,15.816667,Croatia,HR,Zagrebačka Županija,minor,,
Lukač,45.8725,17.419444,Croatia,HR,Virovitičko-Podravska Županija,minor,,
Bol,43.261944,16.655,Croatia,HR,Splitsko-Dalmatinska Županija,minor,,
Popovac,45.809167,18.658333,Croatia,HR,Osječko-Baranjska Županija,minor,,
Zrinski Topolovac,46.02802,16.759169,Croatia,HR,Koprivničko-Križevačka Županija,minor,,
Slano,42.786111,17.891944,Croatia,HR,Dubrovačko-Neretvanska Županija,minor,,
Garčin,45.182778,18.183056,Croatia,HR,Brodsko-Posavska Županija,minor,,
Jakšić,45.358056,17.763889,Croatia,HR,Požeško-Slavonska Županija,minor,,
Podbablje,43.397222,17.191667,Croatia,HR,Splitsko-Dalmatinska Županija,minor,,
Klakar,45.098611,18.132222,Croatia,HR,Brodsko-Posavska Županija,minor,,
Biograd na Moru,43.943333,15.451944,Croatia,HR,Zadarska Županija,minor,,
Vis,43.061944,16.183056,Croatia,HR,Splitsko-Dalmatinska Županija,minor,,
Krašić,45.655833,15.517778,Croatia,HR,Zagrebačka Županija,minor,,
Delnice,45.400833,14.799722,Croatia,HR,Primorsko-Goranska Županija,minor,,
Rovišće,45.944722,16.735,Croatia,HR,Bjelovarsko-Bilogorska Županija,minor,,
Rovinj,45.08,13.64,Croatia,HR,Istarska Županija,minor,,
Labin,45.095,14.119722,Croatia,HR,Istarska Županija,minor,,
Bilice,43.775278,15.918056,Croatia,HR,Šibensko-Kninska Županija,minor,,
Mikleuš,45.618611,17.803889,Croatia,HR,Virovitičko-Podravska Županija,minor,,
Ogulin,45.266111,15.228611,Croatia,HR,Karlovačka Županija,minor,,
Žumberak,45.75,15.433333,Croatia,HR,Zagrebačka Županija,minor,,
Solin,43.53711,16.477485,Croatia,HR,Splitsko-Dalmatinska Županija,minor,,
Čepin,45.523611,18.563333,Croatia,HR,Osječko-Baranjska Županija,minor,,
Kukljica,44.034722,15.245556,Croatia,HR,Zadarska Županija,minor,,
Babino Polje,42.733333,17.561944,Croatia,HR,Dubrovačko-Neretvanska Županija,minor,,
Povljana,44.346667,15.115556,Croatia,HR,Zadarska Županija,minor,,
Kaštelir,45.303333,13.685278,Croatia,HR,Istarska Županija,minor,,
Rešetari,45.256389,17.463056,Croatia,HR,Brodsko-Posavska Županija,minor,,
Lasinja,45.533333,15.866667,Croatia,HR,Zagrebačka Županija,minor,,
Galovac,44.071389,15.393333,Croatia,HR,Zadarska Županija,minor,,
Šodolovci,45.4,18.620278,Croatia,HR,Osječko-Baranjska Županija,minor,,
Kalinovac,46.029444,17.115556,Croatia,HR,Koprivničko-Križevačka Županija,minor,,
Pribislavec,46.3925,16.4825,Croatia,HR,Međimurska Županija,minor,,
Jagodnjak,45.699167,18.576944,Croatia,HR,Osječko-Baranjska Županija,minor,,
Podgorač,45.458611,18.222778,Croatia,HR,Osječko-Baranjska Županija,minor,,
Orehovica,46.331667,16.506944,Croatia,HR,Međimurska Županija,minor,,
Donji Andrijevci,45.188333,18.299722,Croatia,HR,Brodsko-Posavska Županija,minor,,
Dugopolje,43.580556,16.602778,Croatia,HR,Splitsko-Dalmatinska Županija,minor,,
Prelog,46.335,16.615556,Croatia,HR,Međimurska Županija,minor,,
Donja Stubica,45.983333,15.966667,Croatia,HR,Krapinsko-Zagorska Županija,minor,,
Vir,44.303056,15.085278,Croatia,HR,Zadarska Županija,minor,,
Petrinja,45.4375,16.29,Croatia,HR,Sisačko-Moslavačka Županija,minor,,
Gračac,44.300556,15.854722,Croatia,HR,Zadarska Županija,minor,,
Pakrac,45.436389,17.188889,Croatia,HR,Požeško-Slavonska Županija,minor,,
Oklaj,43.950556,16.082222,Croatia,HR,Šibensko-Kninska Županija,minor,,
Vojnić,45.323611,15.698611,Croatia,HR,Karlovačka Županija,minor,,
Krnjak,45.333333,15.6,Croatia,HR,Karlovačka Županija,minor,,
Hercegovac,45.658611,17.013611,Croatia,HR,Bjelovarsko-Bilogorska Županija,minor,,
Saborsko,44.983333,15.478056,Croatia,HR,Karlovačka Županija,minor,,
Pregrada,46.164167,15.750833,Croatia,HR,Krapinsko-Zagorska Županija,minor,,
Otok,45.146667,18.883889,Croatia,HR,Vukovarsko-Srijemska Županija,minor,,
Sveti Martin na Muri,46.526944,16.375,Croatia,HR,Međimurska Županija,minor,,
Brestovac,45.330556,17.596944,Croatia,HR,Požeško-Slavonska Županija,minor,,
Žminj,45.142778,13.908889,Croatia,HR,Istarska Županija,minor,,
Komiža,43.043056,16.093056,Croatia,HR,Splitsko-Dalmatinska Županija,minor,,
Prgomet,43.616667,16.233333,Croatia,HR,Splitsko-Dalmatinska Županija,minor,,
Sućuraj,43.125278,17.186111,Croatia,HR,Splitsko-Dalmatinska Županija,minor,,
Nova Kapela,45.198889,17.639167,Croatia,HR,Brodsko-Posavska Županija,minor,,
Vrlika,43.9125,16.398889,Croatia,HR,Splitsko-Dalmatinska Županija,minor,,
Podcrkavlje,45.223889,18.01,Croatia,HR,Brodsko-Posavska Županija,minor,,
Klana,45.446944,14.376944,Croatia,HR,Primorsko-Goranska Županija,minor,,
Antunovac,45.490833,18.675,Croatia,HR,Osječko-Baranjska Županija,minor,,
Novalja,44.557778,14.886667,Croatia,HR,Ličko-Senjska Županija,minor,,
Topusko,45.293056,15.972222,Croatia,HR,Sisačko-Moslavačka Županija,minor,,
Mali Bukovec,46.283056,16.739167,Croatia,HR,Varaždinska Županija,minor,,
Brinje,45.0025,15.133889,Croatia,HR,Ličko-Senjska Županija,minor,,
Vodice,43.760833,15.782778,Croatia,HR,Šibensko-Kninska Županija,minor,,
Otrić-Seoci,43.158611,17.450833,Croatia,HR,Dubrovačko-Neretvanska Županija,minor,,
Ploče,43.056111,17.432778,Croatia,HR,Dubrovačko-Neretvanska Županija,minor,,
