city,lat,lng,country,iso2,admin,capital,population,population_proper
Budapest,47.5,19.083333,Hungary,HU,Budapest,primary,1679000,1679000
Miskolc,48.1,20.783333,Hungary,HU,Miskolc,admin,247757,172637
Debrecen,47.533333,21.633333,Hungary,HU,Debrecen,admin,231286,204124
Szeged,46.25,20.166667,Hungary,HU,Szeged,admin,187765,164883
Pécs,46.075363,18.232845,Hungary,HU,Pécs,admin,186262,156649
Nyíregyháza,47.95,21.716667,Hungary,HU,Szabolcs-Szatmár-Bereg,admin,176880,116298
Székesfehérvár,47.195503,18.4096,Hungary,HU,Fejér,admin,144319,101600
Győr,47.687281,17.637616,Hungary,HU,Győr,admin,136081,128265
Kecskemét,46.9,19.783333,Hungary,HU,Bács-Kiskun,admin,113895,109847
Szombathely,47.233333,16.616667,Hungary,HU,Vas,admin,109518,79534
Szolnok,47.183333,20.2,Hungary,HU,Jász-Nagykun-Szolnok,admin,109261,75474
Kaposvár,46.366667,17.8,Hungary,HU,Somogy,admin,108528,67746
Horváttanya,47.55,18.433333,Hungary,HU,Komárom-Esztergom,,70541,70541
Békéscsaba,46.683333,21.1,Hungary,HU,Békés,admin,65206,65206
Veszprém,47.094289,17.911956,Hungary,HU,Veszprém,admin,62023,62023
Zalaegerszeg,46.84,16.843889,Hungary,HU,Zala,admin,61898,61898
Eger,47.9,20.383333,Hungary,HU,Heves,admin,56647,56647
Salgótarján,48.103363,19.805237,Hungary,HU,Nógrád,admin,39640,39640
Vác,47.780715,19.131006,Hungary,HU,Pest,minor,35293,35108
Szekszárd,46.350137,18.709051,Hungary,HU,Tolna,admin,34174,34174
Szeghalom,47.033333,21.166667,Hungary,HU,Békés,minor,,
Nagyatád,46.228066,17.360968,Hungary,HU,Somogy,minor,,
Sarkad,46.75,21.383333,Hungary,HU,Békés,minor,,
Kemecse,48.075319,21.806253,Hungary,HU,Szabolcs-Szatmár-Bereg,minor,,
Edelény,48.3,20.733333,Hungary,HU,Borsod-Abaúj-Zemplén,minor,,
Jánoshalma,46.298611,19.325833,Hungary,HU,Bács-Kiskun,minor,,
Tolna,46.426765,18.782476,Hungary,HU,Tolna,minor,,
Pilisvörösvár,47.617785,18.911081,Hungary,HU,Pest,minor,,
Sásd,46.255197,18.107757,Hungary,HU,Baranya,minor,,
Dombóvár,46.376568,18.136962,Hungary,HU,Tolna,minor,,
Tokaj,48.116667,21.416667,Hungary,HU,Borsod-Abaúj-Zemplén,minor,,
Bélapátfalva,48.05,20.366667,Hungary,HU,Heves,minor,,
Tiszakécske,46.932615,20.103487,Hungary,HU,Bács-Kiskun,minor,,
Fehérgyarmat,47.983333,22.516667,Hungary,HU,Szabolcs-Szatmár-Bereg,minor,,
Barcs,45.96,17.458611,Hungary,HU,Somogy,minor,,
Békés,46.766667,21.133333,Hungary,HU,Békés,minor,,
Bicske,47.484189,18.644038,Hungary,HU,Fejér,minor,,
Csenger,47.835822,22.680956,Hungary,HU,Szabolcs-Szatmár-Bereg,minor,,
Nyíradony,47.697457,21.918782,Hungary,HU,Hajdú-Bihar,minor,,
