city,lat,lng,country,iso2,admin,capital,population,population_proper
Jakarta Pusat,-6.1818,106.8223,Indonesia,ID,Jakarta,,9125000,8540121
Surabaya,-7.249167,112.750833,Indonesia,ID,Jawa Timur,admin,2845000,2374658
Tanjung,-6.929722,107.585556,Indonesia,ID,Jawa Barat,,2394000,1699719
Bekasijaya,-6.230833,107.013611,Indonesia,ID,Jawa Barat,,2378211,1520119
Merdeka,3.5704,98.6593,Indonesia,ID,Sumatera Utara,,2115000,1750971
Palembang,-2.976389,104.75,Indonesia,ID,Sumatera Selatan,admin,1749000,1441500
Semarangindah,-6.974,110.3909,Indonesia,ID,Jawa Tengah,,1396000,1288084
Ujungtanah,-5.1146,119.4245,Indonesia,ID,Sulawesi Selatan,,1262000,1262000
Cilacap,-7.726389,109.009444,Indonesia,ID,Jawa Tengah,minor,1174964,1174964
Bogor,-6.594444,106.789167,Indonesia,ID,Jawa Barat,,918000,800000
Tanjung Gintung,-5.429414,105.275335,Indonesia,ID,Lampung,,881801,881801
Bandar Lampung,-5.429167,105.261111,Indonesia,ID,Lampung,admin,865000,726514
Pampangan,-0.979077,100.382191,Indonesia,ID,Sumatera Barat,,855000,840352
Gadang,-8.0123,112.6283,Indonesia,ID,Jawa Timur,minor,805000,746716
Pekanbaru,0.516667,101.441667,Indonesia,ID,Riau,admin,799000,611436
Wanasari,-8.6429,115.2145,Indonesia,ID,Bali,,732344,405923
Yogyakarta,-7.801389,110.364722,Indonesia,ID,Yogyakarta,admin,636660,636660
Palu,-0.908333,119.870833,Indonesia,ID,Sulawesi Tengah,admin,612445,335297
Pontianak Barat,-0.018941,109.318679,Indonesia,ID,Kalimantan Barat,minor,607311,550304
Banjarmasin,-3.323611,114.588889,Indonesia,ID,Kalimantan Selatan,admin,603576,572837
Samarinda,-0.491667,117.145833,Indonesia,ID,Kalimantan Timur,admin,592228,355160
Pekan Binjai,3.6084,98.489,Indonesia,ID,Sumatera Utara,,564979,246010
Surakarta,-7.556111,110.831667,Indonesia,ID,Jawa Tengah,,555308,555308
Lampaseh Aceh,5.558,95.3102,Indonesia,ID,Aceh,,513698,174433
Bukittinggi,-0.309068,100.370552,Indonesia,ID,Sumatera Barat,,506964,98746
Pasuruan,-7.6453,112.9075,Indonesia,ID,Jawa Timur,,500000,186322
Mataram Timur,-8.5931,116.1055,Indonesia,ID,Nusa Tenggara Barat,,499409,318674
Jambi,-1.620152,103.611373,Indonesia,ID,Jambi,admin,457090,420323
Manado Light,1.485833,124.834722,Indonesia,ID,Sulawesi Utara,,451893,447102
Balikpapan Baru,-1.2437,116.8674,Indonesia,ID,Kalimantan Timur,,445905,433866
Bengkulu,-3.8125,102.2875,Indonesia,ID,Bengkulu,admin,426673,309712
Gorontalo,0.5375,123.0625,Indonesia,ID,Gorontalo,admin,365497,144195
Ambon,-3.695833,128.183333,Indonesia,ID,Maluku,admin,355596,99526
Pematangsiantar,2.9595,99.0687,Indonesia,ID,Sumatera Utara,,341200,209614
Jumerto,-8.1379,113.6881,Indonesia,ID,Jawa Timur,minor,298585,298585
Kupang,-10.170833,123.606944,Indonesia,ID,Nusa Tenggara Timur,admin,282396,259200
Sukabumi,-6.918056,106.926667,Indonesia,ID,Jawa Barat,,276414,276414
Majene,-3.5403,118.9707,Indonesia,ID,Sulawesi Barat,minor,272377,37715
Pencongan,-6.885244,109.634114,Indonesia,ID,Jawa Tengah,,272000,257945
Tasikmalaya,-7.3274,108.2207,Indonesia,ID,Jawa Barat,,271143,271143
Kampung Tebingtinggi,3.322,99.1688,Indonesia,ID,Sumatera Utara,,268043,117530
Padangmatinggi,1.3673,99.2527,Indonesia,ID,Sumatera Utara,,266882,100561
Kacirebonan,-6.7252,108.5678,Indonesia,ID,Jawa Barat,,254298,254298
Singkawang,0.909252,108.984633,Indonesia,ID,Kalimantan Barat,,248012,101838
Tegal,-6.8694,109.1402,Indonesia,ID,Jawa Tengah,,237084,237084
Kediri,-7.816667,112.016667,Indonesia,ID,Jawa Timur,,235143,235143
Kampungsingaraja,-8.1222,115.0866,Indonesia,ID,Bali,,234468,133784
Tanjungpinang,0.916667,104.458333,Indonesia,ID,Kepulauan Riau,admin,226666,125472
Sibolga,1.7427,98.7792,Indonesia,ID,Sumatera Utara,,217312,79714
Martapura,-3.4109,114.8642,Indonesia,ID,Kalimantan Selatan,minor,198239,131449
Tarakan,3.313319,117.59152,Indonesia,ID,Kalimantan Utara,,193069,97478
Ternate,0.790647,127.384243,Indonesia,ID,Maluku Utara,,187521,101731
Gading,-7.6257,111.5049,Indonesia,ID,Jawa Timur,,186099,186099
Pinrang,-3.786111,119.652222,Indonesia,ID,Sulawesi Selatan,minor,182731,182731
Probolinggo,-7.7543,113.2159,Indonesia,ID,Jawa Timur,,181656,181656
Salatigapermai,-7.296111,110.471944,Indonesia,ID,Jawa Tengah,,176000,172645
Banyuwangi,-8.2215,114.3646,Indonesia,ID,Jawa Timur,minor,172424,108166
Jayapura,-2.534722,140.705556,Indonesia,ID,Papua,admin,169341,134895
Kendari,-3.975,122.516667,Indonesia,ID,Sulawesi Tenggara,admin,165377,165377
Secang,-6.1127,106.1697,Indonesia,ID,Banten,,164767,164767
Palangkaraya,-2.208333,113.916667,Indonesia,ID,Kalimantan Tengah,admin,148289,148289
Kota Lhokseumawe,5.1771,97.1423,Indonesia,ID,Aceh,,140322,88974
Blitar,-8.0983,112.1681,Indonesia,ID,Jawa Timur,,132416,132416
Pangkalpinang,-2.120833,106.1125,Indonesia,ID,Kepulauan Bangka Belitung,admin,125933,73638
Sorong,-0.877295,131.287507,Indonesia,ID,Papua Barat,,125535,125535
Indramayu,-6.326389,108.32,Indonesia,ID,Jawa Barat,minor,123263,123263
Pati,-6.7559,111.038,Indonesia,ID,Jawa Tengah,minor,122785,122785
Mojokasri,-7.466667,112.4,Indonesia,ID,,,112557,112557
Magelang,-7.470556,110.217778,Indonesia,ID,Jawa Tengah,,111461,111461
Sabali,-8.4799,118.7727,Indonesia,ID,Nusa Tenggara Barat,,106101,106101
Maumere,-8.6199,122.2111,Indonesia,ID,Nusa Tenggara Timur,minor,104285,47598
Barias,-1.181436,136.079614,Indonesia,ID,Papua,,103610,103610
Prabumulih,-3.434472,104.230558,Indonesia,ID,Sumatera Selatan,minor,103470,64038
Bontangkuala,0.1397,117.5141,Indonesia,ID,Kalimantan Timur,,101691,101691
Sungai Penuh,-2.0561,101.3913,Indonesia,ID,Jambi,,95913,17633
Sampit,-2.5315,112.9496,Indonesia,ID,Kalimantan Tengah,minor,92710,66053
Parepare,-4.0135,119.6255,Indonesia,ID,Sulawesi Selatan,,87776,87776
Sumenep,-7.016667,113.866667,Indonesia,ID,Jawa Timur,minor,84656,84656
Watampone,-4.5386,120.3279,Indonesia,ID,Sulawesi Selatan,minor,81629,36277
Ende,-8.8432,121.6623,Indonesia,ID,Nusa Tenggara Timur,minor,77205,44655
Tuban,-6.8976,112.0649,Indonesia,ID,Jawa Timur,minor,76242,76242
Manokwari,-0.861111,134.0625,Indonesia,ID,Papua Barat,admin,74504,53190
Lahat-ulu,-3.798398,103.52827,Indonesia,ID,Sumatera Selatan,,65906,35033
Tanjungpandan,-2.733741,107.646564,Indonesia,ID,Kepulauan Bangka Belitung,minor,62374,60808
Redong,-8.5967,120.4526,Indonesia,ID,Nusa Tenggara Timur,,53976,34569
Sawahlunto,-0.674834,100.807152,Indonesia,ID,Sumatera Barat,,50354,50354
Wunga,-9.667,120.2627,Indonesia,ID,Nusa Tenggara Timur,,48828,23153
Luwuk,-0.9516,122.7875,Indonesia,ID,Sulawesi Tengah,minor,47778,39323
Amahai,-3.3342,128.9243,Indonesia,ID,Maluku,minor,47653,4692
Poso,-1.3959,120.7524,Indonesia,ID,Sulawesi Tengah,minor,47110,35904
Padangpanjang,-0.456023,100.405209,Indonesia,ID,Sumatera Barat,,44096,44096
Nabire,-3.367,135.4964,Indonesia,ID,Papua,minor,43898,13771
Kotaalam,-4.834615,104.872557,Indonesia,ID,Lampung,,42366,42366
Bayan,-8.6893,116.269,Indonesia,ID,Nusa Tenggara Barat,,35183,35183
Merauke,-8.489108,140.385363,Indonesia,ID,Papua,minor,34412,34412
Baubau,-5.4633,122.6024,Indonesia,ID,Sulawesi Tenggara,,24412,24412
Makale,-3.1019,119.8539,Indonesia,ID,Sulawesi Selatan,minor,9960,9960
