city,lat,lng,country,iso2,admin,capital,population,population_proper
Mumbai,18.987807,72.836447,India,IN,Mahārāshtra,admin,18978000,12691836
Delhi,28.651952,77.231495,India,IN,Delhi,admin,15926000,7633213
Kolkata,22.562627,88.363044,India,IN,West Bengal,admin,14787000,4631392
Chennai,13.084622,80.248357,India,IN,Tamil Nādu ,admin,7163000,4328063
Bengalūru,12.977063,77.587106,India,IN,Karnātaka,admin,6787000,5104047
Hyderabad,17.384052,78.456355,India,IN,Andhra Pradesh,admin,6376000,3597816
Ahmadābād,23.025793,72.587265,India,IN,Gujarāt,minor,5375000,3719710
Hāora,22.576882,88.318566,India,IN,West Bengal,,4841638,1027672
Pune,18.513271,73.849852,India,IN,Mahārāshtra,,4672000,2935744
Sūrat,21.195944,72.830232,India,IN,Gujarāt,,3842000,2894504
Mardānpur,26.430066,80.267176,India,IN,Uttar Pradesh,,3162000,2823249
Rāmpura,26.884682,75.789336,India,IN,Rājasthān,,2917000,2711758
Lucknow,26.839281,80.923133,India,IN,Uttar Pradesh,admin,2695000,2472011
Nāra,21.203096,79.089284,India,IN,Mahārāshtra,,2454000,2228018
Patna,25.615379,85.101027,India,IN,Bihār,admin,2158000,1599920
Indore,22.717736,75.85859,India,IN,Madhya Pradesh,,2026000,1837041
Vadodara,22.299405,73.208119,India,IN,Gujarāt,,1756000,1409476
Bhopal,23.254688,77.402892,India,IN,Madhya Pradesh,admin,1727000,1599914
Coimbatore,11.005547,76.966122,India,IN,Tamil Nādu ,,1696000,959823
Ludhiāna,30.912042,75.853789,India,IN,Punjab,,1649000,1545368
Āgra,27.187935,78.003944,India,IN,Uttar Pradesh,,1592000,1430055
Kalyān,19.243703,73.135537,India,IN,Mahārāshtra,,1576614,1576614
Vishākhapatnam,17.704052,83.297663,India,IN,Andhra Pradesh,,1529000,1063178
Kochi,9.947743,76.253802,India,IN,Kerala,,1519000,604696
Nāsik,19.999963,73.776887,India,IN,Mahārāshtra,,1473000,1289497
Meerut,28.980018,77.706356,India,IN,Uttar Pradesh,,1398000,1223184
Farīdābād,28.411236,77.313162,India,IN,Haryāna,,1394000,1394000
Vārānasi,25.31774,83.005811,India,IN,Uttar Pradesh,,1352000,1164404
Ghāziābād,28.665353,77.439148,India,IN,Uttar Pradesh,,1341000,1199191
Āsansol,23.683333,86.983333,India,IN,West Bengal,,1328000,1328000
Jamshedpur,22.802776,86.185448,India,IN,Jharkhand,,1300000,616338
Madurai,9.917347,78.119622,India,IN,Tamil Nādu ,,1294000,909908
Jabalpur,23.174495,79.935903,India,IN,Madhya Pradesh,,1285000,1030168
Rājkot,22.291606,70.793217,India,IN,Gujarāt,,1260000,1099882
Dhanbād,23.801988,86.443244,India,IN,Jharkhand,,1246000,219636
Amritsar,31.622337,74.875335,India,IN,Punjab,,1212000,1092450
Warangal,17.978423,79.600209,India,IN,Andhra Pradesh,,1203853,865527
Allahābād,25.44478,81.843217,India,IN,Uttar Pradesh,,1201000,1073438
Srīnagar,34.085652,74.805553,India,IN,Jammu and Kashmīr,admin,1140000,975857
Aurangābād,19.880943,75.346739,India,IN,Mahārāshtra,,1113000,1016441
Bhilai,21.209188,81.428497,India,IN,Chhattīsgarh,,1097000,1097000
Solāpur,17.671523,75.910437,India,IN,Mahārāshtra,,1057000,961112
Ranchi,23.347768,85.338564,India,IN,Jharkhand,admin,1044000,846454
Jodhpur,26.26841,73.005943,India,IN,Rājasthān,,995000,921476
Guwāhāti,26.176076,91.762932,India,IN,Assam,,983000,17516
Chandigarh,30.736292,76.788398,India,IN,Chandīgarh,admin,979000,914371
Gwalior,26.229825,78.173369,India,IN,Madhya Pradesh,,978000,882458
Thiruvananthapuram,8.485498,76.949238,India,IN,Kerala,admin,954000,784153
Tiruchchirāppalli,10.815499,78.696513,India,IN,Tamil Nādu ,,951000,775484
Hubli,15.349955,75.138619,India,IN,Karnātaka,,890000,792804
Mysore,12.292664,76.638543,India,IN,Karnātaka,,887000,868313
Raipur,21.233333,81.633333,India,IN,Chhattīsgarh,admin,875000,679995
Salem,11.651165,78.158672,India,IN,Tamil Nādu ,,873000,778396
Bhubaneshwar,20.272411,85.833853,India,IN,Odisha,admin,844000,762243
Kota,25.182544,75.839065,India,IN,Rājasthān,,827000,763088
Jhānsi,25.458872,78.579943,India,IN,Uttar Pradesh,,826494,412927
Bareilly,28.347023,79.421934,India,IN,Uttar Pradesh,,817000,745435
Alīgarh,27.881453,78.07464,India,IN,Uttar Pradesh,,805000,753207
Bhiwandi,19.300229,73.058813,India,IN,Mahārāshtra,,795000,707035
Jammu,32.735686,74.869112,India,IN,Jammu and Kashmīr,,791000,465567
Morādābād,28.838931,78.776838,India,IN,Uttar Pradesh,,787000,721139
Mangalore,12.865371,74.842432,India,IN,Karnātaka,,776632,417387
Kolhāpur,16.695633,74.231669,India,IN,Mahārāshtra,,750000,561841
Amrāvati,20.933272,77.75152,India,IN,Mahārāshtra,,734451,603837
Dehra Dūn,30.324427,78.033922,India,IN,Uttarakhand,admin,714223,578420
Mālegaon Camp,20.569974,74.515415,India,IN,Mahārāshtra,,690844,435362
Nellore,14.449918,79.986967,India,IN,Andhra Pradesh,,678004,404158
Gopālpur,26.735389,83.38064,India,IN,Uttar Pradesh,,674246,674246
Shimoga,13.932424,75.572555,India,IN,Karnātaka,,654055,319550
Tiruppūr,11.104096,77.346402,India,IN,Tamil Nādu ,,650000,444543
Raurkela,22.224964,84.864143,India,IN,Odisha,,625831,483629
Nānded,19.160227,77.314971,India,IN,Mahārāshtra,,623708,550564
Belgaum,15.862643,74.508534,India,IN,Karnātaka,,608756,610189
Sāngli,16.856777,74.569196,India,IN,Mahārāshtra,,601214,601214
Chānda,19.950758,79.295229,India,IN,Mahārāshtra,,595118,328351
Ajmer,26.452103,74.638667,India,IN,Rājasthān,,589985,517911
Cuttack,20.522922,85.78813,India,IN,Odisha,,580000,580000
Bīkaner,28.017623,73.314955,India,IN,Rājasthān,,576015,395908
Bhāvnagar,21.774455,72.152496,India,IN,Gujarāt,,554978,464602
Hisar,29.153938,75.722944,India,IN,Haryāna,,544829,301249
Bilāspur,22.080046,82.155431,India,IN,Chhattīsgarh,,543454,330106
Tirunelveli,8.725181,77.684519,India,IN,Tamil Nādu ,,542200,435844
Guntūr,16.299737,80.457293,India,IN,Andhra Pradesh,,530577,530577
Shiliguri,26.710035,88.428512,India,IN,West Bengal,,515574,515574
Ujjain,23.182387,75.776433,India,IN,Madhya Pradesh,,513350,457346
