city,lat,lng,country,iso2,admin,capital,population,population_proper
Amman,31.95,35.933333,Jordan,JO,Al ‘Āşimah,primary,1060000,1060000
Az Zarqā’,32.072754,36.08796,Jordan,JO,Az Zarqā’,admin,894691,792665
Irbid,32.555556,35.85,Jordan,JO,Irbid,admin,650000,292040
As Salţ,32.039167,35.727222,Jordan,JO,Al Balqā’,admin,140689,80189
Al Karak,31.184722,35.704722,Jordan,JO,Al Karak,admin,80062,21678
Al Mafraq,32.342891,36.208045,Jordan,JO,Al Mafraq,admin,57118,57118
Ma‘ān,30.196235,35.734052,Jordan,JO,Ma‘ān,admin,50350,50350
Aţ Ţafīlah,30.837518,35.604425,Jordan,JO,Aţ Ţafīlah,admin,25429,25429
Ar Ruwayshid,32.501521,38.204047,Jordan,JO,Al Mafraq,minor,,
Ar Ruşayfah,32.017272,36.032708,Jordan,JO,Az Zarqā’,minor,,
Al Jīzah,31.698933,35.9553,Jordan,JO,Al ‘Āşimah,minor,,
Al Jubayhah,32.010707,35.898015,Jordan,JO,Al ‘Āşimah,minor,,
Al Quwayrah,29.803036,35.311953,Jordan,JO,Al ‘Aqabah,minor,,
Yarqā,31.975829,35.696385,Jordan,JO,Al Balqā’,minor,,
Al Qaşr,31.314068,35.743934,Jordan,JO,Al Karak,minor,,
Ar Rīshah,30.224349,35.216709,Jordan,JO,Al ‘Aqabah,minor,,
Al Mughayyir,31.406336,35.770829,Jordan,JO,Al Karak,minor,,
‘Ajlūn,32.333265,35.752794,Jordan,JO,‘Ajlūn,admin,,
Al Juwayyidah,31.887317,35.932119,Jordan,JO,Al ‘Āşimah,minor,,
Bal‘amā,32.236491,36.088107,Jordan,JO,Al Mafraq,minor,,
Ad Dīsah,29.652845,35.511233,Jordan,JO,Al ‘Aqabah,minor,,
Al Murayghah,30.095259,35.523136,Jordan,JO,Ma‘ān,minor,,
Ma’dabā,31.715993,35.793919,Jordan,JO,Ma’dabā,admin,,
Ash Shūnah al Janūbīyah,31.891497,35.617799,Jordan,JO,Al Balqā’,minor,,
Aţ Ţayyibah,32.543876,35.718602,Jordan,JO,Irbid,minor,,
Mārkā,31.98634,35.996517,Jordan,JO,Al ‘Āşimah,minor,,
‘Ayn al Bāshā,32.057257,35.831086,Jordan,JO,Al Balqā’,minor,,
Muthallath Şabḩā,32.260106,36.467805,Jordan,JO,Al Mafraq,minor,,
Al Ḩasā,30.821306,35.974995,Jordan,JO,Aţ Ţafīlah,minor,,
Al Hāshimīyah,32.12901,36.121296,Jordan,JO,Az Zarqā’,minor,,
Ḩisbān,31.798195,35.809861,Jordan,JO,Al ‘Āşimah,minor,,
Juraynah,31.760005,35.794662,Jordan,JO,Ma’dabā,minor,,
Adhruḩ,30.3307,35.596588,Jordan,JO,Ma‘ān,minor,,
Saḩāb,31.870315,36.004789,Jordan,JO,Al ‘Āşimah,minor,,
Mulayḩ,31.585167,35.807161,Jordan,JO,Ma’dabā,minor,,
Al Ḩişn,32.482678,35.884661,Jordan,JO,Irbid,minor,,
Al Maşţabah,32.184342,35.855881,Jordan,JO,Jarash,minor,,
‘Irjān,32.395123,35.732767,Jordan,JO,‘Ajlūn,minor,,
Samā as Sirḩān,32.468588,36.243635,Jordan,JO,Al Mafraq,minor,,
Al Muwaqqar,31.816652,36.110356,Jordan,JO,Al ‘Āşimah,minor,,
Irḩāb,32.323407,36.09087,Jordan,JO,Al Mafraq,minor,,
Ḩawshā,32.45144,36.099031,Jordan,JO,Al Mafraq,minor,,
Al Khālidīyah,32.178997,36.303256,Jordan,JO,Al Mafraq,minor,,
Muthallath Jāmi‘at Āl al Bayt,32.345919,36.233521,Jordan,JO,Al Mafraq,minor,,
Muthallath al Azraq,31.832694,36.814874,Jordan,JO,Az Zarqā’,minor,,
Kafr Asad,32.593412,35.713681,Jordan,JO,Irbid,minor,,
Al Fuḩayş,32.00468,35.78088,Jordan,JO,Al Balqā’,minor,,
Ghawr al Mazra‘ah,31.26586,35.516736,Jordan,JO,Al Karak,minor,,
Al Mazār ash Shamālī,32.472284,35.798701,Jordan,JO,Irbid,minor,,
Al Mazār al Janūbī,31.067215,35.694857,Jordan,JO,Al Karak,minor,,
Umm al Qiţţayn,32.314488,36.628264,Jordan,JO,Al Mafraq,minor,,
Dayr ‘Allā,32.195708,35.621613,Jordan,JO,Al Balqā’,minor,,
Dayr Abī Sa‘īd,32.498116,35.685205,Jordan,JO,Irbid,minor,,
Ar Ramthā,32.558727,36.008163,Jordan,JO,Irbid,minor,,
Ash Shawbak,30.521336,35.571355,Jordan,JO,Ma‘ān,minor,,
Fuqū‘,31.368051,35.702196,Jordan,JO,Al Karak,minor,,
Rujm ash Shāmī al Gharbī,31.836929,36.004917,Jordan,JO,Al ‘Āşimah,minor,,
Umm ar Raşāş,31.512246,35.918372,Jordan,JO,Al ‘Āşimah,minor,,
Al Qaţrānah,31.250832,36.049316,Jordan,JO,Al Karak,minor,,
‘Ayy,31.133709,35.643747,Jordan,JO,Al Karak,minor,,
Ash Shūnah ash Shamālīyah,32.620226,35.614509,Jordan,JO,Irbid,minor,,
Al Fayşalīyah,31.749086,35.769216,Jordan,JO,Ma’dabā,minor,,
Kufrinjah,32.297549,35.702118,Jordan,JO,‘Ajlūn,minor,,
Şakhrah,32.370551,35.84327,Jordan,JO,‘Ajlūn,minor,,
‘Allān,32.118154,35.743508,Jordan,JO,Al Balqā’,minor,,
Ghawr aş Şāfī,31.035921,35.488493,Jordan,JO,Al Karak,minor,,
Jarash,32.28082,35.899287,Jordan,JO,Jarash,admin,,
Al Ḩusaynīyah,30.595452,35.79701,Jordan,JO,Ma‘ān,minor,,
Bīrayn,32.099429,35.957833,Jordan,JO,Az Zarqā’,minor,,
Al ‘Abdallī,31.965005,35.908208,Jordan,JO,Al ‘Āşimah,minor,,
Manshīyat Banī Ḩasan,32.370659,36.079331,Jordan,JO,Al Mafraq,minor,,
Nā‘ūr,31.874355,35.824674,Jordan,JO,Al ‘Āşimah,minor,,
Umm al Jimāl,32.328633,36.367876,Jordan,JO,Al Mafraq,minor,,
Mā‘īn,31.680015,35.731996,Jordan,JO,Ma’dabā,minor,,
Şabḩā,32.326958,36.501587,Jordan,JO,Al Mafraq,minor,,
Dayr al Kahf,32.275346,36.839491,Jordan,JO,Al Mafraq,minor,,
Sammā ar Rawsān,32.636691,35.82709,Jordan,JO,Irbid,minor,,
Umm al Basātīn,31.824752,35.875901,Jordan,JO,Al ‘Āşimah,minor,,
Al Ḩusaynīyah,31.026058,35.722943,Jordan,JO,Al Karak,minor,,
Al ‘Arīḑ,31.558386,35.657365,Jordan,JO,Ma’dabā,minor,,
Burmā,32.2193,35.785065,Jordan,JO,Jarash,minor,,
Buşayrā,30.731798,35.609826,Jordan,JO,Aţ Ţafīlah,minor,,
Aş Şubayḩī,32.148444,35.705345,Jordan,JO,Al Balqā’,minor,,
Wādī as Sīr,31.954502,35.818315,Jordan,JO,Al ‘Āşimah,minor,,
Wādī Mūsá,30.320959,35.478949,Jordan,JO,Ma‘ān,minor,,
Dhībān,31.498558,35.783896,Jordan,JO,Ma’dabā,minor,,
Az̧ Z̧ulayl,32.120796,36.280084,Jordan,JO,Az Zarqā’,minor,,
Al Jafr,30.318403,36.177747,Jordan,JO,Ma‘ān,minor,,
Ayl,30.205883,35.536265,Jordan,JO,Ma‘ān,minor,,
Al ‘Aqabah,29.526702,35.007822,Jordan,JO,Al ‘Aqabah,admin,,
