city,lat,lng,country,iso2,admin,capital,population,population_proper
Tokyo,35.685,139.751389,Japan,JP,Tōkyō,primary,35676000,8336599
Ōsaka,34.683333,135.516667,Japan,JP,Ōsaka,admin,11294000,2592413
Yokohama,35.433333,139.65,Japan,JP,Kanagawa,admin,3697894,3697894
Nagoya,35.183333,136.9,Japan,JP,Aichi,admin,3230000,2191279
Fukuoka,33.6,130.416667,Japan,JP,Fukuoka,admin,2792000,1392289
Sapporo,43.066667,141.35,Japan,JP,Hokkaidō,admin,2544000,1861786
Sendai,38.266667,140.866667,Japan,JP,Miyagi,admin,2250000,1037562
Hiroshima,34.4,132.45,Japan,JP,Hiroshima,admin,2045000,1143841
Kyōto,35.016667,135.75,Japan,JP,Kyōto,admin,1805000,1459640
Kōbe,34.683333,135.183333,Japan,JP,Hyōgo,admin,1528478,1528478
Shinkawasaki,35.550193,139.670327,Japan,JP,Kanagawa,,1437266,1306785
Hamamatsu,34.7,137.733333,Japan,JP,Shizuoka,,977023,797462
Zahana,26.166667,127.666667,Japan,JP,Okinawa,,905238,317906
Okayama,34.65,133.933333,Japan,JP,Okayama,admin,866092,639652
Kumamoto,32.783333,130.733333,Japan,JP,Kumamoto,admin,718232,680423
Shizuoka,34.983333,138.383333,Japan,JP,Shizuoka,admin,701561,671332
Utsunomiya,36.566667,139.883333,Japan,JP,Tochigi,admin,667752,449865
Nagano,36.65,138.183333,Japan,JP,Nagano,admin,594311,360176
Hachiōji,35.655833,139.323889,Japan,JP,Tōkyō,,579399,579399
Niigata,37.9,139.0,Japan,JP,Niigata,admin,569797,505272
Kagoshima,31.566667,130.55,Japan,JP,Kagoshima,admin,555352,516833
Kanazawa,36.6,136.616667,Japan,JP,Ishikawa,admin,551249,458937
Ōtsu,35.0,135.866667,Japan,JP,Shiga,admin,536976,338629
Mitsuhama,33.85,132.716667,Japan,JP,Ehime,,533541,516637
Tsu,34.733333,136.516667,Japan,JP,Mie,admin,500000,284969
Ōita,33.233333,131.6,Japan,JP,Ōita,admin,448907,375294
Tokushima,34.066667,134.566667,Japan,JP,Tokushima,admin,443760,267345
Wakayama,34.233333,135.166667,Japan,JP,Wakayama,admin,440006,351000
Nagasaki,32.75,129.883333,Japan,JP,Nagasaki,admin,435455,410204
Gifu,35.433333,136.783333,Japan,JP,Gifu,admin,412895,397714
Iwaki,37.05,140.883333,Japan,JP,Fukushima,,357309,292045
Asahikawa,43.767778,142.370278,Japan,JP,Hokkaidō,,356612,325547
Mito,36.35,140.45,Japan,JP,Ibaraki,admin,353892,246538
Maebashi,36.4,139.083333,Japan,JP,Gunma,admin,344871,282711
Kawagoe,35.908611,139.485278,Japan,JP,Saitama,,337931,337931
Kōchi,33.55,133.533333,Japan,JP,Kōchi,admin,335570,310620
Takamatsu,34.333333,134.05,Japan,JP,Kagawa,admin,334223,325500
Toyama,36.7,137.216667,Japan,JP,Toyama,admin,332812,325532
Miyazaki,31.916667,131.416667,Japan,JP,Miyazaki,admin,324384,311203
Akita,39.716667,140.1,Japan,JP,Akita,admin,320069,281856
Hakodate,41.775833,140.736667,Japan,JP,Hokkaidō,,302984,275730
Aomori,40.816667,140.733333,Japan,JP,Aomori,admin,298394,264749
Morioka,39.7,141.15,Japan,JP,Iwate,admin,295172,294393
Fukushima,37.75,140.466667,Japan,JP,Fukushima,admin,294237,263686
Yamagata,38.233333,140.366667,Japan,JP,Yamagata,admin,272209,254538
Fuku,36.04803,136.188686,Japan,JP,Fukui,,248707,233870
Shinkai,33.956834,130.984615,Japan,JP,Fukuoka,,245786,226611
Ashino,43.015176,144.397259,Japan,JP,Hokkaidō,,198566,183612
Kōfu,35.666667,138.566667,Japan,JP,Yamanashi,admin,197540,190000
Kure,34.23222,132.566583,Japan,JP,Hiroshima,,196991,196624
