city,lat,lng,country,iso2,admin,capital,population,population_proper
Bishkek,42.873056,74.600278,Kyrgyzstan,KG,Bishkek,primary,837000,804212
Osh,40.515062,72.808264,Kyrgyzstan,KG,Osh,admin,391277,200000
Jalal-Abad,40.933333,73.0,Kyrgyzstan,KG,Jalal-Abad,admin,248899,75700
Tokmok,42.841939,75.301487,Kyrgyzstan,KG,Chüy,,112860,63047
Kara-Balta,42.814231,73.84813,Kyrgyzstan,KG,Chüy,minor,74133,62796
Karakol,42.490677,78.393619,Kyrgyzstan,KG,Ysyk-Köl,admin,70171,56652
Naryn,41.42866,75.991106,Kyrgyzstan,KG,Naryn,admin,52300,35707
Balykchy,42.460167,76.187089,Kyrgyzstan,KG,Ysyk-Köl,,40527,40000
Talas,42.522766,72.242745,Kyrgyzstan,KG,Talas,admin,35172,22120
Toktogul,41.87079,72.940195,Kyrgyzstan,KG,Jalal-Abad,minor,26115,19336
Tash-Kömür,41.346121,72.217075,Kyrgyzstan,KG,Jalal-Abad,,23594,16355
Cholpon-Ata,42.649443,77.082252,Kyrgyzstan,KG,Ysyk-Köl,minor,18595,9578
At-Bashy,41.170171,75.810575,Kyrgyzstan,KG,Naryn,minor,15601,15226
Kök-Janggak,41.03026,73.196133,Kyrgyzstan,KG,Jalal-Abad,,15000,14046
Uch-Korgon,40.228814,72.059235,Kyrgyzstan,KG,Batken,minor,,
Ormosh,39.945911,71.260865,Kyrgyzstan,KG,Batken,minor,,
Kara-Dzhygach,40.122088,72.092715,Kyrgyzstan,KG,Batken,minor,,
Kazarman,41.404519,74.028283,Kyrgyzstan,KG,Jalal-Abad,minor,,
Baetov,41.266683,74.956983,Kyrgyzstan,KG,Naryn,minor,,
Üch-Terek,41.762186,73.200293,Kyrgyzstan,KG,Jalal-Abad,minor,,
Kochkor,42.215516,75.75659,Kyrgyzstan,KG,Naryn,minor,,
Toguz-Bulak,39.843307,69.713548,Kyrgyzstan,KG,Batken,minor,,
Chaek,41.927684,74.51699,Kyrgyzstan,KG,Naryn,minor,,
Ala-Buka,41.410501,71.486282,Kyrgyzstan,KG,Jalal-Abad,minor,,
Suzak,40.898205,72.904815,Kyrgyzstan,KG,Jalal-Abad,minor,,
Ak-Suu,39.898769,69.371603,Kyrgyzstan,KG,Batken,minor,,
Kara-Döbö,40.244284,72.044751,Kyrgyzstan,KG,Batken,minor,,
Lebedinovka,42.884536,74.678194,Kyrgyzstan,KG,Chüy,minor,,
Boz-Adyr,39.998601,71.073377,Kyrgyzstan,KG,Batken,minor,,
Bazar-Korgon,41.037597,72.74586,Kyrgyzstan,KG,Jalal-Abad,minor,,
Markaz,40.240191,71.899832,Kyrgyzstan,KG,Batken,minor,,
Chüy,42.819734,75.282334,Kyrgyzstan,KG,Chüy,minor,,
Tüp,42.727604,78.364764,Kyrgyzstan,KG,Ysyk-Köl,minor,,
Bökönbaev,42.117685,76.993317,Kyrgyzstan,KG,Ysyk-Köl,minor,,
Kerben,41.493987,71.758261,Kyrgyzstan,KG,Jalal-Abad,minor,,
Khalmion,40.212181,71.632745,Kyrgyzstan,KG,Batken,minor,,
Kyzyl-Suu,42.342106,78.006443,Kyrgyzstan,KG,Ysyk-Köl,minor,,
Pokrovka,42.736202,71.609818,Kyrgyzstan,KG,Talas,minor,,
Ak-Tatyr,39.959897,70.484513,Kyrgyzstan,KG,Batken,minor,,
Kyzyl-Bulak,40.051703,71.73726,Kyrgyzstan,KG,Batken,minor,,
Belovodskoe,42.829442,74.108304,Kyrgyzstan,KG,Chüy,minor,,
Kulundu,40.106349,69.641274,Kyrgyzstan,KG,Batken,minor,,
Teploklyuchenka,42.499477,78.527015,Kyrgyzstan,KG,Ysyk-Köl,minor,,
Gülchö,40.313799,73.444184,Kyrgyzstan,KG,Osh,minor,,
Sokuluk,42.854006,74.302573,Kyrgyzstan,KG,Chüy,minor,,
Kara-Suu,40.704601,72.866662,Kyrgyzstan,KG,Osh,minor,,
Samarkandyk,39.9981,70.54589,Kyrgyzstan,KG,Batken,minor,,
Aravan,40.516084,72.499601,Kyrgyzstan,KG,Osh,minor,,
Ak-Say,39.87438,70.522113,Kyrgyzstan,KG,Batken,minor,,
Kara-Bak,40.16169,70.819588,Kyrgyzstan,KG,Batken,minor,,
Kara-Kulja,40.632229,73.592489,Kyrgyzstan,KG,Osh,minor,,
Alga,40.236304,71.498989,Kyrgyzstan,KG,Batken,minor,,
Tayan,39.902602,71.108257,Kyrgyzstan,KG,Batken,minor,,
Tsentral’noye,40.02858,69.943934,Kyrgyzstan,KG,Batken,minor,,
Isfana,39.838949,69.527605,Kyrgyzstan,KG,Batken,minor,,
Kyrgyz-Kyshtak,40.310554,71.349659,Kyrgyzstan,KG,Batken,minor,,
Batken,40.062587,70.819391,Kyrgyzstan,KG,Batken,admin,,
Kanysh-Kyya,41.765361,71.091813,Kyrgyzstan,KG,Jalal-Abad,minor,,
Kant,42.891064,74.850769,Kyrgyzstan,KG,Chüy,minor,,
Ivanovka,42.887781,75.085005,Kyrgyzstan,KG,Chüy,minor,,
Ivanovo-Alekseyevka,42.546885,72.209206,Kyrgyzstan,KG,Talas,minor,,
Andarak,39.768489,69.463982,Kyrgyzstan,KG,Batken,minor,,
Eski-Nookat,40.271326,72.61306,Kyrgyzstan,KG,Osh,minor,,
Massy,41.063997,72.637476,Kyrgyzstan,KG,Jalal-Abad,minor,,
Leninpol’,42.492985,71.923598,Kyrgyzstan,KG,Talas,minor,,
