city,lat,lng,country,iso2,admin,capital,population,population_proper
Vientiane,17.966667,102.6,Laos,LA,Viangchan,primary,754000,570348
Louangphabang,19.886006,102.135029,Laos,LA,Louangphabang,admin,107142,47378
Pakxé,15.120221,105.798979,Laos,LA,Champasak,admin,102775,88332
Savannakhét,16.565045,104.752733,Laos,LA,Savannakhét,admin,84898,66553
Thakhèk,17.397272,104.810188,Laos,LA,Khammouan,admin,76928,26200
Xam Nua,20.415915,104.048381,Laos,LA,Houaphan,admin,38992,38992
Xaignabouli,19.257564,101.710323,Laos,LA,Xaignabouli,admin,16200,16200
Champasak,14.892036,105.877873,Laos,LA,Champasak,,12994,12994
Ban Houaynon,20.310576,100.387816,Laos,LA,Bokèo,,6347,6347
Phôngsali,21.683722,102.105357,Laos,LA,Phôngsali,admin,6000,6000
Salavan,15.716524,106.417441,Laos,LA,Salavan,,5521,5521
Xiangkhoang,19.333333,103.366667,Laos,LA,Xiangkhouang,,5189,5189
Attapu,14.810707,106.831841,Laos,LA,Attapu,admin,4297,4297
Louang Namtha,20.948598,101.401882,Laos,LA,Louangnamtha,admin,3225,3225
Muang Khamkeut,18.22572,104.731194,Laos,LA,Bolikhamxai,minor,,
Ban Houayxay,20.276517,100.413023,Laos,LA,Bokèo,admin,,
Muang Xai,20.692278,101.984721,Laos,LA,Oudômxai,admin,,
Muang Hinboun,17.591001,104.603878,Laos,LA,Khammouan,minor,,
Muang Sanakham,17.910062,101.673484,Laos,LA,Viangchan,minor,,
Không,14.117922,105.848691,Laos,LA,Champasak,minor,,
Muang Long,20.965042,100.820738,Laos,LA,Louangnamtha,minor,,
Borikhan,18.562856,103.726706,Laos,LA,Bolikhamxai,minor,,
Xaisomboun,18.89829,103.093007,Laos,LA,Xaisômboun,minor,,
Ban Namnga,21.171933,102.725616,Laos,LA,Phôngsali,minor,,
Muang Nalè,20.532124,101.44678,Laos,LA,Louangnamtha,minor,,
Ban Xiang-Ngeun,19.758589,102.182321,Laos,LA,Louangphabang,minor,,
Lamam,15.417051,106.69461,Laos,LA,Xékong,admin,,
Muang Pakxan,18.382614,103.658574,Laos,LA,Bolikhamxai,admin,,
Muang Kènthao,17.732893,101.398152,Laos,LA,Xaignabouli,minor,,
Muang Kasi,19.229256,102.25319,Laos,LA,Viangchan,minor,,
Phônthong,15.101157,105.654164,Laos,LA,Champasak,minor,,
Muang Phônsavan,19.45,103.216667,Laos,LA,Xiangkhouang,admin,,
Muang Phôn-Hông,18.495654,102.414214,Laos,LA,Viangchan,admin,,
Muang Phin,16.533987,106.02401,Laos,LA,Savannakhét,minor,,
Khoa,21.078335,102.506085,Laos,LA,Phôngsali,minor,,
Ban Pakla,20.869397,102.11153,Laos,LA,Oudômxai,minor,,
Muang Sing,21.192065,101.147888,Laos,LA,Louangnamtha,minor,,
Muang Mok,18.909972,104.006261,Laos,LA,Xiangkhouang,minor,,
Pakxong,15.181537,106.230382,Laos,LA,Champasak,minor,,
Pakkading,18.324587,103.993777,Laos,LA,Bolikhamxai,minor,,
Ban Fangdèng,14.813203,106.93434,Laos,LA,Attapu,minor,,
Ban Hatgnao,14.680302,106.582122,Laos,LA,Attapu,minor,,
Ban Dônghén,16.70297,105.282109,Laos,LA,Savannakhét,minor,,
Viangxai,20.406775,104.223788,Laos,LA,Houaphan,minor,,
