city,lat,lng,country,iso2,admin,capital,population,population_proper
Luxembourg,49.611667,6.13,Luxembourg,LU,Luxembourg,primary,107260,76684
Diekirch,49.867778,6.155833,Luxembourg,LU,Diekirch,admin,6242,6242
Grevenmacher,49.674722,6.441944,Luxembourg,LU,Grevenmacher,admin,3958,3958
Dippach,49.588333,5.983333,Luxembourg,LU,Capellen,minor,,
Differdange,49.524167,5.891389,Luxembourg,LU,Esch-sur-Alzette,minor,,
Pétange,49.558333,5.880556,Luxembourg,LU,Esch-sur-Alzette,minor,,
Vichten,49.803056,6.0,Luxembourg,LU,Redange,minor,,
Gœsdorf,49.921667,5.968333,Luxembourg,LU,Wiltz,minor,,
Useldange,49.769722,5.982222,Luxembourg,LU,Redange,minor,,
Vianden,49.935,6.208889,Luxembourg,LU,Vianden,admin,,
Wormeldange,49.608333,6.405833,Luxembourg,LU,Grevenmacher,minor,,
Waldbillig,49.788889,6.286667,Luxembourg,LU,Echternach,minor,,
Mondorf-les-Bains,49.505,6.281111,Luxembourg,LU,Remich,minor,,
Mondercange,49.533056,5.988333,Luxembourg,LU,Esch-sur-Alzette,minor,,
Sanem,49.548056,5.928889,Luxembourg,LU,Esch-sur-Alzette,minor,,
Sandweiler,49.613333,6.218889,Luxembourg,LU,Luxembourg,minor,,
Boulaide,49.887778,5.816389,Luxembourg,LU,Wiltz,minor,,
Lintgen,49.715833,6.133611,Luxembourg,LU,Mersch,minor,,
Leudelange,49.568333,6.065278,Luxembourg,LU,Esch-sur-Alzette,minor,,
Lenningen,49.598611,6.368056,Luxembourg,LU,Remich,minor,,
Bascharage,49.5675,5.910278,Luxembourg,LU,Capellen,minor,,
Colmar-Berg,49.811702,6.093225,Luxembourg,LU,Mersch,minor,,
Capellen,49.645,5.990833,Luxembourg,LU,Capellen,admin,,
Manternach,49.702778,6.426389,Luxembourg,LU,Grevenmacher,minor,,
Remich,49.545,6.366944,Luxembourg,LU,Remich,admin,,
Reisdorf,49.868611,6.267778,Luxembourg,LU,Diekirch,minor,,
Redange-sur-Attert,49.765556,5.890833,Luxembourg,LU,Redange,admin,,
Kopstal,49.664444,6.073056,Luxembourg,LU,Capellen,minor,,
Walferdange,49.658333,6.137222,Luxembourg,LU,Luxembourg,minor,,
Waldbredimus,49.555,6.2875,Luxembourg,LU,Remich,minor,,
Flaxweiler,49.661667,6.343611,Luxembourg,LU,Grevenmacher,minor,,
Fischbach,49.739722,6.187222,Luxembourg,LU,Mersch,minor,,
Bissen,49.7875,6.069444,Luxembourg,LU,Mersch,minor,,
Biwer,49.702778,6.374722,Luxembourg,LU,Grevenmacher,minor,,
Wilwerwiltz,49.988889,5.999167,Luxembourg,LU,Wiltz,minor,,
Schuttrange,49.620556,6.268611,Luxembourg,LU,Luxembourg,minor,,
Winseler,49.967778,5.890278,Luxembourg,LU,Wiltz,minor,,
Wincrange,50.053333,5.919167,Luxembourg,LU,Clervaux,minor,,
Frisange,49.515,6.191667,Luxembourg,LU,Esch-sur-Alzette,minor,,
Rumelange,49.460833,6.033056,Luxembourg,LU,Esch-sur-Alzette,minor,,
Rosport,49.797778,6.504167,Luxembourg,LU,Echternach,minor,,
Hesperange,49.568056,6.151389,Luxembourg,LU,Luxembourg,minor,,
Berdorf,49.813611,6.350278,Luxembourg,LU,Echternach,minor,,
Dalheim,49.540833,6.259722,Luxembourg,LU,Remich,minor,,
Bavigne,49.921944,5.849444,Luxembourg,LU,Wiltz,minor,,
Stadtbredimus,49.562778,6.364444,Luxembourg,LU,Remich,minor,,
Septfontaines,49.701111,5.967222,Luxembourg,LU,Capellen,minor,,
Ell,49.763889,5.857222,Luxembourg,LU,Redange,minor,,
Medernach,49.801944,6.218333,Luxembourg,LU,Diekirch,minor,,
Putscheid,49.960833,6.143056,Luxembourg,LU,Vianden,minor,,
Rambrouch,49.830833,5.845,Luxembourg,LU,Redange,minor,,
Reckange-sur-Mess,49.5625,6.008889,Luxembourg,LU,Esch-sur-Alzette,minor,,
Grosbous,49.827778,5.967222,Luxembourg,LU,Redange,minor,,
Larochette,49.776944,6.221111,Luxembourg,LU,Mersch,minor,,
Wiltz,49.968889,5.931944,Luxembourg,LU,Wiltz,admin,,
Erpeldange,49.864722,6.114722,Luxembourg,LU,Diekirch,minor,,
Esch-sur-Alzette,49.495833,5.980556,Luxembourg,LU,Esch-sur-Alzette,admin,,
Esch-sur-Sûre,49.911389,5.936389,Luxembourg,LU,Wiltz,minor,,
Schieren,49.830556,6.098611,Luxembourg,LU,Diekirch,minor,,
Boevange-sur-Attert,49.775278,6.015556,Luxembourg,LU,Mersch,minor,,
Beaufort,49.835833,6.291667,Luxembourg,LU,Echternach,minor,,
Bech,49.746111,6.363611,Luxembourg,LU,Echternach,minor,,
Schengen,49.47,6.362,Luxembourg,LU,Remich,minor,,
Echternach,49.805556,6.422222,Luxembourg,LU,Echternach,admin,,
Saeul,49.727222,5.986389,Luxembourg,LU,Redange,minor,,
Niederanven,49.6475,6.26,Luxembourg,LU,Luxembourg,minor,,
Roeser,49.542222,6.15,Luxembourg,LU,Esch-sur-Alzette,minor,,
Lorentzweiler,49.694722,6.1425,Luxembourg,LU,Mersch,minor,,
Bertrange,49.611111,6.05,Luxembourg,LU,Luxembourg,minor,,
Hobscheid,49.688611,5.914722,Luxembourg,LU,Capellen,minor,,
Kayl,49.489167,6.039722,Luxembourg,LU,Esch-sur-Alzette,minor,,
Kehlen,49.668333,6.035833,Luxembourg,LU,Capellen,minor,,
Garnich,49.616667,5.9525,Luxembourg,LU,Capellen,minor,,
Consdorf,49.773056,6.338333,Luxembourg,LU,Echternach,minor,,
Contern,49.581944,6.226667,Luxembourg,LU,Luxembourg,minor,,
Heffingen,49.7625,6.241389,Luxembourg,LU,Mersch,minor,,
Steinfort,49.661389,5.919167,Luxembourg,LU,Capellen,minor,,
Steinsel,49.676944,6.123889,Luxembourg,LU,Luxembourg,minor,,
Strassen,49.620556,6.073333,Luxembourg,LU,Luxembourg,minor,,
Mertert,49.696111,6.481389,Luxembourg,LU,Grevenmacher,minor,,
Mersch,49.748889,6.106111,Luxembourg,LU,Mersch,admin,,
Mertzig,49.833889,6.0075,Luxembourg,LU,Diekirch,minor,,
Weiswampach,50.137222,6.075,Luxembourg,LU,Clervaux,minor,,
Mompach,49.746111,6.465,Luxembourg,LU,Echternach,minor,,
Ettelbruck,49.8475,6.104167,Luxembourg,LU,Diekirch,minor,,
Hosingen,50.017778,6.093333,Luxembourg,LU,Clervaux,minor,,
Beckerich,49.730556,5.887222,Luxembourg,LU,Redange,minor,,
Bourscheid,49.91,6.067222,Luxembourg,LU,Diekirch,minor,,
Koerich,49.67,5.95,Luxembourg,LU,Capellen,minor,,
Schifflange,49.506389,6.012778,Luxembourg,LU,Esch-sur-Alzette,minor,,
Bous,49.553889,6.329167,Luxembourg,LU,Remich,minor,,
Junglinster,49.707222,6.253056,Luxembourg,LU,Grevenmacher,minor,,
Clervaux,50.054722,6.031389,Luxembourg,LU,Clervaux,admin,,
Troisvierges,50.121111,6.000278,Luxembourg,LU,Clervaux,minor,,
Wahl,49.836667,5.906389,Luxembourg,LU,Redange,minor,,
Tuntange,49.717778,6.010278,Luxembourg,LU,Mersch,minor,,
Tandel,49.8975,6.183333,Luxembourg,LU,Vianden,minor,,
Dudelange,49.480556,6.0875,Luxembourg,LU,Esch-sur-Alzette,minor,,
Mamer,49.6275,6.023333,Luxembourg,LU,Capellen,minor,,
Bettborn,49.795278,5.941111,Luxembourg,LU,Redange,minor,,
Bettendorf,49.876667,6.218056,Luxembourg,LU,Diekirch,minor,,
Betzdorf,49.683333,6.35,Luxembourg,LU,Grevenmacher,minor,,
Bettembourg,49.518611,6.102778,Luxembourg,LU,Esch-sur-Alzette,minor,,
Weiler-la-Tour,49.540833,6.200833,Luxembourg,LU,Luxembourg,minor,,
Nommern,49.786944,6.174722,Luxembourg,LU,Mersch,minor,,
Niederfeulen,49.855556,6.047222,Luxembourg,LU,Diekirch,minor,,
