city,lat,lng,country,iso2,admin,capital,population,population_proper
Riga,56.95,24.1,Latvia,LV,Rīga,primary,742572,705033
Daugavpils,55.883333,26.533333,Latvia,LV,Daugavpils Novads,admin,111564,108375
Liepāja,56.516667,21.016667,Latvia,LV,Liepāja,admin,85132,82807
Jelgava,56.65,23.712778,Latvia,LV,Jelgavas Novads,admin,67207,61791
Ventspils,57.389881,21.572878,Latvia,LV,Ventspils,admin,42884,42644
Rēzekne,56.5,27.316667,Latvia,LV,Rēzeknes Novads,admin,38340,38098
Inčukalns,57.098056,24.686389,Latvia,LV,Inčukalna Novads,admin,,
Ķekava,56.829444,24.237222,Latvia,LV,Ķekavas Novads,admin,,
Valka,57.766667,26.0,Latvia,LV,Valkas Novads,admin,,
Loja,57.154444,24.644444,Latvia,LV,Sējas Novads,admin,,
Mārupe,56.903209,24.046678,Latvia,LV,Mārupes Novads,admin,,
Drabeši,57.233333,25.283333,Latvia,LV,Amatas Novads,admin,,
Iecava,56.598611,24.202222,Latvia,LV,Iecavas Novads,admin,,
Salacgrīva,57.753611,24.358056,Latvia,LV,Salacgrīvas Novads,admin,,
Ķegums,56.744167,24.715833,Latvia,LV,Ķeguma Novads,admin,,
Sigulda,57.151944,24.864722,Latvia,LV,Siguldas Novads,admin,,
Jaunpils,56.7325,23.013611,Latvia,LV,Jaunpils Novads,admin,,
Alsunga,56.980106,21.564009,Latvia,LV,Alsungas Novads,admin,,
Tērvete,56.478056,23.386667,Latvia,LV,Tērvetes Novads,admin,,
Talsi,57.246509,22.587578,Latvia,LV,Talsu Novads,admin,,
Cesvaine,56.966667,26.316667,Latvia,LV,Cesvaines Novads,admin,,
Cēsis,57.3,25.25,Latvia,LV,Cēsu Novads,admin,,
Kocēni,57.516667,25.333333,Latvia,LV,Kocēnu Novads,admin,,
Koknese,56.65,25.433333,Latvia,LV,Kokneses Novads,admin,,
Dundaga,57.50498,22.350408,Latvia,LV,Dundagas Novads,admin,,
Priekuļi,57.316667,25.366667,Latvia,LV,Priekuļu Novads,admin,,
Roja,57.501463,22.808806,Latvia,LV,Rojas Novads,admin,,
Rauna,57.333333,25.616667,Latvia,LV,Raunas Novads,admin,,
Aloja,57.766944,24.8825,Latvia,LV,Alojas Novads,admin,,
Rucava,56.166667,21.15,Latvia,LV,Rucavas Novads,admin,,
Lielvārde,56.7225,24.805,Latvia,LV,Lielvārdes Novads,admin,,
Murmuiža,57.483333,25.483333,Latvia,LV,Beverīnas Novads,admin,,
Vecvārkava,56.19838,26.508107,Latvia,LV,Vārkavas Novads,admin,,
Bauska,56.407945,24.194428,Latvia,LV,Bauskas Novads,admin,,
Ērgļi,56.9,25.633333,Latvia,LV,Ērgļu Novads,admin,,
Varakļāni,56.616667,26.733333,Latvia,LV,Varakļānu Novads,admin,,
