city,lat,lng,country,iso2,admin,capital,population,population_proper
Potkrajnica,42.451667,19.303611,Montenegro,ME,,,145850,136473
Petnjica,42.908889,19.964444,Montenegro,ME,Petnjica,admin,,
Ulcinj,41.928333,19.206389,Montenegro,ME,Ulcinj,admin,,
Budva,42.286389,18.84,Montenegro,ME,Budva,admin,,
Nikšić,42.775,18.958333,Montenegro,ME,Nikšić,admin,,
Danilovgrad,42.547222,19.105278,Montenegro,ME,Danilovgrad,admin,,
Tivat,42.436389,18.696111,Montenegro,ME,Tivat,admin,,
Rožaje,42.843889,20.168333,Montenegro,ME,Rožaje,admin,,
Golubovci,42.335,19.231111,Montenegro,ME,,minor,,
Plav,42.596944,19.945556,Montenegro,ME,Plav,admin,,
Plužine,43.152778,18.839444,Montenegro,ME,Plužine,admin,,
Bar,42.093056,19.100278,Montenegro,ME,Bar,admin,,
Podgorica,42.441111,19.263611,Montenegro,ME,Podgorica,primary,,
Mojkovac,42.963889,19.5825,Montenegro,ME,Mojkovac,admin,,
Žabljak,43.154722,19.121944,Montenegro,ME,Žabljak,admin,,
Herceg-Novi,42.453056,18.5375,Montenegro,ME,Herceg Novi,admin,,
Šavnik,42.956389,19.096667,Montenegro,ME,Šavnik,admin,,
Cetinje,42.392222,18.9225,Montenegro,ME,Cetinje,admin,,
Tuzi,42.365556,19.331389,Montenegro,ME,,minor,,
Andrijevica,42.733889,19.791944,Montenegro,ME,Andrijevica,admin,,
Kolašin,42.824167,19.5225,Montenegro,ME,Kolašin,admin,,
Berane,42.8425,19.873333,Montenegro,ME,Berane,admin,,
Kotor,42.425833,18.771944,Montenegro,ME,Kotor,admin,,
Bijelo Polje,43.029167,19.745556,Montenegro,ME,Bijelo Polje,admin,,
Gusinje,42.561944,19.833889,Montenegro,ME,Gusinje,admin,,
Pljevlja,43.352222,19.354167,Montenegro,ME,Pljevlja,admin,,
