city,lat,lng,country,iso2,admin,capital,population,population_proper
Ampamantanana,-18.933333,47.533333,Madagascar,MG,Antananarivo,,1697000,1391433
Antsirabe,-19.866965,47.039352,Madagascar,MG,Antananarivo,minor,307921,307921
Toamasina,-18.151349,49.408139,Madagascar,MG,Toamasina,admin,210226,206373
Fianarantsoa,-21.447807,47.088401,Madagascar,MG,Fianarantsoa,admin,184184,167227
Mahajanga,-15.713935,46.315858,Madagascar,MG,Mahajanga,admin,154657,135660
Toliara,-23.352798,43.669974,Madagascar,MG,Toliara,admin,115319,97237
Anjiamena,-12.255447,49.344482,Madagascar,MG,Antsiranana,,82937,69687
Antanananivo,-14.85,50.266667,Madagascar,MG,Antsiranana,,47224,34112
Sambava,-14.257774,50.160413,Madagascar,MG,Antsiranana,minor,43465,31522
Ambatondrazaka,-17.828716,48.426606,Madagascar,MG,Toamasina,minor,43134,40552
Maroantsetra,-15.43355,49.742796,Madagascar,MG,Toamasina,,38046,23859
Morondava,-20.291025,44.278811,Madagascar,MG,Toliara,minor,36803,3234
Marosakoa,-16.088866,46.668403,Madagascar,MG,Mahajanga,,31253,1773
Ambanja,-13.673252,48.453549,Madagascar,MG,Antsiranana,,30621,21842
Mananjary,-21.227134,48.349867,Madagascar,MG,Fianarantsoa,,27686,11996
Farafangana,-22.817986,47.82879,Madagascar,MG,Fianarantsoa,minor,24764,5221
Andoany,-13.40445,48.27431,Madagascar,MG,Antsiranana,,22680,18391
Antsohihy,-14.879678,47.987505,Madagascar,MG,Mahajanga,minor,21290,9227
Miandrivazo,-19.523929,45.457347,Madagascar,MG,Toliara,,20631,3156
Ihosy,-22.403794,46.127178,Madagascar,MG,Fianarantsoa,minor,16990,10814
Tôlan̈aro,-25.032011,46.989688,Madagascar,MG,Toliara,minor,16818,16818
Morombe,-21.743721,43.35963,Madagascar,MG,Toliara,,16727,16727
Mandritsara,-15.843407,48.825769,Madagascar,MG,Mahajanga,,9705,9705
Maintirano,-18.059884,44.02426,Madagascar,MG,Mahajanga,minor,5925,5925
Bekily,-24.221911,45.319929,Madagascar,MG,Toliara,,4286,4286
Manja,-21.434955,44.332511,Madagascar,MG,Toliara,,1536,1536
Besalampy,-16.746312,44.490243,Madagascar,MG,Mahajanga,,1022,1022
Androka,-25.026731,44.076515,Madagascar,MG,Toliara,,174,174
Ambositra,-20.529354,47.242485,Madagascar,MG,Fianarantsoa,minor,,
Antsiran̈ana,-12.284195,49.291253,Madagascar,MG,Antsiranana,admin,,
Tsiroanomandidy,-18.769314,46.049316,Madagascar,MG,Antananarivo,minor,,
Ambovombe,-25.175406,46.088153,Madagascar,MG,Toliara,minor,,
Manakara,-22.145531,48.007967,Madagascar,MG,Fianarantsoa,minor,,
Miarinarivo,-18.957167,46.906385,Madagascar,MG,Antananarivo,minor,,
Maevatanana,-16.946991,46.829153,Madagascar,MG,Mahajanga,minor,,
Antananarivo,-18.916667,47.516667,Madagascar,MG,Antananarivo,primary,,
Fenoarivo Atsinanana,-17.381885,49.409045,Madagascar,MG,Toamasina,minor,,
