city,lat,lng,country,iso2,admin,capital,population,population_proper
Skopje,41.996457,21.431407,Macedonia,MK,,primary,494087,474889
Tetovo,42.009734,20.971548,Macedonia,MK,Tetovo,admin,119132,72944
Bitola,41.031429,21.334736,Macedonia,MK,Bitola,admin,86528,64574
Vinica,41.882778,22.509167,Macedonia,MK,Vinica,admin,,
Češinovo,41.871484,22.289609,Macedonia,MK,Češinovo-Obleševo,admin,,
Demir Kapija,41.406129,22.246315,Macedonia,MK,Demir Kapija,admin,,
Radoviš,41.638333,22.464722,Macedonia,MK,Radoviš,admin,,
Sopište,41.954722,21.4275,Macedonia,MK,Sopište,admin,,
Gradsko,41.5775,21.942778,Macedonia,MK,Gradsko,admin,,
Vasilevo,41.474081,22.64301,Macedonia,MK,Vasilevo,admin,,
Kruševo,41.369399,21.248284,Macedonia,MK,Kruševo,admin,,
Resen,41.089341,21.010924,Macedonia,MK,Resen,admin,,
Zelenikovo,41.884134,21.588477,Macedonia,MK,Zelenikovo,admin,,
Gevgelija,41.141658,22.501411,Macedonia,MK,Gevgelija,admin,,
Makedonska Kamenica,42.020793,22.587603,Macedonia,MK,Makedonska Kamenica,admin,,
Veles,41.715556,21.775556,Macedonia,MK,Veles,admin,,
Sveti Nikole,41.866683,21.941127,Macedonia,MK,Sveti Nikole,admin,,
Novo Selo,41.414859,22.881639,Macedonia,MK,Novo Selo,admin,,
Pehčevo,41.762258,22.889214,Macedonia,MK,Pehčevo,admin,,
Plasnica,41.467222,21.123056,Macedonia,MK,Plasnica,admin,,
Bogovinje,41.923611,20.913611,Macedonia,MK,Bogovinje,admin,,
Vevčani,41.240556,20.593333,Macedonia,MK,Vevčani,admin,,
Karbinci,41.817581,22.23529,Macedonia,MK,Karbinci,admin,,
Konče,41.495112,22.383587,Macedonia,MK,Konče,admin,,
Kičevo,41.512671,20.958858,Macedonia,MK,Kičevo,admin,,
Struga,41.17799,20.677844,Macedonia,MK,Struga,admin,,
Kočani,41.916389,22.412778,Macedonia,MK,Kočani,admin,,
Rostuša,41.61,20.6,Macedonia,MK,Mavrovo i Rostuša,admin,,
Rosoman,41.516713,21.945849,Macedonia,MK,Rosoman,admin,,
Tearce,42.076655,21.0531,Macedonia,MK,Tearce,admin,,
Kavadarci,41.433056,22.011944,Macedonia,MK,Kavadarci,admin,,
Staro Nagoričane,42.198056,21.828611,Macedonia,MK,Staro Nagoričane,admin,,
Lozovo,41.783889,21.905556,Macedonia,MK,Lozovo,admin,,
Brvenica,41.967222,20.980833,Macedonia,MK,Brvenica,admin,,
Demir Hisar,41.220967,21.203024,Macedonia,MK,Demir Hisar,admin,,
Prilep,41.34514,21.555037,Macedonia,MK,Prilep,admin,,
Bogdanci,41.203056,22.575556,Macedonia,MK,Bogdanci,admin,,
Strumica,41.4375,22.643333,Macedonia,MK,Strumica,admin,,
Kratovo,42.078385,22.180701,Macedonia,MK,Kratovo,admin,,
Čučer-Sandevo,42.102021,21.384579,Macedonia,MK,Čučer-Sandevo,admin,,
Star Dojran,41.186473,22.720305,Macedonia,MK,Dojran,admin,,
Kriva Palanka,42.200882,22.332444,Macedonia,MK,Kriva Palanka,admin,,
Petrovec,41.938889,21.615,Macedonia,MK,Petrovec,admin,,
Aračinovo,42.026389,21.561944,Macedonia,MK,Aračinovo,admin,,
Bosilovo,41.440556,22.727778,Macedonia,MK,Bosilovo,admin,,
Makedonski Brod,41.513611,21.215278,Macedonia,MK,Makedonski Brod,admin,,
Probištip,42.0019,22.172767,Macedonia,MK,Probištip,admin,,
Rankovce,42.168566,22.11664,Macedonia,MK,Rankovce,admin,,
Valandovo,41.317444,22.560018,Macedonia,MK,Valandovo,admin,,
Vrapčište,41.834394,20.885626,Macedonia,MK,Vrapčište,admin,,
Lipkovo,42.156389,21.585278,Macedonia,MK,Lipkovo,admin,,
Dolneni,41.425788,21.45402,Macedonia,MK,Dolneni,admin,,
Berovo,41.703056,22.857778,Macedonia,MK,Berovo,admin,,
Krivogaštani,41.336938,21.33111,Macedonia,MK,Krivogaštani,admin,,
Negotino,41.484557,22.090563,Macedonia,MK,Negotino,admin,,
Ohrid,41.117222,20.801944,Macedonia,MK,Ohrid,admin,,
Čaška,41.648719,21.692241,Macedonia,MK,Čaška,admin,,
Studeničani,41.915833,21.530556,Macedonia,MK,Studeničani,admin,,
Štip,41.74227,22.197932,Macedonia,MK,Štip,admin,,
Belčišta,41.302778,20.830278,Macedonia,MK,Debarca,admin,,
Novaci,41.041974,21.458663,Macedonia,MK,Novaci,admin,,
Mogila,41.108333,21.378611,Macedonia,MK,Mogila,admin,,
Delčevo,41.96539,22.776266,Macedonia,MK,Delčevo,admin,,
Ilinden,41.994514,21.580023,Macedonia,MK,Ilinden,admin,,
Gostivar,41.796014,20.908191,Macedonia,MK,Gostivar,admin,,
Želino,41.982474,21.06241,Macedonia,MK,Želino,admin,,
Centar Župa,41.478775,20.558629,Macedonia,MK,Centar Župa,admin,,
Kumanovo,42.132222,21.714444,Macedonia,MK,Kumanovo,admin,,
Debar,41.524441,20.524206,Macedonia,MK,Debar,admin,,
Zrnovci,41.854167,22.444444,Macedonia,MK,Zrnovci,admin,,
Jegunovce,42.072379,21.123674,Macedonia,MK,Jegunovce,admin,,
