city,lat,lng,country,iso2,admin,capital,population,population_proper
Bamako,12.65,-8.0,Mali,ML,Bamako,primary,1494000,1297281
Sikasso,11.3135,-5.6697,Mali,ML,Sikasso,admin,225753,144786
Ségou,13.4317,-6.2157,Mali,ML,Ségou,admin,122952,92552
Gao,16.271667,-0.044722,Mali,ML,Gao,admin,116967,57978
Mopti,14.489094,-4.192827,Mali,ML,Mopti,admin,108456,78083
Koutiala,12.391726,-5.464209,Mali,ML,Sikasso,minor,104927,99353
Kayes,14.446933,-11.444478,Mali,ML,Kayes,admin,77207,77207
Timbuktu,16.770456,-3.005588,Mali,ML,Tombouctou,admin,68872,68872
Kati,12.744092,-8.072574,Mali,ML,Koulikoro,minor,66895,42922
Markala,13.7021,-6.0659,Mali,ML,Ségou,,53738,38585
Kita,13.0349,-9.4895,Mali,ML,Kayes,minor,46435,5769
San,13.303346,-4.895615,Mali,ML,Ségou,minor,41386,24811
Bougouni,11.421145,-7.485092,Mali,ML,Sikasso,minor,35450,25644
Djenné,13.9045,-4.5599,Mali,ML,Mopti,minor,32944,22382
Banamba,13.547732,-7.448079,Mali,ML,Koulikoro,minor,30591,6033
Bourèm Guindou,16.908889,-0.356667,Mali,ML,Gao,,30000,27486
Bafoulabé,13.8065,-10.8321,Mali,ML,Kayes,minor,26823,26823
Koulikoro,12.862734,-7.559849,Mali,ML,Koulikoro,admin,23919,2898
Nara,15.168751,-7.28466,Mali,ML,Koulikoro,minor,18459,18459
Kangaba,11.933333,-8.416667,Mali,ML,Koulikoro,minor,17232,17232
Ménaka,15.9182,2.4022,Mali,ML,Gao,minor,9110,9110
Aguelhok,19.461389,0.858889,Mali,ML,Kidal,,9000,8080
Goundam,16.41453,-3.670749,Mali,ML,Tombouctou,minor,8456,3979
Tessalit,20.201257,1.011863,Mali,ML,Kidal,minor,6000,5739
Sokolo,14.7328,-6.1219,Mali,ML,Ségou,,4374,4128
Araouane,18.904761,-3.526492,Mali,ML,Tombouctou,,4026,4026
Taoudenni,22.674433,-3.978908,Mali,ML,Tombouctou,,3019,3019
Yélimané,15.118684,-10.577291,Mali,ML,Kayes,minor,988,988
Satadougou,12.614488,-11.417805,Mali,ML,Kayes,,706,706
Kadiolo,10.55,-5.766667,Mali,ML,Sikasso,minor,,
Youwarou,15.3684,-4.2628,Mali,ML,Mopti,minor,,
Bourem,16.955,-0.348611,Mali,ML,Gao,minor,,
Barouéli,13.077,-6.8312,Mali,ML,Ségou,minor,,
Koro,14.063998,-3.075387,Mali,ML,Mopti,minor,,
Kolondiéba,11.089433,-6.892905,Mali,ML,Sikasso,minor,,
Bankass,14.077498,-3.515944,Mali,ML,Mopti,minor,,
Bla,12.950069,-5.76024,Mali,ML,Ségou,minor,,
Niono,14.2526,-5.993,Mali,ML,Ségou,minor,,
Abeïbara,19.116667,1.75,Mali,ML,Kidal,minor,,
Ténenkou,14.457216,-4.916895,Mali,ML,Mopti,minor,,
Dioila,12.4822,-6.7911,Mali,ML,Koulikoro,minor,,
Yorosso,12.358115,-4.776878,Mali,ML,Sikasso,minor,,
Tominian,13.287369,-4.593166,Mali,ML,Ségou,minor,,
Niafunké,15.9322,-3.9906,Mali,ML,Tombouctou,minor,,
Diré,16.257045,-3.401263,Mali,ML,Tombouctou,minor,,
Kéniéba,12.839615,-11.240563,Mali,ML,Kayes,minor,,
Kidal,18.441111,1.407778,Mali,ML,Kidal,admin,,
Bandiagara,14.347998,-3.608787,Mali,ML,Mopti,minor,,
Kolokani,13.5728,-8.0339,Mali,ML,Koulikoro,minor,,
Ké-Macina,13.964102,-5.357914,Mali,ML,Ségou,minor,,
Diéma,14.54,-9.1921,Mali,ML,Kayes,minor,,
Ansongo,15.6597,0.5022,Mali,ML,Gao,minor,,
Nioro,15.229317,-9.592771,Mali,ML,Kayes,minor,,
Yanfolila,11.183333,-8.15,Mali,ML,Sikasso,minor,,
Douentza,15.001554,-2.949781,Mali,ML,Mopti,minor,,
Gourma Rharous,16.877778,-1.923056,Mali,ML,Tombouctou,minor,,
Ti-n-Essako,18.450589,2.487949,Mali,ML,Kidal,minor,,
