city,lat,lng,country,iso2,admin,capital,population,population_proper
Ulaanbaatar,47.916667,106.916667,Mongolia,MN,Ulaanbaatar,primary,885000,769612
Erdenet,49.033333,104.083333,Mongolia,MN,Orhon,admin,79647,79647
Darhan,49.616667,106.35,Mongolia,MN,Selenge,,74738,74738
Ulaangom,49.981111,92.066667,Mongolia,MN,Uvs,admin,35796,28085
Ölgiy,48.968333,89.9625,Mongolia,MN,Bayan-Ölgiy,admin,34934,28400
Choybalsan,48.066667,114.5,Mongolia,MN,Dornod,admin,33376,33376
Arvayheer,46.263889,102.775,Mongolia,MN,Övörhangay,admin,28053,28053
Mörön,49.634167,100.1625,Mongolia,MN,Hövsgöl,admin,27690,21527
Sühbaatar,50.231389,106.207778,Mongolia,MN,Selenge,admin,24235,24235
Tsetserleg,47.475,101.454167,Mongolia,MN,Arhangay,admin,19812,16300
Dzüünharaa,48.866667,106.466667,Mongolia,MN,Selenge,,18830,13318
Dzuunmod,47.783333,106.85,Mongolia,MN,Ulaanbaatar,,17738,17738
Bulgan,48.8125,103.534722,Mongolia,MN,Bulgan,admin,17348,17348
Baruun-Urt,46.680556,113.279167,Mongolia,MN,Sühbaatar,admin,15805,15805
Dalandzadgad,43.570833,104.425,Mongolia,MN,Ömnögovĭ,admin,15093,11889
Öndörhaan,47.319444,110.655556,Mongolia,MN,Hentiy,admin,14723,10144
Uliastay,47.741667,96.844444,Mongolia,MN,Dzavhan,admin,8056,8056
Ulaan-Uul,44.333333,111.233333,Mongolia,MN,Dornogovĭ,minor,3726,3726
Mandal,45.75,106.3,Mongolia,MN,Dundgovĭ,,2984,2984
Hödrögö,48.966667,96.783333,Mongolia,MN,Dzavhan,minor,10,10
Mörön,47.401307,110.125163,Mongolia,MN,Hentiy,minor,,
Hungiy,48.5,94.283333,Mongolia,MN,Dzavhan,minor,,
Hunt,47.866667,99.466667,Mongolia,MN,Arhangay,minor,,
Javhlant,48.75,106.0,Mongolia,MN,Töv,minor,,
Javarthushuu,49.15,112.733333,Mongolia,MN,Dornod,minor,,
Orhontuul,48.949722,104.975833,Mongolia,MN,Selenge,minor,,
Nogoonnuur,49.6,90.233333,Mongolia,MN,Bayan-Ölgiy,minor,,
Namir,49.1,91.716667,Mongolia,MN,Uvs,minor,,
Haraat,46.416667,107.65,Mongolia,MN,Dundgovĭ,minor,,
Tsagaan Ovoo,45.95,101.483333,Mongolia,MN,Övörhangay,minor,,
Tsagaan-Ovoo,45.516667,105.75,Mongolia,MN,Dundgovĭ,minor,,
Sayn-Ust,47.35,94.55,Mongolia,MN,Govĭ-Altay,minor,,
Tsant,46.183333,106.716667,Mongolia,MN,Dundgovĭ,minor,,
Bayanbulag,47.866667,109.916667,Mongolia,MN,Hentiy,minor,,
Bürenhayrhan,46.083333,91.566667,Mongolia,MN,Hovd,minor,,
Taygan,46.35,97.283333,Mongolia,MN,Govĭ-Altay,minor,,
Sört,49.326111,104.371111,Mongolia,MN,Bulgan,minor,,
Tavin,46.416667,105.783333,Mongolia,MN,Dundgovĭ,minor,,
Arguut,45.45,102.416667,Mongolia,MN,Övörhangay,minor,,
Balgatay,46.9,97.15,Mongolia,MN,Dzavhan,minor,,
Arhust,47.8,107.883333,Mongolia,MN,Töv,minor,,
Tahilt,45.333333,96.65,Mongolia,MN,Govĭ-Altay,minor,,
Ulaan-Uul,46.083333,100.833333,Mongolia,MN,Bayanhongor,minor,,
Dalay,43.49,103.524444,Mongolia,MN,Ömnögovĭ,minor,,
Orgil,48.587222,99.350833,Mongolia,MN,Hövsgöl,minor,,
Orgil,48.416667,105.333333,Mongolia,MN,Töv,minor,,
Örgön,44.733333,100.366667,Mongolia,MN,Bayanhongor,minor,,
Argalant,47.933333,105.866667,Mongolia,MN,Töv,minor,,
Rashaant,49.126667,101.428056,Mongolia,MN,Hövsgöl,minor,,
Rashaant,45.3,106.2,Mongolia,MN,Dundgovĭ,minor,,
Rashaant,47.766667,90.833333,Mongolia,MN,Bayan-Ölgiy,minor,,
Naranbulag,49.233333,113.366667,Mongolia,MN,Dornod,minor,,
Altanbulag,49.3,96.333333,Mongolia,MN,Dzavhan,minor,,
Tsagaanders,48.05,114.366667,Mongolia,MN,Dornod,minor,,
Saynshand,43.616667,102.533333,Mongolia,MN,Ömnögovĭ,minor,,
Dzuunmod,47.706944,106.952778,Mongolia,MN,Töv,admin,,
Dzuunmod,48.2125,97.378611,Mongolia,MN,Dzavhan,minor,,
Bayanbaraat,46.866667,106.25,Mongolia,MN,Töv,minor,,
Bayanbulag,46.8,98.1,Mongolia,MN,Bayanhongor,minor,,
Bayanbulag,45.0,98.916667,Mongolia,MN,Bayanhongor,minor,,
Bayannuur,48.933333,91.133333,Mongolia,MN,Bayan-Ölgiy,minor,,
Tavanbulag,47.383333,101.883333,Mongolia,MN,Arhangay,minor,,
Hüremt,48.663056,102.622778,Mongolia,MN,Bulgan,minor,,
Hüremt,46.3,102.466667,Mongolia,MN,Övörhangay,minor,,
Ulaantolgoy,46.683333,92.783333,Mongolia,MN,Hovd,minor,,
Naranbulag,49.366667,92.566667,Mongolia,MN,Uvs,minor,,
Hashaat,45.25,104.833333,Mongolia,MN,Dundgovĭ,minor,,
Bayan-Ulaan,46.516667,102.583333,Mongolia,MN,Övörhangay,minor,,
Tsagaandörvölj,45.8,109.333333,Mongolia,MN,Dornogovĭ,minor,,
Dzelter,50.315556,105.045833,Mongolia,MN,Selenge,minor,,
Dzel,49.9,93.783333,Mongolia,MN,Uvs,minor,,
Dzegstey,47.65,102.566667,Mongolia,MN,Arhangay,minor,,
Tsahir,48.079722,98.851667,Mongolia,MN,Arhangay,minor,,
Teshig,49.955278,102.613333,Mongolia,MN,Bulgan,minor,,
Dund-Urt,48.037908,105.921895,Mongolia,MN,Töv,minor,,
Hovd,48.005556,91.641944,Mongolia,MN,Hovd,admin,,
Bayan,47.45,103.15,Mongolia,MN,Arhangay,minor,,
Bayan,47.916667,112.95,Mongolia,MN,Dornod,minor,,
Bayan,46.983333,95.183333,Mongolia,MN,Govĭ-Altay,minor,,
Bayan,47.166667,110.816667,Mongolia,MN,Hentiy,minor,,
Bayan,46.25,110.166667,Mongolia,MN,Dornogovĭ,minor,,
Bayan,48.55,111.083333,Mongolia,MN,Hentiy,minor,,
Bayan,49.433333,99.6,Mongolia,MN,Hövsgöl,minor,,
Dzalaa,44.533333,99.266667,Mongolia,MN,Bayanhongor,minor,,
Bayanhushuu,46.716667,100.133333,Mongolia,MN,Bayanhongor,minor,,
Bugant,49.583333,106.85,Mongolia,MN,Selenge,minor,,
Bugat,49.066667,103.665833,Mongolia,MN,Bulgan,minor,,
Bugat,49.533333,93.816667,Mongolia,MN,Uvs,minor,,
Tegsh,48.733333,96.0,Mongolia,MN,Dzavhan,minor,,
Hongor,49.230121,105.896738,Mongolia,MN,Darhan-Uul,minor,,
Darvi,46.45,94.116667,Mongolia,MN,Govĭ-Altay,minor,,
Dashbalbar,49.533333,114.4,Mongolia,MN,Dornod,minor,,
Nüden,43.583333,110.466667,Mongolia,MN,Dornogovĭ,minor,,
Saynshand,44.893056,110.134722,Mongolia,MN,Dornogovĭ,admin,,
Höshööt,48.1025,102.545833,Mongolia,MN,Arhangay,minor,,
Höshööt,48.933333,89.133333,Mongolia,MN,Bayan-Ölgiy,minor,,
Bulgan,44.112778,103.5425,Mongolia,MN,Ömnögovĭ,minor,,
Holboo,48.583333,95.45,Mongolia,MN,Dzavhan,minor,,
Tseel,45.566667,95.866667,Mongolia,MN,Govĭ-Altay,minor,,
Tsengel,49.478333,100.889444,Mongolia,MN,Hövsgöl,minor,,
Nuga,48.316667,95.116667,Mongolia,MN,Dzavhan,minor,,
Tögöl,50.683333,99.233333,Mongolia,MN,Hövsgöl,minor,,
Dzadgay,46.183333,99.566667,Mongolia,MN,Bayanhongor,minor,,
Dzag,46.933333,99.166667,Mongolia,MN,Bayanhongor,minor,,
Bayanhushuu,48.233333,91.916667,Mongolia,MN,Hovd,minor,,
Buga,49.016667,90.183333,Mongolia,MN,Bayan-Ölgiy,minor,,
Teel,48.046389,100.509167,Mongolia,MN,Arhangay,minor,,
Buga,47.7,94.866667,Mongolia,MN,Dzavhan,minor,,
Jargalant,49.129148,104.40803,Mongolia,MN,Orhon,minor,,
Hutag,49.395,102.693333,Mongolia,MN,Bulgan,minor,,
Bat-Öldziyt,48.211111,104.759722,Mongolia,MN,Töv,minor,,
Mardzad,45.95,102.05,Mongolia,MN,Övörhangay,minor,,
Ovoot,45.3,113.866667,Mongolia,MN,Sühbaatar,minor,,
Chandmanĭ,48.05,96.25,Mongolia,MN,Dzavhan,minor,,
Horiult,45.2,100.766667,Mongolia,MN,Bayanhongor,minor,,
Har-Us,48.483333,91.433333,Mongolia,MN,Hovd,minor,,
Har-Us,49.033333,92.033333,Mongolia,MN,Uvs,minor,,
