city,lat,lng,country,iso2,admin,capital,population,population_proper
Valletta,35.899722,14.514722,Malta,MT,Valletta,primary,368250,6966
Saint Paul’s Bay,35.948333,14.400556,Malta,MT,San Pawl il-Baħar,admin,,
Siġġiewi,35.855556,14.436389,Malta,MT,Siġġiewi,admin,,
Xewkija,36.032778,14.258056,Malta,MT,Xewkija,admin,,
Imġarr,35.920556,14.366389,Malta,MT,Imġarr,admin,,
Pietà,35.894722,14.495,Malta,MT,Pietà,admin,,
Kirkop,35.842222,14.485278,Malta,MT,Kirkop,admin,,
Kerċem,36.041944,14.226667,Malta,MT,Kerċem,admin,,
Sannat,36.024444,14.242778,Malta,MT,Sannat,admin,,
Fontana,36.0375,14.236111,Malta,MT,Fontana,admin,,
Tarxien,35.865833,14.515,Malta,MT,Tarxien,admin,,
Gżira,35.905833,14.488056,Malta,MT,Gżira,admin,,
Għaxaq,35.848889,14.516667,Malta,MT,Għaxaq,admin,,
Għasri,36.057778,14.226389,Malta,MT,Għasri,admin,,
Mellieħa,35.956389,14.362222,Malta,MT,Mellieħa,admin,,
Sliema,35.9125,14.501944,Malta,MT,Sliema,admin,,
Żejtun,35.855833,14.533056,Malta,MT,Żejtun,admin,,
Qormi,35.878333,14.471944,Malta,MT,Qormi,admin,,
Żebbuġ,35.871944,14.441111,Malta,MT,Żebbuġ,admin,,
Lija,35.900556,14.446389,Malta,MT,Lija,admin,,
Gudja,35.849167,14.503056,Malta,MT,Gudja,admin,,
Balzan,35.900278,14.455,Malta,MT,Balzan,admin,,
Swieqi,35.9225,14.48,Malta,MT,Swieqi,admin,,
Pembroke,35.930556,14.476389,Malta,MT,Pembroke,admin,,
Xgħajra,35.885556,14.5475,Malta,MT,Xgħajra,admin,,
Kalkara,35.889167,14.532778,Malta,MT,Kalkara,admin,,
Għarb,36.06,14.208889,Malta,MT,Għarb,admin,,
Munxar,36.03,14.233333,Malta,MT,Munxar,admin,,
Fgura,35.870278,14.513333,Malta,MT,Fgura,admin,,
Attard,35.889722,14.4425,Malta,MT,Attard,admin,,
San Lawrenz,36.055556,14.203611,Malta,MT,San Lawrenz,admin,,
Nadur,36.037778,14.294167,Malta,MT,Nadur,admin,,
Xagħra,36.05,14.264444,Malta,MT,Xagħra,admin,,
Imtarfa,35.893333,14.398889,Malta,MT,Imtarfa,admin,,
Paola,35.873056,14.498889,Malta,MT,Paola,admin,,
Marsaxlokk,35.841944,14.543056,Malta,MT,Marsaxlokk,admin,,
Ħamrun,35.884722,14.484444,Malta,MT,Ħamrun,admin,,
Għajnsielem,36.026389,14.285,Malta,MT,Għajnsielem,admin,,
Cospicua,35.885556,14.5275,Malta,MT,Bormla,admin,,
Mosta,35.909167,14.425556,Malta,MT,Mosta,admin,,
Imsida,35.8925,14.482778,Malta,MT,Imsida,admin,,
Dingli,35.861389,14.382222,Malta,MT,Dingli,admin,,
Marsaskala,35.866944,14.561944,Malta,MT,Marsaskala,admin,,
Imdina,35.886944,14.4025,Malta,MT,Imdina,admin,,
Qrendi,35.834722,14.458333,Malta,MT,Qrendi,admin,,
Victoria,36.044444,14.239722,Malta,MT,Rabat (Ghawdex),admin,,
Rabat,35.882222,14.398056,Malta,MT,Rabat,admin,,
San Ġiljan,35.919722,14.484444,Malta,MT,San Ġiljan,admin,,
Għargħur,35.924167,14.451944,Malta,MT,Għargħur,admin,,
Żurrieq,35.831111,14.474167,Malta,MT,Żurrieq,admin,,
Iklin,35.909167,14.452222,Malta,MT,Iklin,admin,,
Senglea,35.8875,14.516944,Malta,MT,Isla,admin,,
Safi,35.833056,14.484722,Malta,MT,Safi,admin,,
Ta’ Xbiex,35.899167,14.494444,Malta,MT,Ta’ Xbiex,admin,,
San Ġwann,35.905556,14.476111,Malta,MT,San Ġwann,admin,,
Vittoriosa,35.892222,14.518333,Malta,MT,Birgu,admin,,
Naxxar,35.913611,14.443611,Malta,MT,Naxxar,admin,,
Żebbuġ,36.072222,14.235833,Malta,MT,Żebbuġ (Ghawdex),admin,,
Santa Venera,35.890833,14.474167,Malta,MT,Santa Venera,admin,,
Imqabba,35.846111,14.467222,Malta,MT,Imqabba,admin,,
Qala,36.036111,14.309444,Malta,MT,Qala,admin,,
Luqa,35.858889,14.488611,Malta,MT,Luqa,admin,,
Żabbar,35.876111,14.535,Malta,MT,Żabbar,admin,,
Floriana,35.895833,14.508333,Malta,MT,Floriana,admin,,
Santa Luċija,36.043056,14.217222,Malta,MT,Santa Luċija,admin,,
Birżebbuġa,35.825833,14.526944,Malta,MT,Birżebbuġa,admin,,
Marsa,35.879167,14.495278,Malta,MT,Marsa,admin,,
Birkirkara,35.897222,14.461111,Malta,MT,Birkirkara,admin,,
