city,lat,lng,country,iso2,admin,capital,population,population_proper
Lilongwe,-13.966919,33.787247,Malawi,MW,Lilongwe,primary,646750,646750
Blantyre,-15.786823,35.013868,Malawi,MW,Blantyre,admin,584877,584877
Mzuzu,-11.444289,34.020602,Malawi,MW,,,110201,110201
Mangochi,-14.463253,35.255233,Malawi,MW,Mangochi,admin,97711,40236
Zomba,-15.385957,35.318801,Malawi,MW,Zomba,admin,80932,80932
Simewa,-13.766667,34.466667,Malawi,MW,Salima,,71181,30052
Nkhotakota,-12.929234,34.29717,Malawi,MW,Nkhotakota,admin,59854,24865
Karonga,-9.933333,33.933333,Malawi,MW,Karonga,admin,34207,32444
Chiromo,-16.546748,35.155664,Malawi,MW,Nsanje,,25235,25235
Nkhata Bay,-11.608432,34.298193,Malawi,MW,Nkhata Bay,admin,22108,11721
Nsanje,-16.916667,35.266667,Malawi,MW,Nsanje,admin,21774,21774
Mzimba,-11.89881,33.5931,Malawi,MW,Mzimba,admin,19308,19308
Mchinji,-13.714298,32.899052,Malawi,MW,,,18305,18305
Mulanje,-16.025439,35.504015,Malawi,MW,Mulanje,admin,16483,16483
Dedza,-14.382769,34.33162,Malawi,MW,Dedza,admin,15608,15608
Chitipa,-9.704621,33.274096,Malawi,MW,Chitipa,admin,13412,8824
Mwanza,-15.609587,34.522371,Malawi,MW,Mwanza,admin,11379,11379
Ntcheu,-14.817557,34.639818,Malawi,MW,Ntcheu,admin,10445,10445
Chiradzulu,-15.697583,35.185055,Malawi,MW,Chiradzulu,admin,1580,1580
Machinga,-15.017996,35.479142,Malawi,MW,Machinga,admin,1418,1418
Chikwawa,-16.041986,34.801923,Malawi,MW,Chikwawa,admin,,
Phalombe,-15.806351,35.650673,Malawi,MW,Phalombe,admin,,
Ntchisi,-13.375272,34.003623,Malawi,MW,Ntchisi,admin,,
Kasungu,-13.03639,33.482201,Malawi,MW,Kasungu,admin,,
Balaka,-14.988862,34.959124,Malawi,MW,Balaka,admin,,
Mchinji,-13.796151,32.889357,Malawi,MW,Mchinji,admin,,
Rumphi,-11.019478,33.854621,Malawi,MW,Rumphi,admin,,
Neno,-15.398052,34.65343,Malawi,MW,Neno,admin,,
Salima,-13.784724,34.458382,Malawi,MW,Salima,admin,,
Dowa,-13.653205,33.938545,Malawi,MW,Dowa,admin,,
Thyolo,-16.070289,35.147143,Malawi,MW,Thyolo,admin,,
