city,lat,lng,country,iso2,admin,capital,population,population_proper
Mexico City,19.434167,-99.138611,Mexico,MX,Ciudad de México,primary,19028000,10811002
Guadalajara,20.666823,-103.391824,Mexico,MX,Jalisco,admin,4198000,1640589
Monterrey,25.675065,-100.318465,Mexico,MX,Nuevo León,admin,3712000,1122874
Puebla,19.037926,-98.203457,Mexico,MX,Puebla,admin,2195000,1392099
Tijuana,32.502698,-117.003714,Mexico,MX,Baja California,,1553000,1376457
Toluca,19.287311,-99.644979,Mexico,MX,México,admin,1531000,505881
León de los Aldama,21.129079,-101.673741,Mexico,MX,Guanajuato,minor,1488000,1114626
Ciudad Juárez,31.733333,-106.483333,Mexico,MX,México,,1343000,1343000
Torreon,25.543891,-103.418976,Mexico,MX,Coahuila de Zaragoza,,1144000,524066
Ciudad Nezahualcóyotl,19.400608,-99.014827,Mexico,MX,México,,1109363,750000
San Luis Potosí,22.149825,-100.979161,Mexico,MX,San Luis Potosí,admin,992000,677704
Mérida,20.975368,-89.616959,Mexico,MX,Yucatán,admin,965000,717175
Querétaro,20.600014,-100.399715,Mexico,MX,Querétaro,admin,961000,611785
Mexicali,32.650022,-115.461069,Mexico,MX,Baja California,admin,885000,587277
Aguascalientes,21.88234,-102.282586,Mexico,MX,Aguascalientes,admin,869000,658179
Tampico,22.27817,-97.86772,Mexico,MX,Tamaulipas,,859419,297284
Cuernavaca,18.933725,-99.228488,Mexico,MX,Morelos,admin,834001,349102
Culiacán,24.790325,-107.387816,Mexico,MX,Sinaloa,admin,809000,582469
Chihuahua,28.633333,-106.083333,Mexico,MX,Chihuahua,admin,793000,708267
Saltillo,25.423213,-101.005299,Mexico,MX,Coahuila de Zaragoza,admin,754000,604573
Acapulco de Juárez,16.870236,-99.868452,Mexico,MX,Guerrero,minor,715584,652136
Morelia,19.70179,-101.183962,Mexico,MX,Michoacán de Ocampo,admin,644306,592797
Hermosillo,29.102602,-110.977324,Mexico,MX,Sonora,admin,595811,512935
Veracruz,19.180954,-96.142901,Mexico,MX,Veracruz,,578963,568313
Cancún,21.172361,-86.829546,Mexico,MX,Quintana Roo,,542043,436862
Matamoros,25.869581,-97.501946,Mexico,MX,Tamaulipas,,538785,364004
Oaxaca,17.065418,-96.723645,Mexico,MX,Oaxaca,admin,530728,262566
Tlaxcala,19.319055,-98.19982,Mexico,MX,Tlaxcala,admin,503878,89795
Mazatán,29.005032,-110.137853,Mexico,MX,Sonora,,500000,438434
Reynosa,26.080613,-98.28835,Mexico,MX,Tamaulipas,minor,498654,419340
Durango,24.019419,-104.66069,Mexico,MX,Durango,admin,457140,455597
Xalapa,19.54386,-96.92155,Mexico,MX,Veracruz,admin,452186,425148
Villahermosa,17.986893,-92.930277,Mexico,MX,Tabasco,admin,428564,362401
Gomez Palacio,25.569849,-103.495882,Mexico,MX,Durango,,399328,228577
Celaya,20.52353,-100.8157,Mexico,MX,Guanajuato,,383697,305901
Mazatlán,23.2329,-106.4062,Mexico,MX,Sinaloa,minor,368204,354717
Orizaba,18.851947,-97.099574,Mexico,MX,Veracruz,minor,355333,121348
Nuevo Laredo,27.484635,-99.522106,Mexico,MX,Tamaulipas,,349550,160755
Irapuato,20.676754,-101.356281,Mexico,MX,Guanajuato,minor,339554,339554
Pachuca,20.117362,-98.742915,Mexico,MX,Hidalgo,admin,319581,302141
Tepic,21.509505,-104.895691,Mexico,MX,Nayarit,admin,318781,280592
Ciudad Obregón,27.486421,-109.940826,Mexico,MX,Sonora,,288002,258162
Coatzacoalcos,18.133458,-94.442417,Mexico,MX,Veracruz,,287285,230717
Ciudad Victoria,23.741744,-99.145993,Mexico,MX,Tamaulipas,admin,274900,269923
Uruapan,19.411161,-102.05644,Mexico,MX,Michoacán de Ocampo,minor,264531,237308
Ensenada,31.871492,-116.600706,Mexico,MX,Baja California,minor,256565,220937
Poza Rica de Hidalgo,20.529054,-97.449662,Mexico,MX,Veracruz,,254481,174526
Zumpango,19.796685,-98.985422,Mexico,MX,Morelos,,250000,127988
Los Mochis,25.793024,-108.998075,Mexico,MX,Sinaloa,minor,249047,214601
Tehuacán,18.461476,-97.392821,Mexico,MX,Puebla,,241429,237312
Monclova,26.906871,-101.420565,Mexico,MX,Coahuila de Zaragoza,,236244,195764
Zacatecas,22.769005,-102.571563,Mexico,MX,Zacatecas,admin,234481,118562
Colima,19.249972,-103.727137,Mexico,MX,Colima,admin,223287,127235
Tapachula,14.903853,-92.257493,Mexico,MX,Chiapas,minor,221521,197961
Córdoba,18.885845,-96.931253,Mexico,MX,Veracruz,,220563,134403
Zamora,19.985501,-102.283875,Mexico,MX,Michoacán de Ocampo,,214947,124916
Campeche,19.843857,-90.525535,Mexico,MX,Campeche,admin,205212,202885
Minatitlan,17.999253,-94.554412,Mexico,MX,Veracruz,,201902,150895
Salamanca,20.57196,-101.191544,Mexico,MX,Guanajuato,minor,197524,138614
Ciudad Madero,22.272282,-97.83623,Mexico,MX,Tamaulipas,,192736,138087
La Paz,24.144373,-110.300501,Mexico,MX,Baja California Sur,admin,189767,171485
Puerto Vallarta,20.611251,-105.233465,Mexico,MX,Jalisco,,187134,180804
San Cristóbal de las Casas,16.731757,-92.64126,Mexico,MX,Chiapas,minor,186661,128996
Chilpancingo,17.550599,-99.505783,Mexico,MX,Guerrero,admin,182387,165250
Nogales,31.314631,-110.94683,Mexico,MX,Sonora,minor,178097,20707
Teziutlan,19.8173,-97.35992,Mexico,MX,Puebla,,177796,70819
Ciudad Lázaro Cárdenas,17.970661,-102.221243,Mexico,MX,Michoacán de Ocampo,,160087,84001
Ciudad del Carmen,18.64774,-91.824235,Mexico,MX,Campeche,minor,156195,141308
Chetumal,18.514126,-88.303813,Mexico,MX,Quintana Roo,admin,154517,134412
San Juan del Río,20.38886,-99.995769,Mexico,MX,Querétaro,minor,147559,118173
Ejido Piedras Negras,28.723359,-100.56696,Mexico,MX,Coahuila de Zaragoza,,139619,134971
Navojoa,27.070284,-109.443716,Mexico,MX,Sonora,minor,116093,116093
