city,lat,lng,country,iso2,admin,capital,population,population_proper
Windhoek,-22.57,17.083611,Namibia,NA,Khomas,primary,268132,262796
Rundu,-17.933333,19.766667,Namibia,NA,Kavango East,admin,58172,28798
Walvisbaai,-22.9575,14.505278,Namibia,NA,Erongo,,52058,46951
Swakopmund,-22.683333,14.533333,Namibia,NA,Erongo,admin,29491,25047
Rehoboth,-23.316667,17.083333,Namibia,NA,Hardap,,25219,21377
Ongwediva,-17.783333,15.766667,Namibia,NA,Oshana,,25032,9654
Katima Mulilo,-17.5,24.266667,Namibia,NA,Zambezi,admin,25027,18470
Otjiwarongo,-20.45,16.65,Namibia,NA,Otjozondjupa,admin,24815,21224
Grootfontein,-19.566667,18.116667,Namibia,NA,Otjozondjupa,,24099,14200
Okahandja,-21.983333,16.916667,Namibia,NA,Otjozondjupa,,20879,18503
Keetmanshoop,-26.583333,18.133333,Namibia,NA,//Karas,admin,18039,15608
Gobabis,-22.45,18.966667,Namibia,NA,Omaheke,admin,16321,16321
Lüderitz,-26.648056,15.159444,Namibia,NA,//Karas,,15137,13295
Tsumeb,-19.233333,17.716667,Namibia,NA,Oshikoto,admin,14959,12190
Mariental,-24.633333,17.966667,Namibia,NA,Hardap,admin,13380,11960
Oshikango,-17.4,15.883333,Namibia,NA,Ohangwena,,12423,2658
Omaruru,-21.433333,15.933333,Namibia,NA,Erongo,,11547,11547
Bethanie,-26.483333,17.15,Namibia,NA,//Karas,,10363,5881
Usakos,-22.0,15.6,Namibia,NA,Erongo,,9147,1640
Oranjemund,-28.55,16.433333,Namibia,NA,//Karas,,8496,5950
Karibib,-21.933333,15.833333,Namibia,NA,Erongo,,6898,6898
Outjo,-20.116667,16.15,Namibia,NA,Kunene,,6557,6170
Karasburg,-28.016667,18.75,Namibia,NA,//Karas,,6054,4089
Opuwo,-18.066667,13.85,Namibia,NA,Kunene,admin,4857,4857
Otavi,-19.65,17.333333,Namibia,NA,Otjozondjupa,,4562,4562
Maltahöhe,-24.833333,16.983333,Namibia,NA,Hardap,,2329,2329
Outapi,-17.5,14.983333,Namibia,NA,Omusati,admin,,
Oshakati,-17.783333,15.683333,Namibia,NA,Oshana,admin,,
Nkurenkuru,-17.616667,18.6,Namibia,NA,Kavango West,admin,,
Eenhana,-17.466667,16.333333,Namibia,NA,Ohangwena,admin,,
