city,lat,lng,country,iso2,admin,capital,population,population_proper
Lagos,6.454066,3.394673,Nigeria,NG,Lagos,minor,9466000,1536
Kano,12.002381,8.51316,Nigeria,NG,Kano,admin,3140000,3140000
Ibadan,7.377562,3.905907,Nigeria,NG,Oyo,admin,2628000,1814570
Abuja,9.083333,7.533333,Nigeria,NG,Federal Capital Territory,primary,1576000,162135
Kaduna,10.526413,7.438795,Nigeria,NG,Kaduna,admin,1442000,940593
Benin City,6.338153,5.625749,Nigeria,NG,Edo,admin,1190000,668026
Ikare,7.525913,5.753417,Nigeria,NG,Ondo,minor,1099931,700000
Port Harcourt,4.777423,7.013404,Nigeria,NG,Rivers,admin,1020000,1020000
Ogbomoso,8.133725,4.240144,Nigeria,NG,Oyo,minor,951000,239127
Aba,5.106576,7.366667,Nigeria,NG,Abia,minor,897560,851210
Maiduguri,11.846924,13.157122,Nigeria,NG,Borno,admin,896000,512460
Zaria,11.078945,7.710359,Nigeria,NG,Kaduna,minor,889000,620673
Warri,5.51737,5.750064,Nigeria,NG,Delta,minor,830106,536023
Jos,9.92849,8.892118,Nigeria,NG,Plateau,admin,816824,657313
Ilorin,8.496642,4.542143,Nigeria,NG,Kwara,admin,771000,632484
Oyo,7.852575,3.931249,Nigeria,NG,Oyo,minor,736072,213961
Sokoto,13.048025,5.214285,Nigeria,NG,Sokoto,,732178,563861
Enugu,6.441321,7.498834,Nigeria,NG,Enugu,admin,688862,688862
Abeokuta,7.15571,3.345086,Nigeria,NG,Ogun,admin,593100,289362
Uyo,5.033333,7.92657,Nigeria,NG,Akwa Ibom,admin,554906,436606
Awka,6.21269,7.071986,Nigeria,NG,Anambra,admin,500000,301657
Ile-Ife,7.482405,4.560324,Nigeria,NG,Osun,minor,482365,482365
Calabar,4.958931,8.32695,Nigeria,NG,Cross River,admin,461796,247517
Ado-Ekiti,7.623289,5.22087,Nigeria,NG,Ekiti,admin,446749,446749
Katsina,12.990823,7.601769,Nigeria,NG,Katsina,admin,432149,432149
Akure,7.25256,5.193118,Nigeria,NG,Ondo,admin,420594,420594
Osogbo,7.771045,4.556979,Nigeria,NG,Osun,admin,408245,408245
Bauchi,10.310321,9.843883,Nigeria,NG,Bauchi,admin,316149,172552
Mele,5.889152,5.701355,Nigeria,NG,Delta,,309162,161686
Makurdi North,7.7493,8.5508,Nigeria,NG,Benue,,292645,198090
Minna,9.615235,6.54776,Nigeria,NG,Niger,admin,291905,206171
Owo,7.196195,5.586806,Nigeria,NG,Ondo,minor,276574,125250
Gombe,10.28969,11.167288,Nigeria,NG,Gombe,admin,270366,250258
Umuahia,5.524913,7.494613,Nigeria,NG,Abia,admin,264662,264662
Ondo,7.093165,4.835277,Nigeria,NG,Ondo,minor,257005,255883
Damaturu,11.746968,11.960826,Nigeria,NG,Yobe,admin,255895,255895
Iwo,7.635268,4.181556,Nigeria,NG,Osun,minor,250443,166934
Gusau,12.17024,6.664116,Nigeria,NG,Zamfara,admin,226857,144993
Mubi,10.268585,13.267013,Nigeria,NG,Adamawa,minor,225705,203715
Owerri,5.483626,7.033248,Nigeria,NG,Imo,admin,215038,215038
Ijebu-Ode,6.819444,3.917311,Nigeria,NG,Ogun,minor,209175,199827
Funtua,11.523505,7.311744,Nigeria,NG,Katsina,minor,180475,136811
Bida,9.080442,6.009902,Nigeria,NG,Niger,minor,173849,171656
Lafia,8.493897,8.515316,Nigeria,NG,Nasarawa,admin,127236,31705
Gashua,12.873976,11.040568,Nigeria,NG,Yobe,minor,125817,23834
Buzawa,11.545362,13.684518,Nigeria,NG,Borno,,118121,54699
Jalingo,8.893668,11.359596,Nigeria,NG,Taraba,admin,117757,89789
Nsukka,6.856543,7.385977,Nigeria,NG,Enugu,minor,111017,111017
Nguru,12.876952,10.455361,Nigeria,NG,Yobe,minor,111014,53948
Birnin Kebbi,12.453889,4.1975,Nigeria,NG,Kebbi,admin,108164,96517
Azare,11.674783,10.190687,Nigeria,NG,Bauchi,minor,105687,70138
Kontagora,10.403189,5.470797,Nigeria,NG,Niger,minor,98754,25534
Iseyin,7.97022,3.596256,Nigeria,NG,Oyo,minor,98071,98071
Yola,9.208394,12.481464,Nigeria,NG,Adamawa,admin,96006,88500
Biu,10.612854,12.194579,Nigeria,NG,Borno,minor,95005,34234
Wukari,7.871393,9.77786,Nigeria,NG,Taraba,minor,92933,55828
Potiskum,11.713909,11.081077,Nigeria,NG,Yobe,minor,86002,79465
Keffi,8.84651,7.873539,Nigeria,NG,Nasarawa,minor,85911,68202
Numan,9.463742,12.03062,Nigeria,NG,Adamawa,minor,77617,12729
Idah,7.113446,6.73866,Nigeria,NG,Kogi,minor,75087,68703
Onitsha,6.149779,6.78569,Nigeria,NG,Anambra,minor,73374,73374
Otukpo,7.193963,8.134556,Nigeria,NG,Benue,minor,68220,68220
Lokoja,7.796882,6.740481,Nigeria,NG,Kogi,admin,60579,44722
Kumo,10.048067,11.210555,Nigeria,NG,Gombe,minor,35712,2786
Opobo,4.513882,7.537941,Nigeria,NG,Rivers,minor,34911,34911
Koko,11.421544,4.516867,Nigeria,NG,Kebbi,,25792,25792
Dutse,11.75618,9.338959,Nigeria,NG,Jigawa,admin,17129,17129
Orlu,5.795645,7.035126,Nigeria,NG,Imo,minor,9351,9351
Kankara,11.931137,7.411149,Nigeria,NG,Katsina,minor,,
Gwagwalada,8.943423,7.08165,Nigeria,NG,Federal Capital Territory,minor,,
Kebbe,12.128615,4.73433,Nigeria,NG,Sokoto,minor,,
Keana,8.147244,8.796008,Nigeria,NG,Nasarawa,minor,,
Gbajimba,7.820399,8.859545,Nigeria,NG,Benue,minor,,
Ikot Ekpene,5.18194,7.714812,Nigeria,NG,Akwa Ibom,minor,,
Ririwai,10.74025,8.741285,Nigeria,NG,Kano,minor,,
Kabba,7.827192,6.075021,Nigeria,NG,Kogi,minor,,
Darazo,10.999201,10.410618,Nigeria,NG,Bauchi,minor,,
Issele-Uku,6.315839,6.47599,Nigeria,NG,Delta,minor,,
Makarfi,11.377342,7.880977,Nigeria,NG,Kaduna,minor,,
Gombi,10.167556,12.736843,Nigeria,NG,Adamawa,minor,,
Utu Etim Ekpo,5.004848,7.610283,Nigeria,NG,Akwa Ibom,minor,,
Katcha,8.760758,6.312003,Nigeria,NG,Niger,minor,,
Igbara-Oke,7.411719,5.058054,Nigeria,NG,Ondo,minor,,
Garun Malam,11.685659,8.369856,Nigeria,NG,Kano,minor,,
Hong,10.233045,12.928052,Nigeria,NG,Adamawa,minor,,
Ikotun,6.544333,3.263789,Nigeria,NG,Lagos,minor,,
Nkwerre,5.759175,7.103836,Nigeria,NG,Imo,minor,,
Mafa,11.924171,13.600656,Nigeria,NG,Borno,minor,,
Nasko,10.495389,4.899036,Nigeria,NG,Niger,minor,,
Festac Town,6.469698,3.282988,Nigeria,NG,Lagos,minor,,
Nguzu Edda,5.755433,7.817206,Nigeria,NG,Ebonyi,minor,,
Dukku,10.823794,10.772211,Nigeria,NG,Gombe,minor,,
Illela,13.730642,5.297772,Nigeria,NG,Sokoto,minor,,
Effraya,5.859256,8.723006,Nigeria,NG,Cross River,minor,,
Isinweke,5.620478,7.349854,Nigeria,NG,Imo,minor,,
Kiri Kasamma,12.692734,10.254557,Nigeria,NG,Jigawa,minor,,
Ugba,7.506998,9.348042,Nigeria,NG,Benue,minor,,
Obiozara,6.04644,7.772727,Nigeria,NG,Ebonyi,minor,,
Gwoza,11.083125,13.695948,Nigeria,NG,Borno,minor,,
Mashegu,9.972126,5.778858,Nigeria,NG,Niger,minor,,
Yelwa,10.835048,4.742439,Nigeria,NG,Kebbi,minor,,
Giwa,11.315678,7.44957,Nigeria,NG,Kaduna,minor,,
Imeko,7.448876,2.842887,Nigeria,NG,Ogun,minor,,
Iyara,7.843247,5.970615,Nigeria,NG,Kogi,minor,,
Umundugba,5.675968,7.071842,Nigeria,NG,Imo,minor,,
Fugar,7.090761,6.498283,Nigeria,NG,Edo,minor,,
Garaku,8.847168,8.130211,Nigeria,NG,Nasarawa,minor,,
Agenebode,7.105121,6.69381,Nigeria,NG,Edo,minor,,
Jimeta,9.27949,12.458185,Nigeria,NG,Adamawa,minor,,
Oghara,5.935541,5.666096,Nigeria,NG,Delta,minor,,
Kachia,9.873417,7.95407,Nigeria,NG,Kaduna,minor,,
Awgu,6.072778,7.477386,Nigeria,NG,Enugu,minor,,
Osisioma,5.159795,7.322346,Nigeria,NG,Abia,minor,,
Agege,6.615632,3.333369,Nigeria,NG,Lagos,minor,,
Batsari,12.755508,7.248088,Nigeria,NG,Katsina,minor,,
Angware,9.991051,9.108105,Nigeria,NG,Plateau,minor,,
Iragbiji,7.903998,4.687045,Nigeria,NG,Osun,minor,,
Ugep,5.80865,8.080976,Nigeria,NG,Cross River,minor,,
Ughelli,5.489555,6.004069,Nigeria,NG,Delta,minor,,
Wurno,13.290475,5.423729,Nigeria,NG,Sokoto,minor,,
Bogoro,9.669044,9.605275,Nigeria,NG,Bauchi,minor,,
