city,lat,lng,country,iso2,admin,capital,population,population_proper
The Hague,52.083333,4.3,Netherlands,NL,Zuid-Holland,primary,1406000,501725
Amsterdam,52.35,4.916667,Netherlands,NL,Noord-Holland,primary,1031000,741636
Rotterdam,51.916667,4.5,Netherlands,NL,Zuid-Holland,minor,1005000,598199
Utrecht,52.093813,5.119095,Netherlands,NL,Utrecht,admin,640000,316448
Eindhoven,51.45,5.466667,Netherlands,NL,Noord-Brabant,minor,398053,209620
Haarlemmerliede,52.388873,4.687978,Netherlands,NL,Noord-Holland,,349957,147590
Groningen,53.216667,6.55,Netherlands,NL,Groningen,admin,216688,181194
Arnhem,51.979818,5.925636,Netherlands,NL,Gelderland,admin,141674,141674
’s-Hertogenbosch,51.700196,5.306806,Netherlands,NL,Noord-Brabant,admin,134520,134520
Leeuwarden,53.20139,5.808588,Netherlands,NL,Fryslân,admin,125778,91424
Maastricht,50.85,5.683333,Netherlands,NL,Limburg,admin,122378,122378
Zwolle,52.505751,6.085822,Netherlands,NL,Overijssel,admin,111805,111805
Assen,52.994749,6.563223,Netherlands,NL,Drenthe,admin,62237,62237
Middelburg,51.50036,3.612964,Netherlands,NL,Zeeland,admin,46485,46485
Halfweg,52.383033,4.757441,Netherlands,NL,Noord-Holland,minor,,
Franeker,53.1896,5.542568,Netherlands,NL,Fryslân,minor,,
Gieten,53.006641,6.764338,Netherlands,NL,Drenthe,minor,,
Bergeijk,51.318699,5.359563,Netherlands,NL,Noord-Brabant,minor,,
Odijk,52.052239,5.235418,Netherlands,NL,Utrecht,minor,,
Grootegast,53.211598,6.2752,Netherlands,NL,Groningen,minor,,
Oostzaan,52.446898,4.8713,Netherlands,NL,Noord-Holland,minor,,
Bleskensgraaf,51.872001,4.784624,Netherlands,NL,Zuid-Holland,minor,,
Haarlem,52.366667,4.65,Netherlands,NL,Noord-Holland,admin,,
Lelystad,52.51764,5.473989,Netherlands,NL,Flevoland,admin,,
Valkenswaard,51.352662,5.456101,Netherlands,NL,Noord-Brabant,minor,,
Stein,50.968414,5.767249,Netherlands,NL,Limburg,minor,,
De Steeg,52.019687,6.060995,Netherlands,NL,Gelderland,minor,,
Diever,52.857015,6.318489,Netherlands,NL,Drenthe,minor,,
Uithuizen,53.40825,6.670896,Netherlands,NL,Groningen,minor,,
Uithoorn,52.241097,4.844754,Netherlands,NL,Noord-Holland,minor,,
Bergschenhoek,51.987249,4.515815,Netherlands,NL,Zuid-Holland,minor,,
Zundert,51.469444,4.658109,Netherlands,NL,Noord-Brabant,minor,,
Nunspeet,52.384479,5.799894,Netherlands,NL,Gelderland,minor,,
Nuth,50.917304,5.886024,Netherlands,NL,Limburg,minor,,
Opheusden,51.933309,5.634228,Netherlands,NL,Gelderland,minor,,
Veenendaal,52.024371,5.559791,Netherlands,NL,Utrecht,minor,,
Oost-Vlieland,53.295776,5.067536,Netherlands,NL,Fryslân,minor,,
Middelharnis,51.756017,4.163479,Netherlands,NL,Zuid-Holland,minor,,
Almelo,52.359606,6.656797,Netherlands,NL,Overijssel,minor,,
Bladel,51.369191,5.218936,Netherlands,NL,Noord-Brabant,minor,,
Hulst,51.281099,4.052964,Netherlands,NL,Zeeland,minor,,
Zwijndrecht,51.816684,4.61763,Netherlands,NL,Zuid-Holland,minor,,
Epe,52.348095,5.984471,Netherlands,NL,Gelderland,minor,,
Hardenberg,52.574315,6.622013,Netherlands,NL,Overijssel,minor,,
Hengelo,52.267379,6.789658,Netherlands,NL,Overijssel,minor,,
Lisse,52.253825,4.547463,Netherlands,NL,Zuid-Holland,minor,,
Nuenen,51.466843,5.571992,Netherlands,NL,Noord-Brabant,minor,,
Vught,51.655197,5.294188,Netherlands,NL,Noord-Brabant,minor,,
Blaricum,52.273551,5.24929,Netherlands,NL,Noord-Holland,minor,,
Marum,53.150866,6.265491,Netherlands,NL,Groningen,minor,,
Elburg,52.448691,5.833627,Netherlands,NL,Gelderland,minor,,
Hoogezand,53.163488,6.769863,Netherlands,NL,Groningen,minor,,
Uden,51.663777,5.62398,Netherlands,NL,Noord-Brabant,minor,,
Hendrik-Ido-Ambacht,51.836059,4.653349,Netherlands,NL,Zuid-Holland,minor,,
Oud-Beijerland,51.817051,4.417294,Netherlands,NL,Zuid-Holland,minor,,
Goor,52.23549,6.585339,Netherlands,NL,Overijssel,minor,,
Urk,52.661259,5.594415,Netherlands,NL,Flevoland,minor,,
Doorn,52.036875,5.343049,Netherlands,NL,Utrecht,minor,,
Denekamp,52.37917,7.00442,Netherlands,NL,Overijssel,minor,,
Heerenveen,52.959349,5.918921,Netherlands,NL,Fryslân,minor,,
Roermond,51.192695,5.988403,Netherlands,NL,Limburg,minor,,
Waalre,51.390482,5.43095,Netherlands,NL,Noord-Brabant,minor,,
Ballum,53.444056,5.68756,Netherlands,NL,Fryslân,minor,,
Weert,51.250562,5.717901,Netherlands,NL,Limburg,minor,,
Valkenburg,50.864835,5.827774,Netherlands,NL,Limburg,minor,,
Etten-Leur,51.574216,4.666667,Netherlands,NL,Noord-Brabant,minor,,
West-Terschelling,53.360927,5.214717,Netherlands,NL,Fryslân,minor,,
Rucphen,51.532362,4.558424,Netherlands,NL,Noord-Brabant,minor,,
Vianen,51.987057,5.095258,Netherlands,NL,Utrecht,minor,,
Best,51.504884,5.392854,Netherlands,NL,Noord-Brabant,minor,,
Meerssen,50.883747,5.758779,Netherlands,NL,Limburg,minor,,
Kruiningen,51.45,4.033333,Netherlands,NL,Zeeland,minor,,
Voerendaal,50.879763,5.934949,Netherlands,NL,Limburg,minor,,
Coevorden,52.664762,6.742616,Netherlands,NL,Drenthe,minor,,
Soest,52.180667,5.302906,Netherlands,NL,Utrecht,minor,,
Landgraaf,50.911665,6.046677,Netherlands,NL,Limburg,minor,,
Meppel,52.7,6.2,Netherlands,NL,Drenthe,minor,,
Geldrop,51.422362,5.571822,Netherlands,NL,Noord-Brabant,minor,,
Beilen,52.860718,6.515184,Netherlands,NL,Drenthe,minor,,
Helmond,51.481431,5.700121,Netherlands,NL,Noord-Brabant,minor,,
Hellevoetsluis,51.827088,4.130596,Netherlands,NL,Zuid-Holland,minor,,
Waddinxveen,52.048048,4.652653,Netherlands,NL,Zuid-Holland,minor,,
Kollum,53.276953,6.152927,Netherlands,NL,Fryslân,minor,,
Borculo,52.116011,6.520741,Netherlands,NL,Gelderland,minor,,
Made,51.676892,4.792749,Netherlands,NL,Noord-Brabant,minor,,
Groesbeek,51.773859,5.940149,Netherlands,NL,Gelderland,minor,,
Beuningen,51.859898,5.766456,Netherlands,NL,Gelderland,minor,,
Werkendam,51.809796,4.89371,Netherlands,NL,Noord-Brabant,minor,,
Zevenbergen,51.647748,4.599608,Netherlands,NL,Noord-Brabant,minor,,
Vlissingen,51.449399,3.572279,Netherlands,NL,Zeeland,minor,,
Boxtel,51.590116,5.328162,Netherlands,NL,Noord-Brabant,minor,,
Boxmeer,51.644012,5.960815,Netherlands,NL,Noord-Brabant,minor,,
Reuver,51.285526,6.076371,Netherlands,NL,Limburg,minor,,
Mill,51.685025,5.783565,Netherlands,NL,Noord-Brabant,minor,,
Hoogkarspel,52.692357,5.175796,Netherlands,NL,Noord-Holland,minor,,
Beneden-Leeuwen,51.878054,5.517077,Netherlands,NL,Gelderland,minor,,
Gendringen,51.873406,6.373995,Netherlands,NL,Gelderland,minor,,
Joure,52.966816,5.796605,Netherlands,NL,Fryslân,minor,,
Druten,51.894314,5.601302,Netherlands,NL,Gelderland,minor,,
Schiedam,51.932178,4.39268,Netherlands,NL,Zuid-Holland,minor,,
Sliedrecht,51.827601,4.773104,Netherlands,NL,Zuid-Holland,minor,,
Hazerswoude-Rijndijk,52.126653,4.593365,Netherlands,NL,Zuid-Holland,minor,,
Beverwijk,52.49126,4.652082,Netherlands,NL,Noord-Holland,minor,,
Sint Annaparochie,53.276414,5.656969,Netherlands,NL,Fryslân,minor,,
Zutphen,52.140449,6.204791,Netherlands,NL,Gelderland,minor,,
Vaals,50.769835,5.994864,Netherlands,NL,Limburg,minor,,
Breda,51.566667,4.8,Netherlands,NL,Noord-Brabant,minor,,
Roelofarendsveen,52.200025,4.631574,Netherlands,NL,Zuid-Holland,minor,,
Cuijk,51.728069,5.881147,Netherlands,NL,Noord-Brabant,minor,,
Enkhuizen,52.712352,5.279958,Netherlands,NL,Noord-Holland,minor,,
Enschede,52.219515,6.891235,Netherlands,NL,Overijssel,minor,,
Bemmel,51.890107,5.891289,Netherlands,NL,Gelderland,minor,,
Oosterbeek,51.983333,5.85,Netherlands,NL,Gelderland,minor,,
Krimpen aan den IJssel,51.907205,4.578253,Netherlands,NL,Zuid-Holland,minor,,
Doetinchem,51.966667,6.3,Netherlands,NL,Gelderland,minor,,
Oudenbosch,51.587974,4.529467,Netherlands,NL,Noord-Brabant,minor,,
Baarn,52.211494,5.29222,Netherlands,NL,Utrecht,minor,,
Lekkerkerk,51.900061,4.684142,Netherlands,NL,Zuid-Holland,minor,,
Wageningen,51.973279,5.667556,Netherlands,NL,Gelderland,minor,,
Venlo,51.370837,6.175101,Netherlands,NL,Limburg,minor,,
Gemert,51.556798,5.679565,Netherlands,NL,Noord-Brabant,minor,,
Raamsdonksveer,51.699337,4.879164,Netherlands,NL,Noord-Brabant,minor,,
Heerhugowaard,52.663987,4.827289,Netherlands,NL,Noord-Holland,minor,,
Katwijk,52.195881,4.40584,Netherlands,NL,Zuid-Holland,minor,,
Boekel,51.60165,5.673885,Netherlands,NL,Noord-Brabant,minor,,
Wolvega,52.875453,5.996908,Netherlands,NL,Fryslân,minor,,
Wommels,53.109979,5.592668,Netherlands,NL,Fryslân,minor,,
Tilburg,51.576922,5.106331,Netherlands,NL,Noord-Brabant,minor,,
Alkmaar,52.635818,4.75561,Netherlands,NL,Noord-Holland,minor,,
Piershil,51.79563,4.314671,Netherlands,NL,Zuid-Holland,minor,,
Oldebroek,52.445567,5.901554,Netherlands,NL,Gelderland,minor,,
Brielle,51.900408,4.171243,Netherlands,NL,Zuid-Holland,minor,,
Aalten,51.92597,6.58045,Netherlands,NL,Gelderland,minor,,
Elst,51.92158,5.834157,Netherlands,NL,Gelderland,minor,,
Vriezenveen,52.41012,6.623554,Netherlands,NL,Overijssel,minor,,
Roosendaal,51.537721,4.492456,Netherlands,NL,Noord-Brabant,minor,,
Wijhe,52.386373,6.134668,Netherlands,NL,Overijssel,minor,,
Bedum,53.299126,6.604137,Netherlands,NL,Groningen,minor,,
Eersel,51.356604,5.31992,Netherlands,NL,Noord-Brabant,minor,,
Naarden,52.292164,5.149612,Netherlands,NL,Noord-Holland,minor,,
Wormer,52.500324,4.826833,Netherlands,NL,Noord-Holland,minor,,
Nieuwveen,52.200398,4.751426,Netherlands,NL,Zuid-Holland,minor,,
Ouderkerk aan den IJssel,51.93326,4.638494,Netherlands,NL,Zuid-Holland,minor,,
Ouderkerk aan de Amstel,52.293992,4.918374,Netherlands,NL,Noord-Holland,minor,,
Alblasserdam,51.866729,4.66268,Netherlands,NL,Zuid-Holland,minor,,
Bilthoven,52.130663,5.192306,Netherlands,NL,Utrecht,minor,,
Terneuzen,51.331784,3.840803,Netherlands,NL,Zeeland,minor,,
Lichtenvoorde,51.987502,6.56955,Netherlands,NL,Gelderland,minor,,
Diemen,52.337122,4.974383,Netherlands,NL,Noord-Holland,minor,,
Oirschot,51.50343,5.308304,Netherlands,NL,Noord-Brabant,minor,,
Wognum,52.677065,5.026141,Netherlands,NL,Noord-Holland,minor,,
Doesburg,52.014283,6.133922,Netherlands,NL,Gelderland,minor,,
Heeze,51.382801,5.571454,Netherlands,NL,Noord-Brabant,minor,,
Zierikzee,51.651451,3.916771,Netherlands,NL,Zeeland,minor,,
Grave,51.758614,5.739412,Netherlands,NL,Noord-Brabant,minor,,
Waalwijk,51.685764,5.072072,Netherlands,NL,Noord-Brabant,minor,,
Noordwijk,52.24095,4.453895,Netherlands,NL,Zuid-Holland,minor,,
Apeldoorn,52.216667,5.966667,Netherlands,NL,Gelderland,minor,,
Woudrichem,51.811967,4.99719,Netherlands,NL,Noord-Brabant,minor,,
Oude Pekela,53.108871,7.01527,Netherlands,NL,Groningen,minor,,
Tubbergen,52.405786,6.786368,Netherlands,NL,Overijssel,minor,,
Schipluiden,51.974596,4.319217,Netherlands,NL,Zuid-Holland,minor,,
Zoetermeer,52.057102,4.495946,Netherlands,NL,Zuid-Holland,minor,,
Zoeterwoude,52.121128,4.496406,Netherlands,NL,Zuid-Holland,minor,,
Lochem,52.160808,6.4151,Netherlands,NL,Gelderland,minor,,
Lobith,51.863177,6.114955,Netherlands,NL,Gelderland,minor,,
Harlingen,53.173766,5.430244,Netherlands,NL,Fryslân,minor,,
Exloo,52.880206,6.86107,Netherlands,NL,Drenthe,minor,,
Leerdam,51.895588,5.09177,Netherlands,NL,Zuid-Holland,minor,,
Nijmegen,51.833333,5.866667,Netherlands,NL,Gelderland,minor,,
Kapelle,51.647731,3.963151,Netherlands,NL,Zeeland,minor,,
Hilversum,52.231896,5.179877,Netherlands,NL,Noord-Holland,minor,,
