city,lat,lng,country,iso2,admin,capital,population,population_proper
Panama City,8.966667,-79.533333,Panama,PA,Panamá,primary,1281000,408168
Colón,9.354507,-79.900109,Panama,PA,Colón,admin,204000,136976
David,8.427389,-82.425286,Panama,PA,Chiriquí,admin,110037,82859
Balboa,8.95,-79.566667,Panama,PA,Panamá,,62882,62882
Santiago,8.100366,-80.972168,Panama,PA,Veraguas,admin,45955,45355
Puerto Chitré,7.983333,-80.4,Panama,PA,Herrera,,44082,43966
Penonomé,8.513662,-80.356318,Panama,PA,Coclé,admin,28766,12394
Puerto Armuelles,8.272428,-82.861086,Panama,PA,Chiriquí,minor,27147,18795
Las Tablas,7.764719,-80.274832,Panama,PA,Los Santos,admin,11358,8570
Bocas del Toro,9.33603,-82.240809,Panama,PA,Bocas del Toro,admin,9883,3085
Almirante,9.291456,-82.395624,Panama,PA,Bocas del Toro,minor,8114,6771
La Palma,8.406085,-78.139642,Panama,PA,Darién,admin,1845,1845
Jaqué,7.52035,-78.167884,Panama,PA,Darién,minor,1357,553
El Porvenir,9.555841,-78.945409,Panama,PA,Kuna Yala,admin,10,10
Agua Fría Número Uno,8.858387,-78.197497,Panama,PA,Darién,minor,,
Paredón Arriba,8.459767,-81.195917,Panama,PA,Ngöbe-Buglé,minor,,
Unión Chocó,8.098938,-77.608532,Panama,PA,Emberá-Wounaan,admin,,
La Punta,7.557022,-81.191086,Panama,PA,Veraguas,minor,,
San Lorenzo,8.305608,-82.101144,Panama,PA,Chiriquí,minor,,
Corozal,8.197819,-77.600373,Panama,PA,Emberá-Wounaan,minor,,
Bajos de Güera,7.543603,-80.625051,Panama,PA,Los Santos,minor,,
Breñón,8.624905,-82.812766,Panama,PA,Chiriquí,minor,,
Cabecera de Cerro Puerco,8.318565,-81.759506,Panama,PA,Ngöbe-Buglé,minor,,
El Porvenir,8.229187,-81.832784,Panama,PA,Chiriquí,minor,,
Santa Lucia,8.231232,-81.826128,Panama,PA,Chiriquí,minor,,
La Chorrera,8.880278,-79.783333,Panama,PA,Panamá Oeste,admin,,
Norteño,9.00308,-82.314755,Panama,PA,,minor,,
Los Llanitos,8.597869,-80.095025,Panama,PA,Panamá Oeste,minor,,
La Trinidad,7.914571,-80.703322,Panama,PA,Herrera,minor,,
Quebrada de Loro,8.359236,-81.927245,Panama,PA,Ngöbe-Buglé,minor,,
Atalaya,8.042129,-80.925279,Panama,PA,Veraguas,minor,,
Cabuya,8.574724,-79.927144,Panama,PA,Panamá Oeste,minor,,
Chacarero,8.488995,-82.598335,Panama,PA,Chiriquí,minor,,
Las Cabras,7.875613,-80.549121,Panama,PA,Herrera,minor,,
Ocú,7.940515,-80.779362,Panama,PA,Herrera,minor,,
El Toro,7.751103,-80.869426,Panama,PA,Herrera,minor,,
El Guásimo,7.806397,-80.529914,Panama,PA,Los Santos,minor,,
Leones Arriba,7.752999,-81.121239,Panama,PA,Veraguas,minor,,
El Barrero,7.933443,-80.513582,Panama,PA,Herrera,minor,,
Palenque,9.569702,-79.363407,Panama,PA,Colón,minor,,
La Mesa,8.147071,-81.181137,Panama,PA,Veraguas,minor,,
El Potrero,8.376917,-80.794336,Panama,PA,Veraguas,minor,,
La Mesa,7.656705,-80.617941,Panama,PA,Los Santos,minor,,
Las Uvas,8.459368,-80.000749,Panama,PA,Panamá Oeste,minor,,
Potuga,8.063171,-80.622707,Panama,PA,Herrera,minor,,
Potrero de Caña,8.293455,-81.699031,Panama,PA,,minor,,
El Bebedero,7.409718,-80.45641,Panama,PA,Los Santos,minor,,
Brujas,8.585362,-78.530077,Panama,PA,Panamá,minor,,
Cauchero,9.14915,-82.266346,Panama,PA,Bocas del Toro,minor,,
Nuario,7.530465,-80.326923,Panama,PA,Los Santos,minor,,
Río Luís,8.683615,-81.216079,Panama,PA,Veraguas,minor,,
Agua Buena,7.834645,-80.394046,Panama,PA,Los Santos,minor,,
Puerto Vidal,8.048337,-81.604987,Panama,PA,Veraguas,minor,,
Buabidi,8.474567,-81.698267,Panama,PA,Ngöbe-Buglé,admin,,
Antón,8.397335,-80.260631,Panama,PA,Coclé,minor,,
Santa Rosa Número Uno,8.864593,-80.099228,Panama,PA,Panamá Oeste,minor,,
San Andrés,8.602604,-82.725884,Panama,PA,Chiriquí,minor,,
Nueva Arenosa,8.869444,-79.994722,Panama,PA,Panamá Oeste,minor,,
Canto del Llano,8.12472,-80.963739,Panama,PA,Veraguas,minor,,
El Guabo,9.078424,-80.083161,Panama,PA,Colón,minor,,
El Muñoz,7.675821,-80.321298,Panama,PA,Los Santos,minor,,
Cedro Arriba,7.780974,-80.530571,Panama,PA,Los Santos,minor,,
Villa Lourdes,7.81141,-80.470289,Panama,PA,Los Santos,minor,,
Cativá,9.36242,-79.83569,Panama,PA,Colón,minor,,
Guararé Arriba,7.800233,-80.35983,Panama,PA,Los Santos,minor,,
San Juan Bautista,7.960995,-80.412827,Panama,PA,Herrera,minor,,
Pedasí,7.5287,-80.027708,Panama,PA,Los Santos,minor,,
Santa Ana Arriba,7.933002,-80.363691,Panama,PA,Los Santos,minor,,
El Tejar,8.429733,-82.572943,Panama,PA,Chiriquí,minor,,
Llano de Piedra,7.659718,-80.563467,Panama,PA,Los Santos,minor,,
Bijagual,8.503208,-82.334043,Panama,PA,Chiriquí,minor,,
Veracruz,8.889883,-79.626032,Panama,PA,Panamá Oeste,minor,,
Nuevo Emperador,9.002734,-79.731413,Panama,PA,Panamá Oeste,minor,,
Cañita,9.215663,-78.889732,Panama,PA,Panamá,minor,,
Alanje,8.39791,-82.559467,Panama,PA,Chiriquí,minor,,
Cañas Gordas,8.743088,-82.912748,Panama,PA,Chiriquí,minor,,
Puerto Caimito,8.870223,-79.714234,Panama,PA,Panamá Oeste,minor,,
Hato Juli,8.349809,-81.845033,Panama,PA,Ngöbe-Buglé,minor,,
Cirí de Los Sotos,8.972058,-80.092087,Panama,PA,Panamá Oeste,minor,,
Kusapín,9.178229,-81.884842,Panama,PA,Ngöbe-Buglé,minor,,
Puerto Obaldía,8.662127,-77.421517,Panama,PA,Kuna Yala,minor,,
Puerto Pilón,9.363162,-79.793335,Panama,PA,Colón,minor,,
Salto Dupí,8.35146,-81.886592,Panama,PA,Ngöbe-Buglé,minor,,
San Carlos,8.473227,-79.961039,Panama,PA,Panamá Oeste,minor,,
San Carlos,8.516631,-82.509062,Panama,PA,Chiriquí,minor,,
La Encantada,9.087026,-80.191581,Panama,PA,Colón,minor,,
Llano Grande,8.638174,-80.438481,Panama,PA,Coclé,minor,,
Llano Grande,8.450533,-80.226758,Panama,PA,Coclé,minor,,
Sabana Grande,7.835429,-80.364904,Panama,PA,Los Santos,minor,,
Los Ángeles,7.884216,-80.357719,Panama,PA,Los Santos,minor,,
Santo Tomás,8.389585,-82.65058,Panama,PA,Chiriquí,minor,,
Viento Frío,9.578906,-79.411652,Panama,PA,Colón,minor,,
Ave María,7.324808,-80.453615,Panama,PA,Los Santos,minor,,
Chimán,8.69125,-78.635696,Panama,PA,Panamá,minor,,
La Laguna,8.338824,-80.729489,Panama,PA,Veraguas,minor,,
Sorá,8.631912,-80.008881,Panama,PA,Panamá Oeste,minor,,
Sortova,8.546418,-82.651696,Panama,PA,Chiriquí,minor,,
Toza,8.345424,-80.640116,Panama,PA,Coclé,minor,,
Chitré,7.960823,-80.429437,Panama,PA,Herrera,admin,,
Lídice,8.750374,-79.907113,Panama,PA,Panamá Oeste,minor,,
Coclé,8.45601,-80.428994,Panama,PA,Coclé,minor,,
Coclecito,8.808174,-80.556069,Panama,PA,Colón,minor,,
Coclé del Norte,9.066851,-80.569484,Panama,PA,Colón,minor,,
Pitaloza Arriba,7.642157,-80.667877,Panama,PA,Herrera,minor,,
Camogantí,8.038802,-77.890413,Panama,PA,Darién,minor,,
Cerro Pelado,8.162472,-81.539174,Panama,PA,Veraguas,minor,,
San Miguel,8.452356,-78.936943,Panama,PA,Panamá,minor,,
Piña,9.271336,-80.043185,Panama,PA,Colón,minor,,
Peñas Chatas,8.01502,-80.803661,Panama,PA,Herrera,minor,,
San Bartolo,8.210635,-81.275715,Panama,PA,Veraguas,minor,,
Nombre de Dios,9.579372,-79.471094,Panama,PA,Colón,minor,,
Las Lajas,8.241845,-81.869314,Panama,PA,Chiriquí,minor,,
Los Naranjos,8.792096,-82.446648,Panama,PA,Chiriquí,minor,,
La Ensenada,8.362272,-78.84938,Panama,PA,Panamá,minor,,
La Peña,8.127842,-81.026927,Panama,PA,Veraguas,minor,,
Lajas Adentro,8.249809,-81.877793,Panama,PA,Chiriquí,minor,,
Quebrada de Oro,8.037059,-81.393978,Panama,PA,Veraguas,minor,,
El Cañafístulo,7.617684,-80.233217,Panama,PA,Los Santos,minor,,
Los Asientos,7.516557,-80.135206,Panama,PA,Los Santos,minor,,
Montijo,7.988582,-81.056429,Panama,PA,Veraguas,minor,,
Santa María,8.111427,-80.665824,Panama,PA,Herrera,minor,,
Boquerón,8.244143,-80.858969,Panama,PA,Veraguas,minor,,
San Francisco,8.246522,-80.974721,Panama,PA,Veraguas,minor,,
Tucutí,7.927944,-77.945622,Panama,PA,Darién,minor,,
Cacique,9.608977,-79.616669,Panama,PA,Colón,minor,,
San José,8.372609,-81.404862,Panama,PA,Veraguas,minor,,
San José,8.467043,-80.805136,Panama,PA,Veraguas,minor,,
Rámbala,8.920462,-82.180599,Panama,PA,Bocas del Toro,minor,,
Pueblo Nuevo,8.884943,-82.200636,Panama,PA,Ngöbe-Buglé,minor,,
El Copé,8.437727,-80.679291,Panama,PA,Coclé,minor,,
Natá,8.33209,-80.519687,Panama,PA,Coclé,minor,,
La Esperanza,8.403443,-82.791966,Panama,PA,Chiriquí,minor,,
La Esmeralda,8.264506,-78.928011,Panama,PA,Panamá,minor,,
Guadalupe,8.854523,-79.81408,Panama,PA,Panamá Oeste,minor,,
Las Ollas Arriba,8.806748,-79.913108,Panama,PA,Panamá Oeste,minor,,
El Copé,8.621107,-80.579039,Panama,PA,Coclé,minor,,
Los Cerros de Paja,7.718211,-80.67273,Panama,PA,Herrera,minor,,
Lajas Blancas,8.414815,-77.811608,Panama,PA,Emberá-Wounaan,minor,,
Monjarás,8.369422,-80.866667,Panama,PA,Veraguas,minor,,
El Pedregoso,7.936421,-80.638074,Panama,PA,Herrera,minor,,
El Pedregoso,7.691728,-80.327931,Panama,PA,Los Santos,minor,,
Bahía Honda,7.848345,-80.676496,Panama,PA,Herrera,minor,,
Bahía Azul,9.135005,-81.888388,Panama,PA,Ngöbe-Buglé,minor,,
Bahía Honda,7.705171,-80.453416,Panama,PA,Los Santos,minor,,
Bugaba,8.482553,-82.619914,Panama,PA,Chiriquí,minor,,
El Carate,7.731238,-80.296915,Panama,PA,Los Santos,minor,,
El Calabacito,7.718432,-80.597572,Panama,PA,Herrera,minor,,
Chiriquí,8.39291,-82.319926,Panama,PA,Chiriquí,minor,,
Cascabel,8.526804,-81.874033,Panama,PA,Ngöbe-Buglé,minor,,
Los Olivos,7.915895,-80.488844,Panama,PA,Los Santos,minor,,
Llano Bonito,7.976373,-80.416459,Panama,PA,Herrera,minor,,
El Llano,9.211989,-78.959155,Panama,PA,Panamá,minor,,
Isla Grande,9.628556,-79.565151,Panama,PA,Colón,minor,,
Pocrí,7.658162,-80.121191,Panama,PA,Los Santos,minor,,
Pocrí,8.258141,-80.55,Panama,PA,Coclé,minor,,
Los Anastacios,8.52927,-82.421056,Panama,PA,Chiriquí,minor,,
Arco Iris,9.334039,-79.89172,Panama,PA,Colón,minor,,
Gómez,8.560848,-82.741418,Panama,PA,Chiriquí,minor,,
Boca del Guásimo,9.050526,-80.328777,Panama,PA,Colón,minor,,
Caldera,8.649066,-82.380578,Panama,PA,Chiriquí,minor,,
Tobobe,9.121107,-81.824707,Panama,PA,Ngöbe-Buglé,minor,,
El Puerto,8.212383,-81.807973,Panama,PA,Chiriquí,minor,,
Lolá,8.093258,-81.471634,Panama,PA,Veraguas,minor,,
Mariabé,7.582655,-80.0661,Panama,PA,Los Santos,minor,,
Guayabito,8.539493,-81.48225,Panama,PA,Ngöbe-Buglé,minor,,
Dos Ríos Abajo,8.528343,-82.386769,Panama,PA,Chiriquí,minor,,
Chepigana,8.28628,-78.051847,Panama,PA,Darién,minor,,
Chiriquí Grande,8.945569,-82.11769,Panama,PA,Bocas del Toro,minor,,
Cerro Largo,7.833774,-80.831681,Panama,PA,Herrera,minor,,
Llano Abajo,7.78598,-80.410598,Panama,PA,Los Santos,minor,,
Paraíso,7.685098,-80.160819,Panama,PA,Los Santos,minor,,
Limón,9.254777,-79.814103,Panama,PA,Colón,minor,,
Bajo Solis,8.347515,-81.529115,Panama,PA,Chiriquí,minor,,
La Loma,7.437083,-80.891178,Panama,PA,Veraguas,minor,,
El Rincón,8.18422,-81.433333,Panama,PA,Veraguas,minor,,
Arenosa,9.039775,-79.951278,Panama,PA,Panamá Oeste,minor,,
Cerro Banco,8.457966,-82.030808,Panama,PA,Ngöbe-Buglé,minor,,
La Colorada,8.013189,-80.985896,Panama,PA,Veraguas,minor,,
Gobea,9.159142,-80.250639,Panama,PA,Colón,minor,,
Calidonia,7.959167,-81.389722,Panama,PA,Veraguas,minor,,
El Potrero,8.521463,-80.516814,Panama,PA,Coclé,minor,,
Cerro Viejo,8.253492,-81.576583,Panama,PA,Chiriquí,minor,,
Salud,9.198413,-80.131858,Panama,PA,Colón,minor,,
El Cacao,7.445698,-80.409377,Panama,PA,Los Santos,minor,,
Paritilla,7.62848,-80.172399,Panama,PA,Los Santos,minor,,
La Laja,7.731017,-80.252978,Panama,PA,Los Santos,minor,,
La Garceana,7.93708,-81.016433,Panama,PA,Veraguas,minor,,
Ancón,8.95731,-79.555805,Panama,PA,Panamá,minor,,
El Valle,8.600533,-80.134575,Panama,PA,Coclé,minor,,
Oma,8.350191,-81.801771,Panama,PA,Ngöbe-Buglé,minor,,
El Limón,8.058054,-80.77289,Panama,PA,Herrera,minor,,
Gualaca,8.530062,-82.299593,Panama,PA,Chiriquí,minor,,
Santa Fé,8.510627,-81.078025,Panama,PA,Veraguas,minor,,
Santa Fé,8.655247,-78.161404,Panama,PA,Darién,minor,,
Cañaveral,8.517001,-80.429159,Panama,PA,Coclé,minor,,
San José,7.673946,-80.244375,Panama,PA,Los Santos,minor,,
Tinajas,8.552808,-82.459626,Panama,PA,Chiriquí,minor,,
Guabal,8.574658,-82.537298,Panama,PA,Chiriquí,minor,,
Las Huacas del Quije,8.467022,-80.750888,Panama,PA,Coclé,minor,,
Los Valles,8.44851,-81.198861,Panama,PA,Veraguas,minor,,
Los Pozos,7.783002,-80.645243,Panama,PA,Herrera,minor,,
San Juan,8.27724,-81.993451,Panama,PA,Chiriquí,minor,,
San Juan,8.303112,-81.015752,Panama,PA,Veraguas,minor,,
Limón de Tijeras,7.817561,-80.913355,Panama,PA,Herrera,minor,,
Santa Catalina,8.78193,-81.3279,Panama,PA,Ngöbe-Buglé,minor,,
Ciricito Abajo,8.799496,-80.077474,Panama,PA,Panamá Oeste,minor,,
Palmas Bellas,9.220021,-80.083689,Panama,PA,Colón,minor,,
Soloy,8.489734,-82.071361,Panama,PA,Ngöbe-Buglé,minor,,
Remedios,8.224357,-81.827465,Panama,PA,Chiriquí,minor,,
Churuquita Chiquita,8.575548,-80.27161,Panama,PA,Coclé,minor,,
Cabuya,8.543961,-80.163112,Panama,PA,Coclé,minor,,
Lajas de Tolé,8.16994,-81.696542,Panama,PA,Chiriquí,minor,,
Chepillo,8.95131,-79.13146,Panama,PA,Panamá,minor,,
Chicá,8.661614,-79.941756,Panama,PA,Panamá Oeste,minor,,
Lajero Arriba,8.290605,-81.770472,Panama,PA,Ngöbe-Buglé,minor,,
El Real,8.109913,-77.734384,Panama,PA,Darién,minor,,
El Marañón,8.035817,-81.214893,Panama,PA,Veraguas,minor,,
Santa Rosa,8.599582,-82.684889,Panama,PA,Chiriquí,minor,,
Santa Cruz,8.232187,-81.913227,Panama,PA,Chiriquí,minor,,
Palmira,7.663468,-80.357278,Panama,PA,Los Santos,minor,,
Palmira,9.543592,-79.219463,Panama,PA,Colón,minor,,
Rincón,8.463736,-82.279514,Panama,PA,Chiriquí,minor,,
Chupá,7.8,-80.574512,Panama,PA,Los Santos,minor,,
Camarón Arriba,8.383239,-81.993451,Panama,PA,Ngöbe-Buglé,minor,,
La Carrillo,7.969535,-80.883772,Panama,PA,Veraguas,minor,,
Cucunatí,8.57508,-78.25671,Panama,PA,Darién,minor,,
Cermeño,8.740819,-79.852993,Panama,PA,Panamá Oeste,minor,,
Guaca Arriba,8.537326,-82.492814,Panama,PA,Chiriquí,minor,,
Los Corotúes,8.420145,-81.10421,Panama,PA,Veraguas,minor,,
La Tiza,7.751103,-80.292156,Panama,PA,Los Santos,minor,,
Las Lomas,8.429271,-82.387426,Panama,PA,Chiriquí,minor,,
Las Palmas,8.135639,-81.456742,Panama,PA,Veraguas,minor,,
Las Palmas,7.678811,-80.495699,Panama,PA,Los Santos,minor,,
Bajo Corral,7.604632,-80.260163,Panama,PA,Los Santos,minor,,
Llano de Catival,7.633116,-80.998258,Panama,PA,Veraguas,minor,,
La Estrella,8.515715,-82.672122,Panama,PA,Chiriquí,minor,,
Jingurudó,7.879616,-78.076885,Panama,PA,Emberá-Wounaan,minor,,
La Miel,7.556066,-80.332343,Panama,PA,Los Santos,minor,,
Garachiné,8.060811,-78.375144,Panama,PA,Darién,minor,,
La Pintada,8.592988,-80.443489,Panama,PA,Coclé,minor,,
Nuestro Amo,8.444849,-80.589343,Panama,PA,Coclé,minor,,
Potrerillos Abajo,8.63978,-82.485595,Panama,PA,Chiriquí,minor,,
La Yeguada,8.430598,-80.857515,Panama,PA,Veraguas,minor,,
