city,lat,lng,country,iso2,admin,capital,population,population_proper
Lima,-12.05,-77.05,Peru,PE,Lima,primary,8012000,6758234
Callao,-12.056585,-77.118144,Peru,PE,Callao,admin,876877,695586
Arequipa,-16.398889,-71.535,Peru,PE,Arequipa,admin,815000,736570
Trujillo,-8.111944,-79.025556,Peru,PE,La Libertad,admin,765171,276921
Chilape,-6.729548,-79.835302,Peru,PE,Lambayeque,,596792,577375
Iquitos,-3.749125,-73.253828,Peru,PE,Loreto,admin,458729,437620
Huancayo,-12.065133,-75.204861,Peru,PE,Junín,admin,412733,376657
Piura,-5.194491,-80.632821,Peru,PE,Piura,admin,396932,325466
Cusco,-13.522643,-71.967344,Peru,PE,Cusco,admin,361182,312140
Chimbote,-9.067752,-78.591522,Peru,PE,Ancash,,349846,316966
Pucallpa,-8.385512,-74.539073,Peru,PE,Ucayali,admin,310750,299084
Tacna,-18.005556,-70.248333,Peru,PE,Tacna,,280098,241987
Ica,-14.067768,-75.728611,Peru,PE,Ica,admin,279420,246844
Juliaca,-15.48972,-70.130418,Peru,PE,Puno,,245675,223181
Ayacucho,-13.10546,-74.196769,Peru,PE,Ayacucho,,166314,140033
Sullana,-4.900721,-80.68642,Peru,PE,Piura,,160789,68204
Huánuco,-9.930617,-76.242228,Peru,PE,Huánuco,admin,158145,147959
Chincha Alta,-13.412831,-76.129898,Peru,PE,Ica,,153076,124140
Cajamarca,-7.163672,-78.509958,Peru,PE,Cajamarca,admin,142665,135000
Cerro de Pasco,-10.667478,-76.256679,Peru,PE,Pasco,admin,137232,78910
Puno,-15.842202,-70.019899,Peru,PE,Puno,admin,116552,106148
Tumbes,-3.56694,-80.45153,Peru,PE,Tumbes,admin,109223,102343
Talara,-4.577186,-81.269075,Peru,PE,Piura,,99074,50447
Chosica,-11.931596,-76.693444,Peru,PE,Lima,,88606,539
Huaraz,-9.527787,-77.527776,Peru,PE,Ancash,admin,86934,63039
Pisco,-13.707041,-76.200448,Peru,PE,Ica,,81207,61869
Huacho,-11.106667,-77.605,Peru,PE,Lima,,80474,54545
Chulucanas,-5.097238,-80.164861,Peru,PE,Piura,,68835,52035
Puerto Maldonado,-12.59331,-69.189128,Peru,PE,Madre de Dios,admin,67155,37543
Paita,-5.088485,-81.115501,Peru,PE,Piura,,56151,39632
Abancay,-13.633889,-72.881389,Peru,PE,Apurímac,admin,55111,52851
Moquegua,-17.198321,-70.935668,Peru,PE,Moquegua,admin,54517,22703
Ilo,-17.64013,-71.339476,Peru,PE,Moquegua,,53476,52908
Tingo María,-9.299724,-76.000385,Peru,PE,Huánuco,,53177,19100
