city,lat,lng,country,iso2,admin,capital,population,population_proper
Barilan,14.6333,121.0,Philippines,PH,Quezon,,11100000,3077575
Quezon City,14.6488,121.0509,Philippines,PH,Quezon,admin,2761720,2761720
Davao,7.073056,125.612778,Philippines,PH,Davao,admin,1402000,1212504
Cagayan de Oro,8.481111,124.643056,Philippines,PH,Cagayan de Oro,admin,1121561,602088
General Santos,6.112778,125.171667,Philippines,PH,General Santos,admin,950530,538086
Bacolod,10.6677,122.9533,Philippines,PH,Bacolod,admin,949354,511820
Cebu City,10.311111,123.891667,Philippines,PH,Cebu,admin,815000,798634
Zamboanga City,6.910255,122.071715,Philippines,PH,Zamboanga,admin,773000,457623
Dinaga,13.65,123.166667,Philippines,PH,Camarines Sur,,741635,174931
Iligan,8.230833,124.236111,Philippines,PH,Iligan,admin,464599,464599
Baguio City,16.417155,120.590998,Philippines,PH,Baguio,admin,447824,272714
Bulagang,13.81209,120.995387,Philippines,PH,Batangas,,424508,237370
Pasay City,14.54559,120.995818,Philippines,PH,Pasay,admin,403064,403064
Bulilao,10.7,122.566667,Philippines,PH,Iloilo,,387681,387681
Legazpi City,13.1387,123.7353,Philippines,PH,Albay,admin,320081,320081
Angeles City,15.146953,120.588858,Philippines,PH,Angeles,admin,314493,314493
Olongapo,14.838908,120.285118,Philippines,PH,Olongapo,admin,304388,227270
Cadiz,10.9465,123.288,Philippines,PH,Negros Occidental,,283157,129053
Tacloban,11.243333,125.004722,Philippines,PH,Tacloban,admin,280006,189090
Cotabato,7.223611,124.246389,Philippines,PH,Cotabato,admin,279519,179433
San Ignacio,14.0464,121.3446,Philippines,PH,Laguna,,240830,207577
Cabanatuan City,15.485863,120.966476,Philippines,PH,Nueva Ecija,,220250,220250
Lagui,18.1993,120.6328,Philippines,PH,Ilocos Norte,,207048,102105
Butuan,8.949167,125.543611,Philippines,PH,Butuan,admin,190557,190557
Tarlac City,15.480169,120.59794,Philippines,PH,Tarlac,admin,183930,183930
Dagupan City,16.0435,120.3397,Philippines,PH,Dagupan,admin,163676,163676
Pagadian,7.8257,123.437,Philippines,PH,Zamboanga del Sur,admin,159590,159590
Puerto Princesa,9.739167,118.735278,Philippines,PH,Puerto Princesa,admin,157144,138620
Tuguegarao,17.615772,121.722849,Philippines,PH,Cagayan,admin,115105,115105
Roxas City,11.585278,122.751111,Philippines,PH,Capiz,admin,102688,81073
Misamis,8.168333,123.8475,Philippines,PH,Misamis Occidental,,97806,93082
Surigao,9.789,125.495,Philippines,PH,Surigao del Norte,admin,87832,42134
Cagbanayacao,12.066667,124.583333,Philippines,PH,Samar,,67921,42109
Vigan,17.571456,120.385975,Philippines,PH,Ilocos Sur,admin,48545,48545
Tagum,7.447493,125.809359,Philippines,PH,Davao del Norte,admin,6726,6726
San Carlos,10.484,123.4203,Philippines,PH,Negros Occidental,,6353,6353
Gingoog,8.827778,125.099722,Philippines,PH,Misamis Oriental,,218,218
Mamburao,13.2233,120.596,Philippines,PH,Occidental Mindoro,admin,,
Roseller Lim,7.656054,122.467137,Philippines,PH,Zamboanga Sibugay,minor,,
Agdangan,13.877101,121.913054,Philippines,PH,Quezon,minor,,
Bongao,5.029167,119.773056,Philippines,PH,Tawi-Tawi,admin,,
San Jose,10.18,125.568333,Philippines,PH,Dinagat Islands,admin,,
Alabel,6.101792,125.290478,Philippines,PH,Sarangani,admin,,
Siquijor,9.2142,123.515,Philippines,PH,Siquijor,admin,,
Marikina City,14.64138,121.111796,Philippines,PH,Marikina,admin,,
Antipolo,14.5886,121.1757,Philippines,PH,Rizal,admin,,
Naga City,13.6232,123.1841,Philippines,PH,Naga,admin,,
Bontoc,17.0899,120.978,Philippines,PH,Mountain,admin,,
Argao,9.881441,123.600694,Philippines,PH,Cebu,minor,,
Sikatuna,9.690396,123.972983,Philippines,PH,Bohol,minor,,
Candelaria,13.931111,121.423333,Philippines,PH,Quezon,minor,,
Lapu-Lapu City,10.310278,123.949444,Philippines,PH,Lapu-Lapu,admin,,
Hinatuan,8.368919,126.335179,Philippines,PH,Surigao del Sur,minor,,
Iloilo,10.696944,122.564444,Philippines,PH,Iloilo,admin,,
Virac,13.5848,124.2374,Philippines,PH,Catanduanes,admin,,
Dauis,9.625278,123.865833,Philippines,PH,Bohol,minor,,
Baler,15.7589,121.5607,Philippines,PH,Aurora,admin,,
Ipil,7.784444,122.586111,Philippines,PH,Zamboanga Sibugay,admin,,
Kalibo,11.7086,122.3648,Philippines,PH,Aklan,admin,,
Tiaong,13.963832,121.321212,Philippines,PH,Quezon,minor,,
Mandaue City,10.323663,123.943558,Philippines,PH,Mandaue,admin,,
Bayombong,16.4812,121.1497,Philippines,PH,Nueva Vizcaya,admin,,
Navotas,14.647676,120.959073,Philippines,PH,Navotas,admin,,
Monkayo,7.816984,126.052435,Philippines,PH,Compostela Valley,minor,,
Catarman,12.4989,124.6377,Philippines,PH,Northern Samar,admin,,
Batangas,13.7567,121.0584,Philippines,PH,Batangas,admin,,
Ilagan,17.148539,121.889244,Philippines,PH,Isabela,admin,,
Cabarroguis,16.511054,121.521176,Philippines,PH,Quirino,admin,,
Madridejos,9.791157,123.3462,Philippines,PH,Cebu,minor,,
Kabugao,18.023116,121.184003,Philippines,PH,Apayao,admin,,
Tagbilaran City,9.655563,123.852187,Philippines,PH,Bohol,minor,,
Naval,11.5612,124.3952,Philippines,PH,Biliran,admin,,
Santa Cruz,14.116667,121.283333,Philippines,PH,Laguna,admin,,
Digos,6.749722,125.357222,Philippines,PH,Davao del Sur,admin,,
San Juan,14.6,121.0333,Philippines,PH,San Juan,admin,,
Mandaluyong City,14.5832,121.0409,Philippines,PH,Mandaluyong,admin,,
Maasin,10.133611,124.844722,Philippines,PH,Southern Leyte,admin,,
Malaybalay,8.1575,125.127778,Philippines,PH,Bukidnon,admin,,
Manila,14.6042,120.9822,Philippines,PH,,primary,,
Badian,9.869141,123.394689,Philippines,PH,Cebu,minor,,
Muntinlupa City,14.413494,121.026322,Philippines,PH,Muntinlupa,admin,,
Taguig City,14.528899,121.072257,Philippines,PH,Taguig,admin,,
City of Parañaque,14.497752,120.990737,Philippines,PH,Parañaque,admin,,
Daet,14.1122,122.9553,Philippines,PH,Camarines Norte,admin,,
San Fernando,16.618611,120.319444,Philippines,PH,La Union,admin,,
Kidapawan,7.008333,125.089444,Philippines,PH,Cotabato,admin,,
Bangued,17.5982,120.6155,Philippines,PH,Abra,admin,,
Padre Burgos,13.922599,121.811627,Philippines,PH,Quezon,minor,,
Padre Burgos,10.036944,125.019167,Philippines,PH,Southern Leyte,minor,,
