city,lat,lng,country,iso2,admin,capital,population,population_proper
Katowice,50.258415,19.027545,Poland,PL,Śląskie,admin,2746000,308724
Warsaw,52.25,21.0,Poland,PL,Mazowieckie,primary,1707000,1702139
Łódź,51.75,19.466667,Poland,PL,Łódzkie,admin,758000,758000
Kraków,50.057531,19.980216,Poland,PL,Małopolskie,admin,756000,755050
Gdańsk,54.36085,18.658291,Poland,PL,Pomorskie,admin,740000,455830
Bytom,50.348017,18.932822,Poland,PL,Śląskie,minor,662247,189186
Wrocław,51.1,17.033333,Poland,PL,Dolnośląskie,admin,634893,610049
Poznań,52.416667,16.966667,Poland,PL,Wielkopolskie,admin,623997,570352
Gliwice,50.297612,18.676583,Poland,PL,Śląskie,minor,507670,198835
Szczecin,53.439531,14.593891,Poland,PL,Zachodniopomorskie,admin,407811,372672
Bydgoszcz,53.127062,18.019987,Poland,PL,Kujawsko-Pomorskie,admin,366452,365992
Lublin,51.25,22.566667,Poland,PL,Lubelskie,admin,360044,355958
Gdynia,54.5,18.55,Poland,PL,Pomorskie,minor,314664,253730
Białystok,53.133333,23.15,Poland,PL,Podlaskie,admin,291855,285590
Rzeszów,50.037246,22.004949,Poland,PL,Podkarpackie,admin,245686,158382
Kielce,50.873686,20.630266,Poland,PL,Świętokrzyskie,admin,215733,208598
Olsztyn,53.779949,20.494162,Poland,PL,Warmińsko-Mazurskie,admin,186670,171803
Opole,50.672115,17.925325,Poland,PL,Opolskie,admin,131412,127676
Elbląg,54.1522,19.408841,Poland,PL,Warmińsko-Mazurskie,minor,127558,121106
Zielona Góra,51.939345,15.505772,Poland,PL,Lubuskie,admin,118433,109298
Koszalin,54.193589,16.184916,Poland,PL,Zachodniopomorskie,minor,107450,107450
Twierdza Grudziadz,53.5,18.75,Poland,PL,Kujawsko-Pomorskie,,102443,99486
Inowrocław,52.798858,18.263875,Poland,PL,Kujawsko-Pomorskie,minor,79007,77597
Ełk,53.826478,22.365416,Poland,PL,Warmińsko-Mazurskie,minor,55769,46856
Nakło nad Notecią,53.141874,17.602976,Poland,PL,Kujawsko-Pomorskie,minor,,
Ustrzyki Dolne,49.430858,22.584761,Poland,PL,Podkarpackie,minor,,
Sępólno Krajeńskie,53.452046,17.539826,Poland,PL,Kujawsko-Pomorskie,minor,,
Gorlice,49.658084,21.159693,Poland,PL,Małopolskie,minor,,
Nowy Targ,49.477579,20.029205,Poland,PL,Małopolskie,minor,,
Nowy Tomyśl,52.316477,16.133629,Poland,PL,Wielkopolskie,minor,,
Łask,51.588037,19.125084,Poland,PL,Łódzkie,minor,,
Bolesławiec,51.264183,15.569703,Poland,PL,Dolnośląskie,minor,,
Olecko,54.036431,22.508387,Poland,PL,Warmińsko-Mazurskie,minor,,
Biała Podlaska,52.03129,23.121418,Poland,PL,Lubelskie,minor,,
Polkowice,51.50618,16.072623,Poland,PL,Dolnośląskie,minor,,
Nisko,50.518509,22.144659,Poland,PL,Podkarpackie,minor,,
Brzozów,49.695431,22.020189,Poland,PL,Podkarpackie,minor,,
Ruda Śląska,50.307941,18.855156,Poland,PL,Śląskie,minor,,
Bełchatów,51.366503,19.374485,Poland,PL,Łódzkie,minor,,
Brodnica,53.25,19.4,Poland,PL,Kujawsko-Pomorskie,minor,,
Tychy,50.137167,18.96641,Poland,PL,Śląskie,minor,,
Oborniki,52.647394,16.814061,Poland,PL,Wielkopolskie,minor,,
Choszczno,53.169051,15.420537,Poland,PL,Zachodniopomorskie,minor,,
Lesko,49.47113,22.329802,Poland,PL,Podkarpackie,minor,,
Będzin,50.319705,19.145249,Poland,PL,Śląskie,minor,,
Hrubieszów,50.805019,23.892508,Poland,PL,Lubelskie,minor,,
Sztum,53.920268,19.031101,Poland,PL,Pomorskie,minor,,
Świętochłowice,50.292455,18.914684,Poland,PL,Śląskie,minor,,
Strzelin,50.783958,17.066399,Poland,PL,Dolnośląskie,minor,,
Zwoleń,51.355901,21.582678,Poland,PL,Mazowieckie,minor,,
Głogów,51.663026,16.075688,Poland,PL,Dolnośląskie,minor,,
Grodzisk Mazowiecki,52.106384,20.623141,Poland,PL,Mazowieckie,minor,,
Pruszków,52.162608,20.812948,Poland,PL,Mazowieckie,minor,,
Radomsko,51.066749,19.454424,Poland,PL,Łódzkie,minor,,
Police,53.542062,14.555212,Poland,PL,Zachodniopomorskie,minor,,
Rypin,53.067489,19.415666,Poland,PL,Kujawsko-Pomorskie,minor,,
Ożarów Mazowiecki,52.233333,20.85,Poland,PL,Mazowieckie,minor,,
Wodzisław Śląski,50.010983,18.455074,Poland,PL,Śląskie,minor,,
Zabrze,50.306355,18.783333,Poland,PL,Śląskie,minor,,
Pajęczno,51.144491,18.996116,Poland,PL,Łódzkie,minor,,
Sokółka,53.407154,23.502278,Poland,PL,Podlaskie,minor,,
Ostrzeszów,51.425661,17.930084,Poland,PL,Wielkopolskie,minor,,
Pszczyna,49.976483,18.947323,Poland,PL,Śląskie,minor,,
Jarocin,51.97076,17.498773,Poland,PL,Wielkopolskie,minor,,
Lubań,51.120143,15.287678,Poland,PL,Dolnośląskie,minor,,
Lubaczów,50.159707,23.122425,Poland,PL,Podkarpackie,minor,,
Bielsko-Biała,49.822449,19.046863,Poland,PL,Śląskie,minor,,
Kamień Pomorski,53.968946,14.772834,Poland,PL,Zachodniopomorskie,minor,,
Szydłowiec,51.224862,20.858566,Poland,PL,Mazowieckie,minor,,
Żagań,51.615804,15.314769,Poland,PL,Lubuskie,minor,,
Cieszyn,49.74634,18.636093,Poland,PL,Śląskie,minor,,
Jaworzno,50.206025,19.270062,Poland,PL,Śląskie,minor,,
Lidzbark Warmiński,54.128687,20.57807,Poland,PL,Warmińsko-Mazurskie,minor,,
Węgrów,52.401958,22.016667,Poland,PL,Mazowieckie,minor,,
Czarnków,52.902144,16.564126,Poland,PL,Wielkopolskie,minor,,
Wieruszów,51.298167,18.157387,Poland,PL,Łódzkie,minor,,
Kętrzyn,54.079293,21.370583,Poland,PL,Warmińsko-Mazurskie,minor,,
Stargard Szczeciński,53.341761,15.052135,Poland,PL,Zachodniopomorskie,minor,,
Wadowice,49.884086,19.491489,Poland,PL,Małopolskie,minor,,
Gniezno,52.53944,17.611262,Poland,PL,Wielkopolskie,minor,,
Słupca,52.290352,17.873101,Poland,PL,Wielkopolskie,minor,,
Opatów,50.800952,21.423434,Poland,PL,Świętokrzyskie,minor,,
Wejherowo,54.605211,18.235514,Poland,PL,Pomorskie,minor,,
Łęczna,51.304588,22.883235,Poland,PL,Lubelskie,minor,,
Białobrzegi,51.646641,20.950269,Poland,PL,Mazowieckie,minor,,
Olkusz,50.27916,19.563162,Poland,PL,Małopolskie,minor,,
Zamość,50.724679,23.260629,Poland,PL,Lubelskie,minor,,
Lipno,52.845174,19.182561,Poland,PL,Kujawsko-Pomorskie,minor,,
Łańcut,50.06819,22.228955,Poland,PL,Podkarpackie,minor,,
Parczew,51.642884,22.908449,Poland,PL,Lubelskie,minor,,
Limanowa,49.704128,20.42245,Poland,PL,Małopolskie,minor,,
Tarnowskie Góry,50.448546,18.851463,Poland,PL,Śląskie,minor,,
Kłobuck,50.90298,18.937036,Poland,PL,Śląskie,minor,,
Pyrzyce,53.145647,14.892897,Poland,PL,Zachodniopomorskie,minor,,
Tuchola,53.586661,17.86059,Poland,PL,Kujawsko-Pomorskie,minor,,
Starachowice,51.051914,21.088273,Poland,PL,Świętokrzyskie,minor,,
Kartuzy,54.333333,18.2,Poland,PL,Pomorskie,minor,,
Lubartów,51.462888,22.607754,Poland,PL,Lubelskie,minor,,
Sanok,49.558958,22.202951,Poland,PL,Podkarpackie,minor,,
Wysokie Mazowieckie,52.917069,22.511442,Poland,PL,Podlaskie,minor,,
Nowy Dwór Gdański,54.21305,19.117714,Poland,PL,Pomorskie,minor,,
Nowy Dwór Mazowiecki,52.430356,20.715855,Poland,PL,Mazowieckie,minor,,
Piła,53.154997,16.746074,Poland,PL,Wielkopolskie,minor,,
Nowe Miasto Lubawskie,53.422694,19.592512,Poland,PL,Warmińsko-Mazurskie,minor,,
Żyrardów,52.055392,20.441451,Poland,PL,Mazowieckie,minor,,
Sucha Beskidzka,49.737591,19.587148,Poland,PL,Małopolskie,minor,,
Gostyń,51.882468,17.012255,Poland,PL,Wielkopolskie,minor,,
Chełm,51.135831,23.482511,Poland,PL,Lubelskie,minor,,
Sochaczew,52.233333,20.25,Poland,PL,Mazowieckie,minor,,
Leżajsk,50.260132,22.421242,Poland,PL,Podkarpackie,minor,,
Mogilno,52.660492,17.956662,Poland,PL,Kujawsko-Pomorskie,minor,,
Sierpc,52.852857,19.668927,Poland,PL,Mazowieckie,minor,,
Ryki,51.623966,21.933517,Poland,PL,Lubelskie,minor,,
Racibórz,50.090569,18.207455,Poland,PL,Śląskie,minor,,
Staszów,50.56342,21.168666,Poland,PL,Świętokrzyskie,minor,,
Chełmno,53.35,18.433333,Poland,PL,Kujawsko-Pomorskie,minor,,
Dąbrowa Górnicza,50.326206,19.224381,Poland,PL,Śląskie,minor,,
Garwolin,51.897384,21.614392,Poland,PL,Mazowieckie,minor,,
Krasnystaw,50.985028,23.172715,Poland,PL,Lubelskie,minor,,
Kozienice,51.583602,21.549937,Poland,PL,Mazowieckie,minor,,
Mysłowice,50.236209,19.141123,Poland,PL,Śląskie,minor,,
Zgorzelec,51.153659,15.008839,Poland,PL,Dolnośląskie,minor,,
Słupsk,54.467761,17.027457,Poland,PL,Pomorskie,minor,,
Turek,52.017722,18.50559,Poland,PL,Wielkopolskie,minor,,
Żnin,52.853617,17.716677,Poland,PL,Kujawsko-Pomorskie,minor,,
Skierniewice,51.966667,20.15,Poland,PL,Łódzkie,minor,,
Sejny,54.107505,23.34792,Poland,PL,Podlaskie,minor,,
Pisz,53.627444,21.812528,Poland,PL,Warmińsko-Mazurskie,minor,,
Wieluń,51.221009,18.566548,Poland,PL,Łódzkie,minor,,
Świecie,53.409527,18.44512,Poland,PL,Kujawsko-Pomorskie,minor,,
Stalowa Wola,50.551635,22.051089,Poland,PL,Podkarpackie,minor,,
Tczew,54.092291,18.79467,Poland,PL,Pomorskie,minor,,
Radzyń Podlaski,51.783333,22.616667,Poland,PL,Lubelskie,minor,,
Świdnik,51.22057,22.700337,Poland,PL,Lubelskie,minor,,
Białogard,54.00937,15.986562,Poland,PL,Zachodniopomorskie,minor,,
Końskie,51.191432,20.408217,Poland,PL,Świętokrzyskie,minor,,
Zgierz,51.84469,19.408752,Poland,PL,Łódzkie,minor,,
Krapkowice,50.474689,17.965447,Poland,PL,Opolskie,minor,,
Legnica,51.210062,16.161898,Poland,PL,Dolnośląskie,minor,,
Legionowo,52.401488,20.926636,Poland,PL,Mazowieckie,minor,,
Bartoszyce,54.250693,20.814911,Poland,PL,Warmińsko-Mazurskie,minor,,
Chrzanów,50.139468,19.40626,Poland,PL,Małopolskie,minor,,
Słubice,52.355255,14.564826,Poland,PL,Lubuskie,minor,,
Strzelce Krajeńskie,52.876306,15.5326,Poland,PL,Lubuskie,minor,,
Nidzica,53.360936,20.426476,Poland,PL,Warmińsko-Mazurskie,minor,,
Głubczyce,50.202034,17.829379,Poland,PL,Opolskie,minor,,
Włoszczowa,50.852583,19.966843,Poland,PL,Świętokrzyskie,minor,,
Skarżysko-Kamienna,51.117238,20.895717,Poland,PL,Świętokrzyskie,minor,,
Kalisz,51.76109,18.091018,Poland,PL,Wielkopolskie,minor,,
Opole Lubelskie,51.148001,21.969903,Poland,PL,Lubelskie,minor,,
Międzychód,52.599017,15.890664,Poland,PL,Wielkopolskie,minor,,
Olesno,50.876976,18.420937,Poland,PL,Opolskie,minor,,
Działdowo,53.239581,20.170041,Poland,PL,Warmińsko-Mazurskie,minor,,
Mielec,50.286188,21.432657,Poland,PL,Podkarpackie,minor,,
Ostrów Mazowiecka,52.803342,21.895544,Poland,PL,Mazowieckie,minor,,
Pułtusk,52.704141,21.083007,Poland,PL,Mazowieckie,minor,,
Kraśnik,50.922758,22.22648,Poland,PL,Lubelskie,minor,,
Miechów,50.356529,20.030126,Poland,PL,Małopolskie,minor,,
