city,lat,lng,country,iso2,admin,capital,population,population_proper
San Juan,18.4663338,-66.1057217,Puerto Rico,PR,,primary,2478905,395326
Mayagüez,18.201066,-67.139624,Puerto Rico,PR,,,291339,78647
Bayamón,18.3985595,-66.1557224,Puerto Rico,PR,,,185996,185996
Ponce,18.0110768,-66.6140616,Puerto Rico,PR,,,160334,152634
Carolina,18.3807819,-65.9573872,Puerto Rico,PR,,,157832,157832
Caguas,18.2341217,-66.0484989,Puerto Rico,PR,,,82243,82243
Guaynabo,18.3574502,-66.1109998,Puerto Rico,PR,,,75443,75443
Arecibo,18.472445,-66.7157306,Puerto Rico,PR,,,69307,49318
Trujillo Alto,18.3546719,-66.0073876,Puerto Rico,PR,,,48437,48437
Fajardo,18.3257869,-65.6523838,Puerto Rico,PR,,,28930,28930
Cataño,18.4413351,-66.1182218,Puerto Rico,PR,,,28140,28140
Levittown,18.4499458,-66.1815558,Puerto Rico,PR,,,26960,26960
Vega Baja,18.4443909,-66.38767,Puerto Rico,PR,,,25905,25905
Guayama,17.9841328,-66.1137767,Puerto Rico,PR,,,22691,22691
Humacao,18.1496828,-65.8273847,Puerto Rico,PR,,,18629,18629
Yauco,18.034964,-66.8498983,Puerto Rico,PR,,,17186,17186
Candelaria,18.4041147,-66.2087786,Puerto Rico,PR,,,16760,16760
Cayey,18.1119051,-66.166,Puerto Rico,PR,,,16680,16680
Manatí,18.4274472,-66.4921159,Puerto Rico,PR,,,14011,14011
Aguadilla,18.4274454,-67.1540698,Puerto Rico,PR,,,13310,13310
Dorado,18.4588347,-66.2676683,Puerto Rico,PR,,,13258,13258
Río Grande,18.380227,-65.8312749,Puerto Rico,PR,,,12677,12677
Hormigueros,18.1396799,-67.1274019,Puerto Rico,PR,,,12443,12443
Coamo,18.0799617,-66.3579473,Puerto Rico,PR,,,11522,11522
Isabela,18.500776,-67.0243462,Puerto Rico,PR,,,11255,11255
San Germán,18.0816273,-67.0449008,Puerto Rico,PR,,,10989,10989
Vega Alta,18.4121703,-66.3312805,Puerto Rico,PR,,,10266,10266
Corozal,18.3410622,-66.3168357,Puerto Rico,PR,,,10160,10160
Pájaros,18.3685609,-66.2168343,Puerto Rico,PR,,,10122,10122
Cabo Rojo,18.0866265,-67.1457347,Puerto Rico,PR,,,9803,9803
Sabana Seca,18.4268914,-66.1846115,Puerto Rico,PR,,,9705,9705
San Sebastián,18.3366166,-66.9901782,Puerto Rico,PR,,,9622,9622
Utuado,18.2655095,-66.7004519,Puerto Rico,PR,,,8397,8397
Aibonito,18.1399594,-66.2660016,Puerto Rico,PR,,,8249,8249
Sabana Grande,18.0777392,-66.9604549,Puerto Rico,PR,,,8179,8179
San Lorenzo,18.189402,-65.9609971,Puerto Rico,PR,,,8037,8037
Juana Díaz,18.0524629,-66.5065611,Puerto Rico,PR,,,7916,7916
Luquillo,18.3724507,-65.7165511,Puerto Rico,PR,,,7761,7761
Gurabo,18.2543987,-65.9729421,Puerto Rico,PR,,,7609,7609
San Antonio,18.4488351,-66.302669,Puerto Rico,PR,,,7574,7574
Juncos,18.2274558,-65.920997,Puerto Rico,PR,,,7564,7564
Canóvanas,18.3782623,-65.9056191,Puerto Rico,PR,,,7297,7297
Guánica,17.971633,-66.9079537,Puerto Rico,PR,,,7254,7254
Campanilla,18.4213363,-66.2368345,Puerto Rico,PR,,,6868,6868
San Isidro,18.3921707,-65.8854421,Puerto Rico,PR,,,6828,6828
Arroyo,17.9658005,-66.0612756,Puerto Rico,PR,,,6396,6396
Yabucoa,18.0505201,-65.8793288,Puerto Rico,PR,,,6047,6047
Puerto Real,18.0749601,-67.1871243,Puerto Rico,PR,,,5983,5983
Santa Isabel,17.9660775,-66.404892,Puerto Rico,PR,,,5976,5976
Las Piedras,18.183014,-65.8662742,Puerto Rico,PR,,,5883,5883
Peñuelas,18.0563518,-66.7215633,Puerto Rico,PR,,,5859,5859
Coco,18.0071869,-66.2593344,Puerto Rico,PR,,,5758,5758
Ceiba,18.2641226,-65.6484951,Puerto Rico,PR,,,5633,5633
Ingenio,18.4421686,-66.226001,Puerto Rico,PR,,,5354,5354
Quebradillas,18.473833,-66.938512,Puerto Rico,PR,,,5282,5282
