city,lat,lng,country,iso2,admin,capital,population,population_proper
Lisbon,38.716667,-9.133333,Portugal,PT,Lisboa,primary,2812000,517802
Picotos,41.192402,-8.619816,Portugal,PT,Porto,,1337000,249633
Braga,41.550323,-8.420052,Portugal,PT,Braga,admin,826833,181819
Funchal,32.633333,-16.9,Portugal,PT,Madeira,admin,204767,100847
Setúbal,38.533333,-8.9,Portugal,PT,Setúbal,admin,117974,117110
Copeira,40.176915,-8.424018,Portugal,PT,Coimbra,,106582,89131
Ponta Delgada,37.733333,-25.666667,Portugal,PT,Azores,admin,61526,20056
Portimão,37.136636,-8.539796,Portugal,PT,Faro,minor,61226,38487
Évora,38.566667,-7.9,Portugal,PT,Évora,admin,55620,55620
Aveiro,40.644269,-8.645535,Portugal,PT,Aveiro,admin,54162,54162
Leiria,39.747724,-8.804995,Portugal,PT,Leiria,admin,45112,45112
Faro,37.019367,-7.932229,Portugal,PT,Faro,admin,41355,21163
Beja,38.015064,-7.863227,Portugal,PT,Beja,admin,35854,21658
Bragança,41.805817,-6.757189,Portugal,PT,Bragança,admin,34375,34375
Castelo Branco,39.822191,-7.490869,Portugal,PT,Castelo Branco,admin,33479,33479
Guarda,40.537328,-7.265749,Portugal,PT,Guarda,admin,32111,32111
Santarém,39.233333,-8.683333,Portugal,PT,Santarém,admin,29385,29385
Viseu,40.661014,-7.909714,Portugal,PT,Viseu,admin,26364,26364
Covilhã,40.286011,-7.503961,Portugal,PT,Castelo Branco,minor,24828,17610
Vila Marim,41.304961,-7.779743,Portugal,PT,Vila Real,,17001,17001
Portalegre,39.297178,-7.430151,Portugal,PT,Portalegre,admin,15581,15581
Viana do Castelo,41.693234,-8.832869,Portugal,PT,Viana do Castelo,admin,15555,15555
Angra do Heroísmo,38.65,-27.216667,Portugal,PT,Azores,,12045,10228
Portela,38.533333,-28.666667,Portugal,PT,Azores,,6611,6572
Lagos,37.101782,-8.674242,Portugal,PT,Faro,minor,,
Paredes de Coura,41.910125,-8.560938,Portugal,PT,Viana do Castelo,minor,,
São João da Pesqueira,41.148051,-7.404888,Portugal,PT,Viseu,minor,,
São João da Madeira,40.900956,-8.499744,Portugal,PT,Aveiro,minor,,
Fornos de Algodres,40.628072,-7.540638,Portugal,PT,Guarda,minor,,
Castelo de Paiva,41.063007,-8.264696,Portugal,PT,Aveiro,minor,,
Portel,38.30697,-7.702435,Portugal,PT,Évora,minor,,
Porto,41.149606,-8.610993,Portugal,PT,Porto,admin,,
Sertã,39.808461,-8.098829,Portugal,PT,Castelo Branco,minor,,
Vila do Bispo,37.083172,-8.911438,Portugal,PT,Faro,minor,,
Fronteira,39.056291,-7.648679,Portugal,PT,Portalegre,minor,,
Alfândega da Fé,41.343149,-6.961124,Portugal,PT,Bragança,minor,,
Celorico da Beira,40.637232,-7.39037,Portugal,PT,Guarda,minor,,
Alcoutim,37.474317,-7.472282,Portugal,PT,Faro,minor,,
Arronches,39.122417,-7.286192,Portugal,PT,Portalegre,minor,,
Amarante,41.272711,-8.082455,Portugal,PT,Porto,minor,,
Tabuaço,41.116147,-7.567934,Portugal,PT,Viseu,minor,,
Gouveia,40.494455,-7.592145,Portugal,PT,Guarda,minor,,
Aguiar da Beira,40.817264,-7.544307,Portugal,PT,Guarda,minor,,
Idanha-a-Nova,39.923157,-7.240819,Portugal,PT,Castelo Branco,minor,,
Ribeira de Pena,41.52147,-7.802372,Portugal,PT,Vila Real,minor,,
Seia,40.415099,-7.708586,Portugal,PT,Guarda,minor,,
Rio Maior,39.337325,-8.939063,Portugal,PT,Santarém,minor,,
Condeixa-a-Nova,40.115733,-8.498336,Portugal,PT,Coimbra,minor,,
Mação,39.555734,-7.994215,Portugal,PT,Santarém,minor,,
Lousada,41.278223,-8.279926,Portugal,PT,Porto,minor,,
Trancoso,40.783291,-7.350157,Portugal,PT,Guarda,minor,,
Estarreja,40.756482,-8.572074,Portugal,PT,Aveiro,minor,,
Moita,38.650779,-8.990383,Portugal,PT,Setúbal,minor,,
Ponte de Lima,41.767188,-8.583926,Portugal,PT,Viana do Castelo,minor,,
Guimarães,41.444435,-8.296189,Portugal,PT,Braga,minor,,
Sobral de Monte Agraço,39.019579,-9.150809,Portugal,PT,Lisboa,minor,,
Seixal,38.64008,-9.101412,Portugal,PT,Setúbal,minor,,
Almeirim,39.209028,-8.616426,Portugal,PT,Santarém,minor,,
Cantanhede,40.346708,-8.594195,Portugal,PT,Coimbra,minor,,
Elvas,38.881502,-7.162817,Portugal,PT,Portalegre,minor,,
Ponte da Barca,41.804509,-8.415541,Portugal,PT,Viana do Castelo,minor,,
Golegã,39.40474,-8.48625,Portugal,PT,Santarém,minor,,
Anadia,40.438409,-8.43352,Portugal,PT,Aveiro,minor,,
Moura,38.140095,-7.44856,Portugal,PT,Beja,minor,,
Avis,39.05391,-7.891556,Portugal,PT,Portalegre,minor,,
Águeda,40.577205,-8.444418,Portugal,PT,Aveiro,minor,,
Valongo,41.195007,-8.51027,Portugal,PT,Porto,minor,,
Caminha,41.874874,-8.837321,Portugal,PT,Viana do Castelo,minor,,
Ourique,37.653897,-8.225687,Portugal,PT,Beja,minor,,
Sardoal,39.535994,-8.161413,Portugal,PT,Santarém,minor,,
Vila do Conde,41.354811,-8.743397,Portugal,PT,Porto,minor,,
Alijó,41.276781,-7.474883,Portugal,PT,Vila Real,minor,,
Monchique,37.317748,-8.555294,Portugal,PT,Faro,minor,,
Cabeceiras de Basto,41.514312,-7.989415,Portugal,PT,Braga,minor,,
Aljezur,37.319152,-8.803305,Portugal,PT,Faro,minor,,
Castanheira de Pêra,40.007169,-8.210484,Portugal,PT,Leiria,minor,,
Melgaço,42.113371,-8.260161,Portugal,PT,Viana do Castelo,minor,,
Gavião,39.464431,-7.934494,Portugal,PT,Portalegre,minor,,
Monforte,39.053297,-7.437582,Portugal,PT,Portalegre,minor,,
Vila Viçosa,38.777696,-7.417927,Portugal,PT,Évora,minor,,
Almodôvar,37.512792,-8.060077,Portugal,PT,Beja,minor,,
Redondo,38.648716,-7.547082,Portugal,PT,Évora,minor,,
Vila Nova de Cerveira,41.941184,-8.742304,Portugal,PT,Viana do Castelo,minor,,
Mafra,38.937933,-9.327565,Portugal,PT,Lisboa,minor,,
Lousã,40.111911,-8.24703,Portugal,PT,Coimbra,minor,,
Amadora,38.759711,-9.239708,Portugal,PT,Lisboa,minor,,
