city,lat,lng,country,iso2,admin,capital,population,population_proper
Belgrade,44.818611,20.468056,Serbia,RS,,primary,1099000,1099000
Niš,43.323356,21.901779,Serbia,RS,Niš,admin,250000,210888
Novi Sad,45.259272,19.829056,Serbia,RS,Novi Sad,admin,225457,215400
Kragujevac,44.010876,20.909029,Serbia,RS,Kragujevac,admin,171197,147473
Subotica,46.100972,19.668233,Serbia,RS,Subotica,admin,100000,93408
Zrenjanin,45.38182,20.395396,Serbia,RS,Zrenjanin,admin,64053,64053
Ćuprija,43.928388,21.374491,Serbia,RS,Ćuprija,admin,,
Krupanj,44.367619,19.36327,Serbia,RS,Krupanj,admin,,
Arilje,43.754987,20.097004,Serbia,RS,Arilje,admin,,
Pančevo,44.87131,20.644304,Serbia,RS,Pančevo,admin,,
Čoka,45.941516,20.146023,Serbia,RS,Čoka,admin,,
Bogatić,44.8376,19.480699,Serbia,RS,Bogatić,admin,,
Sombor,45.774239,19.115068,Serbia,RS,Sombor,admin,,
Šabac,44.753841,19.687569,Serbia,RS,Šabac,admin,,
Koceljeva,44.468716,19.82139,Serbia,RS,Koceljeva,admin,,
Požega,43.845852,20.036774,Serbia,RS,Požega,admin,,
Kovačica,45.110931,20.623601,Serbia,RS,Kovačica,admin,,
Lebane,42.917129,21.729449,Serbia,RS,Lebane,admin,,
Ljig,44.226611,20.239352,Serbia,RS,Ljig,admin,,
Surčin,44.794368,20.278136,Serbia,RS,Beograd,minor,,
Babušnica,43.067962,22.411508,Serbia,RS,Babušnica,admin,,
Aleksinac,43.541667,21.707778,Serbia,RS,Aleksinac,admin,,
Bojnik,43.014188,21.717967,Serbia,RS,Bojnik,admin,,
Aranđelovac,44.307663,20.561163,Serbia,RS,Aranđelovac,admin,,
Bela Crkva,44.901485,21.423394,Serbia,RS,Bela Crkva,admin,,
Doljevac,43.196833,21.833398,Serbia,RS,Doljevac,admin,,
Stara Pazova,44.986131,20.159731,Serbia,RS,Stara Pazova,admin,,
Užice,43.858185,19.844087,Serbia,RS,Užice,admin,,
Lazarevac,44.379722,20.263889,Serbia,RS,Beograd,minor,,
Petrovac na Mlavi,44.377283,21.41976,Serbia,RS,Petrovac na Mlavi,admin,,
Srbobran,45.548098,19.795377,Serbia,RS,Srbobran,admin,,
Despotovac,44.093202,21.443975,Serbia,RS,Despotovac,admin,,
Topola,44.25442,20.682437,Serbia,RS,Topola,admin,,
Nova Crnja,45.668517,20.604206,Serbia,RS,Nova Crnja,admin,,
Brus,43.384599,21.028883,Serbia,RS,Brus,admin,,
Gadžin Han,43.222289,22.033287,Serbia,RS,Gadžin Han,admin,,
Prokuplje,43.238315,21.593192,Serbia,RS,Prokuplje,admin,,
Dimitrovgrad,43.015455,22.77759,Serbia,RS,Dimitrovgrad,admin,,
Boljevac,43.832131,21.960899,Serbia,RS,Boljevac,admin,,
Temerin,45.409464,19.89112,Serbia,RS,Temerin,admin,,
Malo Crniće,44.560257,21.290565,Serbia,RS,Malo Crniće,admin,,
Tutin,42.989993,20.333372,Serbia,RS,Tutin,admin,,
Plandište,45.229228,21.123827,Serbia,RS,Plandište,admin,,
Blace,43.296964,21.272727,Serbia,RS,Blace,admin,,
Zemun,44.840696,20.397853,Serbia,RS,Beograd,minor,,
Aleksandrovac,43.460895,21.053911,Serbia,RS,Aleksandrovac,admin,,
Ljubovija,44.189574,19.378486,Serbia,RS,Ljubovija,admin,,
Kraljevo,43.725908,20.689577,Serbia,RS,Kraljevo,admin,,
Zaječar,43.901871,22.275511,Serbia,RS,Zaječar,admin,,
Čačak,43.888017,20.344023,Serbia,RS,Čačak,admin,,
Sečanj,45.367638,20.773205,Serbia,RS,Sečanj,admin,,
