city,lat,lng,country,iso2,admin,capital,population,population_proper
Moscow,55.752222,37.615556,Russia,RU,Moskva,primary,10452000,10452000
Saint Petersburg,59.894444,30.264167,Russia,RU,Sankt-Peterburg,admin,4553000,3493212
Novosibirsk,55.0415,82.9346,Russia,RU,Novosibirskaya Oblast’,admin,1389000,1037201
Yekaterinburg,56.8519,60.6122,Russia,RU,Sverdlovskaya Oblast’,admin,1313000,1227976
Nizhniy Novgorod,56.326944,44.0075,Russia,RU,Nizhegorodskaya Oblast’,admin,1278000,1214926
Samara,53.200065,50.150002,Russia,RU,Samarskaya Oblast’,admin,1137000,856190
Omsk,55.0,73.4,Russia,RU,Omskaya Oblast’,admin,1135000,1043403
Kazan’,55.78874,49.122144,Russia,RU,Tatarstan,admin,1115000,912270
Chelyabinsk,55.154015,61.42915,Russia,RU,Chelyabinskaya Oblast’,admin,1091000,946604
Rostov-na-Donu,47.23135,39.723284,Russia,RU,Rostovskaya Oblast’,admin,1052000,1013134
Ufa,54.785167,56.045621,Russia,RU,Bashkortostan,admin,1018000,920756
Perm’,58.009282,56.284063,Russia,RU,Permskiy Kray,,997000,851308
Volgograd,48.71939,44.501835,Russia,RU,Volgogradskaya Oblast’,admin,984000,619655
Krasnoyarsk,56.018393,92.867174,Russia,RU,Krasnoyarskiy Kray,admin,925000,302210
Voronezh,51.672035,39.184301,Russia,RU,Voronezhskaya Oblast’,admin,844000,295469
Saratov,51.540556,46.008611,Russia,RU,Saratovskaya Oblast’,admin,843000,786173
Krasnodar,45.044843,38.976029,Russia,RU,Krasnodarskiy Kray,admin,649851,552532
Ul’yanovsk,54.328241,48.38657,Russia,RU,Ul’yanovskaya Oblast’,admin,640680,502427
Izhevsk,56.849756,53.204479,Russia,RU,Udmurtiya,admin,631038,591422
Yaroslavl’,57.61977,39.85536,Russia,RU,Yaroslavskaya Oblast’,admin,606730,535578
Barnaul,53.360556,83.763611,Russia,RU,Altayskiy Kray,admin,599579,539843
Vladivostok,43.1211,131.9226,Russia,RU,Primorskiy Kray,admin,587022,586212
Irkutsk,52.297778,104.296389,Russia,RU,Irkutskaya Oblast’,admin,586695,557955
Khabarovsk,48.482715,135.083793,Russia,RU,Khabarovskiy Kray,admin,579000,546411
Makhachkala,42.976378,47.502356,Russia,RU,Dagestan,admin,554981,497959
Orenburg,51.7727,55.0988,Russia,RU,Orenburgskaya Oblast’,admin,550204,511437
Novokuznetsk,53.7557,87.1099,Russia,RU,Kemerovskaya Oblast’,,539616,521035
Tomsk,56.497709,84.974374,Russia,RU,Tomskaya Oblast’,admin,535479,408421
Ryazan’,54.6269,39.6916,Russia,RU,Ryazanskaya Oblast’,admin,520173,484573
Tyumen’,57.152222,65.527222,Russia,RU,Tyumenskaya Oblast’,admin,519119,402785
Lipetsk,52.603111,39.570762,Russia,RU,Lipetskaya Oblast’,admin,515655,488633
Penza,53.200656,45.004643,Russia,RU,Penzenskaya Oblast’,admin,512602,471284
Astrakhan’,46.349683,48.040756,Russia,RU,Astrakhanskaya Oblast’,admin,502533,484194
Tula,54.202133,37.644294,Russia,RU,Tul’skaya Oblast’,admin,489486,468825
Kemerovo,55.333333,86.083333,Russia,RU,Kemerovskaya Oblast’,admin,477090,464279
Krasnyye Chelny,55.7,52.35,Russia,RU,Tatarstan,,461086,461086
Kirov,58.596654,49.660068,Russia,RU,Kirovskaya Oblast’,admin,457437,457383
Cheboksary,56.132222,47.251944,Russia,RU,Chuvashiya,admin,446781,441274
Kaliningrad,54.706493,20.510951,Russia,RU,Kaliningradskaya Oblast’,admin,434954,371499
Bryansk,53.252089,34.371666,Russia,RU,Bryanskaya Oblast’,admin,427236,425784
Afanasovo,57.01279,41.044438,Russia,RU,Ivanovskaya Oblast’,,420839,414215
Magnitogorsk,53.418611,59.047222,Russia,RU,Chelyabinskaya Oblast’,,413351,204098
Kursk,51.737329,36.187349,Russia,RU,Kurskaya Oblast’,admin,409431,388053
Tver’,56.860491,35.876027,Russia,RU,Tverskaya Oblast’,admin,400212,363874
Surgut,61.25,73.416667,Russia,RU,Khanty-Mansiyskiy Avtonomnyy Okrug-Yugra,,400000,306703
Nizhniy Tagil,57.919444,59.965,Russia,RU,Sverdlovskaya Oblast’,,381116,367571
Vladikavkaz,43.036667,44.667778,Russia,RU,North Ossetia,admin,364630,317370
Stavropol’,45.0428,41.9734,Russia,RU,Stavropol’skiy Kray,admin,363064,338527
Ulan-Ude,51.827212,107.606268,Russia,RU,Buryatiya,admin,360278,347976
Arkhangel’sk,64.5401,40.5433,Russia,RU,Arkhangel’skaya Oblast’,admin,356051,234322
Belgorod,50.610743,36.580152,Russia,RU,Belgorodskaya Oblast’,admin,345289,310720
Kurgan,55.45,65.333333,Russia,RU,Kurganskaya Oblast’,admin,343129,315670
Kaluga,54.529302,36.275415,Russia,RU,Kaluzhskaya Oblast’,admin,338978,288489
Orël,52.965076,36.078495,Russia,RU,Orlovskaya Oblast’,admin,334552,324200
Novyy Sochi,43.609565,39.717382,Russia,RU,Krasnodarskiy Kray,,327608,325670
Yoshkar-Ola,56.636944,47.871111,Russia,RU,Mariy-El,admin,324406,279100
Volzhskiy,48.785832,44.77973,Russia,RU,Volgogradskaya Oblast’,,323293,288752
Smolensk,54.7818,32.0401,Russia,RU,Smolenskaya Oblast’,admin,320991,302918
Podol’sk,55.424185,37.554717,Russia,RU,Moskovskaya Oblast’,,320635,179400
