city,lat,lng,country,iso2,admin,capital,population,population_proper
Stockholm,59.333333,18.05,Sweden,SE,Stockholm,primary,1264000,1253309
Glöstorp,57.75,11.933333,Sweden,SE,Västra Götaland,,537797,504084
Malmö,55.6,13.0,Sweden,SE,Skåne,admin,269349,261548
Uppsala,59.85,17.633333,Sweden,SE,Uppsala,admin,133117,127734
Västerås,59.616667,16.55,Sweden,SE,Västmanland,admin,107194,93179
Örebro,59.283333,15.216667,Sweden,SE,Örebro,admin,98573,93291
Linköping,58.416667,15.616667,Sweden,SE,Östergötland,admin,96732,91491
Helsingborg,56.05,12.7,Sweden,SE,Skåne,minor,91304,91025
Jönköping,57.783333,14.183333,Sweden,SE,Jönköping,admin,89780,83202
Norrköping,58.6,16.183333,Sweden,SE,Östergötland,minor,88639,82903
Umeå,63.833333,20.25,Sweden,SE,Västerbotten,admin,78197,74005
Bärstad,59.333333,13.55,Sweden,SE,Värmland,,74141,59266
Tunadal,62.414167,17.379444,Sweden,SE,Västernorrland,,73389,48463
Gävle,60.666667,17.166667,Sweden,SE,Gävleborg,admin,68635,67836
Borås,57.716667,12.916667,Sweden,SE,Västra Götaland,minor,65008,63223
Växjö,56.883333,14.816667,Sweden,SE,Kronoberg,admin,59600,46535
Halmstad,56.671389,12.855556,Sweden,SE,Halland,admin,55657,55209
Luleå,65.583333,22.15,Sweden,SE,Norrbotten,admin,48638,45551
Östersund,63.183333,14.65,Sweden,SE,Jämtland,admin,46178,42940
Trollhättan,58.266667,12.3,Sweden,SE,Västra Götaland,minor,44543,44522
Borlänge,60.483333,15.416667,Sweden,SE,Dalarna,minor,39422,38527
Falun,60.6,15.633333,Sweden,SE,Dalarna,admin,36477,36477
Kalmar,56.666667,16.366667,Sweden,SE,Kalmar,admin,35024,34744
Kristianstad,56.033333,14.133333,Sweden,SE,Skåne,minor,32188,21339
Skellefteå,64.766667,20.95,Sweden,SE,Västerbotten,minor,31311,30839
Örnsköldsvik,63.3,18.716667,Sweden,SE,Västernorrland,minor,27749,25063
Nyköping,58.75,17.0,Sweden,SE,Södermanland,admin,27582,27582
Visby,57.639617,18.298582,Sweden,SE,Gotland,admin,22593,21970
Vänersborg,58.366667,12.316667,Sweden,SE,Västra Götaland,minor,21835,21835
Kirunavaara,67.816667,20.2,Sweden,SE,Norrbotten,,18154,8450
Fröland,62.616667,17.883333,Sweden,SE,Västernorrland,,17016,17016
Mariestad,58.7,13.816667,Sweden,SE,Västra Götaland,minor,14891,14891
Bollnäs,61.35,16.366667,Sweden,SE,Gävleborg,minor,13398,12145
Älvsbyn,65.666667,21.0,Sweden,SE,Norrbotten,minor,,
Forshaga,59.533333,13.466667,Sweden,SE,Värmland,minor,,
Lomma,55.683333,13.083333,Sweden,SE,Skåne,minor,,
Henån,58.233333,11.683333,Sweden,SE,Västra Götaland,minor,,
Kopparberg,59.866667,14.983333,Sweden,SE,Örebro,minor,,
Tibro,58.416667,14.166667,Sweden,SE,Västra Götaland,minor,,
Tidaholm,58.183333,13.95,Sweden,SE,Västra Götaland,minor,,
Broby,56.25,14.083333,Sweden,SE,Skåne,minor,,
Södertälje,59.2,17.616667,Sweden,SE,Stockholm,minor,,
Tierp,60.333333,17.5,Sweden,SE,Uppsala,minor,,
Hammarstrand,63.1,16.35,Sweden,SE,Jämtland,minor,,
Motala,58.55,15.05,Sweden,SE,Östergötland,minor,,
Hagfors,60.033333,13.65,Sweden,SE,Värmland,minor,,
Filipstad,59.716667,14.166667,Sweden,SE,Värmland,minor,,
Hallsberg,59.066667,15.116667,Sweden,SE,Örebro,minor,,
Arjeplog,66.048563,17.884984,Sweden,SE,Norrbotten,minor,,
Arvika,59.666667,12.566667,Sweden,SE,Värmland,minor,,
Tanumshede,58.733333,11.316667,Sweden,SE,Västra Götaland,minor,,
Kalix,65.85,23.133333,Sweden,SE,Norrbotten,minor,,
Hedemora,60.283333,15.983333,Sweden,SE,Dalarna,minor,,
Nossebro,58.183333,12.716667,Sweden,SE,Västra Götaland,minor,,
Hallstahammar,59.616667,16.216667,Sweden,SE,Västmanland,minor,,
Skurup,55.466667,13.5,Sweden,SE,Skåne,minor,,
Vetlanda,57.433333,15.066667,Sweden,SE,Jönköping,minor,,
Ronneby,56.2,15.3,Sweden,SE,Blekinge,minor,,
Kungsör,59.416667,16.083333,Sweden,SE,Västmanland,minor,,
Hova,58.866667,14.183333,Sweden,SE,Västra Götaland,minor,,
Eksjö,57.666667,14.95,Sweden,SE,Jönköping,minor,,
Eslöv,55.833333,13.333333,Sweden,SE,Skåne,minor,,
Höganäs,56.2,12.55,Sweden,SE,Skåne,minor,,
Sölvesborg,56.05,14.55,Sweden,SE,Blekinge,minor,,
Norsjö,64.916667,19.483333,Sweden,SE,Västerbotten,minor,,
Vaxholm,59.4,18.333333,Sweden,SE,Stockholm,minor,,
Perstorp,56.133333,13.383333,Sweden,SE,Skåne,minor,,
Leksand,60.733333,15.016667,Sweden,SE,Dalarna,minor,,
Ludvika,60.15,15.183333,Sweden,SE,Dalarna,minor,,
Vilhelmina,64.616667,16.65,Sweden,SE,Västerbotten,minor,,
Alvesta,56.9,14.55,Sweden,SE,Kronoberg,minor,,
Valdemarsvik,58.2,16.6,Sweden,SE,Östergötland,minor,,
Skillingaryd,57.433333,14.083333,Sweden,SE,Jönköping,minor,,
Alafors,57.933333,12.083333,Sweden,SE,Västra Götaland,minor,,
Tranås,58.05,14.983333,Sweden,SE,Jönköping,minor,,
Nykvarn,59.183333,17.433333,Sweden,SE,Stockholm,minor,,
Upplands Väsby,59.516667,17.9,Sweden,SE,Stockholm,minor,,
Bjurholm,63.933333,19.216667,Sweden,SE,Västerbotten,minor,,
Degerfors,59.233333,14.433333,Sweden,SE,Örebro,minor,,
Sundsvall,62.383333,17.3,Sweden,SE,Västernorrland,minor,,
Ystad,55.416667,13.816667,Sweden,SE,Skåne,minor,,
Jakobsberg,59.416667,17.833333,Sweden,SE,Stockholm,minor,,
Knivsta,59.716667,17.8,Sweden,SE,Uppsala,minor,,
Vallentuna,59.533333,18.083333,Sweden,SE,Stockholm,minor,,
Strängnäs,59.383333,17.033333,Sweden,SE,Södermanland,minor,,
Östhammar,60.266667,18.366667,Sweden,SE,Uppsala,minor,,
Hofors,60.55,16.283333,Sweden,SE,Gävleborg,minor,,
Mölndal,57.65,12.016667,Sweden,SE,Västra Götaland,minor,,
Simrishamn,55.55,14.333333,Sweden,SE,Skåne,minor,,
Bräcke,62.75,15.416667,Sweden,SE,Jämtland,minor,,
Vansbro,60.516667,14.216667,Sweden,SE,Dalarna,minor,,
Lerum,57.766667,12.266667,Sweden,SE,Västra Götaland,minor,,
Götene,58.533333,13.483333,Sweden,SE,Västra Götaland,minor,,
Sollefteå,63.166667,17.266667,Sweden,SE,Västernorrland,minor,,
Boden,65.833333,21.7,Sweden,SE,Norrbotten,minor,,
Ed,58.916667,11.916667,Sweden,SE,Västra Götaland,minor,,
Kungsbacka,57.483333,12.066667,Sweden,SE,Halland,minor,,
Åstorp,56.133333,12.95,Sweden,SE,Skåne,minor,,
Skärhamn,57.996667,11.556111,Sweden,SE,Västra Götaland,minor,,
Karlskrona,56.166667,15.583333,Sweden,SE,Blekinge,admin,,
Mörbylånga,56.516667,16.383333,Sweden,SE,Kalmar,minor,,
Tomelilla,55.55,13.95,Sweden,SE,Skåne,minor,,
Vingåker,59.033333,15.866667,Sweden,SE,Södermanland,minor,,
Lysekil,58.283333,11.433333,Sweden,SE,Västra Götaland,minor,,
Säffle,59.133333,12.9,Sweden,SE,Värmland,minor,,
Norberg,60.066667,15.933333,Sweden,SE,Västmanland,minor,,
Skinnskatteberg,59.833333,15.683333,Sweden,SE,Västmanland,minor,,
Falkenberg,56.898056,12.501944,Sweden,SE,Halland,minor,,
Söderköping,58.483333,16.3,Sweden,SE,Östergötland,minor,,
Surahammar,59.716667,16.216667,Sweden,SE,Västmanland,minor,,
Munkfors,59.833333,13.533333,Sweden,SE,Värmland,minor,,
Bollebygd,57.666667,12.55,Sweden,SE,Västra Götaland,minor,,
Gagnef,60.583333,15.066667,Sweden,SE,Dalarna,minor,,
Hyltebruk,57.0,13.233333,Sweden,SE,Halland,minor,,
