city,lat,lng,country,iso2,admin,capital,population,population_proper
Ljubljana,46.055278,14.514444,Slovenia,SI,Ljubljana,primary,314807,255115
Maribor,46.554722,15.646667,Slovenia,SI,Maribor,admin,114228,89056
Šentjernej,45.84,15.336111,Slovenia,SI,Šentjernej,admin,,
Šentjur,46.217222,15.3975,Slovenia,SI,Šentjur,admin,,
Poljčane,46.311944,15.579167,Slovenia,SI,Poljčane,admin,,
Podvelka,46.586944,15.330556,Slovenia,SI,Podvelka,admin,,
Šentrupert,45.977778,15.095556,Slovenia,SI,Šentrupert,admin,,
Medvode,46.133333,14.433333,Slovenia,SI,Medvode,admin,,
Radovljica,46.344444,14.174444,Slovenia,SI,Radovljica,admin,,
Sveta Trojica v Slovenskih Goricah,46.576667,15.876944,Slovenia,SI,Sveta Trojica v Slovenskih Goricah,admin,,
Zgornje Gorje,46.383333,14.083333,Slovenia,SI,Gorje,admin,,
Zgornje Jezersko,46.383333,14.466667,Slovenia,SI,Jezersko,admin,,
Sveta Ana v Slovenskih Goricah,46.649167,15.844167,Slovenia,SI,Sveta Ana,admin,,
Miklavž na Dravskem Polju,46.505833,15.697222,Slovenia,SI,Miklavž na Dravskem Polju,admin,,
Križevci pri Ljutomeru,46.568333,16.138611,Slovenia,SI,Križevci,admin,,
Gornji Petrovci,46.805278,16.2225,Slovenia,SI,Gornji Petrovci,admin,,
Podčetrtek,46.156944,15.598611,Slovenia,SI,Podčetrtek,admin,,
Radeče,46.068056,15.183889,Slovenia,SI,Radeče,admin,,
Ankaran,45.578611,13.736111,Slovenia,SI,Ankaran,admin,,
Laško,46.151944,15.236389,Slovenia,SI,Laško,admin,,
Dobrna,46.3375,15.226389,Slovenia,SI,Dobrna,admin,,
Kostanjevica na Krki,45.846111,15.422222,Slovenia,SI,Kostanjevica na Krki,admin,,
Trbovlje,46.155,15.053333,Slovenia,SI,Trbovlje,admin,,
Gorenja Vas,46.107222,14.148056,Slovenia,SI,Gorenja Vas-Poljane,admin,,
Polzela,46.283333,15.066667,Slovenia,SI,Polzela,admin,,
Zavrč,46.391667,16.049722,Slovenia,SI,Zavrč,admin,,
Brezovica,46.033333,14.4,Slovenia,SI,Brezovica,admin,,
Šoštanj,46.38,15.048611,Slovenia,SI,Šoštanj,admin,,
Cankova,46.720833,16.0225,Slovenia,SI,Cankova,admin,,
Ajdovščina,45.8875,13.911111,Slovenia,SI,Ajdovščina,admin,,
Volčja Draga,45.906944,13.6775,Slovenia,SI,Renče-Vogrsko,admin,,
Borovnica,45.915833,14.363056,Slovenia,SI,Borovnica,admin,,
Velenje,46.359167,15.110278,Slovenia,SI,Velenje,admin,,
Spodnja Hajdina,46.408889,15.846944,Slovenia,SI,Hajdina,admin,,
Mirna,45.955278,15.061944,Slovenia,SI,Mirna,admin,,
Mirna Peč,45.860278,15.083333,Slovenia,SI,Mirna Peč,admin,,
Vitanje,46.381667,15.295833,Slovenia,SI,Vitanje,admin,,
Markovci,46.383333,15.95,Slovenia,SI,Markovci,admin,,
Straža,45.78,15.072778,Slovenia,SI,Straža,admin,,
Metlika,45.647222,15.314167,Slovenia,SI,Metlika,admin,,
Domžale,46.138056,14.597778,Slovenia,SI,Domžale,admin,,
Naklo,46.272778,14.317222,Slovenia,SI,Naklo,admin,,
Sodražica,45.761111,14.635556,Slovenia,SI,Sodražica,admin,,
Pivka,45.679444,14.196667,Slovenia,SI,Pivka,admin,,
Solčava,46.419444,14.693611,Slovenia,SI,Solčava,admin,,
Selnica ob Dravi,46.55,15.495,Slovenia,SI,Selnica ob Dravi,admin,,
Braslovče,46.289722,15.038889,Slovenia,SI,Braslovče,admin,,
Dobrova,46.055,14.417222,Slovenia,SI,Dobrova-Polhov Gradec,admin,,
Lukovica pri Domžalah,46.166667,14.7,Slovenia,SI,Lukovica,admin,,
Vipava,45.846667,13.963056,Slovenia,SI,Vipava,admin,,
Benedikt v Slovenskih Goricah,46.608611,15.888333,Slovenia,SI,Benedikt,admin,,
Celje,46.236111,15.2675,Slovenia,SI,Celje,admin,,
Radenci,46.647222,16.044167,Slovenia,SI,Radenci,admin,,
Mokronog,45.934167,15.140833,Slovenia,SI,Mokronog-Trebelno,admin,,
Železniki,46.233333,14.166667,Slovenia,SI,Železniki,admin,,
Mežica,46.521389,14.854444,Slovenia,SI,Mežica,admin,,
Ormož,46.411389,16.154444,Slovenia,SI,Ormož,admin,,
Šalovci,46.825,16.298056,Slovenia,SI,Šalovci,admin,,
Brežice,45.903333,15.591111,Slovenia,SI,Brežice,admin,,
Zgornja Kungota,46.639167,15.615556,Slovenia,SI,Kungota,admin,,
Gornji Grad,46.295278,14.808333,Slovenia,SI,Gornji Grad,admin,,
Videm,45.85,14.694167,Slovenia,SI,Dobrepolje,admin,,
Bovec,46.3375,13.552778,Slovenia,SI,Bovec,admin,,
Vodice,46.2,14.5,Slovenia,SI,Vodice,admin,,
Odranci,46.586667,16.280278,Slovenia,SI,Odranci,admin,,
Dol pri Ljubljani,46.088611,14.600833,Slovenia,SI,Dol pri Ljubljani,admin,,
Lovrenc na Pohorju,46.540556,15.393056,Slovenia,SI,Lovrenc na Pohorju,admin,,
Kobilje,46.684722,16.397778,Slovenia,SI,Kobilje,admin,,
Makole,46.317222,15.667222,Slovenia,SI,Makole,admin,,
Tolmin,46.186389,13.736111,Slovenia,SI,Tolmin,admin,,
Miren,45.895556,13.6075,Slovenia,SI,Miren-Kostanjevica,admin,,
Nova Vas,45.771667,14.505833,Slovenia,SI,Bloke,admin,,
Postojna,45.776944,14.216667,Slovenia,SI,Postojna,admin,,
Starše,46.465833,15.767222,Slovenia,SI,Starše,admin,,
Zreče,46.383333,15.366667,Slovenia,SI,Zreče,admin,,
Slovenj Gradec,46.510278,15.080556,Slovenia,SI,Slovenj Gradec,admin,,
Kozje,46.075,15.560278,Slovenia,SI,Kozje,admin,,
Jesenice,46.430556,14.066944,Slovenia,SI,Jesenice,admin,,
Vojnik,46.293333,15.303333,Slovenia,SI,Vojnik,admin,,
Vitomarci,46.5275,15.939444,Slovenia,SI,Sveti Andraž v Slovenskih Goricah,admin,,
Spodnji Duplek,46.503056,15.745278,Slovenia,SI,Duplek,admin,,
Puconci,46.706667,16.156389,Slovenia,SI,Puconci,admin,,
Zagorje ob Savi,46.134167,15.001389,Slovenia,SI,Zagorje ob Savi,admin,,
Tržič,46.366667,14.316667,Slovenia,SI,Tržič,admin,,
Log pri Brezovici,46.016667,14.366667,Slovenia,SI,Log-Dragomer,admin,,
Litija,46.058611,14.8225,Slovenia,SI,Litija,admin,,
Cerknica,45.793056,14.3625,Slovenia,SI,Cerknica,admin,,
Apače,46.697222,15.910556,Slovenia,SI,Apače,admin,,
Komenda,46.203795,14.540652,Slovenia,SI,Komenda,admin,,
Semič,45.646111,15.182222,Slovenia,SI,Semič,admin,,
Šmarješke Toplice,45.861961,15.223079,Slovenia,SI,Šmarješke Toplice,admin,,
Tišina,46.658056,16.091667,Slovenia,SI,Tišina,admin,,
Tomaž pri Ormožu,46.484167,16.083611,Slovenia,SI,Sveti Tomaž,admin,,
Mengeš,46.166944,14.575,Slovenia,SI,Mengeš,admin,,
Izola,45.536944,13.661944,Slovenia,SI,Izola,admin,,
Beltinci,46.605278,16.240556,Slovenia,SI,Beltinci,admin,,
Murska Sobota,46.6625,16.166389,Slovenia,SI,Murska Sobota,admin,,
Hrastnik,46.146111,15.081389,Slovenia,SI,Hrastnik,admin,,
Stari Trg pri Ložu,45.712778,14.469444,Slovenia,SI,Loška Dolina,admin,,
Žužemberk,45.833889,14.929167,Slovenia,SI,Žužemberk,admin,,
Cerkno,46.125556,13.981667,Slovenia,SI,Cerkno,admin,,
Trzin,46.133333,14.566667,Slovenia,SI,Trzin,admin,,
Lendava,46.561389,16.450556,Slovenia,SI,Lendava,admin,,
Lenart v Slovenskih Goricah,46.576111,15.831389,Slovenia,SI,Lenart,admin,,
Dornava,46.436667,15.953611,Slovenia,SI,Dornava,admin,,
Šempeter pri Gorici,45.9275,13.641111,Slovenia,SI,Šempeter-Vrtojba,admin,,
Kobarid,46.248056,13.577222,Slovenia,SI,Kobarid,admin,,
Kozina,45.61,13.935556,Slovenia,SI,Hrpelje-Kozina,admin,,
Trebnje,45.904167,15.021667,Slovenia,SI,Trebnje,admin,,
Ruše,46.539444,15.515833,Slovenia,SI,Ruše,admin,,
Dobrovnik,46.651389,16.3525,Slovenia,SI,Dobrovnik,admin,,
Slovenska Bistrica,46.392778,15.574444,Slovenia,SI,Slovenska Bistrica,admin,,
Tabor,46.236111,15.018333,Slovenia,SI,Tabor,admin,,
Komen,45.815278,13.748333,Slovenia,SI,Komen,admin,,
Škofljica,45.983333,14.576667,Slovenia,SI,Škofljica,admin,,
Štore,46.220833,15.313889,Slovenia,SI,Štore,admin,,
Cirkulane,46.345291,15.99517,Slovenia,SI,Cirkulane,admin,,
Grosuplje,45.955556,14.658889,Slovenia,SI,Grosuplje,admin,,
Krško,45.953056,15.489444,Slovenia,SI,Krško,admin,,
Ilirska Bistrica,45.569722,14.240833,Slovenia,SI,Ilirska Bistrica,admin,,
Vrhnika,45.966111,14.295556,Slovenia,SI,Vrhnika,admin,,
Kanal,46.088611,13.639722,Slovenia,SI,Kanal,admin,,
Kidričevo,46.403611,15.791111,Slovenia,SI,Kidričevo,admin,,
Šmartno pri Litiji,46.044444,14.844167,Slovenia,SI,Šmartno pri Litiji,admin,,
Ljutomer,46.520833,16.1975,Slovenia,SI,Ljutomer,admin,,
Slovenske Konjice,46.336667,15.425833,Slovenia,SI,Slovenske Konjice,admin,,
Dolenjske Toplice,45.766667,15.066667,Slovenia,SI,Dolenjske Toplice,admin,,
Sežana,45.706944,13.872222,Slovenia,SI,Sežana,admin,,
Luče,46.356111,14.746667,Slovenia,SI,Luče,admin,,
Destrnik,46.500556,15.875,Slovenia,SI,Destrnik,admin,,
Škocjan,45.906667,15.291389,Slovenia,SI,Škocjan,admin,,
Prevalje,46.546944,14.920833,Slovenia,SI,Prevalje,admin,,
Majšperk,46.351667,15.733611,Slovenia,SI,Majšperk,admin,,
Moravče,46.136944,14.745,Slovenia,SI,Moravče,admin,,
Moravske-Toplice,46.6875,16.225556,Slovenia,SI,Moravske Toplice,admin,,
Hodoš,46.823333,16.334167,Slovenia,SI,Hodoš,admin,,
Ljubno,46.345556,14.835,Slovenia,SI,Ljubno,admin,,
Dobje pri Planini,46.136667,15.408889,Slovenia,SI,Dobje,admin,,
Šmartno ob Paki,46.333333,15.033333,Slovenia,SI,Šmartno ob Paki,admin,,
Črnomelj,45.571111,15.188889,Slovenia,SI,Črnomelj,admin,,
Vuzenica,46.596389,15.167222,Slovenia,SI,Vuzenica,admin,,
Škofja Loka,46.167222,14.308889,Slovenia,SI,Škofja Loka,admin,,
Idrija,46.002778,14.030556,Slovenia,SI,Idrija,admin,,
Ribnica na Pohorju,46.535,15.272778,Slovenia,SI,Ribnica na Pohorju,admin,,
Logatec,45.914444,14.225833,Slovenia,SI,Logatec,admin,,
Mozirje,46.339444,14.963333,Slovenia,SI,Mozirje,admin,,
Gornja Radgona,46.673333,15.992222,Slovenia,SI,Gornja Radgona,admin,,
Cerkvenjak,46.570556,15.943611,Slovenia,SI,Cerkvenjak,admin,,
Jurovski Dol,46.606389,15.784722,Slovenia,SI,Sveti Jurij v Slovenskih Goricah,admin,,
Hrib-Loški Potok,45.701111,14.591111,Slovenia,SI,Loški Potok,admin,,
