city,lat,lng,country,iso2,admin,capital,population,population_proper
Aleppo,36.201241,37.161173,Syria,SY,Ḩalab,admin,2738000,1602264
Damascus,33.512529,36.278016,Syria,SY,Dimashq,primary,2466000,2466000
Homs,34.726818,36.723391,Syria,SY,Ḩimş,admin,1005000,775404
Al Kuraydīyah,35.568522,35.747115,Syria,SY,Al Lādhiqīyah,,539147,340181
Dūmā,33.571747,36.402701,Syria,SY,Rīf Dimashq,minor,496145,317679
Ḩamāh,35.13179,36.757834,Syria,SY,Ḩamāh,admin,460602,418990
Dayr az Zawr,35.33389,40.141813,Syria,SY,Dayr az Zawr,admin,309141,242565
Ar Raqqah,35.952829,39.007879,Syria,SY,Ar Raqqah,admin,177636,173565
Ţarţūs,34.889022,35.886586,Syria,SY,Ţarţūs,admin,162980,115769
Dar‘ā,32.618889,36.102134,Syria,SY,Dar‘ā,admin,146481,97969
Idlib,35.930616,36.63393,Syria,SY,Idlib,admin,128840,102731
Al Ḩasakah,36.502368,40.747716,Syria,SY,Al Ḩasakah,admin,128100,81539
Manbij,36.528153,37.954954,Syria,SY,Ḩalab,minor,120169,68888
Al Qāmishlī,37.052152,41.231422,Syria,SY,Al Ḩasakah,minor,104107,104107
Ath Thawrah,35.834527,38.546588,Syria,SY,Ar Raqqah,minor,87880,83300
Ālbū Kamāl,34.452261,40.918544,Syria,SY,Dayr az Zawr,minor,80808,57572
As Suwaydā’,32.708958,36.569513,Syria,SY,As Suwaydā’,admin,72248,59052
Tadmur,34.562399,38.284023,Syria,SY,Ḩimş,minor,55111,51015
An Nabk,34.024027,36.728483,Syria,SY,Rīf Dimashq,minor,50178,49372
I‘zāz,36.586624,37.046276,Syria,SY,Ḩalab,minor,31534,31534
Al Qunayţirah,33.125945,35.824613,Syria,SY,Al Qunayţirah,admin,4318,153
Al Ḩāḑir,35.990242,37.050863,Syria,SY,Ḩalab,minor,,
Mas‘adah,33.232026,35.755723,Syria,SY,Al Qunayţirah,minor,,
Kafr Nubl,35.613763,36.564488,Syria,SY,Idlib,minor,,
Jubb Ramlah,35.209224,36.431035,Syria,SY,Ḩamāh,minor,,
Al Mayādīn,35.019819,40.451538,Syria,SY,Dayr az Zawr,minor,,
Jubb al Jarrāḩ,34.834441,37.323962,Syria,SY,Ḩimş,minor,,
Ash Shaddādah,36.057565,40.734784,Syria,SY,Al Ḩasakah,minor,,
Khirbat Tīn Nūr,34.70122,36.556585,Syria,SY,Ḩimş,minor,,
Şlinfah,35.598217,36.187697,Syria,SY,Al Lādhiqīyah,minor,,
Ḩarastā,33.558692,36.365153,Syria,SY,Rīf Dimashq,minor,,
Al Atārib,36.138946,36.824989,Syria,SY,Ḩalab,minor,,
Ḩimmīn,34.900355,36.040102,Syria,SY,Ţarţūs,minor,,
Bāniyās,35.181881,35.948709,Syria,SY,Ţarţūs,minor,,
Brummānat al Mashāyikh,35.018834,36.170833,Syria,SY,Ţarţūs,minor,,
‘Āmūdā,37.104167,40.93,Syria,SY,Al Ḩasakah,minor,,
Al Buşayrah,35.156181,40.427163,Syria,SY,Dayr az Zawr,minor,,
Ad Dīmās,33.587393,36.092624,Syria,SY,Rīf Dimashq,minor,,
Tall Abyaḑ,36.696478,38.953822,Syria,SY,Ar Raqqah,minor,,
Nawá,32.890439,36.039895,Syria,SY,Dar‘ā,minor,,
Babīlā,33.471011,36.33076,Syria,SY,Rīf Dimashq,minor,,
Al Qaḩţānīyah,37.029002,41.545964,Syria,SY,Al Ḩasakah,minor,,
Banān,35.973582,37.302344,Syria,SY,Ḩalab,minor,,
Shaqqā,32.897735,36.696528,Syria,SY,As Suwaydā’,minor,,
Khān Arnabah,33.183776,35.891582,Syria,SY,Al Qunayţirah,minor,,
Khanāşir,35.781592,37.499187,Syria,SY,Ḩalab,minor,,
Sulūk,36.595958,39.129901,Syria,SY,Ar Raqqah,minor,,
Hīsh,35.547932,36.643563,Syria,SY,Idlib,minor,,
Arwād,34.856038,35.858537,Syria,SY,Ţarţūs,minor,,
Sirghāyā,33.810396,36.157869,Syria,SY,Rīf Dimashq,minor,,
Al Jawādīyah,36.986603,41.820146,Syria,SY,Al Ḩasakah,minor,,
Al Bāriqīyah,34.829237,36.228635,Syria,SY,Ţarţūs,minor,,
Ḩarbinafsah,34.937447,36.622431,Syria,SY,Ḩamāh,minor,,
Darkūsh,35.991684,36.394156,Syria,SY,Idlib,minor,,
Ar Rā‘ī,36.611818,37.447801,Syria,SY,Ḩalab,minor,,
Jawbat Burghāl,35.489954,36.174727,Syria,SY,Al Lādhiqīyah,minor,,
Tādif,36.348138,37.5309,Syria,SY,Ḩalab,minor,,
Al Khafsah,36.231104,38.021721,Syria,SY,Ḩalab,minor,,
Latakia,35.531683,35.790106,Syria,SY,Al Lādhiqīyah,admin,,
As Sūsah,34.533661,40.958189,Syria,SY,Dayr az Zawr,minor,,
Aş Şuwar,35.50635,40.661768,Syria,SY,Dayr az Zawr,minor,,
Şirrīn ash Shamālīyah,36.588383,38.297878,Syria,SY,Ḩalab,minor,,
‘Irbīn,33.537192,36.36635,Syria,SY,Rīf Dimashq,minor,,
Ad Darbāsīyah,37.072792,40.651992,Syria,SY,Al Ḩasakah,minor,,
Dārayyā,33.458345,36.232559,Syria,SY,Rīf Dimashq,minor,,
Al Qaryatayn,34.229562,37.240658,Syria,SY,Ḩimş,minor,,
Taftanāz,35.998322,36.785794,Syria,SY,Idlib,minor,,
Jaramānā,33.486205,36.346137,Syria,SY,Rīf Dimashq,minor,,
Al Kiswah,33.358098,36.241898,Syria,SY,Rīf Dimashq,minor,,
Al Qurayyā,32.543365,36.597757,Syria,SY,As Suwaydā’,minor,,
Ash Shaykh Badr,34.991744,36.083501,Syria,SY,Ţarţūs,minor,,
Al Mushannaf,32.739315,36.774734,Syria,SY,As Suwaydā’,minor,,
