city,lat,lng,country,iso2,admin,capital,population,population_proper
Bang Rak,13.730579,100.523884,Thailand,TH,Krung Thep Maha Nakhon,minor,6704000,5104476
Chiang Mai,18.790376,98.984683,Thailand,TH,Chiang Mai,admin,397211,200952
Samut Prakan,13.600417,100.596778,Thailand,TH,Samut Prakan,admin,388920,388920
Nakhon Ratchasima,14.971596,102.08255,Thailand,TH,Nakhon Ratchasima,admin,334984,208781
Hat Yai,7.008359,100.476682,Thailand,TH,Songkhla,minor,317954,191696
Ubon Ratchathani,15.23844,104.848659,Thailand,TH,Ubon Ratchathani,admin,273893,122533
Nonthaburi,13.862167,100.513417,Thailand,TH,Nonthaburi,admin,258550,258550
Khon Kaen,16.446711,102.832999,Thailand,TH,Khon Kaen,admin,251056,147579
Udon Thani,17.415667,102.785889,Thailand,TH,Udon Thani,admin,247231,231153
Nakhon Si Thammarat,8.433333,99.966667,Thailand,TH,Nakhon Si Thammarat,admin,232335,120836
Chon Buri,13.362199,100.983454,Thailand,TH,Chon Buri,admin,226618,216063
Lampang,18.292318,99.49277,Thailand,TH,Lampang,admin,204081,156139
Si Racha,13.173722,100.931111,Thailand,TH,Chon Buri,minor,178916,9493
Phitsanulok,16.824806,100.258584,Thailand,TH,Phitsanulok,admin,164017,103427
Surat Thani,9.140109,99.333114,Thailand,TH,Surat Thani,admin,157627,127201
Pathum Thani,14.013461,100.530488,Thailand,TH,Pathum Thani,admin,154412,154412
Pattani,6.8749,101.254851,Thailand,TH,Pattani,admin,150000,43631
Yala,6.539946,101.281284,Thailand,TH,Yala,admin,148140,93558
Trang,7.558167,99.610528,Thailand,TH,Trang,admin,147820,59637
Phuket,7.833333,98.383333,Thailand,TH,Phuket,admin,141618,75573
Nakhon Pathom,13.819602,100.044274,Thailand,TH,Nakhon Pathom,admin,117927,117927
Ban Wiang Wai,19.871334,99.824195,Thailand,TH,Chiang Rai,,117127,78756
Nakhon Sawan,15.704722,100.137167,Thailand,TH,Nakhon Sawan,admin,111915,111915
Ratchaburi,13.536711,99.817117,Thailand,TH,Ratchaburi,admin,106996,92448
Ban Nong Kham,17.845056,102.741139,Thailand,TH,Nong Khai,,104505,63609
Chanthaburi,12.609611,102.104472,Thailand,TH,Chanthaburi,admin,99819,90082
Phetchaburi,13.111889,99.944667,Thailand,TH,Phetchaburi,admin,90497,46601
Chumphon,10.495698,99.179714,Thailand,TH,Chumphon,admin,85686,55835
Nan,18.783778,100.778993,Thailand,TH,Nan,admin,82483,24670
Prachin Buri,14.049917,101.368639,Thailand,TH,Prachin Buri,admin,79757,32600
Uttaradit,17.625572,100.094209,Thailand,TH,Uttaradit,admin,76630,58313
Sakon Nakhon,17.161157,104.147254,Thailand,TH,Sakon Nakhon,admin,76237,59274
Sara Buri,14.525228,100.910389,Thailand,TH,Sara Buri,admin,70769,70769
Narathiwat,6.426389,101.823084,Thailand,TH,Narathiwat,admin,68112,47771
Kanchanaburi,14.003195,99.550056,Thailand,TH,Kanchanaburi,admin,63699,63699
Samut Sakhon,13.54753,100.273622,Thailand,TH,Samut Sakhon,admin,63498,63498
Surin,14.881806,103.493639,Thailand,TH,Surin,admin,62536,46673
Kamphaeng Phet,16.483442,99.521534,Thailand,TH,Kamphaeng Phet,admin,58787,58787
Chaiyaphum,15.81047,102.028812,Thailand,TH,Chaiyaphum,admin,58350,52032
Lop Buri,14.798084,100.653972,Thailand,TH,Lop Buri,admin,57761,26500
Nakhon Phanom,17.410806,104.778556,Thailand,TH,Nakhon Phanom,admin,55377,34595
Kalasin,16.432806,103.506584,Thailand,TH,Kalasin,admin,55102,55102
Suphan Buri,14.474178,100.122178,Thailand,TH,Suphan Buri,admin,53399,53399
Maha Sarakham,16.184834,103.300667,Thailand,TH,Maha Sarakham,admin,51584,51584
Phetchabun,16.443306,101.147528,Thailand,TH,Phetchabun,admin,50656,50656
Hua Hin,12.568998,99.959011,Thailand,TH,Prachuap Khiri Khan,minor,50456,17470
Chachoengsao,13.688195,101.071556,Thailand,TH,Chachoengsao,admin,49741,49741
Songkhla,7.198822,100.595098,Thailand,TH,Songkhla,admin,48616,48616
Buriram,14.994334,103.103917,Thailand,TH,Buriram,admin,47292,47292
Mae Sot,16.716667,98.566667,Thailand,TH,Tak,minor,45781,44563
