city,lat,lng,country,iso2,admin,capital,population,population_proper
Dushanbe,38.56,68.773889,Tajikistan,TJ,Dushanbe,primary,1086244,679400
Khŭjand,40.28256,69.622155,Tajikistan,TJ,Sughd,admin,437684,144865
Qŭrghonteppa,37.833994,68.781858,Tajikistan,TJ,Khatlon,admin,311574,65000
Konibodom,40.294144,70.431224,Tajikistan,TJ,Sughd,minor,259876,50359
Kŭlob,37.914585,69.784544,Tajikistan,TJ,Khatlon,minor,115164,78786
Khorugh,37.489744,71.553045,Tajikistan,TJ,Kŭhistoni Badakhshon,admin,30000,12035
Ishqoshim,36.724836,71.613311,Tajikistan,TJ,Kŭhistoni Badakhshon,minor,,
Ismoili Somoní,37.766267,68.801259,Tajikistan,TJ,Khatlon,minor,,
Vahdat,38.556319,69.013545,Tajikistan,TJ,Nohiyahoi Tobei Jumhurí,minor,,
Shahrinav,38.570848,68.334978,Tajikistan,TJ,Nohiyahoi Tobei Jumhurí,minor,,
Shahriston,39.774467,68.809289,Tajikistan,TJ,Sughd,minor,,
Proletar,40.167126,69.501631,Tajikistan,TJ,Sughd,minor,,
Istaravshan,39.914204,69.003275,Tajikistan,TJ,Sughd,minor,,
Roghun,38.69331,69.736918,Tajikistan,TJ,Nohiyahoi Tobei Jumhurí,minor,,
Ghonchí,39.962382,69.129664,Tajikistan,TJ,Sughd,minor,,
Khovaling,38.341943,69.975306,Tajikistan,TJ,Khatlon,minor,,
Panj,37.236341,69.09911,Tajikistan,TJ,Khatlon,minor,,
Tajikobod,39.124051,70.84009,Tajikistan,TJ,Nohiyahoi Tobei Jumhurí,minor,,
Mehron,39.416911,69.286768,Tajikistan,TJ,Sughd,minor,,
Dŭstí,37.348122,68.663983,Tajikistan,TJ,Khatlon,minor,,
Shŭrobod,37.841372,70.04865,Tajikistan,TJ,Khatlon,minor,,
Qubodiyon,37.409731,68.186439,Tajikistan,TJ,Khatlon,minor,,
Fayzobod,38.547314,69.319798,Tajikistan,TJ,Nohiyahoi Tobei Jumhurí,minor,,
Zafarobod,40.176032,68.846789,Tajikistan,TJ,Sughd,minor,,
Baljuvon,38.308382,69.676718,Tajikistan,TJ,Khatlon,minor,,
Jirghatol,39.219662,71.191553,Tajikistan,TJ,Nohiyahoi Tobei Jumhurí,minor,,
Obikiik,38.160331,68.666049,Tajikistan,TJ,Khatlon,minor,,
Farkhor,37.492188,69.403557,Tajikistan,TJ,Khatlon,minor,,
Moskva,37.661014,69.628492,Tajikistan,TJ,Khatlon,minor,,
Vakhsh,37.714852,68.834563,Tajikistan,TJ,Khatlon,minor,,
Sovet,38.046702,69.588216,Tajikistan,TJ,Khatlon,minor,,
Sarband,37.871363,68.922328,Tajikistan,TJ,Khatlon,minor,,
Ayní,39.394064,68.537658,Tajikistan,TJ,Sughd,minor,,
Isfara,40.126485,70.625257,Tajikistan,TJ,Sughd,minor,,
Darband,38.867761,69.96642,Tajikistan,TJ,Nohiyahoi Tobei Jumhurí,minor,,
Nov,40.152199,69.370764,Tajikistan,TJ,Sughd,minor,,
Shaydon,40.669915,70.3502,Tajikistan,TJ,Sughd,minor,,
Tursunzoda,38.512707,68.231632,Tajikistan,TJ,Nohiyahoi Tobei Jumhurí,minor,,
Panjakent,39.495245,67.609313,Tajikistan,TJ,Sughd,minor,,
Varzob,38.772772,68.8178,Tajikistan,TJ,Nohiyahoi Tobei Jumhurí,minor,,
Abdurahmoni Jomí,37.946359,68.80878,Tajikistan,TJ,Khatlon,minor,,
Vanj,38.370776,71.454744,Tajikistan,TJ,Kŭhistoni Badakhshon,minor,,
Bŭston,40.522859,69.333075,Tajikistan,TJ,Sughd,minor,,
Danghara,38.095778,69.339978,Tajikistan,TJ,Khatlon,minor,,
Bahorí,37.401954,67.994458,Tajikistan,TJ,Khatlon,minor,,
Jilikŭl,37.491667,68.531056,Tajikistan,TJ,Khatlon,minor,,
Somoniyon,38.441728,68.774582,Tajikistan,TJ,Nohiyahoi Tobei Jumhurí,minor,,
Murghob,38.170228,73.966736,Tajikistan,TJ,Kŭhistoni Badakhshon,minor,,
Norak,38.389166,69.322716,Tajikistan,TJ,Khatlon,minor,,
Hisor,38.525045,68.551236,Tajikistan,TJ,Nohiyahoi Tobei Jumhurí,minor,,
Qalaikhumb,38.453729,70.789015,Tajikistan,TJ,Kŭhistoni Badakhshon,minor,,
Rŭshon,37.944873,71.557445,Tajikistan,TJ,Kŭhistoni Badakhshon,minor,,
Roshtqal’a,37.258272,71.825912,Tajikistan,TJ,Kŭhistoni Badakhshon,minor,,
Vose’,37.803955,69.644165,Tajikistan,TJ,Khatlon,minor,,
Tavildara,38.695289,70.484221,Tajikistan,TJ,Nohiyahoi Tobei Jumhurí,minor,,
Rasht,39.028715,70.374459,Tajikistan,TJ,Nohiyahoi Tobei Jumhurí,minor,,
Kolkhozobod,37.588232,68.658864,Tajikistan,TJ,Khatlon,minor,,
Shahritus,37.262065,68.138492,Tajikistan,TJ,Khatlon,minor,,
Mŭ’minobod,38.107144,70.03213,Tajikistan,TJ,Khatlon,minor,,
Yovon,38.314083,69.037841,Tajikistan,TJ,Khatlon,minor,,
Ghafurov,40.215706,69.728668,Tajikistan,TJ,Sughd,minor,,
