city,lat,lng,country,iso2,admin,capital,population,population_proper
Tunis,36.806112,10.171078,Tunisia,TN,Tunis,primary,2412500,728453
Sfax,34.740556,10.760278,Tunisia,TN,Sfax,admin,453050,277278
Hammam Sousse,35.860904,10.603131,Tunisia,TN,Sousse,,327004,164123
Gabès,33.881457,10.098196,Tunisia,TN,Gabès,admin,219517,110075
Zarzis,33.503981,11.112155,Tunisia,TN,Médenine,,159161,79316
Kairouan,35.678102,10.096333,Tunisia,TN,Kairouan,admin,144522,119794
Bizerte,37.274423,9.87391,Tunisia,TN,Bizerte,admin,139843,115268
Gafsa,34.425,8.784167,Tunisia,TN,Gafsa,admin,126803,81232
Nabeul,36.456058,10.73763,Tunisia,TN,Nabeul,admin,115149,115149
Ariana,36.860117,10.193371,Tunisia,TN,Tunis,admin,97687,97687
Kasserine,35.167578,8.836506,Tunisia,TN,Kasserine,admin,81987,78158
Mnara,35.697731,10.781591,Tunisia,TN,Monastir,,71546,41400
Tataouine,32.929674,10.451767,Tunisia,TN,Tataouine,admin,62577,62577
Béja,36.725638,9.181692,Tunisia,TN,Béja,admin,59567,57233
Jendouba,36.501136,8.780239,Tunisia,TN,Jendouba,admin,51408,51408
El Kef,36.174239,8.704863,Tunisia,TN,Kef,admin,47979,36628
Mahdia,35.504722,11.062222,Tunisia,TN,Mahdia,admin,45977,45977
Sidi Bouzid,35.038234,9.484935,Tunisia,TN,Sidi Bouzid,admin,42098,42098
Tozeur,33.919683,8.13352,Tunisia,TN,Tozeur,admin,39504,34943
Siliana,36.084966,9.370818,Tunisia,TN,Siliana,admin,26960,26960
Kebili,33.704387,8.969034,Tunisia,TN,Kébili,admin,19875,19875
Ben Gardane,33.13783,11.219649,Tunisia,TN,Médenine,,19843,13364
Zaghouan,36.402907,10.142925,Tunisia,TN,Zaghouan,admin,16911,16911
Dehiba,32.007992,10.701353,Tunisia,TN,Tataouine,,3525,3525
Sousse,35.825388,10.636991,Tunisia,TN,Sousse,admin,,
Ben Arous,36.753056,10.218889,Tunisia,TN,Tunis,admin,,
Medenine,33.354947,10.505478,Tunisia,TN,Médenine,admin,,
Manouba,36.808029,10.097205,Tunisia,TN,Tunis,admin,,
Monastir,35.783333,10.833333,Tunisia,TN,Monastir,admin,,
