city,lat,lng,country,iso2,admin,capital,population,population_proper
Istanbul,41.011046,28.957798,Turkey,TR,İstanbul,admin,10061000,9945610
Ankara,39.911652,32.840305,Turkey,TR,Ankara,primary,3716000,3307379
İzmir,38.412726,27.138376,Turkey,TR,İzmir,admin,2587000,2322818
Bursa,40.195593,29.06013,Turkey,TR,Bursa,admin,1492000,1359089
Adana,37.001667,35.328889,Turkey,TR,Adana,admin,1293000,1197890
Gaziantep,37.059444,37.3825,Turkey,TR,Gaziantep,admin,1044000,842524
Konya,37.871354,32.484636,Turkey,TR,Konya,admin,919000,518360
Tarsus,36.91766,34.892773,Turkey,TR,Mersin,minor,894318,238276
Antalya,36.908118,30.695565,Turkey,TR,Antalya,admin,783000,623937
Trabzon,41.005,39.726944,Turkey,TR,Trabzon,admin,764714,230399
Diyarbakır,37.913629,40.217213,Turkey,TR,Diyarbakır,admin,644763,636410
Samsun,41.286667,36.33,Turkey,TR,Samsun,admin,609339,538106
Kayseri,38.732222,35.485278,Turkey,TR,Kayseri,admin,592840,531591
Eskişehir,39.776667,30.520556,Turkey,TR,Eskişehir,admin,514869,466420
Kocaeli,40.766944,29.916944,Turkey,TR,Kocaeli,admin,466504,300611
Malatya,38.350183,38.316669,Turkey,TR,Malatya,admin,461574,441805
Şanlıurfa,37.16708,38.793919,Turkey,TR,Şanlıurfa,admin,449549,413266
Erzurum,39.908611,41.276944,Turkey,TR,Erzurum,admin,420691,362917
Kahramanmaraş,37.584705,36.926405,Turkey,TR,Kahramanmaraş,admin,376045,373446
Denizli,37.774167,29.0875,Turkey,TR,Denizli,admin,372344,313238
Van,38.494565,43.383231,Turkey,TR,Van,admin,371713,280811
Hatay,36.206551,36.157225,Turkey,TR,Hatay,admin,305564,305564
Batman,37.887378,41.132208,Turkey,TR,Batman,admin,302074,250601
İskenderun,36.587185,36.173468,Turkey,TR,Hatay,minor,297943,159965
Sakarya,40.780556,30.403333,Turkey,TR,Sakarya,admin,286787,286787
Rize,41.020833,40.521944,Turkey,TR,Rize,admin,279450,96503
Elazığ,38.674314,39.223206,Turkey,TR,Elazığ,admin,271492,271492
Sivas,39.748333,37.016111,Turkey,TR,Sivas,admin,264022,227581
Balıkesir,39.649167,27.886111,Turkey,TR,Balıkesir,admin,261516,238151
Manisa,38.612018,27.426465,Turkey,TR,Manisa,admin,243971,231429
Adıyaman,37.76441,38.276287,Turkey,TR,Adıyaman,admin,223744,167250
Kırıkkale,39.845278,33.506389,Turkey,TR,Kırıkkale,admin,211138,205971
Aydın,37.845008,27.839626,Turkey,TR,Aydın,admin,198857,163022
Kütahya,39.424167,29.983333,Turkey,TR,Kütahya,admin,185008,151911
Çorum,40.548889,34.953333,Turkey,TR,Çorum,admin,183418,153670
Isparta,37.764444,30.552222,Turkey,TR,Isparta,admin,172334,149844
Zonguldak,41.451392,31.793053,Turkey,TR,Zonguldak,admin,156918,100229
Ordu,40.97793,37.870851,Turkey,TR,Ordu,admin,155117,116788
Uşak,38.673511,29.405799,Turkey,TR,Uşak,admin,152862,141519
Nusaybin,37.061187,41.204359,Turkey,TR,Mardin,minor,152668,88977
Tokat,40.313889,36.554444,Turkey,TR,Tokat,admin,129702,129702
Erzincan,39.739186,39.490152,Turkey,TR,Erzincan,admin,129407,114027
Karabük,41.204884,32.62768,Turkey,TR,Karabük,admin,128564,97481
Edirne,41.675745,26.558665,Turkey,TR,Edirne,admin,126470,102378
Tekirdağ,40.978012,27.508524,Turkey,TR,Tekirdağ,admin,122287,94245
Karaman,37.181111,33.215,Turkey,TR,Karaman,admin,120399,86840
Giresun,40.91698,38.387406,Turkey,TR,Giresun,admin,98864,98864
Bafra,41.567778,35.906944,Turkey,TR,Samsun,minor,97452,92944
Bolu,40.735833,31.606111,Turkey,TR,Bolu,admin,96629,96349
Kırşehir,39.145833,34.163889,Turkey,TR,Kırşehir,admin,94336,94336
Samandağ,36.080118,35.97603,Turkey,TR,Hatay,minor,93638,93638
Polatlı,39.577155,32.141317,Turkey,TR,Ankara,minor,93262,52001
Ereğli,37.512691,34.048189,Turkey,TR,Konya,minor,92117,81009
Niğde,37.965834,34.679352,Turkey,TR,Niğde,admin,91039,91039
Lüleburgaz,41.403848,27.359181,Turkey,TR,Kırklareli,minor,90899,45080
Yozgat,39.82,34.804444,Turkey,TR,Yozgat,admin,87881,87881
Ağrı,39.714666,43.040151,Turkey,TR,Ağrı,admin,87854,87854
Çanakkale,40.155523,26.412707,Turkey,TR,Çanakkale,admin,87791,61543
Amasya,40.653333,35.833056,Turkey,TR,Amasya,admin,82896,72505
Muş,38.731635,41.484821,Turkey,TR,Muş,admin,82536,78546
Kilis,36.716111,37.115,Turkey,TR,Kilis,admin,82301,64339
Bingöl,38.884722,40.493889,Turkey,TR,Bingöl,admin,80568,80568
Hakkari,37.574444,43.740833,Turkey,TR,Hakkâri,admin,77699,7071
Kars,40.59825,43.085477,Turkey,TR,Kars,admin,77486,48100
Söke,37.7482,27.40614,Turkey,TR,Aydın,minor,77341,68230
Nevşehir,38.625,34.712222,Turkey,TR,Nevşehir,admin,75527,75527
Eskitatvan,38.516667,42.3,Turkey,TR,Bitlis,,73222,63651
Çankırı,40.599951,33.615301,Turkey,TR,Çankırı,admin,71379,71379
Mardin,37.313092,40.743569,Turkey,TR,Mardin,admin,71373,57586
Kastamonu,41.378052,33.775275,Turkey,TR,Kastamonu,admin,70402,70402
Burdur,37.720278,30.290833,Turkey,TR,Burdur,admin,66158,66158
Bitlis,38.401146,42.107845,Turkey,TR,Bitlis,admin,62811,43109
Kırklareli,41.735082,27.22521,Turkey,TR,Kırklareli,admin,58223,58223
Muğla,37.218066,28.366497,Turkey,TR,Muğla,admin,48183,40794
Bilecik,40.141924,29.979319,Turkey,TR,Bilecik,admin,40285,40285
Sinop,42.026829,35.162525,Turkey,TR,Sinop,admin,34834,34834
Gümüşhane,40.460009,39.471764,Turkey,TR,Gümüşhane,admin,32250,32250
Tunceli,39.099212,39.543511,Turkey,TR,Tunceli,admin,29062,29062
Silopi,37.243788,42.463445,Turkey,TR,Şırnak,minor,,
Silvan,38.137082,41.008173,Turkey,TR,Diyarbakır,minor,,
Sille,37.927312,32.419947,Turkey,TR,Konya,minor,,
Yeşilce,40.535774,37.795659,Turkey,TR,Ordu,minor,,
Çubuk,40.238611,33.032223,Turkey,TR,Ankara,minor,,
Çakırhüyük,37.560746,37.855832,Turkey,TR,Adıyaman,minor,,
Bozyazı,36.104894,32.972321,Turkey,TR,Mersin,minor,,
Derebucak,37.391789,31.509176,Turkey,TR,Konya,minor,,
Zile,40.303056,35.886389,Turkey,TR,Tokat,minor,,
Küçükkuyu,39.548889,26.605278,Turkey,TR,Çanakkale,minor,,
Korgun,40.734795,33.518437,Turkey,TR,Çankırı,minor,,
Korgan,40.824722,37.346667,Turkey,TR,Ordu,minor,,
Gökçeli,40.583333,36.733333,Turkey,TR,Tokat,minor,,
Görükle,40.231141,28.840173,Turkey,TR,Bursa,minor,,
Enez,40.724722,26.0825,Turkey,TR,Edirne,minor,,
Gümüşakar,39.793819,38.672973,Turkey,TR,Erzincan,minor,,
Gümüşçay,40.282277,27.282054,Turkey,TR,Çanakkale,minor,,
Yalakdere,40.606358,29.562248,Turkey,TR,Kocaeli,minor,,
Yalangöz,36.576804,36.507664,Turkey,TR,Hatay,minor,,
Aktepe,36.701605,36.485352,Turkey,TR,Hatay,minor,,
Kandıra,41.070003,30.152624,Turkey,TR,Kocaeli,minor,,
Kangal,39.233544,37.39111,Turkey,TR,Sivas,minor,,
Yeşilyurt,40.006396,36.220694,Turkey,TR,Tokat,minor,,
Araban,37.426671,37.688996,Turkey,TR,Gaziantep,minor,,
Araç,41.242222,33.327667,Turkey,TR,Kastamonu,minor,,
Arhavi,41.351207,41.304561,Turkey,TR,Artvin,minor,,
Argıthanı,38.292589,31.714523,Turkey,TR,Konya,minor,,
Arguvan,38.773753,38.263278,Turkey,TR,Malatya,minor,,
Çolaklı,38.333513,38.519464,Turkey,TR,Malatya,minor,,
Çaldıran,39.143165,43.91068,Turkey,TR,Van,minor,,
Bala,39.554222,33.123443,Turkey,TR,Ankara,minor,,
Yeşilyurt,37.193245,28.275373,Turkey,TR,Muğla,minor,,
Yeşilyazı,39.33473,39.08122,Turkey,TR,Tunceli,minor,,
Yeşilyurt,38.296021,38.245264,Turkey,TR,Malatya,minor,,
Yeşilyurt,38.339722,28.664444,Turkey,TR,Manisa,minor,,
Milas,37.316389,27.783889,Turkey,TR,Muğla,minor,,
Sarıkamış,40.32769,42.58705,Turkey,TR,Kars,minor,,
Sarıkavak,36.581274,33.642993,Turkey,TR,Mersin,minor,,
Sarıgöl,38.239526,28.696632,Turkey,TR,Manisa,minor,,
Seydim,40.543018,34.73812,Turkey,TR,Çorum,minor,,
Eskipazar,40.942979,32.530911,Turkey,TR,Karabük,minor,,
Gülnar,36.341483,33.399207,Turkey,TR,Mersin,minor,,
Midyat,37.419078,41.339094,Turkey,TR,Mardin,minor,,
Süleymanlı,37.872644,36.817144,Turkey,TR,Kahramanmaraş,minor,,
Kilimli,41.491111,31.838611,Turkey,TR,Zonguldak,minor,,
Güneysınır,37.269441,32.728979,Turkey,TR,Konya,minor,,
Sarayköy,37.924483,28.925159,Turkey,TR,Denizli,minor,,
Saraykent,39.693611,35.511111,Turkey,TR,Yozgat,minor,,
Saraydüzü,41.328652,34.846857,Turkey,TR,Sinop,minor,,
Demirci,37.41269,39.768383,Turkey,TR,Şanlıurfa,minor,,
Doğanyol,38.307456,39.034312,Turkey,TR,Malatya,minor,,
Doğantepe,40.597778,35.604167,Turkey,TR,Amasya,minor,,
Damal,41.341449,42.836802,Turkey,TR,Ardahan,minor,,
