city,lat,lng,country,iso2,admin,capital,population,population_proper
Tanmei,25.055738,121.581421,Taiwan,TW,Taipei,,6900273,2618772
Kaohsiung,22.616256,120.313329,Taiwan,TW,Kaohsiung,admin,2769072,1519711
Taiping,24.128582,120.719296,Taiwan,TW,Taichung,,2629323,1040725
Tainan,22.990833,120.213333,Taiwan,TW,Tainan,admin,1876312,762000
Zhongcuo,24.966667,121.233333,Taiwan,TW,Taoyuan,,1632616,369770
Shangzhuwei,24.056111,120.49,Taiwan,TW,Changhua,,750000,236588
Hsinchu,24.803611,120.968611,Taiwan,TW,Hsinchu,admin,750000,415557
Pingtung,22.671354,120.488142,Taiwan,TW,Pingtung,admin,503530,215975
Chiayi,23.479167,120.448889,Taiwan,TW,Chiayi,admin,500000,274212
Keelung,25.128251,121.7419,Taiwan,TW,Keelung,admin,500000,387207
Taoyuan,24.9896,121.3187,Taiwan,TW,Taoyuan,admin,500000,402014
Hualien,23.976944,121.604444,Taiwan,TW,Hualien,admin,350468,108658
Pingzhen,24.922778,121.204167,Taiwan,TW,Taoyuan,,201632,201632
Zhubei,24.838333,121.007778,Taiwan,TW,Hsinchu,admin,200000,148006
Taitung,22.759912,121.144569,Taiwan,TW,Taitung,admin,175000,109584
Xiaoyangmei,24.889722,121.146389,Taiwan,TW,Taoyuan,,175000,150022
Bade,24.929813,121.283719,Taiwan,TW,Taoyuan,,172065,172065
Zhuangtou,23.933333,120.7,Taiwan,TW,Nantou,,165000,103698
Xiaoji,24.609079,120.8255,Taiwan,TW,Miaoli,,150000,90988
Yilan,24.757,121.753,Taiwan,TW,Yilan,admin,150000,95831
Douliu,23.709444,120.543333,Taiwan,TW,Yunlin,admin,106653,104723
Magong,23.569958,119.570043,Taiwan,TW,Penghu,admin,56435,56435
Pozi,23.464953,120.244153,Taiwan,TW,Chiayi,,50000,44084
Taibao,23.459444,120.332222,Taiwan,TW,Chiayi,admin,35000,34330
Nantou,23.905877,120.686558,Taiwan,TW,Nantou,admin,,
Nangan,26.150391,119.932836,Taiwan,TW,Lienchiang,admin,,
Taipei,25.047763,121.531846,Taiwan,TW,Taipei,primary,,
Miaoli,24.564271,120.82367,Taiwan,TW,Miaoli,admin,,
Banqiao,25.014266,121.467191,Taiwan,TW,New Taipei,admin,,
Changhua,24.074,120.5384,Taiwan,TW,Changhua,admin,,
Taichung,24.1469,120.6839,Taiwan,TW,Taichung,admin,,
Jincheng,24.434147,118.317118,Taiwan,TW,Kinmen,admin,,
