city,lat,lng,country,iso2,admin,capital,population,population_proper
Kawaala,0.338863,32.554064,Uganda,UG,Kampala,,1420000,1353189
Mbale,1.074804,34.177352,Uganda,UG,Mbale,admin,402368,91800
Jinja,0.424444,33.204167,Uganda,UG,Jinja,admin,301619,89700
Arua,3.020129,30.911052,Uganda,UG,Arua,admin,250000,59400
Old Entebbe,0.028056,32.445278,Uganda,UG,Wakiso,,175128,79700
Tororo,0.692991,34.180853,Uganda,UG,Tororo,admin,150000,43700
Gulu,2.774569,32.29899,Uganda,UG,Gulu,admin,146858,142003
Lira,2.235,32.909722,Uganda,UG,Lira,admin,135445,119323
Mbarara,-0.630583,30.658179,Uganda,UG,Mbarara,admin,83700,83700
Bembe,0.616667,32.55,Uganda,UG,Luwero,,75000,21000
Kasese,0.23,29.988333,Uganda,UG,Kasese,admin,67269,67269
Masaka,-0.312724,31.715937,Uganda,UG,Masaka,admin,65373,65373
Kitgum,3.292284,32.877828,Uganda,UG,Kitgum,admin,56891,8680
Busia,0.454444,34.075833,Uganda,UG,Busia,admin,47100,47100
Iganga,0.609167,33.468611,Uganda,UG,Iganga,admin,45024,45024
Kabale,-1.326111,30.003889,Uganda,UG,Kabale,admin,44600,44600
Fort Portal,0.661959,30.282684,Uganda,UG,Kabarole,admin,42670,42670
Mityana,0.4175,32.022778,Uganda,UG,Mityana,admin,41131,33710
Adjumani,3.377862,31.790897,Uganda,UG,Adjumani,admin,34700,34700
Masindi,1.674444,31.715,Uganda,UG,Masindi,admin,31486,31486
Pallisa,1.145,33.709444,Uganda,UG,Pallisa,admin,30745,30745
Nebbi,2.478259,31.088935,Uganda,UG,Nebbi,admin,30354,30354
Moyo,3.660883,31.724736,Uganda,UG,Moyo,admin,22434,22434
Kayunga,0.7025,32.888611,Uganda,UG,Kayunga,admin,21704,21704
Mubende,0.589167,31.36,Uganda,UG,Mubende,admin,18936,176
Pakwach,2.460932,31.494934,Uganda,UG,Nebbi,,17541,17541
Ntungamo,-0.879444,30.264167,Uganda,UG,Ntungamo,admin,16400,16400
Kiboga,0.916111,31.774167,Uganda,UG,Kiboga,admin,14512,14512
Sironko,1.234913,34.256757,Uganda,UG,Sironko,admin,14100,14100
Kumi,1.460833,33.936111,Uganda,UG,Kumi,admin,13000,13000
Kisoro,-1.283639,29.688249,Uganda,UG,Kisoro,admin,12900,12900
Kamuli,0.947222,33.119722,Uganda,UG,Kamuli,admin,12764,12764
Mpami,0.216667,32.333333,Uganda,UG,Mpigi,,11082,11082
Katakwi,1.891111,33.966111,Uganda,UG,Katakwi,admin,8400,8400
Masindi Port,1.696058,32.086081,Uganda,UG,Kiryandongo,,8319,7828
Nakasongola,1.308889,32.456389,Uganda,UG,Nakasongola,admin,6921,6921
Kibale,0.790833,31.063333,Uganda,UG,Kibaale,,5200,5200
Kalangala,-0.308889,32.225,Uganda,UG,Kalangala,admin,5200,5200
Kaberamaido,1.738889,33.159444,Uganda,UG,Kaberamaido,admin,3400,3400
Katwe,-0.141667,29.830278,Uganda,UG,Kasese,,1957,1957
Kaabong,3.483611,34.149167,Uganda,UG,Kaabong,admin,1137,1137
Soroti,1.685556,33.616389,Uganda,UG,Soroti,admin,1038,1038
Moroto,2.52922,34.659753,Uganda,UG,Moroto,admin,371,371
Kyenjojo,0.632778,30.621389,Uganda,UG,Kyenjojo,admin,,
Bulisa,2.117807,31.411633,Uganda,UG,Buliisa,admin,,
Lyantonde,-0.403056,31.157222,Uganda,UG,Lyantonde,admin,,
Dokolo,1.898333,33.1775,Uganda,UG,Dokolo,admin,,
Butaleja,0.916554,33.956315,Uganda,UG,Butaleja,admin,,
Kole,2.400151,32.800343,Uganda,UG,Kole,admin,,
Kyankwanzi,1.200615,31.800625,Uganda,UG,Kyankwanzi,admin,,
Wakiso,0.404444,32.459444,Uganda,UG,Wakiso,admin,,
Kampala,0.315556,32.565556,Uganda,UG,Kampala,primary,,
Bukomansimbi,-0.157778,31.604167,Uganda,UG,Bukomansimbi,admin,,
Mpigi,0.225,32.313611,Uganda,UG,Mpigi,admin,,
Amolatar,1.615556,32.839722,Uganda,UG,Amolatar,admin,,
Zombo,2.51355,30.909094,Uganda,UG,Zombo,admin,,
Amuru,2.813879,31.938684,Uganda,UG,Amuru,admin,,
Bundibugyo,0.708474,30.063418,Uganda,UG,Bundibugyo,admin,,
Mayuge,0.457812,33.480622,Uganda,UG,Mayuge,admin,,
Binyin,1.416667,34.533333,Uganda,UG,Kween,admin,,
Isingiro,-0.868637,30.830189,Uganda,UG,Isingiro,admin,,
Apac,1.975556,32.538611,Uganda,UG,Apac,admin,,
Buikwe,0.3375,33.010556,Uganda,UG,Buikwe,admin,,
Nwoya,2.634225,32.001065,Uganda,UG,Nwoya,admin,,
