city,lat,lng,country,iso2,admin,capital,population,population_proper
Tashkent,41.316667,69.25,Uzbekistan,UZ,Toshkent,primary,2184000,1978028
Namangan,41.0,71.65,Uzbekistan,UZ,Namangan,admin,750000,449200
Farg‘ona,40.393333,71.779444,Uzbekistan,UZ,Farg‘ona,admin,750000,214000
Samarqand,39.654167,66.959722,Uzbekistan,UZ,Samarqand,admin,708000,596300
Andijon,40.782056,72.344238,Uzbekistan,UZ,Andijon,admin,650000,323900
Shahrisabz,39.057778,66.834167,Uzbekistan,UZ,Qashqadaryo,,498545,57051
Qarshi,38.858333,65.8,Uzbekistan,UZ,Qashqadaryo,admin,386361,222898
Qatog‘on,40.509566,70.962529,Uzbekistan,UZ,Farg‘ona,,350000,192500
Kattaqo‘rg‘on,39.898889,66.256111,Uzbekistan,UZ,Samarqand,,247113,59382
Jizzax,40.115833,67.842222,Uzbekistan,UZ,Jizzax,admin,235352,152642
Nukus,42.453056,59.610278,Uzbekistan,UZ,Qoraqalpog‘iston,admin,230006,226416
Denov,38.267457,67.898857,Uzbekistan,UZ,Surxondaryo,,217274,68994
Navoiy,40.084444,65.379167,Uzbekistan,UZ,Navoiy,,214828,129725
Angren,41.016667,70.143611,Uzbekistan,UZ,Toshkent,,202070,126957
Iskandar,41.553889,69.700833,Uzbekistan,UZ,Toshkent,,195633,27636
Termiz,37.233333,67.283333,Uzbekistan,UZ,Surxondaryo,admin,177687,140385
Chirchiq,41.468889,69.582222,Uzbekistan,UZ,Toshkent,,167842,142345
Urganch,41.55,60.633333,Uzbekistan,UZ,Xorazm,admin,150110,102843
Khiwa,41.378333,60.363889,Uzbekistan,UZ,Xorazm,,149751,55567
Olmaliq,40.844722,69.598333,Uzbekistan,UZ,Toshkent,,121207,118329
Kogon,39.722778,64.551667,Uzbekistan,UZ,Buxoro,,107566,62620
Urgut,39.402222,67.243056,Uzbekistan,UZ,Samarqand,,99675,47373
Guliston,40.456871,68.780684,Uzbekistan,UZ,Sirdaryo,,95520,53373
Zarafshon Shahri,41.579167,64.2075,Uzbekistan,UZ,Navoiy,,63543,47042
Khŭjayli,42.400433,59.460049,Uzbekistan,UZ,Qoraqalpog‘iston,,60401,50000
Qŭnghirot,43.043333,58.839444,Uzbekistan,UZ,Qoraqalpog‘iston,,57758,57758
Chimboy Shahri,42.929521,59.781991,Uzbekistan,UZ,Qoraqalpog‘iston,minor,36917,31638
Mŭynoq,43.768333,59.021389,Uzbekistan,UZ,Qoraqalpog‘iston,,13000,13000
Qo‘rg‘ontepa,40.731925,72.761769,Uzbekistan,UZ,Andijon,minor,,
Uchqŭrghon Shahri,41.11371,72.079151,Uzbekistan,UZ,Namangan,minor,,
Uchko‘prik,40.542222,71.060833,Uzbekistan,UZ,Farg‘ona,minor,,
Beshrabot,40.197612,65.335275,Uzbekistan,UZ,Navoiy,minor,,
Tomdibuloq,41.750803,64.617107,Uzbekistan,UZ,Navoiy,minor,,
Mug‘lon Shahar,38.918777,65.41217,Uzbekistan,UZ,Qashqadaryo,minor,,
Beruniy Shahri,41.699041,60.755007,Uzbekistan,UZ,Qoraqalpog‘iston,minor,,
Yangi-Nishon Shahri,38.645009,65.689523,Uzbekistan,UZ,Qashqadaryo,minor,,
Guliston,40.489722,68.784167,Uzbekistan,UZ,Sirdaryo,admin,,
Oltinko‘l,40.801044,72.173055,Uzbekistan,UZ,Andijon,minor,,
Beshariq,40.435833,70.610278,Uzbekistan,UZ,Farg‘ona,minor,,
Tŭragŭrghon Shahri,41.003344,71.510561,Uzbekistan,UZ,Namangan,minor,,
Baliqchi,40.904988,71.847373,Uzbekistan,UZ,Andijon,minor,,
Xo‘jaobod,40.668863,72.560022,Uzbekistan,UZ,Andijon,minor,,
Yangiqo‘rg‘on,40.553889,71.146667,Uzbekistan,UZ,Farg‘ona,minor,,
