city,lat,lng,country,iso2,admin,capital,population,population_proper
Ho Chi Minh City,10.776577,106.70085,Vietnam,VN,Hồ Chí Minh,admin,5314000,3467331
Hanoi,21.028167,105.854152,Vietnam,VN,Hà Nội,primary,4378000,1431270
Haiphong,20.864807,106.683449,Vietnam,VN,Hải Phòng,admin,1969000,602695
Cần Thơ,10.037105,105.788249,Vietnam,VN,Cần Thơ,admin,1121000,259598
Đà Nẵng,16.074806,108.223958,Vietnam,VN,Đà Nẵng,admin,1000000,887069
Huế,16.461901,107.595458,Vietnam,VN,Thừa Thiên-Huế,admin,950000,340000
Quy Nhơn,13.768898,109.228563,Vietnam,VN,Bình Định,admin,805290,280900
Hiệp Hòa,10.933333,106.833333,Vietnam,VN,Đồng Nai,,652646,652646
Phú Vinh,18.716667,105.7,Vietnam,VN,Nghệ An,,593645,435208
Thành Phố Thái Nguyên,21.59422,105.848172,Vietnam,VN,Thái Nguyên,admin,500000,330000
Nha Trang,12.248089,109.19436,Vietnam,VN,Khánh Hòa,admin,411556,283441
Cà Mau,9.176817,105.152421,Vietnam,VN,Cà Mau,admin,356636,204895
Việt Trì,21.32274,105.401981,Vietnam,VN,Phú Thọ,admin,350000,260288
Long Xuyên,10.386392,105.435178,Vietnam,VN,An Giang,admin,350000,158153
Buôn Ma Thuột,12.674192,108.043542,Vietnam,VN,Đắk Lắk,admin,349945,146975
Phan Thiết,10.928888,108.102078,Vietnam,VN,Bình Thuận,admin,336846,160652
Xóm Rạch Giồng,10.033333,105.066667,Vietnam,VN,Kiến Giang,,300000,205660
Sóc Trăng,9.599946,105.971932,Vietnam,VN,Sóc Trăng,admin,300000,173922
Đà Lạt,11.935883,108.442891,Vietnam,VN,Lâm Đồng,admin,256019,131377
Quảng Ngãi,15.120467,108.792318,Vietnam,VN,Quảng Ngãi,admin,250000,119251
Vũng Tàu,10.35,107.066667,Vietnam,VN,Bà Rịa-Vũng Tàu,admin,248767,209683
Thủ Dầu Một,10.980396,106.651905,Vietnam,VN,Bình Dương,admin,244277,244277
Thành Phố Nam Định,20.433886,106.177286,Vietnam,VN,Nam Định,admin,243186,243186
Thành phố Bạc Liêu,9.294141,105.727764,Vietnam,VN,Bạc Liêu,admin,225000,150000
Thành Phố Thái Bình,20.45,106.340018,Vietnam,VN,Thái Bình,admin,210000,210000
Tinh Xa,19.8,105.783333,Vietnam,VN,Thanh Hóa,,197551,197551
Sơn Vi,21.116667,105.533333,Vietnam,VN,Hà Nội,,189547,40636
Động Hỏi,17.5,106.633333,Vietnam,VN,Quảng Bình,,189265,31040
Phan Rang-Tháp Chàm,11.564315,108.988581,Vietnam,VN,Ninh Thuận,admin,179773,91520
Hà Tĩnh,18.34282,105.905695,Vietnam,VN,Hà Tĩnh,admin,165396,165396
Cao Lãnh,10.460171,105.632944,Vietnam,VN,Đồng Tháp,admin,149837,149837
Thành Phố Lạng Sơn,21.852639,106.76101,Vietnam,VN,Lạng Sơn,admin,148000,148000
Cam Ranh,11.9,109.216667,Vietnam,VN,Khánh Hòa,,146771,23883
Plei Khưn,13.95,108.033333,Vietnam,VN,Gia Lai,,142900,114225
Tân An,10.535893,106.41366,Vietnam,VN,Long An,admin,137498,64801
Cẩm Phả Mines,21.016667,107.3,Vietnam,VN,Quảng Ninh,,135477,16374
Trà Vinh,9.947188,106.342249,Vietnam,VN,Trà Vinh,admin,131360,131360
Thành Phố Ninh Bình,20.258085,105.979651,Vietnam,VN,Ninh Bình,admin,130517,130517
Tây Ninh,11.310043,106.098275,Vietnam,VN,Tây Ninh,admin,126370,126370
Mỹ Hòa,10.37886,106.382463,Vietnam,VN,Tiền Giang,,124143,122310
Kon Tum,14.383333,107.983333,Vietnam,VN,Kon Tum,,105489,47409
Thành Phố Hòa Bình,20.817166,105.33759,Vietnam,VN,Hòa Bình,admin,105260,99502
An Long,10.284465,105.94246,Vietnam,VN,Vĩnh Long,,103314,103314
Yên Bái,21.722881,104.911296,Vietnam,VN,Yên Bái,admin,96540,96540
Quảng Trị,16.75,107.2,Vietnam,VN,Quảng Trị,,72722,72722
Châu Phong,10.716667,105.133333,Vietnam,VN,An Giang,,70239,70239
Tuy Hòa,13.095457,109.320939,Vietnam,VN,Phú Yên,admin,69596,69596
Lào Cai,22.485555,103.970661,Vietnam,VN,Lào Cai,admin,67206,36502
Hàn Thượng,20.95,106.316667,Vietnam,VN,Hải Dương,,58030,58030
Bắc Giang,21.273073,106.194597,Vietnam,VN,Bắc Giang,admin,53728,53728
Nà Hoàng,22.65,106.25,Vietnam,VN,Cao Bằng,,41112,41112
Thành Phố Hà Giang,22.823333,104.983572,Vietnam,VN,Hà Giang,admin,38362,32690
Thành Phố Tuyên Quang,21.823559,105.21424,Vietnam,VN,Tuyên Quang,admin,36430,36430
Bắc Kạn,22.147009,105.83481,Vietnam,VN,Bắc Kạn,admin,29227,29227
Bản Lân,21.333333,103.9,Vietnam,VN,Sơn La,,19054,19054
Đông Hà,16.817615,107.100772,Vietnam,VN,Quảng Trị,admin,17662,17662
