city,lat,lng,country,iso2,admin,capital,population,population_proper
Gjakovë,42.380278,20.430833,Kosovo,XK,Gjakovë,admin,,
Graçanicë,42.601111,21.195833,Kosovo,XK,Graçanicë,admin,,
Kllokot,42.371389,21.374444,Kosovo,XK,Kllokot,admin,,
Ferizaj,42.370556,21.155278,Kosovo,XK,Ferizaj,admin,,
Podujevë,42.911098,21.189942,Kosovo,XK,Podujevë,admin,,
Suharekë,42.358611,20.825,Kosovo,XK,Suharekë,admin,,
Viti,42.321389,21.358333,Kosovo,XK,Viti,admin,,
Hani i Elezit,42.15,21.296667,Kosovo,XK,Hani i Elezit,admin,,
Novobërdë,42.617778,21.419722,Kosovo,XK,Novobërdë,admin,,
Mamushë,42.330833,20.726944,Kosovo,XK,Mamushë,admin,,
Rahovec,42.399444,20.654722,Kosovo,XK,Rahovec,admin,,
Kaçanik,42.231944,21.259444,Kosovo,XK,Kaçanik,admin,,
Istog,42.780833,20.4875,Kosovo,XK,Istog,admin,,
Fushë Kosovë,42.663944,21.096111,Kosovo,XK,Fushë Kosovë,admin,,
Zveçan,42.9075,20.840278,Kosovo,XK,Zveçan,admin,,
Prizren,42.213889,20.739722,Kosovo,XK,Prizren,admin,,
Malishevë,42.482222,20.745833,Kosovo,XK,Malishevë,admin,,
Zubin Potok,42.914444,20.689722,Kosovo,XK,Zubin Potok,admin,,
Pristina,42.666569,21.172401,Kosovo,XK,Prishtinë,primary,,
Ranillug,42.492222,21.598889,Kosovo,XK,Ranillug,admin,,
Gjilan,42.468889,21.463333,Kosovo,XK,Gjilan,admin,,
Lipjan,42.521667,21.125833,Kosovo,XK,Lipjan,admin,,
Partesh,42.401944,21.433611,Kosovo,XK,Partesh,admin,,
Gllogovc,42.628333,20.893889,Kosovo,XK,Gllogovc,admin,,
Klinë,42.621667,20.577778,Kosovo,XK,Klinë,admin,,
Skenderaj,42.746667,20.788611,Kosovo,XK,Skenderaj ,admin,,
Pejë,42.66,20.292222,Kosovo,XK,Pejë,admin,,
Mitrovicë,42.883333,20.866667,Kosovo,XK,,admin,,
Kamenicë,42.578056,21.580278,Kosovo,XK,Kamenicë,admin,,
Junik,42.475833,20.277222,Kosovo,XK,Junik,admin,,
Shtërpcë,42.239444,21.027222,Kosovo,XK,Shtërpcë,admin,,
Deçan,42.537778,20.291111,Kosovo,XK,Deçan,admin,,
Shtime,42.433056,21.039722,Kosovo,XK,Shtime,admin,,
Dragash,42.0265,20.653333,Kosovo,XK,Dragash,admin,,
Leposaviq,43.103889,20.802778,Kosovo,XK,Leposaviq,admin,,
Obiliq,42.686944,21.070278,Kosovo,XK,Obiliq,admin,,
Vushtrri,42.823056,20.9675,Kosovo,XK,Vushtrri,admin,,
