city,lat,lng,country,iso2,admin,capital,population,population_proper
Sanaa,15.354722,44.206667,Yemen,YE,Amānat al ‘Āşimah,primary,2008000,1835853
Aden,12.779444,45.036667,Yemen,YE,‘Adan,admin,1000000,550602
Al Ḩudaydah,14.797812,42.954516,Yemen,YE,Al Ḩudaydah,admin,780000,475221
Ta‘izz,13.579522,44.020908,Yemen,YE,Ta‘izz,admin,751000,615222
Al Mukallā,14.542481,49.124244,Yemen,YE,Ḩaḑramawt,admin,258132,130029
Ibb,13.940771,44.177343,Yemen,YE,Ibb,admin,234837,234837
Ḩajjah,15.694247,43.605821,Yemen,YE,Ḩajjah,admin,208287,43549
Dhamār,14.542742,44.405145,Yemen,YE,Dhamār,admin,191259,191259
Zabīd,14.1951,43.315181,Yemen,YE,Al Ḩudaydah,minor,152504,52590
Say’ūn,15.943333,48.793333,Yemen,YE,Ḩaḑramawt,minor,68747,68747
Laḩij,13.056667,44.881944,Yemen,YE,Laḩij,admin,66288,23375
Ash Shiḩr,14.760258,49.60537,Yemen,YE,Ḩaḑramawt,minor,54274,54274
Radā‘,14.415097,44.837089,Yemen,YE,Al Bayḑā’,minor,45233,45233
Al Bayḑā’,13.985226,45.572719,Yemen,YE,Al Bayḑā’,admin,37821,37821
‘Ataq,14.537665,46.831868,Yemen,YE,Shabwah,admin,37315,37315
Al Ghayz̧ah,16.207869,52.17605,Yemen,YE,Al Mahrah,admin,27404,20000
Ma’rib,15.460977,45.325301,Yemen,YE,Ma’rib,admin,16794,16794
Ḩadībū,12.65008,54.022336,Yemen,YE,Arkhabīl Suquţrá,admin,11396,8545
Sayḩūt,15.210556,51.245556,Yemen,YE,Al Mahrah,minor,189,189
Bājil,15.058984,43.287311,Yemen,YE,Al Ḩudaydah,minor,,
Burūm,14.363611,48.979722,Yemen,YE,Ḩaḑramawt,minor,,
Ḩaydān,16.77899,43.433716,Yemen,YE,Şa‘dah,minor,,
Kirsh,13.364734,44.490462,Yemen,YE,Laḩij,minor,,
Ḑawrān ad Daydah,14.739266,44.206644,Yemen,YE,Dhamār,minor,,
Bayḩān,14.800669,45.718891,Yemen,YE,Shabwah,minor,,
Ḩarīb,14.931563,45.503556,Yemen,YE,Ma’rib,minor,,
Al Ghayl,16.107736,44.680047,Yemen,YE,Al Jawf,minor,,
Bayt al Faqīh,14.516353,43.324459,Yemen,YE,Al Ḩudaydah,minor,,
Jiblah,13.921618,44.146684,Yemen,YE,Ibb,minor,,
Al Tuḩaytā’,14.18356,43.226369,Yemen,YE,Al Ḩudaydah,minor,,
Bayt as Sayyid,15.504503,44.415007,Yemen,YE,Şan‘ā’,minor,,
Al Ḩarjah,15.488692,44.66573,Yemen,YE,Ma’rib,minor,,
Nişāb,14.507426,46.493493,Yemen,YE,Shabwah,minor,,
Al Manşūrah,12.860191,44.981665,Yemen,YE,‘Adan,minor,,
Al Manşūrīyah,14.685597,43.29922,Yemen,YE,Al Ḩudaydah,minor,,
Ḩūth,16.231137,43.968536,Yemen,YE,‘Amrān,minor,,
Al Ḩuşūn,15.4739,45.366911,Yemen,YE,Ma’rib,minor,,
As Suwaydā,13.786936,45.230404,Yemen,YE,Laḩij,minor,,
Al Misrākh,13.460594,44.020432,Yemen,YE,Ta‘izz,minor,,
Ḩabābah,15.544184,43.875632,Yemen,YE,‘Amrān,minor,,
Madīnat Lab‘ūs,13.866667,45.25,Yemen,YE,Laḩij,minor,,
Al ‘Ayn,13.330048,44.092085,Yemen,YE,Ta‘izz,minor,,
Ḩabūr,16.050972,43.706991,Yemen,YE,‘Amrān,minor,,
Al Qaflah,16.318973,43.767922,Yemen,YE,‘Amrān,minor,,
Ḩabīl ar Raydah,13.644401,44.85097,Yemen,YE,Laḩij,minor,,
Ḩadādah,13.175353,44.274613,Yemen,YE,Laḩij,minor,,
Aş Şalw,13.328872,44.217075,Yemen,YE,Ta‘izz,minor,,
Bi’r Ḩāt,17.321967,52.095659,Yemen,YE,Al Mahrah,minor,,
Al Ḩadīyah,14.526377,43.570449,Yemen,YE,Raymah,minor,,
Mocha,13.318954,43.253171,Yemen,YE,Ta‘izz,minor,,
Sharas,15.712331,43.649252,Yemen,YE,Ḩajjah,minor,,
Al Ḩajab,14.851925,45.529041,Yemen,YE,Shabwah,minor,,
Rajūzah,16.700561,44.414536,Yemen,YE,Al Jawf,minor,,
Al Qanāwiş,15.492852,43.1343,Yemen,YE,Al Ḩudaydah,minor,,
