city,lat,lng,country,iso2,admin,capital,population,population_proper
Lusaka,-15.416667,28.283333,Zambia,ZM,Lusaka,primary,1328000,1267440
Kitwe,-12.79614,28.247672,Zambia,ZM,Copperbelt,,404901,400914
Ndola,-12.958672,28.636593,Zambia,ZM,Copperbelt,admin,396339,394518
Kasama,-10.212889,31.180842,Zambia,ZM,Northern,admin,200000,113000
Kabwe,-14.443217,28.451743,Zambia,ZM,Central,admin,188979,188355
Chingola,-12.528968,27.883818,Zambia,ZM,Copperbelt,,182015,148564
Livingstone,-17.841939,25.85425,Zambia,ZM,Southern,admin,165480,109203
Mufulira,-12.54982,28.240711,Zambia,ZM,Copperbelt,,153624,120500
Luanshya,-13.136671,28.416611,Zambia,ZM,Copperbelt,,151993,113365
Chipata,-13.633333,32.65,Zambia,ZM,Eastern,admin,85963,78947
Chililabombwe,-12.364754,27.82286,Zambia,ZM,Copperbelt,,82068,57328
Solwezi,-12.168796,26.389381,Zambia,ZM,North-Western,admin,65000,38587
Mazabuka,-15.85601,27.747999,Zambia,ZM,Southern,,64006,51743
Mongu,-15.248352,23.127413,Zambia,ZM,Western,admin,52534,37663
Kafue,-15.769107,28.181362,Zambia,ZM,Lusaka,,47554,3897
Choma,-16.806477,26.953055,Zambia,ZM,Southern,,46746,37902
Mansa,-11.199757,28.894314,Zambia,ZM,Luapula,admin,42277,20437
Kapiri Mposhi,-13.965182,28.680855,Zambia,ZM,Central,,37942,22214
Mpika,-11.834309,31.452866,Zambia,ZM,Muchinga,,28445,6040
Nchelenge,-9.345062,28.733957,Zambia,ZM,Luapula,,23693,8115
Kawambwa,-9.791497,29.079134,Zambia,ZM,Luapula,,20589,20121
Mbala,-8.840242,31.365868,Zambia,ZM,Northern,,20570,16198
Sesheke,-17.475933,24.296838,Zambia,ZM,Western,,20149,206
Mumbwa,-14.978316,27.061884,Zambia,ZM,Central,,19086,9731
Kaoma,-14.783333,24.8,Zambia,ZM,Western,,14212,306
Chinsali,-10.54142,32.081624,Zambia,ZM,Muchinga,admin,14015,950
Mwinilunga,-11.85,24.366667,Zambia,ZM,North-Western,,13798,2875
Lundazi,-12.292923,33.178201,Zambia,ZM,Eastern,,11635,7446
Senanga,-16.116667,23.266667,Zambia,ZM,Western,,10005,10005
Masambo,-15.0,22.716667,Zambia,ZM,Western,,7731,7731
Zambezi,-13.543232,23.104665,Zambia,ZM,North-Western,,7074,2901
Kasempa,-13.458358,25.833802,Zambia,ZM,North-Western,,5622,5622
Likulunga,-14.35,23.25,Zambia,ZM,Western,,3349,3349
Nyimba,-14.556561,30.814899,Zambia,ZM,Eastern,,1336,292
